Orthogroup	Arabidopsis_thaliana	Thellungiella_parvula
OG0000000	AT5G35490	Sp5g15125.1, Sp5g15613.1
OG0000001	AT3G45840	Sp5g15690.1
OG0000001	AT4G13992	Sp7g16340.1
OG0000001	AT5G26190	Sp7g01410.1
OG0000001	AT2G40050	Sp2g04140.1
OG0000001	AT3G21210	Sp3g19190.1
OG0000002	AT3G47680, AT5G52547, AT2G06555, AT4G08270	Sp5g15617.1
OG0000003	AT3G17570	Sp3g22340.1
OG0000003	AT3G20700, AT3G20690, AT3G20710	Sp3g18730.1
OG0000003	AT4G09870	Sp7g11920.1
OG0000003	AT3G18320, AT2G07140, AT3G44120, AT3G18330, AT3G19410, AT3G18910, AT3G18905	Sp3g17310.1
OG0000003	AT3G17490	Sp4g16570.1
OG0000003	AT2G04920	Sp3g21250.1
OG0000005	ATMG00810	Sp5g15895.1, Sp7g08835.1, Sp3g26670.1
OG0000005	AT4G23160	Sp4g08985.1, Sp4g05365.1
OG0000005	AT4G20220	Sp2g07455.1, Sp1g31095.1
OG0000006	AT4G29090	Sp5g16870.1, Sp7g07780.1
OG0000007	AT3G51700, AT3G51690	Sp4g05160.1
OG0000007	AT5G28780	Sp1g36550.1, Sp7g01850.1, Sp3g27520.1, Sp6g09750.1, Sp3g28000.1, Sp2g06330.1, Sp7g02850.1, Sp1g34290.1, SpUn0013_0030.1, SpUn0007_0130.1, SpUn0005_0180.1, SpUn0005_0190.1, SpUn0002_0670.1, Sp5g20470.1, Sp2g06140.1, Sp1g31200.1, Sp3g26530.1, Sp1g31210.1, Sp7g06300.1, Sp7g06320.1, Sp7g08350.1, Sp4g02360.1, Sp5g17740.1, Sp5g19660.1, Sp7g08990.1, Sp4g07030.1, Sp4g08150.1, Sp5g19650.1, Sp4g06480.1, Sp5g17390.1, SpUn0166_0010.1, Sp5g17400.1
OG0000009	AT1G44941	Sp7g19460.1, Sp6g08880.1
OG0000009	AT4G05095, AT1G34440, AT5G28615, AT4G04650, AT1G43730, AT5G16486, AT3G25727, AT2G02520, AT2G11035, AT3G27590	Sp4g10390.1
OG0000011	AT5G44510	Sp2g09300.1
OG0000011	AT2G14080	Sp3g23450.1, Sp3g29100.1
OG0000014	AT2G05420, AT2G05400, AT2G05410	Sp1g34680.1
OG0000014	AT3G58340	Sp5g04453.1
OG0000014	AT3G58240	Sp5g04480.1
OG0000014	AT3G58350, AT3G58400	Sp5g04460.1
