Orthogroup	Thellungiella_parvula	Camelina_sativa
OG0000001	Sp7g16340.1	Csa12g060100, Csa10g032720
OG0000001	Sp2g04140.1	Csa05g012820, Csa06g044330, Csa05g012890, Csa04g054240, Csa06g044270, Csa01g033320, Csa05g012870, Csa04g054250, Csa06g044340, Csa04g054290, Csa05g012810, Csa20g032920, Csa08g014690, Csa05g012880
OG0000001	Sp6g07250.1, Sp6g05515.1	Csa10g043150, Csa13g003240, Csa20g003340, Csa20g003330
OG0000001	Sp3g19190.1	Csa15g031520, Csa01g024250, Csa19g029160, Csa01g024230
OG0000002	Sp5g15617.1	Csa04g024370, Csa14g041630, Csa06g013110, Csa05g089860, Csa11g051460, Csa08g009930, Csa12g008550, Csa20g016560, Csa08g028250, Csa19g016660, Csa12g025400, Csa18g030150, Csa20g044860, Csa05g086350, Csa09g087820, Csa13g055950, Csa00899s010, Csa15g044320, Csa07g063850, Csa17g090350
OG0000003	Sp4g17180.1	Csa08g035040
OG0000003	Sp3g22340.1	Csa15g023770, Csa01g020240, Csa19g024700, Csa19g024690
OG0000003	Sp3g14050.1	Csa09g048840
OG0000003	Sp3g18730.1	Csa15g031050, Csa19g028680, Csa01g023780, Csa01g023760, Csa19g028670, Csa01g023750, Csa15g031040, Csa15g031060
OG0000003	Sp3g17310.1	Csa01g022440, Csa15g027170, Csa15g027190, Csa01g022450
OG0000003	Sp3g21250.1	Csa15g039380, Csa15g057100, Csa15g057120, Csa07688s010, Csa01g036780, Csa20g017830, Csa01g036750, Csa15g057110
OG0000007	Sp1g31770.1, Sp4g05160.1, Sp7g07680.1, Sp6g09740.1	Csa20g073340
OG0000007	SpUn1097_0010.1	Csa04g033470
OG0000009	Sp7g19460.1, Sp6g08880.1	Csa12g022600
OG0000009	Sp4g10390.1	Csa12g039420, Csa09g007230, Csa05g038740, Csa19g031300, Csa13g043430, Csa14g034670
OG0000011	Sp7g20140.1	Csa12g036160
OG0000014	Sp1g34680.1	Csa01g037980, Csa15g057320, Csa19g040380, Csa01g037960
OG0000014	Sp5g04453.1	Csa04g044860, Csa09g070930, Csa06g034150
OG0000014	Sp5g04480.1	Csa04g044760, Csa09g070860, Csa06g034070
OG0000014	Sp5g04460.1	Csa09g070970, Csa06g034170, Csa04g044880
OG0000014	Sp5g04500.1	Csa06g012780, Csa04g044770
OG0000015	SpUn0004_0050.1	Csa18g009210
OG0000015	Sp7g02710.1, Sp1g01750.1, Sp7g01630.1	Csa11g056050
OG0000016	Sp7g11580.1	Csa00382s030, Csa12g061670
OG0000016	Sp7g36980.1	Csa12g001650, Csa10g001570, Csa11g001750
OG0000016	Sp4g00370.1, Sp4g00380.1	Csa11g001730, Csa12g001620, Csa10g001540, Csa13g020880
OG0000016	Sp6g26270.1	Csa13g020940, Csa08g010480, Csa20g026370, Csa08g029840
OG0000016	Sp3g02800.1	Csa19g005960, Csa15g003650, Csa01g003540
OG0000016	Sp6g26280.1, Sp6g26260.1	Csa08g010470, Csa13g037900, Csa20g057370, Csa20g026340, Csa08g029820, Csa13g037890, Csa13g020960, Csa08g010370, Csa20g026390, Csa08g010500, Csa20g057390, Csa20g026300, Csa08g010380, Csa13g020910, Csa08g010400, Csa08g010440, Csa13g020900, Csa13g020870, Csa08g010430, Csa20g026410, Csa20g026330, Csa08g029810, Csa20g026360, Csa08g010460, Csa13g020930
OG0000017	Sp1g27840.1	Csa17g071580, Csa14g050920
OG0000017	Sp5g12630.1	Csa04g034910, Csa09g051770, Csa09g051990, Csa09g051930, Csa06g023470, Csa04g034450, Csa04g034880, Csa06g023460
OG0000017	Sp4g14420.1	Csa05g026990
OG0000017	SpUn0074_0030.1	Csa07g063300, Csa09g096580, Csa09g096600, Csa09g096560, Csa07g063290, Csa16g052620
OG0000018	Sp7g00500.1	Csa02g054840, Csa10g050020
OG0000018	Sp2g00920.1	Csa09g098570
OG0000018	Sp2g00800.1	Csa07g063320
OG0000019	Sp4g10470.1	Csa17g080720, Csa03g054920
OG0000019	Sp3g19400.1	Csa15g031760, Csa19g029400
OG0000019	Sp1g38480.1	Csa03g058830, Csa03g058840
OG0000019	Sp6g21340.1	Csa02g065350, Csa11g093470, Csa16g028850
OG0000019	Sp6g21350.1	Csa11g093500
OG0000019	Sp6g21330.1	Csa02g065360
OG0000019	Sp4g11820.1	Csa16g015940, Csa07g015400, Csa05g035270
OG0000019	Sp4g11770.1	Csa16g015980, Csa16g015990
OG0000019	Sp1g34570.1	Csa17g010920, Csa03g010950, Csa17g010940
OG0000023	Sp1g27610.1	Csa15g003470, Csa09g071010, Csa19g005780
OG0000024	Sp6g22630.1	Csa20g037540
OG0000024	Sp2g05350.1	Csa16g018240, Csa05g052410, Csa07g017880, Csa05g052240, Csa16g018250
OG0000024	Sp2g04940.1, Sp2g04960.1	Csa16g017830, Csa14g059390, Csa12g044430, Csa07g017450
OG0000025	Sp4g07220.1	Csa18g012380, Csa00441s430, Csa15g084570, Csa00441s420
OG0000026	SpUn1377_0010.1	Csa04g030920, Csa16g016200, Csa02g023430, Csa09g034160, Csa11g057600
OG0000029	Sp2g05870.1, SpUn0028_0070.1	Csa20g002970, Csa20g002980, Csa20g002960
OG0000029	Sp6g39690.1	Csa20g002950, Csa08g061710, Csa13g002830
OG0000030	Sp2g01710.1	Csa09g070730, Csa09g098660, Csa09g098650, Csa16g056140, Csa09g098200, Csa07g064890, Csa09g098190, Csa16g056110, Csa07g064830, Csa07g064840, Csa09g098160, Csa18g008360, Csa07g064920, Csa19g018400, Csa07g064870
OG0000031	Sp7g03460.1	Csa02g026390, Csa13g047530
OG0000031	SpUn0035_0040.1, Sp1g38380.1, Sp7g03360.1, Sp7g03470.1	Csa11g053530, Csa10g044690, Csa12g084020, Csa12g083940, Csa12g081590, Csa12g083960, Csa12g083930
OG0000031	Sp6g18230.1, Sp5g07520.1	Csa04g041080, Csa09g064690, Csa06g029410
OG0000032	Sp7g03870.1	Csa12g085520, Csa10g043240
OG0000032	Sp7g03860.1	Csa12g086530, Csa11g052050, Csa10g043200
OG0000032	Sp5g21950.1	Csa16g030880
OG0000032	Sp5g21900.1	Csa07g032080, Csa31641s010, Csa05g079590
OG0000032	Sp5g21920.1	Csa05g079780, Csa05g079730, Csa07g032170
OG0000032	Sp7g15860.1	Csa11g030300, Csa06g046730
OG0000032	Sp7g15830.1	Csa06g046700, Csa11g030260
OG0000032	Sp7g03770.1	Csa10g043280
OG0000033	Sp2g03980.1	Csa07g063890, Csa09g097240, Csa07g063900, Csa16g055330, Csa09g097220, Csa07g063880, Csa09g097200, Csa09g097300, Csa16g055320
OG0000033	Sp1g10900.1	Csa14g015220
OG0000036	Sp7g06680.1	Csa11g044840
OG0000037	Sp5g08630.1, Sp4g19980.1	Csa04g051240, Csa05g016060, Csa04g039780, Csa06g028220, Csa06g040380, Csa09g062180
OG0000037	Sp3g16870.1	Csa15g026420, Csa19g026200, Csa01g021690, Csa14g055430, Csa03g055080, Csa17g080920
OG0000037	Sp4g24310.1	Csa06g048120, Csa05g009470, Csa06g048140, Csa04g057580
OG0000037	Sp3g10340.1	Csa01g013210, Csa19g016340, Csa15g015990
OG0000037	Sp5g15160.1	Csa02g065080
OG0000038	Sp4g09920.1	Csa09g051340, Csa09g051260, Csa09g051250, Csa09g051280, Csa04g034230, Csa09g051290, Csa18g009750, Csa09g051240, Csa06g022870, Csa04g034220, Csa09g051300, Csa04g034240, Csa09g051320, Csa16g035620, Csa09g077460, Csa07g040060, Csa06g022900, Csa09g051350, Csa04g034270, Csa04g034310, Csa13g034260, Csa04g034300, Csa06g022920, Csa09g051370
OG0000039	Sp7g21010.1	Csa11g022840, Csa11g022820, Csa11g022800, Csa12g033410
OG0000039	Sp7g21220.1	Csa12g032260
OG0000039	Sp6g05970.1	Csa02g020100, Csa13g048620, Csa08g043730
OG0000040	Sp1g26630.1	Csa15g016130
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	Csa09g087290
OG0000040	Sp3g08720.1	Csa09g052050, Csa04g034950, Csa06g023520, Csa01g011310, Csa19g014070
OG0000040	SpUn0245_0010.1	Csa16g036020, Csa07g040480
OG0000041	Sp6g04550.1, Sp2g07530.1, Sp6g09680.1, Sp6g04730.1, SpUn0257_0010.1, SpUn0025_0070.1, SpUn0606_0010.1, Sp1g33990.1, Sp5g17180.1, Sp7g10820.1, Sp5g18380.1, Sp6g10520.1, Sp4g07210.1, Sp3g26930.1, Sp7g07460.1, Sp6g07890.1, SpUn1776_0010.1, Sp1g32360.1, Sp3g23630.1, Sp6g11020.1, Sp4g04600.1, Sp6g10600.1, Sp7g03480.1, Sp7g08130.1, Sp5g21220.1, Sp6g10400.1, Sp4g05320.1, SpUn0001_0870.1, Sp6g09170.1, Sp6g11310.1	Csa18g012590
OG0000041	Sp7g09260.1, Sp1g16530.1, Sp3g28380.1	Csa16g026580
OG0000042	Sp5g03990.1	Csa06g036570, Csa04g046340, Csa09g071440, Csa07g004880, Csa16g005740
OG0000042	Sp5g03860.1	Csa05g089410, Csa16g006810
OG0000042	Sp3g28560.1, Sp3g28550.1, Sp3g28540.1	Csa05g015340, Csa05g089310
OG0000043	Sp6g23980.1	Csa13g023390, Csa08g014290
OG0000043	Sp1g34070.1	Csa04g030490, Csa09g047930
OG0000044	Sp5g14790.1	Csa04g029830, Csa06g020750, Csa09g045300, Csa09g045280
