Orthogroup	Capsella_rubella	Aethionema_arabicum
OG0000001	Carub.0005s1456.1.p	AA97G00009
OG0000001	Carub.0003s3395.1.p, Carub.0003s1965.1.p, Carub.0007s3277.1.p, Carub.0007s3278.1.p	AA44G00395, AA28G00008
OG0000001	Carub.0001s3932.1.p, Carub.0008s0167.1.p, Carub.0001s4422.1.p	AA76G00006, AA22G00021, AA54G00111, AA87G00273, AA54G00327, AA15G00172
OG0000001	Carub.0007s2885.1.p	AA117G00007
OG0000001	Carub.0005s0161.1.p, Carub.0005s0160.1.p	AA96G00139, AA96G00166, AA102G00156
OG0000001	Carub.0007s3532.1.p	AA87G00137
OG0000002	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p	AA141G00003, AA65G00003
OG0000002	Carub.0005s0926.1.p, Carub.0005s0911.1.p, Carub.0001s3357.1.p, Carub.0001s4114.1.p, Carub.0008s0718.1.p, Carub.0004s0664.1.p, Carub.0007s3064.1.p, Carub.0007s3066.1.p, Carub.0003s1041.1.p, Carub.0008s0770.1.p, Carub.0001s3179.1.p, Carub.0007s3111.1.p, Carub.0007s3077.1.p, Carub.0001s3377.1.p, Carub.0002s0950.1.p	AA6G00009, AA1077G00001
OG0000003	Carub.0006s3223.1.p, Carub.0006s3222.1.p, Carub.0005s1634.1.p, Carub.0004s0845.1.p, Carub.0004s0842.1.p, Carub.0004s0838.1.p, Carub.0004s0843.1.p, Carub.0002s0522.1.p, Carub.0003s1813.1.p, Carub.0003s1811.1.p, Carub.0003s1874.1.p, Carub.0003s2707.1.p	AA1028G00001, AA240G00010, AA439G00004, AA718G00001, AA240G00008
OG0000005	Carub.0006s2630.1.p	AA134G00036, AA7G00127, AA140G00004, AA90G00075, AA50G00022, AA188G00003, AA187G00005, AA312G00010, AA312G00007, AA537G00001, AA352G00001, AA246G00002, AA145G00013, AA22G00087, AA142G00005, AA232G00008, AA196G00009, AA22G00096, AA161G00010, AA149G00010, AA73G00004, AA280G00003, AA969G00002, AA95G00002, AA308G00002, AA1578G00001, AA308G00003, AA187G00003, AA59G00014, AA91G00015, AA214G00003, AA145G00003
OG0000007	Carub.0013s0008.1.p	AA86G00008, AA124G00018, AA154G00011, AA167G00003
OG0000007	Carub.0004s0617.1.p	AA26G00727
OG0000009	Carub.0001s4199.1.p, Carub.0003s2082.1.p	AA2373G00001
OG0000011	Carub.0007s3773.1.p, Carub.0007s3771.1.p, Carub.0007s3772.1.p, Carub.0006s3063.1.p, Carub.0005s0813.1.p, Carub.0003s2583.1.p, Carub.0008s0597.1.p, Carub.0008s0599.1.p, Carub.0008s0598.1.p, Carub.0008s0589.1.p, Carub.0008s0591.1.p, Carub.0008s0593.1.p, Carub.0008s0595.1.p, Carub.0008s0596.1.p, Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p, Carub.0002s0700.1.p, Carub.0002s0699.1.p, Carub.0002s1260.1.p, Carub.0001s3553.1.p	AA29G00226
OG0000014	Carub.0005s2515.1.p	AA61G00259, AA70G00018, AA61G00258, AA61G00256, AA102G00309, AA102G00307, AA61G00261, AA61G00260, AA61G00257
OG0000016	Carub.0007s0068.1.p	AA46G00047, AA225G00005
OG0000019	Carub.0001s3825.1.p, Carub.0002s1143.1.p, Carub.0003s2137.1.p, Carub.0001s4075.1.p, Carub.0001s4074.1.p	AA93G00031
OG0000019	Carub.0008s2031.1.p, Carub.0008s2032.1.p, Carub.0008s2030.1.p	AA97G00020
OG0000019	Carub.0005s1221.1.p, Carub.0005s1220.1.p, Carub.0005s1218.1.p	AA16G00053
OG0000019	Carub.0004s0997.1.p, Carub.0004s0995.1.p	AA32G00797
OG0000019	Carub.0004s0999.1.p	AA32G00794
OG0000019	Carub.0001s0687.1.p, Carub.0001s0688.1.p	AA90G00072, AA1016G00004, AA113G00014
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p, Carub.0008s0923.1.p, Carub.0001s1342.1.p, Carub.0345s0001.1.p, Carub.0001s1404.1.p, Carub.0006s1692.1.p, Carub.0001s2401.1.p	AA134G00047, AA26G00632, AA26G00624, AA98G00002, AA26G00629, AA26G00628, AA26G00630, AA762G00001, AA26G00627
OG0000023	Carub.0001s2993.1.p	AA29G00248
OG0000024	Carub.0002s0811.1.p, Carub.0001s1050.1.p, Carub.0001s4253.1.p, Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p, Carub.0008s0827.1.p, Carub.0002s0736.1.p, Carub.0007s2552.1.p	AA65G00084
OG0000029	Carub.0006s0158.1.p, Carub.0002s0692.1.p, Carub.0001s3548.1.p, Carub.0001s3546.1.p, Carub.0001s3549.1.p, Carub.0001s3547.1.p, Carub.0004s0321.1.p, Carub.0002s0507.1.p, Carub.0002s0506.1.p, Carub.0006s0172.1.p, Carub.0006s0173.1.p, Carub.0006s0171.1.p, Carub.0006s0055.1.p	AA19G00269
OG0000032	Carub.0005s1268.1.p, Carub.0005s1269.1.p, Carub.0005s1261.1.p, Carub.0005s1263.1.p	AA84G00010, AA57G00056
OG0000032	Carub.0002s1315.1.p, Carub.0002s1319.1.p	AA84G00011
OG0000033	Carub.0001s1196.1.p	AA65G00173, AA65G00170, AA78G00024, AA65G00233, AA65G00229, AA65G00232, AA65G00231, AA65G00230, AA129G00013, AA65G00279, AA65G00278, AA65G00281, AA65G00280, AA181G00005, AA65G00269, AA65G00268
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	AA62G00013
OG0000037	Carub.0003s1860.1.p, Carub.0001s3843.1.p	AA26G00546
OG0000037	Carub.0008s2004.1.p, Carub.0005s1279.1.p	AA16G00045
OG0000037	Carub.0006s0823.1.p	AA44G00244
OG0000039	Carub.0007s1792.1.p	AA54G00316
OG0000040	Carub.0003s1159.1.p, Carub.0003s1717.1.p	AA49G00027, AA230G00005, AA201G00003, AA230G00002, AA87G00338, AA87G00325, AA94G00015, AA87G00340, AA87G00324, AA87G00333, AA87G00329, AA87G00335, AA87G00323, AA87G00334, AA87G00337, AA87G00339, AA87G00327, AA87G00330, AA168G00007, AA168G00005
OG0000043	Carub.0008s1038.1.p, Carub.0219s0002.1.p, Carub.0006s1881.1.p, Carub.0004s1293.1.p, Carub.0004s1294.1.p, Carub.0005s1367.1.p, Carub.0005s1366.1.p, Carub.0005s1333.1.p, Carub.0005s1371.1.p, Carub.0005s1372.1.p	AA96G00003, AA82G00005, AA16G00126, AA16G00125, AA16G00128, AA16G00121, AA16G00133, AA16G00122, AA16G00124
OG0000044	Carub.0005s1317.1.p, Carub.0002s0310.1.p, Carub.0002s0300.1.p, Carub.0002s0305.1.p, Carub.0002s0291.1.p, Carub.0002s0311.1.p, Carub.0002s0294.1.p, Carub.0002s0295.1.p, Carub.0002s0308.1.p, Carub.0002s0306.1.p, Carub.0002s0309.1.p, Carub.0002s0249.1.p	AA53G00586
OG0000045	Carub.0007s1788.1.p, Carub.0007s1786.1.p, Carub.0007s1787.1.p, Carub.0005s1171.1.p, Carub.0007s1813.1.p, Carub.0007s1812.1.p, Carub.0007s1804.1.p	AA54G00319, AA57G00519
