Orthogroup	Capsella_rubella	Eutrema_salsugineum
OG0000001	Carub.0006s2790.1.p, Carub.0008s0478.1.p	EUTSA_v10029489mg
OG0000001	Carub.0007s2842.1.p	EUTSA_v10024646mg, EUTSA_v10027008mg, EUTSA_v10012175mg
OG0000001	Carub.0003s3169.1.p	EUTSA_v10023009mg
OG0000001	Carub.0003s3168.1.p, Carub.0003s3160.1.p	EUTSA_v10022693mg, EUTSA_v10022611mg
OG0000001	Carub.0003s1069.1.p	EUTSA_v10022238mg
OG0000001	Carub.0006s1615.1.p	EUTSA_v10015310mg
OG0000001	Carub.0001s3932.1.p	EUTSA_v10012244mg, EUTSA_v10011360mg, EUTSA_v10012084mg
OG0000001	Carub.0008s0167.1.p	EUTSA_v10000813mg, EUTSA_v10001211mg, EUTSA_v10001170mg
OG0000001	Carub.0001s4422.1.p	EUTSA_v10000551mg, EUTSA_v10012036mg
OG0000001	Carub.0005s0161.1.p, Carub.0005s0160.1.p	EUTSA_v100040441mg, EUTSA_v10005463mg, EUTSA_v100040440mg
OG0000001	Carub.0001s3557.1.p, Carub.0004s2223.1.p	EUTSA_v10023835mg
OG0000001	Carub.0005s1168.1.p	EUTSA_v10023926mg, EUTSA_v10024120mg, EUTSA_v10023993mg
OG0000001	Carub.0006s0218.1.p	EUTSA_v10003369mg, EUTSA_v10015515mg, EUTSA_v10028419mg
OG0000001	Carub.0007s2957.1.p, Carub.0007s2956.1.p	EUTSA_v10012227mg
OG0000001	Carub.0006s2934.1.p, Carub.0006s2933.1.p	EUTSA_v10022587mg, EUTSA_v10022543mg
OG0000001	Carub.0006s0035.1.p	EUTSA_v10000445mg
OG0000001	Carub.0003s2117.1.p	EUTSA_v10020368mg
OG0000001	Carub.0007s3532.1.p	EUTSA_v10027103mg
OG0000001	Carub.0001s0262.1.p	EUTSA_v10012196mg, EUTSA_v10009889mg, EUTSA_v10009528mg, EUTSA_v10012915mg, EUTSA_v10007210mg
OG0000001	Carub.0008s0226.1.p	EUTSA_v10029207mg
OG0000001	Carub.0005s0589.1.p, Carub.0005s0590.1.p, Carub.0005s0591.1.p, Carub.0005s0592.1.p	EUTSA_v10003740mg, EUTSA_v10005296mg, EUTSA_v10005293mg, EUTSA_v10005411mg
OG0000001	Carub.0002s1575.1.p	EUTSA_v10000809mg
OG0000001	Carub.0006s3058.1.p, Carub.0006s3056.1.p, Carub.0006s3059.1.p, Carub.0006s3031.1.p, Carub.0006s3032.1.p, Carub.0006s3030.1.p, Carub.0006s2817.1.p, Carub.0007s2741.1.p, Carub.0006s3498.1.p, Carub.0006s3499.1.p, Carub.0006s3544.1.p	EUTSA_v10023179mg, EUTSA_v10028254mg, EUTSA_v10028534mg
OG0000003	Carub.0003s1727.1.p	EUTSA_v10002957mg
OG0000003	Carub.0002s0273.1.p	EUTSA_v10003403mg
OG0000003	Carub.0003s2043.1.p	EUTSA_v10022067mg, EUTSA_v10001171mg
OG0000003	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p	EUTSA_v10015430mg, EUTSA_v10001129mg
OG0000003	Carub.0003s2067.1.p	EUTSA_v10022075mg, EUTSA_v10022091mg
OG0000003	Carub.0002s0302.1.p	EUTSA_v10023820mg
OG0000003	Carub.0003s1362.1.p, Carub.0001s1047.1.p, Carub.0003s1334.1.p, Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p	EUTSA_v10000447mg, EUTSA_v10024142mg
OG0000003	Carub.0003s1874.1.p, Carub.0003s2707.1.p	EUTSA_v10002009mg, EUTSA_v10022266mg
OG0000003	Carub.0003s2286.1.p, Carub.0002s0776.1.p	EUTSA_v10003050mg, EUTSA_v10015770mg, EUTSA_v10015418mg, EUTSA_v10002911mg, EUTSA_v10003000mg, EUTSA_v10002981mg, EUTSA_v10002867mg, EUTSA_v10027013mg, EUTSA_v10017637mg
