Orthogroup	Brassica_oleracea	Camelina_sativa
OG0000000	Bo3g064030, Bo00792s010, Bo1g086150, Bo9g018130, Bo2g092970, Bo2g158940, Bo8g058390, Bo5g113970, Bo8g095440, Bo13907s010, Bo3g134310, Bo3g024570, Bo7g080910, Bo5g143040, Bo3g001670, Bo06661s010, Bo4g026460, Bo9g151700	Csa19g058560
OG0000000	Bo7g093230, Bo3g106890, Bo3g113690, Bo01001s030, Bo9g140760, Bo4g173630, Bo1g057600, Bo1g117550, Bo6g077730, Bo1g070610, Bo3g141740, Bo3g036960, Bo3g091370, Bo8g050680, Bo6g099920, Bo3g169170, Bo7g064550, Bo3g169360, Bo2g149700, Bo2g163960, Bo5g025720, Bo01075s010, Bo6g069990, Bo2g131770, Bo1g105300, Bo3g001600	Csa00574s010
OG0000000	Bo4g094410, Bo2g130280, Bo01180s020, Bo1g040060, Bo9g169240	Csa06g024460
OG0000001	Bo3g017640	Csa11g093820, Csa11g093830, Csa08g047230, Csa02g065750, Csa11g093790
OG0000001	Bo1g152000, Bo1g151990, Bo5g148060, Bo5g148070	Csa11g093810
OG0000001	Bo4g190070, Bo4g190080	Csa19g049210, Csa00441s210
OG0000001	Bo1g017820, Bo1g055250	Csa12g060100, Csa10g032720
OG0000001	Bo4g043420	Csa00441s220
OG0000001	Bo3g062530	Csa05g024140, Csa19g015470, Csa20g074650, Csa15g015110, Csa19g015450
OG0000001	Bo3g065720	Csa15g017930
OG0000001	Bo6g024760, Bo5g076350	Csa03g056170, Csa03g056180, Csa17g088000, Csa03g056160
OG0000001	Bo3g185160	Csa16g044820, Csa17g095200, Csa14g067300, Csa17g095270
OG0000001	Bo04419s010	Csa12g018010
OG0000001	Bo3g017660	Csa13g033640
OG0000001	Bo6g094160	Csa08g062340, Csa13g002180, Csa12g075160, Csa10g041220, Csa13g002210, Csa20g002390, Csa13g002200
OG0000001	Bo7g005620	Csa02g058470, Csa11g089070, Csa11g082700, Csa18g028350, Csa11g089060, Csa02g058450, Csa02g058490, Csa18g028360, Csa11g089050, Csa06g006240, Csa09g010070, Csa04g012100
OG0000001	Bo4g096760	Csa13g033630, Csa20g003410, Csa13g003310, Csa13g033650, Csa08g061210, Csa13g003300, Csa08g061230, Csa20g003400
OG0000001	Bo6g103930	Csa20g001620, Csa13g001400, Csa08g063150, Csa20g001630, Csa08g063140
OG0000001	Bo6g099660	Csa17g059770
OG0000001	Bo5g103520	Csa15g031520, Csa01g024250, Csa19g029160, Csa01g024230
OG0000001	Bo4g139980	Csa10g047330, Csa11g057460, Csa12g079770
OG0000001	Bo7g091020	Csa04g016110
OG0000001	Bo1g152130, Bo1g152140, Bo1g152150	Csa03g004600, Csa14g004550
OG0000001	Bo5g151530	Csa02g051650, Csa11g036870, Csa00506s160
OG0000001	Bo7g085670	Csa09g014490
OG0000001	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	Csa02g019960, Csa08g043750, Csa02g020200, Csa13g048550, Csa02g020030, Csa08g037520, Csa08g037510, Csa02g028300, Csa13g043650, Csa12g056940, Csa02g005060, Csa08g052600, Csa08g052760, Csa13g055550, Csa02g004900, Csa02g005350, Csa13g055520, Csa08g052300, Csa02g005370, Csa13g055040, Csa08g052280, Csa13g055060, Csa08g052290
OG0000002	Bo8g030850	Csa14g041630, Csa06g013110
