Orthogroup	Brassica_oleracea	Arabidopsis_halleri
OG0000001	Bo3g017640	g10960
OG0000001	Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010	g20597
OG0000001	Bo1g017820, Bo1g055250	g21370
OG0000001	Bo3g062530	g05901, g05902
OG0000001	Bo3g065720	g00918
OG0000001	Bo8g035560	g09249
OG0000001	Bo3g185160	g27953
OG0000001	Bo04419s010	g05645
OG0000001	Bo6g094160	g19464
OG0000001	Bo7g005620	g09245, g09246, g09244, g09248, g20747
OG0000001	Bo4g139980	g31054
OG0000001	Bo1g152130, Bo1g152140, Bo1g152150	g17984
OG0000001	Bo5g151530	g09450, g09448
OG0000001	Bo7g085670	g20312
OG0000001	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	g14294, g20676, g20694, g18548, g15878, g30505, g09174, g09192, g09133, g09132
OG0000002	Bo2g085100, Bo2g085290, Bo1g040050, Bo3g088440, Bo2g130270, Bo4g094400, Bo8g097540, Bo8g094740, Bo4g117010, Bo2g062820, Bo1g122770	g26535, g31585, g16751
