Orthogroup	Thellungiella_parvula	Arabis_alpina
OG0000000	Sp5g15125.1, Sp5g15613.1	AALP_AA1G270500, AALP_AA8G282400, AALP_AA1G152400, AALP_AA4G150700
OG0000002	Sp5g15617.1	AALP_AAs55784U000100, AALP_AA5G187200, AALP_AA6G166300, AALP_AAs57751U000100, AALP_AAs66013U000100, AALP_AAs59294U000100
OG0000003	Sp3g18730.1	AALP_AA8G091400
OG0000005	Sp5g15895.1, Sp7g08835.1	AALP_AA8G388700
OG0000005	Sp7g32185.1, Sp2g09187.1	AALP_AA7G145400
OG0000005	Sp4g08985.1, Sp4g05365.1	AALP_AA6G125900
OG0000005	Sp3g27245.1	AALP_AA8G213400, AALP_AAs44667U000300
OG0000005	Sp6g06905.1	AALP_AA8G323700
OG0000006	Sp5g16870.1, Sp7g07780.1, Sp3g32180.1, Sp6g08085.1	AALP_AA8G430800
OG0000007	Sp4g05160.1	AALP_AA5G199200
OG0000011	Sp2g09300.1	AALP_AAs64007U000400
OG0000011	Sp7g20140.1	AALP_AA7G046500, AALP_AAs73230U000200
OG0000014	Sp6g09200.1	AALP_AA5G227700, AALP_AA5G228000
OG0000014	Sp5g04453.1	AALP_AA6G178800
OG0000014	Sp5g04460.1	AALP_AA5G228800
OG0000015	SpUn0002_0230.1	AALP_AA8G005400, AALP_AA8G254400
OG0000016	Sp7g11580.1	AALP_AA4G100300
OG0000016	Sp7g36980.1	AALP_AA7G266100
OG0000016	Sp6g26270.1	AALP_AA8G194900
OG0000016	Sp3g02810.1	AALP_AA3G031500, AALP_AAs63894U000200
OG0000016	Sp3g02800.1	AALP_AA3G033500, AALP_AA3G032900, AALP_AA3G031600, AALP_AAs63894U000100
OG0000016	Sp6g26260.1	AALP_AA8G195200, AALP_AA8G195500, AALP_AA8G193900
OG0000018	Sp7g00490.1	AALP_AA8G239800
OG0000018	Sp7g00350.1	AALP_AA6G316100
OG0000018	Sp2g00780.1	AALP_AA2G001700, AALP_AA2G002100, AALP_AA2G001800
OG0000018	Sp2g00920.1	AALP_AA3G061300, AALP_AA3G061400, AALP_AA3G060200, AALP_AA3G061500
OG0000019	Sp4g10470.1	AALP_AA4G041600
OG0000019	Sp1g38470.1, Sp1g38480.1	AALP_AA8G474600
OG0000019	Sp6g12470.1, Sp6g21340.1, Sp6g21350.1	AALP_AA8G391800, AALP_AA8G391600, AALP_AA8G392000
