Orthogroup	Brassica_rapa	Eutrema_salsugineum
OG0000000	Bra010778, Bra024668	EUTSA_v10029366mg, EUTSA_v10029355mg
OG0000001	Bra028463	EUTSA_v10002432mg
OG0000001	Bra017007	EUTSA_v10001923mg, EUTSA_v10002199mg
OG0000001	Bra033522	EUTSA_v10027008mg, EUTSA_v10012175mg
OG0000001	Bra034707, Bra022059	EUTSA_v10000829mg
OG0000001	Bra040666	EUTSA_v10012244mg, EUTSA_v10011360mg, EUTSA_v10012084mg
OG0000001	Bra027419	EUTSA_v10019835mg
OG0000001	Bra031407, Bra023019	EUTSA_v10007250mg
OG0000001	Bra004233	EUTSA_v10000445mg
OG0000001	Bra031262	EUTSA_v10020368mg
OG0000001	Bra025591	EUTSA_v10027103mg
OG0000001	Bra040143	EUTSA_v10012196mg, EUTSA_v10009889mg, EUTSA_v10009528mg, EUTSA_v10012915mg, EUTSA_v10007210mg
OG0000001	Bra036235, Bra036288	EUTSA_v10023179mg, EUTSA_v10028254mg, EUTSA_v10028534mg
OG0000003	Bra001667, Bra021255	EUTSA_v10002957mg
OG0000003	Bra038120, Bra041001	EUTSA_v10022377mg
OG0000003	Bra027212	EUTSA_v10027355mg
OG0000003	Bra027213	EUTSA_v10020932mg
OG0000003	Bra040098	EUTSA_v10015430mg, EUTSA_v10001129mg
OG0000003	Bra022455, Bra035754	EUTSA_v10022075mg, EUTSA_v10022091mg
OG0000003	Bra020991	EUTSA_v10027178mg
OG0000003	Bra018376	EUTSA_v10003097mg, EUTSA_v10002786mg, EUTSA_v10023095mg
OG0000003	Bra017242, Bra017228, Bra041044, Bra041045, Bra017247, Bra021512	EUTSA_v10000447mg, EUTSA_v10024142mg
OG0000003	Bra013220	EUTSA_v10002795mg, EUTSA_v10002868mg, EUTSA_v10002977mg, EUTSA_v10003090mg
OG0000003	Bra023823, Bra040006	EUTSA_v10023157mg, EUTSA_v10002915mg, EUTSA_v10003102mg, EUTSA_v10001844mg, EUTSA_v10022364mg, EUTSA_v10021950mg, EUTSA_v10022250mg, EUTSA_v10002939mg, EUTSA_v10000604mg, EUTSA_v10022145mg
OG0000003	Bra001883, Bra006968	EUTSA_v10003050mg, EUTSA_v10015770mg, EUTSA_v10015418mg, EUTSA_v10002911mg, EUTSA_v10003000mg, EUTSA_v10002981mg, EUTSA_v10002867mg, EUTSA_v10027013mg, EUTSA_v10017637mg
OG0000003	Bra028319	EUTSA_v10021918mg, EUTSA_v10022006mg
OG0000003	Bra022218, Bra016145, Bra014584	EUTSA_v10022401mg, EUTSA_v10003040mg, EUTSA_v10002999mg, EUTSA_v10002817mg
OG0000009	Bra035928, Bra005621	EUTSA_v10017934mg
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861	EUTSA_v10024234mg, EUTSA_v10024295mg, EUTSA_v10024211mg
OG0000011	Bra036413, Bra036417, Bra038872	EUTSA_v100028560mg, EUTSA_v10027056mg, EUTSA_v10019540mg, EUTSA_v10019468mg
OG0000011	Bra036799	EUTSA_v100028561mg, EUTSA_v10022545mg
OG0000012	Bra035329	EUTSA_v10000500mg
OG0000013	Bra007406	EUTSA_v10006464mg
OG0000013	Bra014211, Bra014075	EUTSA_v10012217mg, EUTSA_v10012070mg, EUTSA_v10012242mg
OG0000013	Bra034647	EUTSA_v10009610mg
OG0000013	Bra005085, Bra005082, Bra005083, Bra005080	EUTSA_v10009303mg, EUTSA_v10009630mg, EUTSA_v10009823mg
OG0000014	Bra003329, Bra003328	EUTSA_v10006412mg
OG0000014	Bra014088	EUTSA_v10012015mg, EUTSA_v10012179mg, EUTSA_v10012071mg, EUTSA_v10012142mg, EUTSA_v10011981mg, EUTSA_v10011998mg, EUTSA_v10011795mg, EUTSA_v10012069mg
OG0000014	Bra007387, Bra007389, Bra007388, Bra007386	EUTSA_v10028053mg
OG0000014	Bra014572	EUTSA_v10006437mg
OG0000014	Bra014575, Bra014574	EUTSA_v10010958mg
OG0000015	Bra032513, Bra016418	EUTSA_v10002835mg, EUTSA_v10002326mg, EUTSA_v10024129mg, EUTSA_v10029405mg, EUTSA_v10027466mg, EUTSA_v10000609mg, EUTSA_v10023819mg, EUTSA_v10023022mg, EUTSA_v10011157mg, EUTSA_v10011015mg, EUTSA_v10003494mg, EUTSA_v10019636mg
OG0000015	Bra032440, Bra020642	EUTSA_v10019721mg
OG0000016	Bra032736	EUTSA_v10027048mg
OG0000016	Bra033580	EUTSA_v10027066mg
OG0000016	Bra002122	EUTSA_v10015141mg
OG0000016	Bra023663	EUTSA_v10015121mg
OG0000016	Bra023654	EUTSA_v10002886mg
OG0000016	Bra002121	EUTSA_v10015858mg
OG0000016	Bra006432, Bra023656	EUTSA_v10015119mg, EUTSA_v10015118mg, EUTSA_v10015117mg
OG0000017	Bra033908	EUTSA_v10012370mg
OG0000017	Bra017982, Bra017983	EUTSA_v10010942mg, EUTSA_v10010425mg, EUTSA_v10011009mg, EUTSA_v10011080mg, EUTSA_v10011044mg
OG0000017	Bra034015, Bra034016	EUTSA_v10020859mg, EUTSA_v10022123mg, EUTSA_v10019461mg, EUTSA_v10019545mg, EUTSA_v10019719mg
OG0000017	Bra022876	EUTSA_v10017547mg
OG0000017	Bra002055, Bra036902, Bra036901	EUTSA_v10025406mg, EUTSA_v10027150mg
OG0000017	Bra035057	EUTSA_v10021999mg
OG0000018	Bra028499	EUTSA_v10028296mg
OG0000018	Bra025494	EUTSA_v10027631mg, EUTSA_v10027763mg
OG0000018	Bra036019	EUTSA_v10023155mg
OG0000018	Bra025467	EUTSA_v10028092mg
OG0000018	Bra032045	EUTSA_v10028059mg
OG0000018	Bra027778	EUTSA_v10023230mg
OG0000018	Bra027779	EUTSA_v10000509mg, EUTSA_v10000647mg, EUTSA_v10000695mg
OG0000019	Bra035657	EUTSA_v100177840mg, EUTSA_v10016342mg
OG0000019	Bra001827	EUTSA_v10020016mg
OG0000019	Bra030414	EUTSA_v10011228mg
OG0000019	Bra018933	EUTSA_v10011227mg, EUTSA_v10011248mg, EUTSA_v10011230mg
OG0000019	Bra020298	EUTSA_v10012629mg
OG0000019	Bra020303	EUTSA_v10012663mg
OG0000019	Bra020299	EUTSA_v10012638mg
OG0000019	Bra019608, Bra018213	EUTSA_v10003111mg
OG0000019	Bra033825	EUTSA_v10002794mg
OG0000019	Bra020918	EUTSA_v10024362mg
OG0000019	Bra028386	EUTSA_v10017766mg
OG0000019	Bra015587	EUTSA_v10006769mg, EUTSA_v10023262mg
OG0000019	Bra031584	EUTSA_v10006786mg
OG0000023	Bra003308	EUTSA_v10006469mg, EUTSA_v10006448mg
OG0000023	Bra024648, Bra024647	EUTSA_v10021998mg
OG0000023	Bra031743, Bra026587, Bra013543, Bra020901	EUTSA_v10010027mg
OG0000023	Bra006494	EUTSA_v10005403mg, EUTSA_v10017550mg
OG0000023	Bra009957, Bra009956	EUTSA_v10009459mg, EUTSA_v10012265mg, EUTSA_v10026946mg, EUTSA_v10007821mg, EUTSA_v10009873mg
OG0000023	Bra017173, Bra017172	EUTSA_v10021927mg, EUTSA_v100283121mg, EUTSA_v10017844mg
OG0000024	Bra027866	EUTSA_v10023235mg
OG0000024	Bra035424	EUTSA_v10023237mg, EUTSA_v10023945mg
OG0000024	Bra027843	EUTSA_v10023259mg
OG0000024	Bra013134	EUTSA_v10023289mg, EUTSA_v10023861mg
OG0000024	Bra005277, Bra040841, Bra040891, Bra037448	EUTSA_v10002442mg
OG0000024	Bra018448	EUTSA_v10012230mg
OG0000025	Bra004152, Bra004151	EUTSA_v10005269mg, EUTSA_v10005483mg, EUTSA_v10019338mg, EUTSA_v10019830mg, EUTSA_v10019422mg, EUTSA_v10019664mg, EUTSA_v10019601mg, EUTSA_v10019337mg, EUTSA_v10019426mg
OG0000029	Bra032780	EUTSA_v10027265mg, EUTSA_v10026908mg
OG0000029	Bra005753	EUTSA_v10013441mg
OG0000029	Bra011614	EUTSA_v10027555mg
OG0000029	Bra000175	EUTSA_v10015785mg
OG0000029	Bra009558	EUTSA_v10014018mg
OG0000031	Bra032036, Bra032049	EUTSA_v10000196mg
OG0000031	Bra023058	EUTSA_v10027789mg, EUTSA_v10028332mg, EUTSA_v10028223mg, EUTSA_v10028222mg, EUTSA_v10027798mg
OG0000031	Bra028194	EUTSA_v10012401mg
OG0000031	Bra002819	EUTSA_v10015524mg
OG0000031	Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	EUTSA_v10010416mg
OG0000032	Bra025543	EUTSA_v10027672mg
