Orthogroup	Thellungiella_parvula	Aethionema_arabicum
OG0000000	Sp5g15125.1, Sp5g15613.1	AA168G00040, AA98G00019
OG0000001	Sp7g01410.1	AA53G01007
OG0000001	Sp7g11380.1	AA76G00006, AA22G00021, AA54G00111, AA87G00273, AA54G00327, AA15G00172
OG0000002	Sp5g15617.1	AA34G00042, AA80G00008, AA141G00003, AA65G00003, AA6G00009, AA1077G00001, AA238G00004
OG0000003	Sp3g14050.1	AA439G00005
OG0000003	Sp7g11920.1, Sp3g17310.1	AA1028G00001, AA240G00010, AA439G00004, AA718G00001, AA240G00008
OG0000005	Sp5g15895.1	AA219G00010, AA73G00021, AA221G00007, AA571G00001, AA337G00004
OG0000005	Sp7g08835.1	AA229G00004, AA122G00010
OG0000005	Sp3g26670.1	AA106G00001, AA66G00024, AA90G00010, AA118G00049, AA1745G00001, AA134G00015, AA1105G00002, AA1105G00003, AA250G00003, AA35G00067, AA549G00004
OG0000005	Sp7g32185.1	AA503G00005, AA96G00008, AA48G00023, AA128G00005, AA48G00022, AA98G00005, AA188G00001, AA22G00074, AA61G00013, AA298G00001
OG0000005	Sp2g09187.1	AA2089G00001, AA37G00011, AA28G00031, AA271G00001, AA84G00014, AA149G00013, AA154G00006, AA47G00013, AA221G00006, AA282G00002, AA658G00002, AA282G00001, AA73G00020, AA32G01154, AA361G00006, AA496G00002, AA543G00002, AA83G00021, AA99G00017, AA41G00056, AA367G00004, AA73G00007, AA159G00001, AA246G00005, AA62G00062, AA69G00024, AA121G00008, AA23G00090
OG0000005	Sp4g09613.1, Sp5g19015.1	AA12G00024, AA1379G00002, AA150G00005, AA12G00023, AA1379G00003, AA210G00010, AA103G00020, AA302G00004, AA997G00001, AA75G00017, AA997G00002, AA2255G00001, AA363G00002, AA204G00011, AA99G00015, AA186G00004, AA164G00002, AA301G00002, AA301G00001, AA314G00001, AA575G00001, AA372G00001, AA102G00341, AA242G00004, AA634G00002, AA49G00052, AA388G00001, AA160G00008, AA3165G00001, AA281G00004, AA747G00001, AA479G00001, AA210G00009, AA309G00005, AA117G00003, AA143G00012, AA1166G00001, AA50G00031, AA65G00369, AA136G00001, AA104G00010, AA134G00009, AA305G00004, AA264G00004, AA511G00001, AA528G00003, AA264G00003, AA580G00002, AA102G00252, AA50G00023, AA104G00011, AA40G00021, AA52G00046, AA53G00835
OG0000005	Sp4g08985.1, Sp4g05365.1	AA305G00003
OG0000005	Sp1g32425.1	AA61G00479, AA205G00007, AA38G00084, AA59G00022, AA44G00064, AA283G00002, AA83G00025, AA224G00006, AA634G00005, AA163G00014, AA107G00005
