Orthogroup	Thellungiella_parvula	Arabidopsis_halleri
OG0000001	Sp7g16340.1	g21370
OG0000001	Sp7g01410.1	g21833
OG0000001	Sp7g11380.1	g09249
OG0000002	Sp5g15617.1	g26535, g31585, g16751, g23884, g29708, g00440, g11943, g15640, g22085, g08350, g03950, g18363
OG0000003	Sp3g14050.1	g16666
OG0000003	Sp3g18730.1	g11155, g11156, g11158
OG0000003	Sp3g17310.1	g21582, g21584, g21583, g22511, g21644, g22176
OG0000003	Sp3g21250.1	g16400, g16388, g16387, g16394
OG0000005	Sp5g15895.1, Sp7g08835.1	g23272, g26329
OG0000005	Sp3g26670.1	g30134
OG0000005	Sp5g19015.1	g16386, g25446
OG0000005	Sp4g08985.1, Sp4g05365.1	g06199
OG0000005	Sp1g32425.1, Sp2g07455.1, Sp1g31095.1	g14181
OG0000005	Sp3g27245.1	g13325
OG0000005	Sp6g06905.1	g00229, g25475
OG0000006	Sp6g08085.1	g14218, g05262, g20668
OG0000009	Sp7g19460.1, Sp6g08880.1	g18825, g12669, g28657, g10459, g21739, g03998, g18201, g30613
OG0000009	Sp4g10390.1	g31374, g28622, g22824, g17119, g26864, g23454, g27525, g30099, g19599, g00838, g26852, g31881, g30686, g25175, g12860, g27917, g00120, g00117, g14205, g22349, g29641, g02631, g24613, g13217, g06934, g26756, g28476, g15487, g22421, g27302, g14577, g23404, g25783, g27323, g01911, g06323, g19286, g05257, g08666, g22714
OG0000011	Sp2g09300.1	g23621
OG0000011	Sp7g20140.1	g21799
OG0000011	Sp3g23450.1	g17023
OG0000011	Sp3g29100.1	g21275
OG0000014	Sp5g04453.1	g16556
OG0000014	Sp5g04480.1	g16567
OG0000014	Sp5g04460.1	g16549
OG0000014	Sp5g04500.1	g16566
OG0000015	SpUn0004_0050.1	g29792, g03938, g16795
OG0000015	SpUn0002_0230.1	g05605, g08807, g10855, g07053, g18772, g13344, g07461, g00732, g27785, g07644, g14258, g21883, g26135, g14634, g23288, g28410, g20299, g31089, g17584, g18911
OG0000015	Sp7g02710.1, Sp1g01750.1, Sp7g01630.1	g27696, g06753, g18269, g21818, g18991, g15901, g20337, g05639, g10018, g15058, g29149, g22066, g30010, g12659, g00524, g07706, g18481, g18653, g18678, g24115, g26853
OG0000015	Sp3g26350.1	g29636, g24299
OG0000016	Sp4g00370.1, Sp4g00380.1	g02755
OG0000016	Sp3g02800.1	g06123
OG0000016	Sp6g26280.1, Sp6g26260.1	g13288, g13297, g13294, g13291, g13292, g13295
OG0000017	Sp1g27840.1	g18973
OG0000017	Sp5g12630.1	g22307, g22324, g22323
OG0000017	Sp3g17210.1	g24921
OG0000017	SpUn0074_0030.1	g17770
OG0000018	Sp7g00500.1	g27191
OG0000018	Sp2g00780.1	g22965
OG0000018	Sp2g00920.1	g22947
OG0000018	Sp2g00800.1	g22960
OG0000019	Sp3g19400.1	g11236
OG0000019	Sp1g38480.1	g28798, g28797, g28799
OG0000019	Sp6g21340.1	g10991, g10992
OG0000019	Sp6g21350.1	g10990
