Orthogroup	Arabidopsis_thaliana	Arabidopsis_halleri
OG0000001	AT4G01350, AT5G59920	g10960
OG0000001	AT5G22355	g11931
OG0000001	AT3G48400	g29034
OG0000001	AT3G46810	g12756
OG0000001	AT2G19660	g14246
OG0000001	AT2G04680, AT5G37620	g20597
OG0000001	AT4G13992	g21370
OG0000001	AT5G26190	g21833
OG0000001	AT2G17600	g22175
OG0000001	AT3G11402	g05901
OG0000001	AT3G11385	g05902
OG0000001	AT1G35610, AT3G13760	g00918
OG0000001	AT5G17960	g13302
OG0000001	AT3G59120, AT3G59130	g22887
OG0000001	AT5G42280, AT1G55380, AT1G55420, AT1G55430	g27953
OG0000001	AT2G02680, AT2G02620, AT2G02690, AT2G02700	g14659
OG0000001	AT2G02630, AT2G02610, AT2G02640	g14657
OG0000001	AT1G61840	g17752
OG0000001	AT5G02360, AT1G53340, AT2G13895	g19464
OG0000001	AT5G46670	g09245
OG0000001	AT5G46660	g09246
OG0000001	AT5G55800	g09248
OG0000001	AT3G26550	g20747
OG0000001	AT1G62030	g17780
OG0000001	AT5G03355	g11880
OG0000001	AT5G03360, AT4G26380	g31604
OG0000001	AT2G28460	g07091
OG0000001	AT3G26250, AT3G26240	g07090
OG0000001	AT3G50010	g22248
OG0000001	AT4G10560	g25323
OG0000001	AT5G40320	g31054
OG0000001	AT2G43220	g17984
OG0000001	AT5G54050	g09450
OG0000001	AT5G29624, AT5G54030, AT5G54040	g09448
OG0000001	AT3G07000	g11869
OG0000001	AT3G28650	g08680
OG0000001	AT5G42840	g22140
OG0000001	AT3G27510	g29992
OG0000001	AT3G27500	g29994
OG0000001	AT3G27480	g20578
OG0000001	AT3G27490	g29987
OG0000001	AT3G27473	g29988
OG0000001	AT3G45530	g29993
OG0000001	AT1G65180, AT1G69150, AT3G43890	g05450
OG0000001	AT4G11550	g14294
OG0000001	AT4G11390, AT4G11540	g20676, g20694
OG0000001	AT4G01910	g09174
OG0000001	AT4G01920, AT4G01930, AT4G01925	g09192
OG0000001	AT4G02180	g09133
OG0000001	AT4G02190	g09132
OG0000002	AT2G06555	g23884, g29708, g00440, g11943, g15640, g22085
OG0000003	AT2G17830, AT5G42460	g25002
OG0000003	AT3G16740	g06530
OG0000003	AT2G18780	g22662
OG0000003	AT3G17320	g16183
OG0000003	AT3G17620	g16146
OG0000003	AT3G24580	g20071, g20070
OG0000003	AT3G20400	g11099, g11113
OG0000003	AT3G23420	g27159
OG0000003	AT3G20700	g11155
OG0000003	AT3G20690	g11156
OG0000003	AT3G20710	g11158
OG0000003	AT3G14030	g06849
OG0000003	AT3G13680	g06905, g06903
OG0000003	AT3G25460	g23367, g23366, g23372, g23365
OG0000003	AT5G47300	g05979, g07821
OG0000003	AT3G18980	g21587
OG0000003	AT3G18320, AT2G07140, AT3G44120	g21582
OG0000003	AT3G18330	g21583
OG0000003	AT3G19410	g22511
OG0000003	AT3G18910, AT3G18905	g21644
OG0000003	AT3G22730	g22753, g22750
OG0000003	AT3G22350	g11358
OG0000003	AT2G04920	g16400
OG0000005	ATMG00810	g23272, g26329, g30134, g14640
OG0000005	AT4G23160	g06199
OG0000005	AT4G20220	g14181
OG0000006	AT4G29090	g11840
OG0000006	ATMG01250	g27499
OG0000006	ATMG00310	g22868
OG0000009	AT1G44941	g18825, g12669, g28657, g10459, g21739, g03998, g18201, g30613
OG0000009	AT5G18880	g15288, g07775, g27201
OG0000009	AT4G05095, AT1G34440	g31374, g28622, g22824, g17119
OG0000009	AT5G28615	g26864, g23454, g27525
OG0000009	AT4G04650, AT1G43730	g30099, g19599, g00838, g26852, g31881, g30686
OG0000009	AT5G16486, AT3G25727, AT2G02520	g25175, g12860, g27917, g00120, g00117, g14205, g22349, g29641, g02631, g24613, g13217, g06934, g26756
OG0000009	AT2G11035	g19286
OG0000011	AT5G44510	g23621
OG0000011	AT1G69550	g25193
OG0000011	AT5G38340	g20800
OG0000011	AT5G38350	g20799
OG0000011	AT3G25510	g26619
OG0000011	AT3G44670, AT3G44480, AT3G44630, AT3G44400	g26876, g26873, g29277
OG0000011	AT2G14080	g17023, g21275
OG0000011	AT3G04220	g27829
OG0000013	AT3G57590	g16635
OG0000013	AT3G57580	g16636
OG0000013	AT3G56890	g21165, g16460
OG0000013	AT2G23160	g26945, g14282
OG0000013	AT1G47340	g18998
OG0000013	AT1G47350	g18995
OG0000013	AT1G30925	g18845
OG0000013	AT1G31163, AT1G30930	g18846, g18849, g14824, g18851, g18848
OG0000013	AT1G67130	g23328
OG0000013	AT1G30920	g18841
OG0000013	AT5G42430	g18873
OG0000013	AT1G33020	g17628
