Orthogroup	Brassica_oleracea	Arabidopsis_lyrata
OG0000000	Bo4g191170, Bo2g094580	Al_scaffold_0009_6
OG0000000	Bo3g147530, Bo8g070570, Bo9g009860, Bo9g018810, Bo7g043400, Bo7g084130, Bo9g065420, Bo7g045270, Bo5g034250, Bo9g029540, Bo2g134740, Bo9g055990, Bo7g016140	fgenesh2_kg.6__1794__AT2G06550.1
OG0000000	Bo3g003570	fgenesh2_kg.7__3600__AT2G06550.1
OG0000000	Bo01233s020	fgenesh2_kg.1__2289__AT2G06550.1, fgenesh2_kg.1__4417__AT2G06550.1, fgenesh2_kg.4__835__AT2G06550.1, fgenesh2_kg.5__1255__AT2G06550.1, fgenesh2_kg.7__2996__AT2G06550.1
OG0000001	Bo9g027820, Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010, Bo4g190070, Bo4g190080	scaffold_703641.1
OG0000001	Bo6g024760, Bo5g076350	scaffold_104740.1
OG0000001	Bo6g094160	scaffold_801912.1
OG0000001	Bo7g005620	fgenesh1_pg.C_scaffold_5000407
OG0000001	Bo6g103930	scaffold_600060.1
OG0000001	Bo5g151530	fgenesh2_kg.5__341__AT3G25850.1
OG0000001	Bo7g085670	scaffold_603165.1
OG0000001	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	scaffold_703054.1
OG0000003	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480	fgenesh2_kg.3__1934__AT3G17570.1
OG0000003	Bo9g150290	fgenesh2_kg.3__1903__AT3G17270.1
OG0000003	Bo5g126690, Bo5g126710	fgenesh1_pg.C_scaffold_3001491
OG0000003	Bo3g058860	Al_scaffold_0004_1146
OG0000003	Bo02074s010, Bo00848s040	fgenesh2_kg.3__3553__AT2G18780.1
OG0000003	Bo3g068740, Bo3g068790	fgenesh2_kg.3__1917__AT3G17400.1
OG0000003	Bo01050s030	Al_scaffold_0003_1854
OG0000003	Bo1g053200, Bo9g164350, Bo1g053180	fgenesh1_pm.C_scaffold_1002986, scaffold_303016.1, fgenesh1_pg.C_scaffold_3002386, fgenesh1_pg.C_scaffold_3002461, fgenesh2_kg.3__1959__AT3G19470.1, fgenesh1_pg.C_scaffold_3001945, fgenesh2_kg.3__2249__AT3G20400.1, scaffold_302828.1
OG0000003	Bo3g085640, Bo3g085630	fgenesh1_pm.C_scaffold_672000001, scaffold_303014.1
OG0000003	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380	fgenesh2_kg.3__2296__AT3G20700.1, scaffold_302475.1, Al_scaffold_0003_2216, Al_scaffold_0003_2218, fgenesh2_kg.3__2298__AT3G20710.1
OG0000003	Bo4g186150, Bo4g186130	scaffold_301577.1, scaffold_301579.1
OG0000003	Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	scaffold_301600.1, scaffold_501511.1, scaffold_301489.1
OG0000003	Bo3g084010	scaffold_303138.1, scaffold_303136.1, fgenesh1_pg.C_scaffold_3002478, scaffold_303134.1
OG0000003	Bo3g071300	scaffold_302523.1
OG0000003	Bo3g081360	fgenesh1_pg.C_scaffold_3002173, scaffold_302718.1, scaffold_302674.1, Al_scaffold_0003_3703
OG0000003	Bo3g028700, Bo3g029810, Bo1g101700	fgenesh2_kg.3__2827__AT2G04920.1, scaffold_303273.1, scaffold_303274.1, scaffold_303295.1, scaffold_303285.1, scaffold_303294.1
OG0000005	Bo19419s010	fgenesh2_kg.3__3023__AT2G04470.1
OG0000006	Bo3g031360, Bo4g092660	Al_scaffold_0001_3480
OG0000007	Bo00870s010	fgenesh1_pg.C_scaffold_2000303
OG0000007	Bo06956s010, Bo6g026250, Bo9g150360, Bo6g098670, Bo00986s030, Bo01092s030	Al_scaffold_0004_728
OG0000009	Bo9g045300	scaffold_400377.1
OG0000009	Bo4g097110, Bo04990s010, Bo4g191090, Bo4g115300, Bo3g044550, Bo8g027470, Bo00947s030, Bo9g009820, Bo2g135990	scaffold_800855.1
OG0000009	Bo3g107920, Bo7g059380, Bo9g117660	Al_scaffold_0005_1407, scaffold_18800001.1
OG0000011	Bo3g153710, Bo1g103860, Bo8g050160, Bo3g151470, Bo3g153650, Bo3g153660, Bo8g050130, Bo8g050170	fgenesh2_kg.3__383__AT3G04210.1
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200	Al_scaffold_0007_1965
OG0000011	Bo9g171440, Bo3g007580, Bo9g059350, Bo3g006960, Bo3g006980, Bo3g006990	Al_scaffold_0006_1036
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	Al_scaffold_0007_3284, Al_scaffold_0005_1195, Al_scaffold_0005_1196, Al_scaffold_0001_5256, Al_scaffold_0001_5260, Al_scaffold_0003_2969
OG0000013	Bo8g092760	scaffold_502843.1
OG0000013	Bo8g020540	scaffold_104302.1
OG0000013	Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090	fgenesh2_kg.1__3838__AT1G47340.1, scaffold_104305.1
OG0000013	Bo3g168640	scaffold_103460.1
OG0000013	Bo5g088270	scaffold_103464.1, fgenesh1_pg.C_scaffold_1002771, fgenesh1_pg.C_scaffold_1002774, scaffold_103462.1, scaffold_103496.1, scaffold_103499.1, scaffold_603350.1, fgenesh1_pg.C_scaffold_1002792, fgenesh1_pg.C_scaffold_756000001, scaffold_103490.1, scaffold_103473.1, scaffold_103489.1, scaffold_400481.1, fgenesh2_kg.1__3436__AT1G33020.1, scaffold_103576.1
OG0000013	Bo1g024280	scaffold_103577.1
OG0000014	Bo6g074640	scaffold_503008.1, fgenesh2_kg.5__2272__AT3G58270.1
OG0000014	Bo4g108440	fgenesh2_kg.5__2264__AT3G58200.1, scaffold_303415.1, Al_scaffold_0005_1220, scaffold_501314.1, Al_scaffold_0005_1222, scaffold_501318.1
OG0000014	Bo4g108480	scaffold_503025.1
OG0000014	Bo6g074810, Bo4g108430	scaffold_105654.1, Al_scaffold_0001_5225
OG0000014	Bo8g092630	Al_scaffold_0005_2754
OG0000014	Bo04151s010, Bo6g074680, Bo6g074650	fgenesh2_kg.5__2279__AT3G58350.1
OG0000014	Bo3g173530	fgenesh1_pg.C_scaffold_1003133, Al_scaffold_0001_3598, fgenesh1_pm.C_scaffold_5000375
OG0000015	Bo3g101130, Bo01401s010, Bo01374s030, Bo1g006200, Bo9g003880, Bo2g048020, Bo1g011240, Bo7g081940, Bo7g043670, Bo9g169070, Bo7g084160, Bo5g122960, Bo2g044710, Bo6g003320, Bo6g077530, Bo3g149540, Bo7g012760, Bo8g066400, Bo09761s010, Bo6g079980, Bo4g151120, Bo5g082620, Bo8g092440, Bo2g146200, Bo6g098820, Bo7g107020, Bo8g079590, Bo6g116240, Bo1g117530, Bo3g026390, Bo3g034990, Bo7g091410, Bo5g002940, Bo5g018120, Bo2g134280, Bo8g101790, Bo6g027930, Bo7g056040, Bo7g062130, Bo7g108970	Al_scaffold_0001_5070, Al_scaffold_0002_571
OG0000015	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320, Bo00790s050	scaffold_104090.1, scaffold_501139.1, scaffold_500453.1
OG0000015	Bo3g107950	scaffold_704337.1
OG0000015	Bo8g059050, Bo8g017960	fgenesh1_pg.C_scaffold_251000003, Al_scaffold_0007_516
OG0000015	Bo6g065160	fgenesh1_pg.C_scaffold_1003140
OG0000016	Bo4g130720	fgenesh2_kg.7__2968__AT4G13790.1
OG0000016	Bo7g119570	scaffold_700077.1
OG0000016	Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160	scaffold_601873.1, fgenesh2_kg.6__1802__AT5G18060.1, scaffold_601870.1, scaffold_601864.1
OG0000017	Bo5g090520, Bo3g040540	scaffold_104276.1
OG0000017	Bo3g109560	scaffold_703952.1, scaffold_703951.1
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	scaffold_501934.1, scaffold_501943.1
OG0000017	Bo2g055560, Bo2g055540, Bo2g007040, Bo3g026550	fgenesh1_pg.C_scaffold_4001307
OG0000017	Bo4g177740, Bo4g177950, Bo4g188690, Bo4g177940, Bo4g178000, Bo4g177770, Bo1g104890, Bo5g131630, Bo4g177930, Bo4g177960, Bo4g178010, Bo4g177780, Bo4g179270, Bo4g177750, Bo4g177810, Bo5g003710, Bo4g195170, Bo4g169460, Bo4g178020	fgenesh2_kg.3__1146__AT3G10990.1, scaffold_302964.1
OG0000017	Bo1g057420	fgenesh1_pg.C_scaffold_4001340
OG0000017	Bo00944s010	scaffold_800573.1, fgenesh2_kg.8__2636__AT5G65850.1
OG0000018	Bo6g065250	Al_scaffold_0007_3497
OG0000018	Bo9g034060, Bo9g034120, Bo9g045310	Al_scaffold_0002_556
OG0000018	Bo9g029450, Bo9g034000, Bo9g029500	Al_scaffold_0002_102
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	fgenesh2_kg.2__106__AT1G63740.1, Al_scaffold_0002_117
OG0000018	Bo4g177630	Al_scaffold_0002_103
OG0000018	Bo9g034100	Al_scaffold_0002_105
OG0000018	Bo4g096860	fgenesh2_kg.3__3266__AT2G16870.1, Al_scaffold_0002_356, Al_scaffold_0001_5137
OG0000019	Bo3g017850, Bo3g017830, Bo2g025550, Bo2g025570, Bo3g017920, Bo2g025540, Bo9g139570, Bo9g140580, Bo3g017890, Bo2g026580, Bo9g140650	Al_scaffold_0008_2459
OG0000019	Bo6g118790, Bo3g131510	Al_scaffold_0005_1419
OG0000019	Bo4g065900	Al_scaffold_0109_2
OG0000019	Bo4g167990	scaffold_401359.1
OG0000023	Bo6g076430	scaffold_502955.1
OG0000023	Bo5g041310, Bo5g041300, Bo5g041270	fgenesh2_kg.6__997__AT5G10340.1
OG0000023	Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480	Al_scaffold_0005_616, Al_scaffold_0001_1132, fgenesh2_kg.1__1216__AT1G11270.2
OG0000023	Bo7g003450, Bo1g118830, Bo8g027420, Bo9g151810, Bo9g151800	Al_scaffold_0004_826
OG0000023	Bo7g093630	Al_scaffold_0005_1428, Al_scaffold_0001_4470, fgenesh2_kg.1__1019__AT1G09650.1, Al_scaffold_0001_1268, Al_scaffold_0006_1537, Al_scaffold_0001_3061
OG0000024	Bo9g148170	Al_scaffold_0006_2144
OG0000024	Bo1g087950, Bo9g048820	Al_scaffold_0001_5139, Al_scaffold_0002_658, Al_scaffold_0002_643
OG0000024	Bo9g008940, Bo1g090360	fgenesh2_kg.2__481__AT1G59620.1
OG0000024	Bo3g087240	Al_scaffold_0002_659, Al_scaffold_0008_1119, Al_scaffold_0002_577
OG0000025	Bo9g085730, Bo9g085780, Bo9g085770, Bo9g085750, Bo9g085760, Bo9g085740, Bo9g086860, Bo9g086870, Bo9g086850	scaffold_800953.1, scaffold_800808.1, scaffold_800810.1, fgenesh2_kg.474__9__AT5G42955.1, fgenesh2_kg.474__14__AT5G42957.1, scaffold_800809.1, scaffold_58500002.1, fgenesh2_kg.585__1__AT5G42955.1, scaffold_47400001.1, fgenesh2_kg.8__538__AT5G42955.1, fgenesh1_pm.C_scaffold_1006000001, scaffold_800803.1, scaffold_800804.1, scaffold_800805.1, scaffold_800806.1, fgenesh2_kg.8__562__AT5G42955.1
OG0000026	Bo1g081390, Bo6g026270	scaffold_503287.1
OG0000029	Bo6g087940	scaffold_600231.1
OG0000029	Bo7g009860, Bo3g002060	Al_scaffold_0006_180
OG0000029	Bo14002s010	fgenesh1_pg.C_scaffold_1004450
OG0000029	Bo4g025430	fgenesh1_pm.C_scaffold_380000002, scaffold_402687.1, fgenesh1_pm.C_scaffold_1003160, Al_scaffold_0001_4310, Al_scaffold_0004_2617, Al_scaffold_0108_6, fgenesh1_pm.C_scaffold_1000404
OG0000029	Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280	fgenesh1_pg.C_scaffold_6000171, fgenesh1_pg.C_scaffold_6000172, Al_scaffold_0006_194
OG0000029	Bo9g183270	fgenesh2_kg.6__203__AT5G02910.1
OG0000030	Bo5g088340	fgenesh2_kg.2__172__AT1G63320.1, fgenesh2_kg.2__192__AT1G63320.1
OG0000031	Bo6g042410, Bo5g081350, Bo4g137360, Bo3g025250	fgenesh2_kg.315__1__AT5G38580.1, fgenesh2_kg.7__3542__AT5G38580.1
OG0000032	Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400	scaffold_201476.1
OG0000033	Bo9g028510, Bo4g142510, Bo9g037090, Bo1g094260, Bo9g037120	fgenesh1_pg.C_scaffold_2000218
OG0000033	Bo8g062680, Bo6g010640	scaffold_101347.1, fgenesh1_pm.C_scaffold_1001035
OG0000033	Bo5g017050, Bo5g016990, Bo8g108270, Bo8g107600	fgenesh1_pg.C_scaffold_1001079, scaffold_101336.1
OG0000033	Bo9g042300	scaffold_200473.1
OG0000033	Bo5g017080	fgenesh1_pm.C_scaffold_4000698
OG0000035	Bo07619s010	Al_scaffold_0008_911
OG0000037	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130	fgenesh1_pm.C_scaffold_4001519
OG0000037	Bo1g116200	fgenesh1_pg.C_scaffold_3001782
OG0000037	Bo5g117040	fgenesh1_pg.C_scaffold_3001782
OG0000037	Bo1g116200	fgenesh2_kg.1__4019__AT1G49240.1
OG0000037	Bo5g117040	fgenesh2_kg.1__4019__AT1G49240.1
OG0000037	Bo5g134740	fgenesh2_kg.3__1268__AT3G12110.1
OG0000037	Bo3g018230, Bo3g117300	fgenesh2_kg.5__1015__AT3G46520.1, fgenesh2_kg.8__1881__AT5G59370.1
OG0000037	Bo6g049540, Bo6g049530, Bo9g173750, Bo3g005290, Bo2g009550	fgenesh2_kg.6__937__AT5G09810.1
OG0000038	Bo9g008050	fgenesh2_kg.1__4731__AT1G55030.1
OG0000038	Bo5g049130	fgenesh2_kg.5__1496__AT3G51530.1
OG0000038	Bo4g161340, Bo4g161360, Bo4g197420	fgenesh2_kg.5__1273__AT2G04230.1
OG0000039	Bo7g104540	fgenesh2_kg.7__1977__AT4G23210.2
OG0000039	Bo6g048250, Bo1g031850, Bo3g165690, Bo3g165700, Bo1g031830, Bo7g108650	Al_scaffold_0007_1833
OG0000039	Bo3g084330	Al_scaffold_0007_1825, fgenesh2_kg.7__1976__AT4G23220.1
OG0000039	Bo1g033180	Al_scaffold_0007_1831, fgenesh2_kg.6__3108__AT4G11460.1
OG0000039	Bo9g092570	Al_scaffold_0006_3320
OG0000039	Bo2g155630	fgenesh2_kg.6__3109__AT4G11480.1, Al_scaffold_0006_3317
OG0000040	Bo7g042340, Bo5g064350, Bo1g139480	scaffold_301404.1
OG0000040	Bo4g139760, Bo4g151230	fgenesh2_kg.4__225__AT2G22980.2
OG0000040	Bo8g100760	scaffold_400259.1
OG0000040	Bo5g137400, Bo4g139150	fgenesh2_kg.3__1078__AT3G10450.1
OG0000040	Bo6g116690, Bo6g087890, Bo6g087850	fgenesh2_kg.2__1589__AT1G73270.1
OG0000042	Bo6g076130, Bo1g116040, Bo4g025310, Bo02116s010	Al_scaffold_0005_2828
OG0000042	Bo8g100100, Bo3g026620	Al_scaffold_0005_2819
OG0000043	Bo3g134260	fgenesh1_pg.C_scaffold_5001209
OG0000043	Bo4g045680	scaffold_801444.1
OG0000043	Bo9g151860, Bo3g015190	fgenesh2_kg.6__2087__AT5G20480.1
OG0000043	Bo3g052730, Bo5g115120, Bo4g038950	scaffold_401127.1
OG0000044	Bo3g134070	fgenesh2_kg.5__1064__AT3G46950.1
OG0000044	Bo4g090390, Bo1g098790	fgenesh2_kg.2__266__AT1G61990.1
OG0000044	Bo01976s010, Bo9g040770, Bo9g040790, Bo4g091420, Bo1g098770	scaffold_200344.1, scaffold_200354.1, scaffold_200374.1, scaffold_201141.1, fgenesh1_pg.C_scaffold_2000271, scaffold_200357.1
OG0000044	Bo4g107670, Bo4g091490	scaffold_200349.1
OG0000045	Bo1g034330, Bo1g034430	fgenesh2_kg.5__957__AT3G45860.1
OG0000045	Bo7g108510	Al_scaffold_0007_1835
OG0000045	Bo3g165780	fgenesh2_kg.7__1981__AT4G23130.2
OG0000045	Bo7g108570, Bo7g108550, Bo1g033170, Bo8g030610	fgenesh2_kg.7__1979__AT4G23180.1
OG0000046	Bo3g154220, Bo7g117810	Al_scaffold_0007_426
OG0000046	Bo8g081460	fgenesh2_kg.5__1501__AT3G51570.1
OG0000046	Bo9g061260	Al_scaffold_0008_410, Al_scaffold_0008_344, Al_scaffold_0008_346, scaffold_800382.1, scaffold_800453.1, fgenesh2_kg.8__291__AT5G45060.1, Al_scaffold_0008_349, scaffold_800359.1
OG0000046	Bo3g012820	Al_scaffold_0006_1701
OG0000046	Bo9g061330	Al_scaffold_0008_371, scaffold_800401.1
OG0000046	Bo3g027680	fgenesh1_pm.C_scaffold_4000305
OG0000046	Bo3g027690	scaffold_400468.1
OG0000046	Bo2g126920	Al_scaffold_0008_351
OG0000047	Bo8g092120, Bo4g064660, Bo8g081170, Bo9g148090, Bo9g084480, Bo12113s010, Bo6g049520, Bo6g039810, Bo7g026820, Bo7g026860, Bo1g053190, Bo6g018250, Bo4g045990, Bo3g153580, Bo2g100730, Bo3g151510, Bo6g094420, Bo9g076400, Bo1g098750, Bo5g128810, Bo6g033260, Bo6g056150, Bo3g143520, Bo9g062700, Bo7g037660, Bo3g100950, Bo9g043990, Bo5g122930, Bo5g122920, Bo5g082540, Bo5g125030, Bo1g102020, Bo7g062120, Bo8g021870, Bo6g110370, Bo5g041520, Bo6g048130, Bo7g104720, Bo8g002880, Bo4g043750, Bo5g103580, Bo7g080070, Bo9g123720, Bo4g021720, Bo4g112980, Bo5g010760, Bo5g049510, Bo2g045920, Bo4g106240, Bo3g044820, Bo2g025280, Bo6g029200, Bo13785s010, Bo7g014490, Bo3g117330, Bo2g085190, Bo3g099240, Bo10218s010, Bo9g092750, Bo5g115160, Bo9g059130, Bo3g054780, Bo2g138570, Bo9g175220, Bo4g149690, Bo5g118440, Bo5g136780, Bo1g051100, Bo7g090990, Bo00923s030, Bo5g017180, Bo7g038990, Bo3g052660, Bo5g072410, Bo3g084140, Bo3g084130, Bo2g130170, Bo5g048700, Bo2g068420, Bo2g112900, Bo5g049500, Bo6g104060, Bo1g025500, Bo01073s010, Bo7g010130, Bo3g122150, Bo4g188540, Bo3g181170, Bo00883s090, Bo5g027870, Bo2g049400, Bo9g152150, Bo6g056110, Bo4g137260, Bo18661s010, Bo6g041120, Bo4g182220, Bo5g082580, Bo15892s010, Bo7g094870, Bo7g065700, Bo5g057020, Bo6g068330, Bo09555s010, Bo8g054670, Bo5g105030, Bo8g023000, Bo1g122860, Bo2g094940, Bo4g116930, Bo2g105100, Bo2g105090, Bo3g045690, Bo5g132660, Bo8g051050, Bo3g128740, Bo3g107430, Bo15803s010, Bo3g107420, Bo25235s010, Bo9g021520	fgenesh1_pg.C_scaffold_1004379
OG0000050	Bo6g086210	fgenesh2_kg.6__1062__AT5G10980.1
OG0000050	Bo1g003080	fgenesh2_kg.6__1062__AT5G10980.1
OG0000050	Bo3g006860	fgenesh2_kg.6__1062__AT5G10980.1
OG0000050	Bo2g149830	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	Bo2g009840	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	Bo9g058450	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	Bo9g018640	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	Bo9g172190	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	Bo4g127090	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	Bo2g149830	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	Bo2g009840	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	Bo9g058450	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	Bo9g018640	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	Bo9g172190	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	Bo4g127090	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	Bo2g149830	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	Bo2g009840	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	Bo9g058450	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	Bo9g018640	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	Bo9g172190	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	Bo4g127090	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	Bo2g149830	scaffold_105618.1
OG0000050	Bo2g009840	scaffold_105618.1
OG0000050	Bo9g058450	scaffold_105618.1
OG0000050	Bo9g018640	scaffold_105618.1
OG0000050	Bo9g172190	scaffold_105618.1
