Orthogroup	Capsella_rubella	Brassica_oleracea
OG0000001	Carub.0002s1199.1.p, Carub.0002s1198.1.p, Carub.0008s2051.1.p	Bo3g017640
OG0000001	Carub.0007s3277.1.p, Carub.0007s3278.1.p	Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010
OG0000001	Carub.0007s2565.1.p	Bo3g027900
OG0000001	Carub.0007s2842.1.p	Bo1g017820, Bo1g055250
OG0000001	Carub.0003s1069.1.p	Bo3g062530
OG0000001	Carub.0001s3932.1.p	Bo6g024760, Bo5g076350
OG0000001	Carub.0005s1168.1.p	Bo4g038580, Bo4g183280
OG0000001	Carub.0008s1615.1.p, Carub.0005s0454.1.p	Bo7g005620
OG0000001	Carub.0001s3077.1.p	Bo4g096760
OG0000001	Carub.0005s0561.1.p	Bo9g027360
OG0000001	Carub.0006s0035.1.p	Bo6g103930
OG0000001	Carub.0003s2117.1.p	Bo5g103520
OG0000001	Carub.0007s3532.1.p	Bo4g139980
OG0000001	Carub.0001s0262.1.p	Bo1g152130, Bo1g152140, Bo1g152150
OG0000001	Carub.0008s0350.1.p, Carub.0007s2711.1.p	Bo5g151530
OG0000001	Carub.0006s3058.1.p, Carub.0006s3056.1.p, Carub.0006s3059.1.p, Carub.0006s3031.1.p, Carub.0006s3032.1.p, Carub.0006s3030.1.p, Carub.0006s2817.1.p, Carub.0007s2741.1.p, Carub.0006s3498.1.p, Carub.0006s3499.1.p, Carub.0006s3544.1.p	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560
OG0000002	Carub.0005s0847.1.p	Bo6g084960, Bo4g173490, Bo8g102470, Bo5g128890, Bo7g101230, Bo8g090930, Bo9g120250, Bo4g112940, Bo6g094490, Bo1g048270, Bo2g131750, Bo01596s030, Bo5g023640, Bo3g022090, Bo5g017920, Bo4g056280, Bo8g001140, Bo5g062500, Bo7g039120, Bo9g084430, Bo3g003580, Bo26202s010, Bo3g147680, Bo1g101570, Bo1g028530, Bo6g008140, Bo9g078440, Bo6g008150, Bo4g173520, Bo2g111780, Bo5g030780
OG0000002	Carub.0004s1930.1.p	Bo8g030850
