Orthogroup	Brassica_rapa	Camelina_sativa
OG0000000	Bra010157	Csa06g024460
OG0000001	Bra020274	Csa11g093820, Csa11g093830, Csa08g047230, Csa02g065750, Csa11g093790
OG0000001	Bra001113	Csa11g093810
OG0000001	Bra017007	Csa19g049210, Csa00441s210
OG0000001	Bra033522	Csa12g060100, Csa10g032720
OG0000001	Bra034707, Bra022059	Csa15g017930
OG0000001	Bra040666	Csa03g056170, Csa03g056180, Csa17g088000, Csa03g056160
OG0000001	Bra030863, Bra030864	Csa16g044820, Csa17g095200, Csa14g067300, Csa17g095270
OG0000001	Bra027419	Csa12g018010
OG0000001	Bra012410	Csa20g032520, Csa08g014380, Csa13g023480
OG0000001	Bra004233	Csa20g001620, Csa13g001400, Csa08g063150, Csa20g001630, Csa08g063140
OG0000001	Bra004142	Csa17g059770
OG0000001	Bra031262	Csa15g031520, Csa01g024250, Csa19g029160, Csa01g024230
OG0000001	Bra025591	Csa10g047330, Csa11g057460, Csa12g079770
OG0000001	Bra040143	Csa03g004600, Csa14g004550
OG0000001	Bra040595	Csa02g051650, Csa11g036870, Csa00506s160
OG0000001	Bra036235, Bra036288	Csa02g019960, Csa08g043750, Csa02g020200, Csa13g048550, Csa02g020030, Csa08g037520, Csa08g037510, Csa02g028300, Csa13g043650, Csa12g056940, Csa02g005060, Csa08g052600, Csa08g052760, Csa13g055550, Csa02g004900, Csa02g005350, Csa13g055520, Csa08g052300, Csa02g005370, Csa13g055040, Csa08g052280, Csa13g055060, Csa08g052290
OG0000002	Bra010158	Csa17g090350
OG0000003	Bra001667, Bra021255	Csa15g023770, Csa01g020240, Csa19g024700, Csa19g024690
OG0000003	Bra038120, Bra041001	Csa04g028970
OG0000003	Bra027212	Csa01g018650, Csa15g020760
OG0000003	Bra027213	Csa09g048840
OG0000003	Bra001142	Csa20g028990, Csa13g022270
OG0000003	Bra040098	Csa15g050310, Csa15g030590, Csa19g028250, Csa19g024970, Csa15g024090, Csa01g020520, Csa15g016900
OG0000003	Bra022455, Bra035754	Csa15g031050, Csa19g028680, Csa01g023780, Csa01g023760, Csa19g028670, Csa01g023750, Csa15g031040, Csa15g031060
OG0000003	Bra022464	Csa15g030570, Csa08g043000, Csa15g029150
OG0000003	Bra021512	Csa01g016180, Csa15g018010, Csa19g019300, Csa06g019970, Csa04g028930, Csa09g041290, Csa19g019000, Csa15g017760, Csa01g015970
OG0000003	Bra013220	Csa01g031370, Csa14g034620, Csa15g054160, Csa19g039310
OG0000003	Bra034129	Csa01g022480, Csa19g026980, Csa01g011470, Csa19g014240, Csa16g053850, Csa09g096690
OG0000003	Bra015026, Bra011342	Csa01g030260
OG0000003	Bra001883	Csa15g039390, Csa15g040400, Csa19g031970, Csa19g031980, Csa01g025950, Csa19g031960, Csa14g063900, Csa17g093720, Csa17g093710, Csa01g025960, Csa01g025970, Csa15g040430
OG0000003	Bra006968	Csa02456s010
OG0000003	Bra028319	Csa15g039380, Csa15g057100, Csa15g057120, Csa07688s010, Csa01g036780, Csa20g017830, Csa01g036750, Csa15g057110
OG0000007	Bra033888, Bra033371, Bra021314, Bra026883	Csa20g073340
OG0000007	Bra037026	Csa04g033470
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861	Csa12g036160
OG0000011	Bra027510, Bra006095, Bra006556, Bra006094, Bra006146, Bra006093	Csa13g014040, Csa20g016690, Csa08g002380, Csa20g016680, Csa13g013990
OG0000011	Bra036413, Bra036417, Bra038872	Csa01g031700, Csa12g084390, Csa04g024310, Csa09g034510, Csa09g034500, Csa05g018420, Csa09g050290, Csa09g050260, Csa06g017220, Csa04g024330, Csa09g085130, Csa11g034840, Csa05g036920, Csa19g006030, Csa09g050230
OG0000013	Bra007406	Csa06g025910, Csa04g044080, Csa09g070070, Csa04g044060, Csa09g070060, Csa06g033310, Csa04g044050, Csa16g032320, Csa07g037620, Csa09g072030
OG0000013	Bra014047	Csa14g051210
OG0000013	Bra014211, Bra014075	Csa03g051060
OG0000013	Bra034647	Csa03g034320, Csa17g047400
OG0000013	Bra013538	Csa03g036510, Csa17g050510
OG0000014	Bra003329, Bra003328	Csa09g070910, Csa06g034100
OG0000014	Bra014088	Csa01g037980, Csa15g057320, Csa19g040380, Csa01g037960
OG0000014	Bra007387, Bra007389, Bra007388, Bra007386	Csa09g071000, Csa06g034200
OG0000014	Bra014572	Csa04g044940
OG0000014	Bra007392	Csa04g044920
OG0000014	Bra007390	Csa04g044860, Csa09g070930, Csa06g034150
OG0000014	Bra014575, Bra014574	Csa04g044890, Csa09g070980
OG0000014	Bra003330	Csa09g070970, Csa06g034170, Csa04g044880
OG0000015	Bra023133, Bra005292, Bra038808, Bra004304	Csa18g009210
OG0000016	Bra032736	Csa00382s030, Csa12g061670
OG0000016	Bra033580	Csa12g001650, Csa10g001570, Csa11g001750
OG0000016	Bra002122	Csa13g020940, Csa08g010480, Csa20g026370, Csa08g029840
