Orthogroup	Thellungiella_parvula	Capsella_rubella
OG0000001	Sp7g16340.1	Carub.0007s2842.1.p
OG0000001	Sp2g04140.1	Carub.0001s3557.1.p, Carub.0004s2223.1.p
OG0000001	Sp4g05840.1, SpUn0059_0030.1, Sp3g32270.1	Carub.0005s0561.1.p
OG0000001	Sp3g19190.1	Carub.0003s2117.1.p
OG0000002	Sp5g15617.1	Carub.0005s0847.1.p, Carub.0004s1930.1.p, Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p, Carub.0005s0926.1.p, Carub.0005s0911.1.p, Carub.0001s3357.1.p, Carub.0001s4114.1.p, Carub.0008s0718.1.p, Carub.0004s0664.1.p, Carub.0007s3064.1.p, Carub.0007s3066.1.p, Carub.0003s1041.1.p, Carub.0008s0770.1.p, Carub.0001s3179.1.p, Carub.0007s3111.1.p, Carub.0007s3077.1.p, Carub.0001s3377.1.p, Carub.0002s0950.1.p
OG0000003	Sp3g22340.1	Carub.0003s1727.1.p
OG0000003	Sp3g18730.1	Carub.0003s2067.1.p
OG0000003	Sp3g17310.1	Carub.0003s1874.1.p, Carub.0003s2707.1.p
OG0000003	Sp4g16570.1	Carub.0003s2110.1.p
OG0000003	Sp3g21250.1	Carub.0003s2657.1.p, Carub.0003s2655.1.p, Carub.0003s2666.1.p, Carub.0003s2730.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p
OG0000003	Sp3g15660.1	Carub.0006s2841.1.p
OG0000005	Sp3g27245.1	Carub.0006s2630.1.p
OG0000007	Sp1g31770.1	Carub.0013s0008.1.p
OG0000007	Sp4g05160.1	Carub.0005s1781.1.p
OG0000007	SpUn0003_0370.1	Carub.0004s0617.1.p
OG0000009	Sp7g19460.1, Sp6g08880.1	Carub.0005s1087.1.p
OG0000009	Sp4g10390.1	Carub.0005s2988.1.p, Carub.0006s0619.1.p, Carub.0003s3092.1.p, Carub.0001s4199.1.p, Carub.0003s2082.1.p, Carub.0002s0853.1.p, Carub.0003s2835.1.p, Carub.0002s1832.1.p, Carub.0006s1986.1.p, Carub.0005s2375.1.p
OG0000011	Sp3g23450.1	Carub.0001s3553.1.p
OG0000014	Sp5g04453.1	Carub.0005s2513.1.p
OG0000016	Sp7g11580.1	Carub.0007s2867.1.p
OG0000016	Sp7g36980.1	Carub.0007s0071.1.p
OG0000016	Sp4g00370.1, Sp4g00380.1	Carub.0007s0068.1.p
OG0000016	Sp6g26270.1	Carub.0006s1634.1.p
OG0000016	Sp3g02810.1	Carub.0003s0300.1.p
OG0000016	Sp6g26280.1, Sp6g26260.1	Carub.0006s1637.1.p, Carub.0006s1628.1.p, Carub.0006s1623.1.p, Carub.0006s1622.1.p, Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p
OG0000017	Sp1g27840.1	Carub.0001s3582.1.p
OG0000017	Sp5g12630.1	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p
OG0000017	SpUn0074_0030.1	Carub.0002s0292.1.p, Carub.0006s2775.1.p, Carub.0006s2776.1.p, Carub.0002s0293.1.p
OG0000018	Sp7g00350.1	Carub.0007s3372.1.p
OG0000018	Sp2g00920.1	Carub.0002s0109.1.p
OG0000018	Sp2g00800.1	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p
OG0000019	Sp4g10470.1	Carub.0001s3825.1.p
OG0000019	Sp3g19400.1	Carub.0002s1143.1.p, Carub.0003s2137.1.p
OG0000019	Sp1g38480.1	Carub.0001s4075.1.p, Carub.0001s4074.1.p
OG0000019	Sp6g21330.1	Carub.0008s2030.1.p
OG0000019	Sp4g11820.1	Carub.0004s1000.1.p
OG0000019	Sp4g11770.1	Carub.0004s0997.1.p, Carub.0004s0995.1.p
OG0000019	Sp4g11810.1	Carub.0004s0999.1.p
OG0000019	Sp1g34570.1	Carub.0001s0687.1.p, Carub.0001s0688.1.p
OG0000023	Sp1g27610.1	Carub.0001s2993.1.p
OG0000024	Sp6g22630.1	Carub.0006s2051.1.p
OG0000024	Sp2g05350.1	Carub.0002s0611.1.p, Carub.0002s0613.1.p, Carub.0002s0598.1.p, Carub.0002s0610.1.p, Carub.0002s1052.1.p, Carub.0002s1045.1.p, Carub.0002s1050.1.p, Carub.0002s1047.1.p, Carub.0002s1055.1.p
OG0000024	Sp2g04940.1, Sp2g04960.1	Carub.0002s0583.1.p
OG0000024	Sp3g23090.1	Carub.0002s0811.1.p
OG0000025	Sp4g07220.1	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p, Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p
OG0000029	Sp2g05870.1, SpUn0028_0070.1	Carub.0006s0172.1.p
OG0000029	Sp6g39690.1	Carub.0006s0171.1.p
OG0000030	Sp2g01710.1	Carub.0002s0148.1.p
OG0000031	Sp7g03460.1	Carub.0006s2905.1.p
OG0000031	SpUn0035_0040.1, Sp1g38380.1, Sp7g03360.1, Sp7g03470.1	Carub.0007s3593.1.p, Carub.0007s3733.1.p, Carub.0007s3726.1.p
OG0000031	Sp6g18230.1, Sp5g07520.1	Carub.0005s2152.1.p
OG0000032	Sp7g03870.1	Carub.0005s1268.1.p
OG0000032	Sp7g03860.1	Carub.0005s1261.1.p
OG0000032	Sp5g21900.1	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p
OG0000032	Sp7g15830.1	Carub.0007s2307.1.p
OG0000033	Sp2g03980.1	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p
OG0000033	Sp1g10900.1	Carub.0001s1197.1.p
OG0000037	Sp5g08630.1	Carub.0005s2033.1.p
OG0000037	Sp4g19980.1	Carub.0005s2033.1.p
OG0000037	Sp5g08630.1	Carub.0004s1955.1.p
OG0000037	Sp4g19980.1	Carub.0004s1955.1.p
OG0000037	Sp3g16870.1	Carub.0003s1860.1.p, Carub.0001s3843.1.p
OG0000037	Sp4g24310.1	Carub.0004s2443.1.p, Carub.0004s2444.1.p
OG0000037	Sp3g10340.1	Carub.0003s1145.1.p
OG0000037	Sp6g21050.1	Carub.0005s1279.1.p
OG0000037	Sp6g33600.1	Carub.0006s0823.1.p
OG0000038	Sp4g09920.1	Carub.0005s1519.1.p, Carub.0005s1521.1.p, Carub.0005s1520.1.p, Carub.0008s0938.1.p, Carub.0008s0939.1.p, Carub.0005s1522.1.p, Carub.0001s3364.1.p
OG0000039	Sp6g06040.1	Carub.0006s3049.1.p
OG0000039	Sp7g21220.1	Carub.0007s1792.1.p
OG0000039	Sp6g05970.1	Carub.0006s3044.1.p, Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p
OG0000040	Sp1g26630.1	Carub.0003s1159.1.p
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	Carub.0004s0220.1.p
OG0000040	Sp3g08720.1	Carub.0003s0966.1.p, Carub.0003s2578.1.p
OG0000040	SpUn0245_0010.1	Carub.0002s2006.1.p
OG0000041	Sp7g09260.1, Sp1g16530.1, Sp3g28380.1	Carub.0008s0594.1.p, Carub.0007s3055.1.p, Carub.0007s3157.1.p, Carub.0007s3143.1.p, Carub.0004s0616.1.p, Carub.0007s3038.1.p, Carub.0004s0523.1.p, Carub.0001s1088.1.p, Carub.0003s2750.1.p, Carub.0003s2772.1.p, Carub.0008s1087.1.p
OG0000042	Sp5g03990.1	Carub.0005s2560.1.p
OG0000042	Sp5g03860.1	Carub.0005s2565.1.p
OG0000043	Sp6g23980.1	Carub.0219s0002.1.p, Carub.0006s1881.1.p
OG0000043	Sp1g34070.1	Carub.0005s1366.1.p
OG0000044	Sp5g14790.1	Carub.0005s1317.1.p
OG0000044	Sp2g02570.1	Carub.0002s0305.1.p
OG0000044	Sp2g02100.1, Sp2g02560.1, Sp2g02600.1	Carub.0002s0291.1.p, Carub.0002s0311.1.p
OG0000045	Sp7g21200.1	Carub.0007s1803.1.p
OG0000045	Sp1g30740.1	Carub.0007s1796.1.p
OG0000046	Sp2g10150.1	Carub.0004s0374.1.p
OG0000046	Sp2g10140.1	Carub.0004s0373.1.p
OG0000046	Sp2g10100.1	Carub.0007s2929.1.p
OG0000046	Sp2g10070.1	Carub.0006s2909.1.p
OG0000050	Sp7g35840.1	Carub.0007s0200.1.p
OG0000050	Sp7g35830.1	Carub.0007s0200.1.p
OG0000050	Sp7g35840.1	Carub.0007s0201.1.p
OG0000050	Sp7g35830.1	Carub.0007s0201.1.p
OG0000050	Sp7g35840.1	Carub.0002s2245.1.p
OG0000050	Sp7g35830.1	Carub.0002s2245.1.p
OG0000050	Sp7g35840.1	Carub.0006s0948.1.p
OG0000050	Sp7g35830.1	Carub.0006s0948.1.p
OG0000050	Sp6g33050.1	Carub.0005s0567.1.p
OG0000050	Sp6g33060.1	Carub.0005s0567.1.p
OG0000050	Sp2g05210.1	Carub.0005s0567.1.p
OG0000050	Sp2g06530.1	Carub.0005s0567.1.p
OG0000050	Sp1g07810.1	Carub.0005s0567.1.p
OG0000050	Sp6g33050.1	Carub.0001s0853.1.p
OG0000050	Sp6g33060.1	Carub.0001s0853.1.p
OG0000050	Sp2g05210.1	Carub.0001s0853.1.p
OG0000050	Sp2g06530.1	Carub.0001s0853.1.p
OG0000050	Sp1g07810.1	Carub.0001s0853.1.p
OG0000050	Sp6g33050.1	Carub.0002s0124.1.p
OG0000050	Sp6g33060.1	Carub.0002s0124.1.p
OG0000050	Sp2g05210.1	Carub.0002s0124.1.p
OG0000050	Sp2g06530.1	Carub.0002s0124.1.p
OG0000050	Sp1g07810.1	Carub.0002s0124.1.p
OG0000050	Sp6g33050.1	Carub.0006s0887.1.p
OG0000050	Sp6g33060.1	Carub.0006s0887.1.p
OG0000050	Sp2g05210.1	Carub.0006s0887.1.p
OG0000050	Sp2g06530.1	Carub.0006s0887.1.p
OG0000050	Sp1g07810.1	Carub.0006s0887.1.p
OG0000050	Sp6g33050.1	Carub.0006s0886.1.p
OG0000050	Sp6g33060.1	Carub.0006s0886.1.p
OG0000050	Sp2g05210.1	Carub.0006s0886.1.p
OG0000050	Sp2g06530.1	Carub.0006s0886.1.p
OG0000050	Sp1g07810.1	Carub.0006s0886.1.p
OG0000051	Sp6g34560.1	Carub.0006s0729.1.p
OG0000051	Sp7g00950.1	Carub.0007s3453.1.p
OG0000051	Sp7g00940.1	Carub.0007s3452.1.p
