Orthogroup	Capsella_rubella	Arabidopsis_halleri
OG0000001	Carub.0008s2051.1.p	g10960
OG0000001	Carub.0006s2010.1.p	g11931
OG0000001	Carub.0005s1456.1.p	g29034
OG0000001	Carub.0003s3395.1.p	g14246
OG0000001	Carub.0007s3277.1.p, Carub.0007s3278.1.p	g20597
OG0000001	Carub.0007s2842.1.p	g21370
OG0000001	Carub.0003s3169.1.p	g22175
OG0000001	Carub.0003s1069.1.p	g05902
OG0000001	Carub.0006s1615.1.p	g13302
OG0000001	Carub.0008s0167.1.p	g22155
OG0000001	Carub.0005s0161.1.p	g14659
OG0000001	Carub.0005s0160.1.p	g14657
OG0000001	Carub.0002s0321.1.p	g17752
OG0000001	Carub.0008s1615.1.p	g09245, g09246, g09244, g09248
OG0000001	Carub.0005s0454.1.p	g20747
OG0000001	Carub.0002s0299.1.p	g17780
OG0000001	Carub.0001s3307.1.p	g11880
OG0000001	Carub.0003s2866.1.p	g07091, g07090
OG0000001	Carub.0008s0264.1.p	g22248
OG0000001	Carub.0006s2934.1.p, Carub.0006s2933.1.p	g25323
OG0000001	Carub.0007s3532.1.p	g31054
OG0000001	Carub.0001s0262.1.p	g17984
OG0000001	Carub.0005s0589.1.p, Carub.0005s0590.1.p, Carub.0005s0591.1.p, Carub.0005s0592.1.p	g29987
OG0000001	Carub.0008s0058.1.p, Carub.0002s1575.1.p	g05450
OG0000001	Carub.0006s3058.1.p, Carub.0006s3056.1.p	g14294
OG0000001	Carub.0006s3059.1.p	g18548
OG0000001	Carub.0006s3031.1.p, Carub.0006s3032.1.p, Carub.0006s3030.1.p	g15878, g30505
OG0000001	Carub.0006s3498.1.p, Carub.0006s3499.1.p	g09133
OG0000002	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p	g23884, g29708, g00440, g11943, g15640, g22085
OG0000002	Carub.0005s0926.1.p, Carub.0005s0911.1.p, Carub.0001s3357.1.p, Carub.0001s4114.1.p, Carub.0008s0718.1.p, Carub.0004s0664.1.p, Carub.0007s3064.1.p, Carub.0007s3066.1.p	g08350
OG0000002	Carub.0003s1041.1.p, Carub.0008s0770.1.p, Carub.0001s3179.1.p, Carub.0007s3111.1.p, Carub.0007s3077.1.p, Carub.0001s3377.1.p, Carub.0002s0950.1.p	g03950
OG0000003	Carub.0002s0645.1.p	g24742
OG0000003	Carub.0006s2303.1.p	g07120, g07119
OG0000003	Carub.0003s1760.1.p, Carub.0003s1761.1.p	g16114
OG0000003	Carub.0003s1703.1.p	g16183
OG0000003	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p	g20071, g20070
OG0000003	Carub.0003s2067.1.p	g11158
OG0000003	Carub.0003s1362.1.p	g06849
OG0000003	Carub.0001s1047.1.p	g05011
OG0000003	Carub.0003s1334.1.p	g06883
OG0000003	Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p	g05713, g05714
OG0000003	Carub.0004s0845.1.p, Carub.0004s0842.1.p, Carub.0004s0838.1.p, Carub.0004s0843.1.p	g30327, g30326, g31083, g31087
OG0000003	Carub.0002s0522.1.p	g05979, g07821
OG0000003	Carub.0003s1813.1.p	g21587
OG0000003	Carub.0003s1811.1.p	g21581
OG0000003	Carub.0003s1874.1.p	g21582, g21584, g21583, g22511, g21644
OG0000003	Carub.0003s2707.1.p	g22176
OG0000003	Carub.0003s2286.1.p	g11358, g22751
OG0000003	Carub.0003s2657.1.p	g16400
OG0000005	Carub.0006s2630.1.p	g13325
OG0000007	Carub.0013s0008.1.p	g08623, g30062, g30320, g23768
OG0000009	Carub.0005s1087.1.p	g18825, g12669, g28657, g10459, g21739, g03998, g18201, g30613
OG0000009	Carub.0007s1219.1.p	g17239, g12474, g04219
OG0000009	Carub.0005s2988.1.p, Carub.0006s0619.1.p	g31374, g28622, g22824, g17119, g26864, g23454, g27525, g30099, g19599, g00838, g26852, g31881, g30686
OG0000009	Carub.0003s3092.1.p	g25175, g12860, g27917, g00120, g00117, g14205, g22349, g29641, g02631, g24613, g13217, g06934, g26756
OG0000009	Carub.0001s4199.1.p, Carub.0003s2082.1.p	g28476, g15487
OG0000009	Carub.0002s0853.1.p	g27302, g14577, g23404
OG0000009	Carub.0003s2835.1.p	g25783
OG0000009	Carub.0002s1832.1.p	g19286
OG0000009	Carub.0006s1986.1.p	g22714
OG0000011	Carub.0002s0705.1.p, Carub.0002s1622.1.p, Carub.0002s1621.1.p, Carub.0002s1620.1.p	g25193
OG0000011	Carub.0007s3773.1.p	g20800
OG0000011	Carub.0007s3771.1.p	g20799
OG0000011	Carub.0008s0597.1.p, Carub.0008s0599.1.p, Carub.0008s0598.1.p, Carub.0008s0589.1.p, Carub.0008s0591.1.p, Carub.0008s0593.1.p, Carub.0008s0595.1.p, Carub.0008s0596.1.p	g29779
OG0000011	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p	g31295, g26876, g26873, g29277
OG0000011	Carub.0002s0700.1.p, Carub.0002s0699.1.p	g26284, g26277, g26282
OG0000011	Carub.0002s1260.1.p	g16393
OG0000011	Carub.0001s3553.1.p	g17023
OG0000012	Carub.0004s3021.1.p	g26665
OG0000012	Carub.0003s2796.1.p	g26615
OG0000013	Carub.0005s2443.1.p, Carub.0001s3326.1.p	g16636, g21165, g16460
OG0000013	Carub.0001s3612.1.p, Carub.0001s3614.1.p	g18995
OG0000013	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p	g18845
OG0000013	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p	g18844, g18846, g18849, g14824, g18851, g18848
OG0000013	Carub.0001s3824.1.p	g24320, g24318
OG0000013	Carub.0002s0685.1.p, Carub.0001s2947.1.p, Carub.0001s2948.1.p	g18867, g28404, g18868, g18869
