Orthogroup	Thellungiella_parvula	Eutrema_salsugineum
OG0000001	Sp5g15690.1	EUTSA_v10002432mg
OG0000001	Sp7g16340.1	EUTSA_v10024646mg
OG0000001	Sp7g01410.1	EUTSA_v10027671mg
OG0000001	Sp2g06340.1	EUTSA_v10028133mg
OG0000001	Sp2g04140.1	EUTSA_v10023835mg
OG0000001	Sp6g07250.1, Sp6g05515.1	EUTSA_v10000530mg
OG0000001	Sp3g19190.1	EUTSA_v10020368mg
OG0000002	Sp5g15617.1	EUTSA_v10026974mg, EUTSA_v10009540mg, EUTSA_v10010044mg, EUTSA_v10010769mg, EUTSA_v10016115mg, EUTSA_v10000723mg, EUTSA_v10028995mg, EUTSA_v10019661mg
OG0000003	Sp3g22340.1	EUTSA_v10002957mg
OG0000003	Sp3g14050.1	EUTSA_v10020932mg
OG0000003	Sp3g18730.1	EUTSA_v10022075mg, EUTSA_v10022091mg
OG0000003	Sp7g11920.1	EUTSA_v10005679mg, EUTSA_v10027376mg, EUTSA_v10027516mg, EUTSA_v10027471mg
OG0000003	Sp3g17310.1	EUTSA_v10002009mg, EUTSA_v10022266mg
OG0000003	Sp3g21250.1	EUTSA_v10021918mg, EUTSA_v10022006mg
OG0000003	Sp3g15660.1	EUTSA_v10022401mg, EUTSA_v10003040mg, EUTSA_v10002999mg, EUTSA_v10002817mg
OG0000009	Sp7g19460.1, Sp6g08880.1	EUTSA_v10017884mg
OG0000011	Sp2g09300.1	EUTSA_v10000759mg
OG0000011	Sp7g20140.1	EUTSA_v10024234mg, EUTSA_v10024295mg, EUTSA_v10024211mg
OG0000011	Sp3g23450.1	EUTSA_v100028561mg
OG0000011	Sp3g29100.1	EUTSA_v10022545mg
OG0000012	Sp3g26410.1, Sp1g30760.1, SpUn0001_0510.1, Sp4g07060.1, Sp6g10920.1, Sp7g10290.1, SpUn0001_0740.1, Sp3g26710.1	EUTSA_v10000500mg
OG0000014	Sp1g34680.1	EUTSA_v10012015mg, EUTSA_v10012179mg, EUTSA_v10012071mg, EUTSA_v10012142mg, EUTSA_v10011981mg, EUTSA_v10011998mg, EUTSA_v10011795mg, EUTSA_v10012069mg
OG0000015	SpUn0002_0230.1	EUTSA_v10002835mg, EUTSA_v10002326mg, EUTSA_v10024129mg, EUTSA_v10029405mg, EUTSA_v10027466mg, EUTSA_v10000609mg, EUTSA_v10023819mg, EUTSA_v10023022mg, EUTSA_v10011157mg, EUTSA_v10011015mg, EUTSA_v10003494mg, EUTSA_v10019636mg
OG0000016	Sp7g11580.1	EUTSA_v10027048mg
OG0000016	Sp7g36980.1	EUTSA_v10027066mg
OG0000016	Sp6g26270.1	EUTSA_v10015141mg
OG0000016	Sp3g02810.1	EUTSA_v10022178mg
OG0000016	Sp3g02800.1	EUTSA_v10021846mg, EUTSA_v10022124mg
OG0000016	Sp6g26260.1	EUTSA_v10015119mg, EUTSA_v10015118mg, EUTSA_v10015117mg
OG0000017	Sp1g33140.1, Sp1g34250.1	EUTSA_v10012370mg
OG0000017	Sp5g12630.1	EUTSA_v10010942mg, EUTSA_v10010425mg, EUTSA_v10011009mg, EUTSA_v10011080mg, EUTSA_v10011044mg
OG0000017	Sp3g17210.1	EUTSA_v10022199mg
OG0000017	SpUn0074_0030.1	EUTSA_v10021999mg
OG0000018	Sp7g00500.1	EUTSA_v10019682mg, EUTSA_v10028296mg
OG0000018	Sp7g00490.1	EUTSA_v10027631mg, EUTSA_v10027763mg
OG0000018	Sp7g00350.1	EUTSA_v10028092mg
OG0000018	Sp2g00800.1	EUTSA_v10023230mg
OG0000018	Sp2g00810.1	EUTSA_v10000509mg, EUTSA_v10000647mg, EUTSA_v10000695mg
OG0000019	Sp4g11780.1	EUTSA_v100177840mg, EUTSA_v10016342mg
OG0000019	Sp4g10470.1	EUTSA_v10011224mg
OG0000019	Sp3g19400.1	EUTSA_v10020016mg
