Orthogroup	Brassica_rapa	Boechera_stricta
OG0000001	Bra020274	Bostr.26570s0001.1.p, Bostr.10064s0003.1.p, Bostr.7365s0075.1.p, Bostr.26833s0241.1.p
OG0000001	Bra001113	Bostr.22157s0115.1.p, Bostr.22157s0143.1.p, Bostr.22157s0119.1.p, Bostr.22157s0122.1.p, Bostr.22157s0151.1.p, Bostr.22157s0180.1.p
OG0000001	Bra024127, Bra011134	Bostr.2021s0040.1.p, Bostr.13083s0008.1.p, Bostr.12468s0001.1.p
OG0000001	Bra033522	Bostr.9017s0004.1.p, Bostr.10040s0009.1.p, Bostr.2021s0062.1.p, Bostr.10064s0015.1.p, Bostr.20055s0060.1.p, Bostr.2902s0370.1.p
OG0000001	Bra034707, Bra022059	Bostr.3640s0172.1.p
OG0000001	Bra040666	Bostr.26675s0150.1.p
OG0000001	Bra012410	Bostr.28243s0051.1.p
OG0000001	Bra038551	Bostr.0597s0117.1.p, Bostr.0597s0144.1.p, Bostr.0597s0106.1.p, Bostr.0597s0104.1.p
OG0000001	Bra004142	Bostr.29827s0116.1.p, Bostr.1040s0025.1.p
OG0000001	Bra031262	Bostr.22252s0380.1.p, Bostr.2983s0057.1.p
OG0000001	Bra040595	Bostr.19424s0253.1.p
OG0000001	Bra036235, Bra036288	Bostr.25463s0173.1.p, Bostr.25463s0254.1.p, Bostr.25463s0256.1.p, Bostr.25463s0097.1.p, Bostr.3288s0132.1.p, Bostr.25463s0044.1.p, Bostr.25463s0208.1.p, Bostr.25463s0152.1.p, Bostr.25463s0205.1.p, Bostr.25463s0311.1.p, Bostr.2983s0204.1.p, Bostr.25463s0348.1.p, Bostr.7200s0093.1.p, Bostr.13158s0007.1.p, Bostr.10058s0049.1.p
OG0000002	Bra019403, Bra031928, Bra034933, Bra023996, Bra037668, Bra029538, Bra010158	Bostr.7128s0693.1.p, Bostr.19424s0811.1.p, Bostr.13671s0382.1.p, Bostr.27991s0059.1.p, Bostr.23794s0120.1.p, Bostr.6864s0104.1.p, Bostr.0697s0013.1.p, Bostr.30275s0103.1.p, Bostr.0124s0046.1.p, Bostr.26675s0348.1.p, Bostr.25219s0363.1.p, Bostr.22252s0054.1.p, Bostr.13129s0082.1.p
OG0000003	Bra027213	Bostr.28625s0119.1.p
OG0000003	Bra021212, Bra021154, Bra026369	Bostr.10064s0017.1.p
OG0000003	Bra017242, Bra017228, Bra041044, Bra041045, Bra017247, Bra021512	Bostr.12659s0296.1.p
OG0000003	Bra034129	Bostr.19424s0718.1.p, Bostr.19424s0979.1.p
OG0000003	Bra001883	Bostr.18351s0209.1.p
OG0000003	Bra028319	Bostr.19424s0010.1.p
OG0000006	Bra033926	Bostr.19412s0001.1.p
OG0000007	Bra026883	Bostr.11568s0036.1.p, Bostr.2199s0042.1.p, Bostr.3359s0073.1.p, Bostr.15774s0014.1.p, Bostr.18473s0020.1.p, Bostr.0597s0007.1.p, Bostr.0142s0001.1.p
OG0000007	Bra026661	Bostr.30275s0278.1.p
OG0000009	Bra003264	Bostr.5022s0045.1.p
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861	Bostr.25463s0391.1.p
OG0000011	Bra027510, Bra006095, Bra006556, Bra006094, Bra006146, Bra006093	Bostr.2570s0335.1.p, Bostr.2570s0342.1.p, Bostr.2570s0295.1.p, Bostr.2570s0292.1.p, Bostr.10267s0002.1.p, Bostr.2570s0346.1.p
