"chrom","chromStart","chromEnd","TranscriptID","GeneID","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","MatureLength","Type","BioType","ConservationType"
"CM001187.1",10074752,10075402,"Tp1g26560","Tp1g26560",0,"+",10075402,10075402,0,2,"20,250,","0,400,",270,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",10742506,10742743,"Tp1g27990","Tp1g27990",0,"-",10742743,10742743,0,1,"237,","0,",237,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",10933139,10933636,"Tp1g28290","Tp1g28290",0,"+",10933636,10933636,0,2,"90,126,","0,371,",216,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",11306506,11306917,"Tp1g29090","Tp1g29090",0,"+",11306917,11306917,0,2,"19,194,","0,217,",213,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",11692756,11693008,"Tp1g29840","Tp1g29840",0,"+",11693008,11693008,0,1,"252,","0,",252,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",11827515,11827986,"Tp1g30020","Tp1g30020",0,"+",11827986,11827986,0,2,"39,201,","0,270,",240,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",11991489,11992687,"Tp1g30290","Tp1g30290",0,"+",11992687,11992687,0,2,"297,530,","0,668,",827,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12022480,12022765,"Tp1g30330","Tp1g30330",0,"-",12022765,12022765,0,1,"285,","0,",285,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12206611,12206875,"Tp1g30560","Tp1g30560",0,"-",12206875,12206875,0,1,"264,","0,",264,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12357065,12357776,"Tp1g30690","Tp1g30690",0,"+",12357776,12357776,0,4,"9,48,36,117,","0,77,480,594,",210,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12406074,12406818,"Tp1g30750","Tp1g30750",0,"+",12406818,12406818,0,2,"113,136,","0,608,",249,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12422945,12423230,"Tp1g30770","Tp1g30770",0,"-",12423230,12423230,0,1,"285,","0,",285,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12495480,12495759,"Tp1g30900","Tp1g30900",0,"+",12495759,12495759,0,1,"279,","0,",279,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12528307,12528661,"Tp1g30940","Tp1g30940",0,"-",12528661,12528661,0,2,"130,137,","0,217,",267,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12558285,12558495,"Tp1g31000","Tp1g31000",0,"+",12558495,12558495,0,1,"210,","0,",210,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12588996,12589278,"Tp1g31030","Tp1g31030",0,"-",12589278,12589278,0,1,"282,","0,",282,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12657813,12658393,"Tp1g31110","Tp1g31110",0,"+",12658393,12658393,0,2,"108,168,","0,412,",276,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12682243,12682462,"Tp1g31150","Tp1g31150",0,"-",12682462,12682462,0,1,"219,","0,",219,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12737436,12737685,"Tp1g31250","Tp1g31250",0,"-",12737685,12737685,0,1,"249,","0,",249,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12922216,12922515,"Tp1g31450","Tp1g31450",0,"+",12922515,12922515,0,2,"3,252,","0,47,",255,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",12951734,12951959,"Tp1g31490","Tp1g31490",0,"+",12951959,12951959,0,1,"225,","0,",225,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",14011018,14011219,"Tp_un1820_001","Tp_un1820_001",0,"+",14011219,14011219,0,1,"201,","0,",201,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",15918399,15918688,"Tp1g38570","Tp1g38570",0,"-",15918688,15918688,0,2,"107,100,","0,189,",207,"multiexonic","lincRNA","OnlySynteny"
"CM001187.1",16374203,16374419,"Tp1g37470","Tp1g37470",0,"-",16374419,16374419,0,1,"216,","0,",216,"monoexonic","lincRNA","Species-specific"
"CM001187.1",16568064,16568515,"Tp1g37030","Tp1g37030",0,"+",16568515,16568515,0,2,"4,284,","0,167,",288,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",1673757,1674167,"Tp1g04780","Tp1g04780",0,"-",1674167,1674167,0,2,"111,129,","0,281,",240,"multiexonic","lincRNA","OnlySynteny"
"CM001187.1",17540904,17541233,"Tp1g34960","Tp1g34960",0,"+",17541233,17541233,0,2,"63,213,","0,116,",276,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",17865552,17866145,"Tp1g34430","Tp1g34430",0,"+",17866145,17866145,0,2,"203,25,","0,568,",228,"multiexonic","lincRNA","OnlySynteny"
"CM001187.1",18192789,18193304,"Tp_un1801_001","Tp_un1801_001",0,"-",18193304,18193304,0,1,"515,","0,",515,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",18645195,18645471,"Tp1g33350","Tp1g33350",0,"-",18645471,18645471,0,1,"276,","0,",276,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",18875573,18875840,"Tp1g32990","Tp1g32990",0,"+",18875840,18875840,0,1,"267,","0,",267,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",18893657,18893942,"Tp1g32940","Tp1g32940",0,"+",18893942,18893942,0,1,"285,","0,",285,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",18901261,18902274,"Tp1g32930","Tp1g32930",0,"+",18902274,18902274,0,3,"13,60,175,","0,532,838,",248,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",18911394,18911697,"Tp1g32900","Tp1g32900",0,"+",18911697,18911697,0,1,"303,","0,",303,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",18956010,18956743,"Tp1g32830","Tp1g32830",0,"-",18956743,18956743,0,2,"81,204,","0,529,",285,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",19022767,19023037,"Tp1g32710","Tp1g32710",0,"-",19023037,19023037,0,1,"270,","0,",270,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",19118147,19118704,"Tp1g32590","Tp1g32590",0,"-",19118704,19118704,0,2,"106,167,","0,390,",273,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",19148013,19148349,"Tp1g32520","Tp1g32520",0,"-",19148349,19148349,0,2,"70,194,","0,142,",264,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",19236584,19236925,"Tp1g32420","Tp1g32420",0,"-",19236925,19236925,0,2,"174,99,","0,242,",273,"multiexonic","sense_exonic_lncRNA","NA"
"CM001187.1",19289762,19289996,"Tp1g32330","Tp1g32330",0,"+",19289996,19289996,0,1,"234,","0,",234,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",19478983,19479220,"Tp1g32070","Tp1g32070",0,"-",19479220,19479220,0,1,"237,","0,",237,"monoexonic","sense_exonic_lncRNA","NA"
"CM001187.1",19731874,19732132,"Tp1g31750","Tp1g31750",0,"+",19732132,19732132,0,1,"258,","0,",258,"monoexonic","sense_exonic_lncRNA","NA"
