"chrom","chromStart","chromEnd","TranscriptID","GeneID","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","MatureLength","Type","BioType","ConservationType"
"A01",16529233,16529449,"ENSRNA049453160-T1","ENSRNA049453160",0,"+",16529449,16529449,0,1,"216,","0,",216,"monoexonic","lincRNA","OnlySynteny"
"A01",16990411,16990627,"ENSRNA049453131-T1","ENSRNA049453131",0,"+",16990627,16990627,0,1,"216,","0,",216,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10054035,10055926,"BrRegRNA_1555.1","BrRegRNA_1555",0,"+",10055926,10055926,0,3,"37,34,259,","0,1522,1632,",330,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10057533,10059442,"BrRegRNA_1556.1","BrRegRNA_1556",0,"+",10059442,10059442,0,7,"472,93,117,162,104,140,301,","0,578,750,955,1199,1389,1608,",1389,"multiexonic","sense_exonic_lncRNA","NA"
"A01",10160894,10161694,"BrRegRNA_1572.1","BrRegRNA_1572",0,".",10161694,10161694,0,1,"800,","0,",800,"monoexonic","lincRNA","Species-specific"
"A01",10230101,10230344,"Bra026284.1","Bra026284",0,"+",10230344,10230344,0,1,"243,","0,",243,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10245455,10245896,"BrRegRNA_1586.1","BrRegRNA_1586",0,"+",10245896,10245896,0,1,"441,","0,",441,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10290457,10290895,"Bra026269.1","Bra026269",0,"-",10290895,10290895,0,2,"117,123,","0,315,",240,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10404900,10405194,"BrRegRNA_1607.1","BrRegRNA_1607",0,"-",10405194,10405194,0,1,"294,","0,",294,"monoexonic","lincRNA","Species-specific"
"A01",10467109,10468746,"BrRegRNA_1626.1","BrRegRNA_1626",0,"+",10468746,10468746,0,5,"712,19,68,95,309,","0,825,922,1161,1328,",1203,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10631425,10631723,"BrRegRNA_1651.1","BrRegRNA_1651",0,".",10631723,10631723,0,1,"298,","0,",298,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10822888,10823375,"BrRegRNA_1659.1","BrRegRNA_1659",0,".",10823375,10823375,0,1,"487,","0,",487,"monoexonic","lincRNA","Species-specific"
"A01",10835756,10835999,"Bra038500.1","Bra038500",0,"-",10835999,10835999,0,1,"243,","0,",243,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",10901227,10901614,"BrRegRNA_1672.1","BrRegRNA_1672",0,"-",10901614,10901614,0,1,"387,","0,",387,"monoexonic","intronic_lncRNA","NA"
"A01",11050312,11050851,"BrRegRNA_1694.1","BrRegRNA_1694",0,".",11050851,11050851,0,1,"539,","0,",539,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11101989,11102256,"Bra038456.1","Bra038456",0,"-",11102256,11102256,0,1,"267,","0,",267,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11124392,11125105,"BrRegRNA_1705.1","BrRegRNA_1705",0,"-",11125105,11125105,0,2,"392,218,","0,495,",610,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11208681,11209423,"BrRegRNA_1715.1","BrRegRNA_1715",0,"+",11209423,11209423,0,1,"742,","0,",742,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11296501,11296950,"BrRegRNA_1726.1","BrRegRNA_1726",0,"+",11296950,11296950,0,1,"449,","0,",449,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11442246,11442987,"BrRegRNA_1735.1","BrRegRNA_1735",0,"+",11442987,11442987,0,1,"741,","0,",741,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11451150,11451480,"BrRegRNA_1736.1","BrRegRNA_1736",0,"+",11451480,11451480,0,1,"330,","0,",330,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11556182,11556461,"Bra033502.1","Bra033502",0,"-",11556461,11556461,0,1,"279,","0,",279,"monoexonic","sense_exonic_lncRNA","NA"
"A01",11581029,11581309,"BrRegRNA_1756.1","BrRegRNA_1756",0,"+",11581309,11581309,0,2,"106,101,","0,179,",207,"multiexonic","NAT_lncRNA","NA"
"A01",11636099,11636555,"BrRegRNA_1759.1","BrRegRNA_1759",0,".",11636555,11636555,0,1,"456,","0,",456,"monoexonic","lincRNA","Species-specific"
"A01",11857749,11857957,"BrRegRNA_1783.1","BrRegRNA_1783",0,"+",11857957,11857957,0,1,"208,","0,",208,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",11925157,11925470,"BrRegRNA_1786.1","BrRegRNA_1786",0,".",11925470,11925470,0,1,"313,","0,",313,"monoexonic","lincRNA","Species-specific"
"A01",11983388,11983828,"BrRegRNA_1796.1","BrRegRNA_1796",0,"-",11983828,11983828,0,1,"440,","0,",440,"monoexonic","lincRNA","Species-specific"
"A01",12011898,12012742,"BrRegRNA_1798.1","BrRegRNA_1798",0,"+",12012742,12012742,0,2,"458,362,","0,482,",820,"multiexonic","NAT_lncRNA","NA"
"A01",12055376,12057270,"BrRegRNA_1800.2","BrRegRNA_1800",0,"-",12057270,12057270,0,5,"296,76,90,282,450,","0,543,732,913,1444,",1194,"multiexonic","sense_exonic_lncRNA","NA"
"A01",12055376,12057274,"BrRegRNA_1800.3","BrRegRNA_1800",0,"-",12057274,12057274,0,5,"296,76,90,386,454,","0,543,732,913,1444,",1302,"multiexonic","sense_exonic_lncRNA","NA"
"A01",12083245,12083496,"BrRegRNA_1802.1","BrRegRNA_1802",0,"-",12083496,12083496,0,1,"251,","0,",251,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",12127878,12128190,"BrRegRNA_1811.1","BrRegRNA_1811",0,".",12128190,12128190,0,1,"312,","0,",312,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",12138527,12138777,"BrRegRNA_1812.1","BrRegRNA_1812",0,"-",12138777,12138777,0,1,"250,","0,",250,"monoexonic","lincRNA","Species-specific"
"A01",12181926,12182178,"BrRegRNA_1820.1","BrRegRNA_1820",0,"+",12182178,12182178,0,1,"252,","0,",252,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",1247217,1247693,"Bra011652.1","Bra011652",0,"+",1247693,1247693,0,2,"18,249,","0,227,",267,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",12506874,12507388,"BrRegRNA_1842.1","BrRegRNA_1842",0,".",12507388,12507388,0,1,"514,","0,",514,"monoexonic","lincRNA","OnlySynteny"
"A01",12765528,12766028,"BrRegRNA_1870.1","BrRegRNA_1870",0,"+",12766028,12766028,0,1,"500,","0,",500,"monoexonic","lincRNA","Species-specific"
"A01",12844032,12845494,"BrRegRNA_1874.1","BrRegRNA_1874",0,".",12845494,12845494,0,1,"1462,","0,",1462,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",12973964,12974647,"BrRegRNA_1884.1","BrRegRNA_1884",0,".",12974647,12974647,0,1,"683,","0,",683,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",1333414,1333663,"Bra011634.1","Bra011634",0,"-",1333663,1333663,0,1,"249,","0,",249,"monoexonic","sense_exonic_lncRNA","NA"
"A01",13379601,13383466,"BrRegRNA_1901.1","BrRegRNA_1901",0,"+",13383466,13383466,0,4,"322,81,64,220,","0,434,3508,3645,",687,"multiexonic","sense_exonic_lncRNA","NA"
"A01",13380033,13383466,"BrRegRNA_1901.2","BrRegRNA_1901",0,"+",13383466,13383466,0,3,"83,64,188,","0,3076,3245,",335,"multiexonic","sense_exonic_lncRNA","NA"
"A01",13381713,13382198,"Bra037621.1","Bra037621",0,"+",13382198,13382198,0,2,"184,98,","0,387,",282,"multiexonic","sense_exonic_lncRNA","NA"
"A01",13508019,13508286,"Bra037629.1","Bra037629",0,"-",13508286,13508286,0,1,"267,","0,",267,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",13776231,13776521,"BrRegRNA_1918.1","BrRegRNA_1918",0,"+",13776521,13776521,0,1,"290,","0,",290,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",13958247,13958598,"BrRegRNA_1931.1","BrRegRNA_1931",0,"+",13958598,13958598,0,1,"351,","0,",351,"monoexonic","lincRNA","Species-specific"
"A01",13999704,14000036,"BrRegRNA_1934.1","BrRegRNA_1934",0,"+",14000036,14000036,0,1,"332,","0,",332,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",14100265,14101048,"BrRegRNA_1944.1","BrRegRNA_1944",0,"+",14101048,14101048,0,3,"205,148,249,","0,306,534,",602,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",14128989,14130370,"BrRegRNA_1946.1","BrRegRNA_1946",0,"+",14130370,14130370,0,1,"1381,","0,",1381,"monoexonic","lincRNA","Species-specific"
"A01",14129554,14130370,"BrRegRNA_1947.1","BrRegRNA_1947",0,"-",14130370,14130370,0,1,"816,","0,",816,"monoexonic","lincRNA","Species-specific"
"A01",14308901,14309135,"Bra033781.1","Bra033781",0,"-",14309135,14309135,0,1,"234,","0,",234,"monoexonic","sense_exonic_lncRNA","NA"
"A01",14427670,14427948,"BrRegRNA_1962.1","BrRegRNA_1962",0,"+",14427948,14427948,0,1,"278,","0,",278,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",14428923,14439400,"BrRegRNA_1963.1","BrRegRNA_1963",0,"+",14439400,14439400,0,4,"112,67,64,126,","0,4696,5162,10351,",369,"multiexonic","NAT_lncRNA","NA"
"A01",14449295,14449538,"Bra033766.1","Bra033766",0,"-",14449538,14449538,0,1,"243,","0,",243,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",1465262,1465596,"BrRegRNA_253.1","BrRegRNA_253",0,"+",1465596,1465596,0,1,"334,","0,",334,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",14802967,14803177,"Bra029911.1","Bra029911",0,"+",14803177,14803177,0,1,"210,","0,",210,"monoexonic","lincRNA","Species-specific"
"A01",14984076,14984289,"BrRegRNA_2005.1","BrRegRNA_2005",0,".",14984289,14984289,0,1,"213,","0,",213,"monoexonic","lincRNA","Species-specific"
"A01",15384408,15385821,"Bra029969.1","Bra029969",0,"+",15385821,15385821,0,2,"261,42,","0,1371,",303,"multiexonic","sense_exonic_lncRNA","NA"
"A01",15478044,15478401,"BrRegRNA_2037.1","BrRegRNA_2037",0,"+",15478401,15478401,0,1,"357,","0,",357,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",15547124,15547419,"BrRegRNA_2045.1","BrRegRNA_2045",0,"-",15547419,15547419,0,1,"295,","0,",295,"monoexonic","lincRNA","Species-specific"
"A01",15961439,15961797,"BrRegRNA_2068.1","BrRegRNA_2068",0,"+",15961797,15961797,0,1,"358,","0,",358,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",15989194,15989871,"BrRegRNA_2070.2","BrRegRNA_2070",0,"-",15989871,15989871,0,2,"132,433,","0,244,",565,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",15989194,15989857,"BrRegRNA_2070.1","BrRegRNA_2070",0,"-",15989857,15989857,0,1,"663,","0,",663,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",16037463,16039531,"Bra035456.1","Bra035456",0,"-",16039531,16039531,0,4,"120,19,67,19,","0,530,1539,2049,",225,"multiexonic","sense_exonic_lncRNA","NA"
"A01",16349865,16350181,"BrRegRNA_2092.1","BrRegRNA_2092",0,".",16350181,16350181,0,1,"316,","0,",316,"monoexonic","lincRNA","Species-specific"
"A01",16392531,16393019,"BrRegRNA_2099.1","BrRegRNA_2099",0,"+",16393019,16393019,0,2,"116,111,","0,377,",227,"multiexonic","NAT_lncRNA","NA"
"A01",16411184,16411871,"BrRegRNA_2097.1","BrRegRNA_2097",0,"-",16411871,16411871,0,1,"687,","0,",687,"monoexonic","lincRNA","Species-specific"
"A01",16482776,16484025,"BrRegRNA_2106.1","BrRegRNA_2106",0,"+",16484025,16484025,0,2,"237,461,","0,788,",698,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",16482782,16484020,"BrRegRNA_2106.2","BrRegRNA_2106",0,"+",16484020,16484020,0,3,"231,126,246,","0,782,992,",603,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",16778508,16780534,"BrRegRNA_2124.1","BrRegRNA_2124",0,"+",16780534,16780534,0,2,"117,202,","0,1824,",319,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",16967610,16967915,"BrRegRNA_2129.1","BrRegRNA_2129",0,".",16967915,16967915,0,1,"305,","0,",305,"monoexonic","lincRNA","Species-specific"
"A01",16993594,16993811,"ENSRNA049453168-T1","ENSRNA049453168",0,"+",16993811,16993811,0,1,"217,","0,",217,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",17298076,17300629,"BrRegRNA_2161.1","BrRegRNA_2161",0,"-",17300629,17300629,0,6,"374,262,114,621,409,205,","0,444,885,1166,1863,2348,",1985,"multiexonic","sense_exonic_lncRNA","NA"
"A01",17392458,17392708,"BrRegRNA_2167.1","BrRegRNA_2167",0,"+",17392708,17392708,0,1,"250,","0,",250,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",17552198,17553465,"BrRegRNA_2174.1","BrRegRNA_2174",0,"+",17553465,17553465,0,1,"1267,","0,",1267,"monoexonic","lincRNA","OnlySynteny"
"A01",17786477,17787402,"BrRegRNA_2196.1","BrRegRNA_2196",0,".",17787402,17787402,0,1,"925,","0,",925,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",17861445,17861653,"BrRegRNA_2204.1","BrRegRNA_2204",0,"-",17861653,17861653,0,1,"208,","0,",208,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",17975123,17975570,"BrRegRNA_2210.1","BrRegRNA_2210",0,".",17975570,17975570,0,1,"447,","0,",447,"monoexonic","lincRNA","Species-specific"
"A01",18187873,18188175,"Bra028361.1","Bra028361",0,"+",18188175,18188175,0,2,"119,103,","0,199,",222,"multiexonic","sense_exonic_lncRNA","NA"
"A01",18203271,18203507,"BrRegRNA_2225.1","BrRegRNA_2225",0,".",18203507,18203507,0,1,"236,","0,",236,"monoexonic","lincRNA","Species-specific"
"A01",18304994,18305246,"Bra028352.1","Bra028352",0,"-",18305246,18305246,0,1,"252,","0,",252,"monoexonic","sense_exonic_lncRNA","NA"
"A01",1857132,1857393,"BrRegRNA_330.1","BrRegRNA_330",0,"-",1857393,1857393,0,1,"261,","0,",261,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"A01",1857260,1858221,"BrRegRNA_331.1","BrRegRNA_331",0,"+",1858221,1858221,0,2,"128,125,","0,836,",253,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
