Orthogroup	Arabidopsis_thaliana	Capsella_rubella
OG0000001	AT4G01350, AT5G59920	Carub.0008s2051.1.p
OG0000001	AT5G22355	Carub.0006s2010.1.p
OG0000001	AT3G48400	Carub.0005s1456.1.p
OG0000001	AT2G19660	Carub.0003s3395.1.p
OG0000001	AT2G04680, AT5G37620	Carub.0007s3277.1.p, Carub.0007s3278.1.p
OG0000001	AT4G16015	Carub.0005s0273.1.p
OG0000001	AT4G13992	Carub.0007s2842.1.p
OG0000001	AT2G17600	Carub.0003s3169.1.p
OG0000001	AT2G17590	Carub.0003s3168.1.p, Carub.0003s3160.1.p
OG0000001	AT3G11385	Carub.0003s1069.1.p
OG0000001	AT5G17960	Carub.0006s1615.1.p
OG0000001	AT1G50190	Carub.0001s3932.1.p
OG0000001	AT1G55700	Carub.0001s4422.1.p
OG0000001	AT2G02680	Carub.0005s0161.1.p
OG0000001	AT2G02630, AT2G02610, AT2G02640	Carub.0005s0160.1.p
OG0000001	AT1G61840	Carub.0002s0321.1.p
OG0000001	AT2G40050	Carub.0001s3557.1.p
OG0000001	AT1G61710	Carub.0005s1168.1.p
OG0000001	AT5G55770, AT1G44050, AT5G55780, AT5G46670, AT5G46660, AT5G55800	Carub.0008s1615.1.p
OG0000001	AT3G26550	Carub.0005s0454.1.p
OG0000001	AT4G02540	Carub.0001s3077.1.p
OG0000001	AT1G62030	Carub.0002s0299.1.p
OG0000001	AT5G03355	Carub.0001s3307.1.p
OG0000001	AT2G28460, AT3G26250, AT3G26240	Carub.0003s2866.1.p
OG0000001	AT5G48320, AT4G15070	Carub.0008s0788.1.p
OG0000001	AT3G50010	Carub.0008s0264.1.p
OG0000001	AT1G44020, AT1G29180	Carub.0006s0218.1.p
OG0000001	AT4G13130	Carub.0007s2957.1.p, Carub.0007s2956.1.p
OG0000001	AT4G10560	Carub.0006s2934.1.p, Carub.0006s2933.1.p
OG0000001	AT5G01480	Carub.0006s0035.1.p
OG0000001	AT3G21210	Carub.0003s2117.1.p
OG0000001	AT5G40320	Carub.0007s3532.1.p
OG0000001	AT2G43220	Carub.0001s0262.1.p
OG0000001	AT5G44770	Carub.0008s0350.1.p
OG0000001	AT2G04500, AT4G14980	Carub.0007s2711.1.p
OG0000001	AT1G58037, AT5G45730	Carub.0008s0226.1.p
OG0000001	AT3G27490	Carub.0005s0589.1.p, Carub.0005s0590.1.p, Carub.0005s0591.1.p, Carub.0005s0592.1.p
OG0000001	AT1G69150, AT3G43890	Carub.0002s1575.1.p
OG0000001	AT4G11550	Carub.0006s3058.1.p, Carub.0006s3056.1.p
OG0000001	AT4G02180	Carub.0006s3498.1.p, Carub.0006s3499.1.p
OG0000001	AT4G01740	Carub.0006s3544.1.p
OG0000002	AT3G47680	Carub.0004s1930.1.p
OG0000002	AT2G06555	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p
OG0000003	AT3G17570	Carub.0003s1727.1.p
OG0000003	AT1G62270	Carub.0002s0273.1.p
OG0000003	AT3G17320	Carub.0003s1703.1.p
OG0000003	AT3G17620	Carub.0003s2043.1.p
OG0000003	AT3G24580, AT3G22770, AT3G19470	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p
OG0000003	AT3G20710	Carub.0003s2067.1.p
OG0000003	AT1G67450	Carub.0002s1378.1.p
OG0000003	AT3G14030	Carub.0003s1362.1.p
OG0000003	AT3G49980	Carub.0005s1634.1.p
OG0000003	AT5G47300	Carub.0002s0522.1.p
OG0000003	AT3G18980	Carub.0003s1813.1.p
OG0000003	AT3G18320, AT2G07140, AT3G44120, AT3G18330, AT3G19410, AT3G18910, AT3G18905	Carub.0003s1874.1.p
OG0000003	AT3G17490	Carub.0003s2110.1.p
OG0000003	AT3G17500	Carub.0003s1721.1.p
OG0000003	AT3G22700, AT3G22710, AT3G22720, AT3G22350	Carub.0003s2286.1.p
OG0000003	AT2G04920	Carub.0003s2657.1.p
OG0000007	AT3G51700, AT3G51690	Carub.0005s1781.1.p
OG0000009	AT1G44941	Carub.0005s1087.1.p
OG0000009	AT4G05095, AT1G34440, AT5G28615, AT4G04650, AT1G43730	Carub.0005s2988.1.p, Carub.0006s0619.1.p
OG0000009	AT5G16486, AT3G25727, AT2G02520	Carub.0003s3092.1.p
OG0000009	AT2G11035	Carub.0002s1832.1.p
OG0000011	AT1G69550	Carub.0002s0705.1.p, Carub.0002s1622.1.p, Carub.0002s1621.1.p, Carub.0002s1620.1.p
OG0000011	AT5G38340	Carub.0007s3773.1.p
OG0000011	AT5G38350	Carub.0007s3771.1.p
OG0000011	AT3G25505	Carub.0003s2583.1.p
OG0000011	AT3G44670, AT3G44480, AT3G44630, AT3G44400	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p
OG0000011	AT2G14080	Carub.0001s3553.1.p
OG0000013	AT3G57580, AT3G56890	Carub.0005s2443.1.p, Carub.0001s3326.1.p
OG0000013	AT1G47350	Carub.0001s3612.1.p, Carub.0001s3614.1.p
OG0000013	AT1G30925	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p
OG0000013	AT1G31163, AT1G30930	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p
OG0000013	AT5G42430	Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3224.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p
OG0000014	AT3G58270	Carub.0005s2508.1.p
OG0000014	AT3G58380	Carub.0005s2517.1.p
OG0000014	AT3G58370	Carub.0005s2516.1.p
OG0000014	AT3G58200	Carub.0005s2506.1.p
OG0000014	AT3G44800	Carub.0005s1051.1.p
OG0000014	AT3G44805, AT3G44790	Carub.0005s1052.1.p
OG0000014	AT3G58340	Carub.0005s2513.1.p
OG0000014	AT3G58360	Carub.0005s2515.1.p
OG0000014	AT1G31390	Carub.0001s2982.1.p
OG0000016	AT4G13790	Carub.0007s2867.1.p
OG0000016	AT4G38850	Carub.0007s0071.1.p
OG0000016	AT4G38825	Carub.0007s0068.1.p
OG0000016	AT3G03840	Carub.0003s0304.1.p
OG0000016	AT3G03850, AT3G03830	Carub.0003s0303.1.p
OG0000016	AT5G18020	Carub.0006s1637.1.p
OG0000016	AT5G18010	Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p
OG0000017	AT1G46840, AT1G46912	Carub.0001s3590.1.p
OG0000017	AT1G46984	Carub.0001s3582.1.p
OG0000017	AT3G49440	Carub.0005s1563.1.p
OG0000017	AT3G49450	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p
OG0000017	AT2G31470	Carub.0001s0357.1.p
OG0000017	AT3G23960	Carub.0003s2424.1.p
OG0000017	AT5G44345, AT5G65850	Carub.0004s1364.1.p
OG0000018	AT5G41750, AT5G41740	Carub.0007s3369.1.p
OG0000018	AT5G41550	Carub.0007s3397.1.p
OG0000018	AT5G40910	Carub.0007s3458.1.p
OG0000018	AT1G56540	Carub.0002s0747.1.p
OG0000018	AT4G14370	Carub.0007s2787.1.p
OG0000018	AT1G63730	Carub.0002s0109.1.p
OG0000018	AT1G63750	Carub.0002s0143.1.p
OG0000018	AT1G63880	Carub.0002s0108.1.p
OG0000018	AT1G63870	Carub.0002s0095.1.p
OG0000018	AT2G16870, AT1G64070	Carub.0002s0072.1.p
OG0000019	AT2G28970	Carub.0004s0998.1.p, Carub.0004s0996.1.p
OG0000019	AT1G49100	Carub.0001s3825.1.p
OG0000019	AT3G21340	Carub.0002s1143.1.p, Carub.0003s2137.1.p
OG0000019	AT1G51850	Carub.0001s4075.1.p
OG0000019	AT1G51820	Carub.0001s4074.1.p
OG0000019	AT5G59680	Carub.0008s2032.1.p
OG0000019	AT5G59650	Carub.0008s2030.1.p
OG0000019	AT3G46400	Carub.0005s1221.1.p
OG0000019	AT3G46370	Carub.0005s1220.1.p
OG0000019	AT3G46330	Carub.0005s1218.1.p
OG0000019	AT2G28960	Carub.0004s0997.1.p, Carub.0004s0995.1.p
OG0000019	AT2G29000	Carub.0004s0999.1.p
OG0000019	AT2G14440, AT2G14510	Carub.0001s0687.1.p
OG0000019	AT1G07560	Carub.0001s0689.1.p
OG0000023	AT5G10340	Carub.0006s0880.1.p, Carub.0003s2506.1.p
OG0000023	AT1G09650, AT1G12490	Carub.0001s1404.1.p
OG0000023	AT5G16285	Carub.0006s1692.1.p
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848	Carub.0002s0598.1.p
OG0000024	AT1G58400, AT1G58410	Carub.0002s0610.1.p
OG0000024	AT1G59620	Carub.0002s0583.1.p
OG0000024	AT1G10920	Carub.0001s1050.1.p
OG0000024	AT1G53350	Carub.0001s4253.1.p
OG0000024	AT5G35450, AT5G48620, AT5G43470	Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p
