Orthogroup	Arabidopsis_thaliana	Arabidopsis_lyrata
OG0000000	AT2G13770	Al_scaffold_0009_6
OG0000000	AT5G35490	fgenesh2_kg.7__3600__AT2G06550.1
OG0000001	AT3G46810	Al_scaffold_0005_1473
OG0000001	AT2G19660, AT2G04680, AT5G37620, AT2G19650	scaffold_703641.1
OG0000001	AT1G50190	scaffold_104740.1
OG0000001	AT5G02360, AT1G53340, AT2G13895	scaffold_801912.1
OG0000001	AT3G26550	fgenesh1_pg.C_scaffold_5000407
OG0000001	AT1G62030	fgenesh1_pg.C_scaffold_2000268
OG0000001	AT5G03355	fgenesh1_pg.C_scaffold_5000982
OG0000001	AT5G03360, AT4G26380	scaffold_600260.1
OG0000001	AT2G28460	Al_scaffold_0004_1122
OG0000001	AT3G26250, AT3G26240	scaffold_38300003.1
OG0000001	AT5G01480	scaffold_600060.1
OG0000001	AT5G44770, AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020, AT2G04500, AT4G14980, AT3G25850	fgenesh2_kg.5__341__AT3G25850.1
OG0000002	AT2G06555	fgenesh2_kg.7__3601__AT2G06555.1, fgenesh2_kg.6__1793__AT2G06555.1, fgenesh2_kg.1__2290__AT2G06555.1, fgenesh2_kg.8__1707__AT2G06555.1, fgenesh2_kg.4__834__AT2G06555.1, Al_scaffold_0008_1110
OG0000003	AT3G17570	fgenesh2_kg.3__1934__AT3G17570.1
OG0000003	AT3G17270	fgenesh2_kg.3__1903__AT3G17270.1
OG0000003	AT2G17830, AT5G42460	fgenesh2_kg.3__3382__AT2G17830.1
OG0000003	AT3G16740	fgenesh2_kg.3__1843__AT3G16740.1
OG0000003	AT2G18780	fgenesh2_kg.3__3553__AT2G18780.1
OG0000003	AT3G17320	Al_scaffold_0003_1822
OG0000003	AT3G17620	fgenesh2_kg.3__1917__AT3G17400.1, Al_scaffold_0003_1854
OG0000003	AT3G24580	fgenesh1_pm.C_scaffold_1002986, scaffold_303016.1, fgenesh1_pg.C_scaffold_3002386
OG0000003	AT3G22770, AT3G19470	fgenesh1_pg.C_scaffold_3002461, fgenesh2_kg.3__1959__AT3G19470.1
OG0000003	AT3G20400	fgenesh1_pg.C_scaffold_3001945, fgenesh2_kg.3__2249__AT3G20400.1
OG0000003	AT3G23420	scaffold_302828.1
OG0000003	AT3G20700	fgenesh2_kg.3__2296__AT3G20700.1
OG0000003	AT3G20690	scaffold_302475.1, Al_scaffold_0003_2216
OG0000003	AT3G20710	fgenesh2_kg.3__2298__AT3G20710.1
OG0000003	AT1G67450	scaffold_302353.1
OG0000003	AT3G14030	scaffold_28600002.1, fgenesh2_kg.3__1514__AT3G14030.1
OG0000003	AT3G13680	scaffold_301577.1, scaffold_301579.1
OG0000003	AT3G25460	scaffold_303138.1, scaffold_303136.1, fgenesh1_pg.C_scaffold_3002478, scaffold_303134.1
OG0000003	AT5G47300	scaffold_301217.1, Al_scaffold_0008_64
OG0000003	AT3G18980	scaffold_43900002.1
OG0000003	AT3G18320, AT2G07140, AT3G44120	fgenesh1_pm.C_scaffold_3001612
OG0000003	AT3G18330	fgenesh2_kg.3__2035__AT2G07130.1
OG0000003	AT3G19410	scaffold_302289.1
OG0000003	AT3G17490	scaffold_302523.1
OG0000003	AT3G17500	scaffold_302060.1
OG0000003	AT3G22730	fgenesh1_pm.C_scaffold_3002011
OG0000003	AT3G22700, AT3G22710, AT3G22720	fgenesh1_pg.C_scaffold_3002173, scaffold_302718.1
OG0000003	AT3G22350	scaffold_302674.1
OG0000003	AT2G04920	fgenesh2_kg.3__2827__AT2G04920.1, scaffold_303273.1
OG0000006	AT4G29090	Al_scaffold_0001_3480
OG0000007	AT5G28780	fgenesh1_pg.C_scaffold_2000303, Al_scaffold_0004_728
OG0000009	AT1G44941	scaffold_400377.1
OG0000009	AT2G11035	Al_scaffold_0005_1407
OG0000011	AT3G04210	fgenesh2_kg.3__383__AT3G04210.1
OG0000011	AT5G44510	scaffold_800550.1
OG0000011	AT1G69550	Al_scaffold_0002_1616
OG0000011	AT5G38350	fgenesh2_kg.686__1__AT5G38350.1, Al_scaffold_0007_3913, Al_scaffold_0007_3922, Al_scaffold_0007_3919, Al_scaffold_0007_3916
OG0000011	AT1G65850	Al_scaffold_0002_1132
OG0000011	AT5G11250	Al_scaffold_0006_1036
OG0000011	AT3G25510	Al_scaffold_0007_3284
OG0000011	AT3G44670, AT3G44480, AT3G44630, AT3G44400	Al_scaffold_0005_1195, Al_scaffold_0005_1196
OG0000011	AT2G14080	Al_scaffold_0001_3923, Al_scaffold_0003_3258
OG0000011	AT3G04220	scaffold_800631.1
OG0000013	AT3G57590	fgenesh2_kg.5__2200__AT3G57590.1
OG0000013	AT3G56890	scaffold_502843.1
OG0000013	AT1G47340	fgenesh2_kg.1__3838__AT1G47340.1
OG0000013	AT1G47350	scaffold_104305.1
OG0000013	AT1G30925	scaffold_103460.1
OG0000013	AT1G31163, AT1G30930	scaffold_103464.1, fgenesh1_pg.C_scaffold_1002771, fgenesh1_pg.C_scaffold_1002774, scaffold_103462.1
OG0000013	AT1G67130, AT1G30920, AT5G42430	scaffold_400481.1
OG0000013	AT1G33020	fgenesh2_kg.1__3436__AT1G33020.1
OG0000013	AT1G33010	scaffold_103576.1
OG0000014	AT3G58270	scaffold_503008.1, fgenesh2_kg.5__2272__AT3G58270.1
OG0000014	AT3G58260	scaffold_503006.1
OG0000014	AT2G05420, AT2G05400	fgenesh2_kg.3__2847__AT2G05420.1
OG0000014	AT2G05410	Al_scaffold_0003_2996, Al_scaffold_0003_2994
OG0000014	AT3G58200	fgenesh2_kg.5__2264__AT3G58200.1
OG0000014	AT3G44800	Al_scaffold_0005_1220
OG0000014	AT3G44805, AT3G44790	Al_scaffold_0005_1222
OG0000014	AT3G58210	fgenesh2_kg.5__2265__AT3G58210.1
OG0000014	AT3G58340	Al_scaffold_0005_2754
OG0000014	AT3G58240	Al_scaffold_0005_2742
OG0000014	AT3G58350	fgenesh2_kg.5__2279__AT3G58350.1
OG0000014	AT3G58250	Al_scaffold_0005_2743
OG0000014	AT1G31400	fgenesh1_pg.C_scaffold_1003133
OG0000014	AT1G31380	Al_scaffold_0001_3598
OG0000014	AT3G27040, AT2G01790	fgenesh1_pm.C_scaffold_5000375
OG0000015	AT4G09490	Al_scaffold_0001_5070, Al_scaffold_0002_571
OG0000015	AT3G26855	scaffold_104090.1, scaffold_501139.1, scaffold_500453.1
OG0000015	AT1G10000	scaffold_704337.1, fgenesh1_pg.C_scaffold_251000003, Al_scaffold_0007_516, fgenesh1_pg.C_scaffold_1003140
OG0000016	AT4G13790	fgenesh2_kg.7__2968__AT4G13790.1
OG0000016	AT4G38850	scaffold_700077.1
OG0000016	AT4G38825	fgenesh2_kg.7__81__AT4G38820.1
OG0000016	AT2G21200	fgenesh2_kg.4__36__AT2G21200.1
OG0000016	AT3G03840	fgenesh2_kg.3__338__AT3G03840.1
OG0000016	AT3G03820	scaffold_300370.1
OG0000016	AT5G18020	scaffold_601873.1
OG0000016	AT5G18030	fgenesh2_kg.6__1802__AT5G18060.1
OG0000016	AT5G18060	scaffold_601870.1
OG0000017	AT1G46984	scaffold_104276.1
OG0000017	AT3G49450	scaffold_501934.1, scaffold_501943.1
OG0000017	AT3G10990	fgenesh2_kg.3__1146__AT3G10990.1
OG0000017	AT3G23960	scaffold_302964.1
OG0000017	AT5G44345	scaffold_800573.1
OG0000017	AT5G65850	fgenesh2_kg.8__2636__AT5G65850.1
OG0000018	AT5G41540	Al_scaffold_0007_3497
OG0000018	AT5G41750, AT5G41740	Al_scaffold_0004_1187, Al_scaffold_0007_3474
OG0000018	AT5G41550	Al_scaffold_0007_3494
OG0000018	AT5G40910	Al_scaffold_0007_3559
OG0000018	AT1G56540	fgenesh2_kg.1__4766__AT1G56540.1
OG0000018	AT1G63740	fgenesh2_kg.2__106__AT1G63740.1
OG0000018	AT1G63730	Al_scaffold_0002_117
OG0000018	AT1G63870	Al_scaffold_0002_105
OG0000018	AT2G16870	fgenesh2_kg.3__3266__AT2G16870.1
OG0000018	AT1G64070	Al_scaffold_0002_356
OG0000019	AT5G59670, AT5G59660, AT5G59680, AT5G59650	Al_scaffold_0008_2459
OG0000019	AT3G46340	Al_scaffold_0005_1419
OG0000019	AT3G46400, AT3G46370	Al_scaffold_0005_1420
OG0000019	AT3G46330	Al_scaffold_0005_1418
OG0000019	AT2G29000	scaffold_401359.1
OG0000023	AT5G10340	fgenesh2_kg.6__997__AT5G10340.1
OG0000023	AT4G01640, AT2G34280	Al_scaffold_0004_1906
OG0000023	AT1G11270	Al_scaffold_0005_616, Al_scaffold_0001_1132, fgenesh2_kg.1__1216__AT1G11270.2
OG0000023	AT1G09650	fgenesh2_kg.1__1019__AT1G09650.1
OG0000023	AT1G12490	Al_scaffold_0001_1268
OG0000023	AT5G16285	Al_scaffold_0006_1537
OG0000024	AT1G59780	Al_scaffold_0002_586
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848	Al_scaffold_0002_643
OG0000024	AT1G59620	fgenesh2_kg.2__481__AT1G59620.1
OG0000024	AT1G10920	Al_scaffold_0001_1095
OG0000024	AT1G53350	scaffold_105165.1
OG0000024	AT5G35450, AT5G48620, AT5G43470	Al_scaffold_0008_1120, fgenesh2_kg.8__740__AT5G43470.1, Al_scaffold_0293_1, Al_scaffold_0043_1, Al_scaffold_0625_3
OG0000025	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385	scaffold_800953.1, scaffold_800808.1, scaffold_800810.1, fgenesh2_kg.474__9__AT5G42955.1, fgenesh2_kg.474__14__AT5G42957.1, scaffold_800809.1, scaffold_58500002.1, fgenesh2_kg.585__1__AT5G42955.1, scaffold_47400001.1, fgenesh2_kg.8__538__AT5G42955.1, fgenesh1_pm.C_scaffold_1006000001, scaffold_800803.1, scaffold_800804.1, scaffold_800805.1, scaffold_800806.1, fgenesh2_kg.8__562__AT5G42955.1
