Orthogroup	Arabidopsis_thaliana	Arabis_alpina
OG0000001	AT5G59930, AT4G01350, AT5G59920, AT5G59940	AALP_AA7G198300
OG0000001	AT5G22355	AALP_AAs64104U000300
OG0000001	AT2G04680, AT5G37620	AALP_AA3G359700
OG0000001	AT5G16430	AALP_AA3G335100
OG0000001	AT3G11402, AT3G11390, AT3G11385, AT3G11370	AALP_AA3G146500
OG0000001	AT1G35610, AT3G13760	AALP_AA3G148500
OG0000001	AT3G59120, AT3G59130	AALP_AA5G244900
OG0000001	AT2G02680, AT2G02620, AT2G02690, AT2G02700, AT2G02630, AT2G02610, AT2G02640	AALP_AA5G015600
OG0000001	AT2G13950, AT5G02340, AT2G13900, AT5G02350, AT5G02330, AT5G02360, AT1G53340, AT2G13895	AALP_AA6G338200
OG0000001	AT1G45243	AALP_AA8G022500
OG0000001	AT5G40320, AT2G43220, AT5G44770, AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020, AT2G04500, AT4G14980, AT3G25850, AT1G58037, AT5G45730, AT3G07000, AT3G06990	AALP_AA3G073700
OG0000001	AT1G65180	AALP_AA1G321600
OG0000001	AT1G69150, AT3G43890	AALP_AA7G035800
OG0000001	AT4G11550, AT4G11390, AT4G11540, AT4G01910, AT4G01920, AT4G01930, AT4G01925, AT4G02180, AT4G01740, AT4G02190, AT4G01760	AALP_AA6G033700, AALP_AAs63807U000300, AALP_AA6G018200, AALP_AA6G018400, AALP_AA6G032400, AALP_AA6G026900, AALP_AA6G035300, AALP_AA6G032300
OG0000002	AT2G06555	AALP_AAs55784U000100, AALP_AA5G187200, AALP_AA6G166300
OG0000003	AT3G17270	AALP_AA3G194500
OG0000003	AT2G18780	AALP_AA8G194400
OG0000003	AT3G20700, AT3G20690, AT3G20710, AT1G67450, AT1G59680, AT3G14030, AT3G13680	AALP_AA8G091400
OG0000003	AT3G18980	AALP_AA3G178600
OG0000005	ATMG00810	AALP_AA8G388700
OG0000005	AT4G23160	AALP_AA6G125900
OG0000006	AT4G29090, ATMG01250, ATMG00310	AALP_AA8G430800
OG0000007	AT3G51700, AT3G51690	AALP_AA5G199200
OG0000011	AT5G44510	AALP_AAs64007U000400
OG0000011	AT5G11250	AALP_AAs63547U000100, AALP_AAs63547U000200
OG0000011	AT3G25510, AT3G44670, AT3G44480, AT3G44630, AT3G44400	AALP_AA5G017300
OG0000013	AT3G57590, AT3G57580, AT3G56890	AALP_AA5G165700, AALP_AA5G184800, AALP_AA5G216100
OG0000013	AT2G23160, AT1G47300, AT1G47340, AT1G47350	AALP_AA5G098000
OG0000013	AT1G30925	AALP_AA3G360300
OG0000013	AT1G31163, AT1G30930	AALP_AA1G315800, AALP_AA1G315900
OG0000014	AT3G58380	AALP_AA5G232300
OG0000014	AT3G58370	AALP_AA2G066700
OG0000014	AT3G58200	AALP_AA5G226800
OG0000014	AT3G44800, AT3G44805, AT3G44790	AALP_AA5G206400, AALP_AA5G206600, AALP_AA3G352100, AALP_AA5G227800, AALP_AA5G227100, AALP_AA5G227000
OG0000014	AT3G58210	AALP_AA5G227600
OG0000014	AT3G58340	AALP_AA6G178800
OG0000014	AT3G58360	AALP_AA5G229300
OG0000014	AT3G58350, AT3G58400	AALP_AA5G228800
OG0000016	AT4G13790	AALP_AA4G100300
OG0000016	AT4G38850	AALP_AA7G266100
OG0000016	AT3G03840	AALP_AA3G033100
OG0000016	AT3G03820	AALP_AA3G033500, AALP_AA3G032900, AALP_AA3G031600, AALP_AAs63894U000100
OG0000016	AT3G03850, AT3G03830	AALP_AA3G033200
OG0000016	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010	AALP_AA8G195400, AALP_AA8G195900, AALP_AA8G195200, AALP_AA8G195500, AALP_AA8G193900
OG0000017	AT2G31470	AALP_AA1G335500
OG0000018	AT5G41750, AT5G41740, AT5G41550	AALP_AA7G219900
OG0000018	AT5G35510	AALP_AA8G239800
OG0000018	AT5G40910	AALP_AA6G323400, AALP_AA6G323600
OG0000018	AT1G63740	AALP_AA3G061300, AALP_AA3G061400
OG0000018	AT1G63730	AALP_AA3G060200, AALP_AA3G061500
OG0000019	AT1G49100	AALP_AA4G041600
OG0000019	AT1G51810	AALP_AA4G041500
OG0000019	AT1G51805, AT1G51830, AT1G51850, AT1G51820	AALP_AA8G474600
OG0000019	AT5G59670, AT5G59660, AT5G59680	AALP_AA8G391800, AALP_AA8G391600, AALP_AA8G392000
OG0000019	AT5G16900, AT1G07560	AALP_AA1G076100
OG0000023	AT1G11270	AALP_AA6G080600
OG0000029	AT5G03100	AALP_AA8G021700
OG0000029	AT3G28410, AT5G02700	AALP_AAs42163U000200
OG0000030	AT1G63070, AT1G63080, AT1G62930, AT1G63130, AT1G63320, AT1G62670, AT1G63150, AT1G62910, AT1G63330, AT1G62590, AT1G63400, AT1G62914	AALP_AA2G029900
OG0000031	AT5G56410, AT5G62970, AT5G11370	AALP_AA8G116400
OG0000031	AT3G54910	AALP_AA8G107400, AALP_AA5G194400
