Orthogroup	Brassica_oleracea	Boechera_stricta
OG0000000	Bo3g064030, Bo00792s010, Bo1g086150, Bo9g018130, Bo2g092970, Bo2g158940, Bo8g058390, Bo5g113970, Bo8g095440, Bo13907s010, Bo3g134310, Bo3g024570, Bo7g080910, Bo5g143040, Bo3g001670, Bo06661s010, Bo4g026460, Bo9g151700	Bostr.18351s0243.1.p
OG0000001	Bo3g017640	Bostr.26570s0001.1.p, Bostr.10064s0003.1.p, Bostr.7365s0075.1.p, Bostr.26833s0241.1.p
OG0000001	Bo1g152000, Bo1g151990, Bo5g148060, Bo5g148070	Bostr.22157s0115.1.p, Bostr.22157s0143.1.p, Bostr.22157s0119.1.p, Bostr.22157s0122.1.p, Bostr.22157s0151.1.p, Bostr.22157s0180.1.p
OG0000001	Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010	Bostr.14547s0001.1.p, Bostr.15654s0034.1.p, Bostr.15654s0033.1.p
OG0000001	Bo7g114000, Bo1g015000, Bo01092s020, Bo01092s010, Bo1g015020	Bostr.2021s0040.1.p, Bostr.13083s0008.1.p, Bostr.12468s0001.1.p
OG0000001	Bo3g027900	Bostr.30275s0034.1.p
OG0000001	Bo1g017820, Bo1g055250	Bostr.9017s0004.1.p, Bostr.10040s0009.1.p, Bostr.2021s0062.1.p, Bostr.10064s0015.1.p, Bostr.20055s0060.1.p, Bostr.2902s0370.1.p
OG0000001	Bo3g065720	Bostr.3640s0172.1.p
OG0000001	Bo6g024760, Bo5g076350	Bostr.26675s0150.1.p
OG0000001	Bo4g038580, Bo4g183280	Bostr.14881s0006.1.p
OG0000001	Bo6g094160	Bostr.22157s0109.1.p
OG0000001	Bo7g005620	Bostr.14547s0002.1.p
OG0000001	Bo9g027360	Bostr.0597s0117.1.p, Bostr.0597s0144.1.p, Bostr.0597s0106.1.p, Bostr.0597s0104.1.p
OG0000001	Bo6g099660	Bostr.29827s0116.1.p, Bostr.1040s0025.1.p
OG0000001	Bo5g103520	Bostr.22252s0380.1.p, Bostr.2983s0057.1.p
OG0000001	Bo5g151530	Bostr.19424s0253.1.p
OG0000001	Bo7g085670	Bostr.0682s0001.1.p, Bostr.30201s0001.1.p
OG0000001	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	Bostr.25463s0173.1.p, Bostr.25463s0254.1.p, Bostr.25463s0256.1.p, Bostr.25463s0097.1.p, Bostr.3288s0132.1.p, Bostr.25463s0044.1.p, Bostr.25463s0208.1.p, Bostr.25463s0152.1.p, Bostr.25463s0205.1.p, Bostr.25463s0311.1.p, Bostr.2983s0204.1.p, Bostr.25463s0348.1.p, Bostr.7200s0093.1.p, Bostr.13158s0007.1.p, Bostr.10058s0049.1.p
OG0000002	Bo6g084960, Bo4g173490, Bo8g102470, Bo5g128890, Bo7g101230, Bo8g090930, Bo9g120250, Bo4g112940, Bo6g094490, Bo1g048270, Bo2g131750, Bo01596s030, Bo5g023640, Bo3g022090, Bo5g017920, Bo4g056280, Bo8g001140, Bo5g062500, Bo7g039120, Bo9g084430, Bo3g003580, Bo26202s010, Bo3g147680, Bo1g101570, Bo1g028530, Bo6g008140, Bo9g078440, Bo6g008150, Bo4g173520, Bo2g111780, Bo5g030780	Bostr.19424s0975.1.p, Bostr.29863s0004.1.p, Bostr.5763s0077.1.p, Bostr.28625s0263.1.p
