Orthogroup	Thellungiella_parvula	Tarenaya_hassleriana
OG0000001	Sp5g15690.1, Sp7g16340.1	Th2v11594, Th2v11570, Th2v11595, Th2v05875, Th2v20978, Th2v00366, Th2v17499
OG0000001	Sp7g11380.1	Th2v03607
OG0000001	Sp2g04140.1, Sp4g05840.1, SpUn0059_0030.1, Sp3g32270.1, Sp6g07250.1, Sp6g05515.1, Sp3g19190.1	Th2v10283, Th2v10284
OG0000003	Sp4g17180.1, Sp3g22340.1, Sp3g14050.1, Sp3g18730.1, Sp7g11920.1, Sp3g17310.1, Sp4g16570.1, Sp3g21250.1, Sp3g15660.1	Th2v26263
OG0000005	Sp1g32425.1	Th2v31456, Th2v00378, Th2v22260
OG0000005	Sp2g07455.1, Sp1g31095.1	Th2v09257
OG0000005	Sp3g27245.1	Th2v29892
OG0000007	SpUn0003_0370.1	Th2v07794, Th2v29692
OG0000007	SpUn1097_0010.1	Th2v05750, Th2v09316
OG0000009	Sp4g01340.1	Th2v23893
OG0000009	Sp4g10390.1	Th2v12470, Th2v27495, Th2v27998, Th2v29745, Th2v29860, Th2v30377, Th2v23570, Th2v22064, Th2v30179, Th2v30620, Th2v30374, Th2v02210, Th2v13123, Th2v30641, Th2v30134, Th2v16145, Th2v30636, Th2v01122, Th2v17854, Th2v28931, Th2v13128, Th2v18226, Th2v18225, Th2v19783, Th2v03644, Th2v28697, Th2v09745, Th2v21857, Th2v12584, Th2v26423, Th2v23827, Th2v27336, Th2v30311, Th2v24639, Th2v01203, Th2v11223, Th2v28165, Th2v29986, Th2v27753, Th2v07397, Th2v13153, Th2v23506, Th2v22617, Th2v02557, Th2v29597, Th2v29924, Th2v29832, Th2v31343, Th2v30267, Th2v31528, Th2v23485, Th2v07484, Th2v15788, Th2v30327, Th2v07802, Th2v27834, Th2v19102, Th2v30357, Th2v28566, Th2v28833, Th2v31060, Th2v23909, Th2v30607, Th2v19360, Th2v30866, Th2v29872, Th2v30171, Th2v10615, Th2v29064, Th2v21373, Th2v30810, Th2v30888, Th2v30317, Th2v07502, Th2v10993, Th2v17451, Th2v03585, Th2v23222, Th2v25091, Th2v17435, Th2v19669, Th2v17957, Th2v30942, Th2v22057, Th2v24266, Th2v28880, Th2v30991, Th2v13143, Th2v08131, Th2v27228, Th2v30493, Th2v29750, Th2v30777, Th2v31043, Th2v29039, Th2v29664, Th2v10432, Th2v27894, Th2v29309, Th2v29025, Th2v02789, Th2v23229, Th2v23231, Th2v27711, Th2v29773, Th2v20604, Th2v24330, Th2v30678, Th2v29637, Th2v26635, Th2v14246, Th2v19838, Th2v22066, Th2v26909, Th2v29015, Th2v29477, Th2v09454, Th2v28392, Th2v15712, Th2v30387, Th2v30809, Th2v25144, Th2v17348, Th2v25431, Th2v21315, Th2v30682, Th2v17327, Th2v14345, Th2v22169, Th2v31044, Th2v24482, Th2v05323, Th2v24256, Th2v30597, Th2v28868, Th2v21468, Th2v13142, Th2v09311, Th2v31362, Th2v29598, Th2v03368, Th2v05206, Th2v21357, Th2v11588, Th2v05368, Th2v03125, Th2v11101, Th2v28975, Th2v30344, Th2v12476, Th2v30416, Th2v11086, Th2v30051, Th2v30497, Th2v21610, Th2v26854, Th2v25754, Th2v30209
OG0000014	Sp1g34680.1, Sp6g09200.1, Sp5g04453.1, Sp5g04480.1, Sp5g04457.1, Sp5g04460.1, Sp5g04500.1	Th2v03495
OG0000016	Sp7g11580.1	Th2v02301, Th2v12576
OG0000016	Sp4g00370.1, Sp4g00380.1, Sp6g26270.1, Sp6g26240.1, Sp3g02810.1, Sp3g02800.1, Sp6g26280.1, Sp6g26260.1	Th2v19148, Th2v19151, Th2v28793
OG0000017	Sp1g33140.1, Sp1g34250.1, Sp1g27840.1, Sp5g12630.1, Sp3g17210.1, Sp4g14420.1, SpUn0074_0030.1	Th2v01232
OG0000018	Sp7g00500.1, Sp7g00490.1, Sp7g00350.1, Sp2g00780.1, Sp2g00920.1, Sp5g13400.1, Sp2g00800.1, Sp2g00810.1	Th2v00785, Th2v23478
OG0000019	Sp4g11780.1	Th2v07540
OG0000019	Sp4g10470.1, Sp3g19400.1, Sp1g38470.1, Sp1g38480.1	Th2v21173, Th2v23895, Th2v27433, Th2v21892, Th2v23892, Th2v23894, Th2v21895
OG0000019	Sp1g34570.1	Th2v15742, Th2v07538, Th2v07539
OG0000023	Sp1g27610.1	Th2v00745
