Orthogroup	Brassica_rapa	Brassica_oleracea
OG0000000	Bra010778, Bra024668	Bo4g191170, Bo2g094580
OG0000000	Bra010157	Bo4g184490, Bo00835s010, Bo6g072690, Bo1g040470, Bo4g154340, Bo7g096620, Bo7g098160, Bo6g095420, Bo7g062010, Bo01726s010, Bo4g050630, Bo6g113190, Bo4g039920, Bo06163s010, Bo3g035520, Bo6g094220, Bo3g083240, Bo5g062940, Bo5g036330, Bo8g069730, Bo1g001110, Bo2g094950, Bo2g052620, Bo6g081270, Bo5g126980, Bo4g027310, Bo4g120040, Bo4g027350, Bo4g117220, Bo9g181880, Bo2g044460, Bo2g029150, Bo4g151160, Bo1g046700, Bo3g149820, Bo6g029230, Bo4g173210, Bo2g158780, Bo7g009560, Bo3g024410, Bo9g126110, Bo00835s020, Bo7g005320, Bo3g172340, Bo09159s010, Bo11807s010, Bo8g059980, Bo5g019530, Bo6g086620, Bo4g124110, Bo08612s010, Bo4g165110, Bo06544s010, Bo3g027600, Bo4g166780, Bo7g078400, Bo6g027840, Bo2g025020, Bo7g096370, Bo9g111200, Bo4g096680, Bo6g079530, Bo4g027040, Bo7g057790, Bo8g094820, Bo2g136260, Bo3g108120, Bo00629s040, Bo1g153340, Bo7g113090, Bo9g154230, Bo8g099480, Bo7g105920, Bo4g024600, Bo00934s060, Bo00934s070, Bo5g034150, Bo01385s010, Bo6g039820, Bo4g182900, Bo3g028470, Bo9g059720, Bo6g108880, Bo1g021900, Bo3g103430, Bo1g087790, Bo01162s030, Bo5g040990, Bo6g114680, Bo6g087650, Bo5g025200, Bo2g068020, Bo5g059870, Bo7g014340, Bo05277s010, Bo1g138920, Bo5g098040, Bo9g008600, Bo9g181740, Bo8g027450, Bo5g018080, Bo7g119400, Bo9g166740, Bo9g048730, Bo2g079220, Bo1g108610, Bo9g024340, Bo7g095500, Bo4g098390, Bo2g075500, Bo2g094960, Bo07982s010, Bo3g097590, Bo2g046240, Bo6g034630, Bo7g005520, Bo01025s020, Bo9g058700, Bo3g140000, Bo01210s030, Bo2g127220, Bo1g084590, Bo4g094140, Bo7g080970, Bo4g013250, Bo2g051260, Bo7g040550, Bo3g071280, Bo07288s010, Bo1g075720, Bo8g118230, Bo9g133160, Bo9g142460, Bo9g151730, Bo3g022710, Bo6g072870, Bo6g082130, Bo5g017240, Bo8g065600, Bo2g082660, Bo6g115970, Bo2g116520, Bo6g094260, Bo5g064460, Bo2g062810, Bo01784s010, Bo8g115610, Bo18932s010, Bo4g086770, Bo9g021980, Bo4g101290, Bo4g194090, Bo5g104910, Bo5g092860, Bo02048s010, Bo9g036940, Bo8g105020, Bo6g027830, Bo00902s040, Bo8g001060, Bo6g082030, Bo4g076810, Bo2g136300, Bo4g162560, Bo5g131950, Bo33022s010, Bo1g060500, Bo6g022230, Bo6g040110, Bo9g174020, Bo9g094300, Bo7g084270, Bo8g065580, Bo8g065590, Bo7g084250, Bo4g139250, Bo2g094710, Bo4g096980, Bo00853s050, Bo4g056320, Bo7g064310, Bo1g073670, Bo1g144180, Bo6g103770, Bo5g020080, Bo7g003430, Bo8g059900, Bo5g123140, Bo7g047100, Bo2g148110, Bo1g043000, Bo8g071520, Bo7g061280, Bo2g055580, Bo8g051480, Bo2g028170, Bo5g076320, Bo3g152920, Bo5g057420, Bo9g165580, Bo4g169310, Bo3g018190, Bo1g022490, Bo7g050610, Bo05106s010, Bo4g111430, Bo6g029410, Bo2g017940, Bo5g120010, Bo4g191710, Bo7g059730, Bo3g040430, Bo8g095990, Bo3g048550, Bo4g137280, Bo2g051090, Bo6g095290, Bo3g021550, Bo9g168910, Bo1g123030, Bo3g149610, Bo9g051020, Bo4g120600, Bo4g167900, Bo6g035940, Bo1g134890, Bo1g050710, Bo7g058220, Bo4g137310, Bo2g097440, Bo7g096130, Bo7g077200, Bo6g109200, Bo8g067540, Bo7g064490, Bo5g091660, Bo10453s010, Bo2g150280, Bo6g073240, Bo7g090930, Bo00954s030, Bo1g051070, Bo1g073580, Bo8g070740, Bo3g010040, Bo1g114610, Bo4g112730, Bo01027s020, Bo02425s010, Bo3g052630, Bo6g068450, Bo4g024910, Bo7g078530, Bo1g010970, Bo8g004300, Bo3g001760, Bo4g021540, Bo3g078770, Bo1g139570, Bo9g032370, Bo5g016680, Bo1g006010, Bo6g068070, Bo3g069040, Bo9g141140, Bo2g052540, Bo7g104760, Bo7g096450, Bo6g086840, Bo9g120570, Bo2g094910, Bo4g059560, Bo1g101730, Bo1g122740, Bo9g151690, Bo4g161430, Bo1g011480, Bo7g038730, Bo9g136900, Bo3g097950, Bo5g009650, Bo9g097140, Bo6g109140, Bo5g111180, Bo9g046460, Bo4g183290, Bo3g045770, Bo2g155130, Bo4g050930, Bo5g041290, Bo2g134140, Bo4g080010, Bo2g050440, Bo2g133840, Bo6g055870, Bo3g107300, Bo5g123730, Bo3g003540, Bo2g136800, Bo1g047980, Bo3g170900, Bo9g117520, Bo5g075220, Bo9g024470, Bo8g067190, Bo7g096510, Bo7g093300, Bo4g050990, Bo1g134340, Bo7g102580, Bo4g027150, Bo17148s010, Bo3g102950, Bo4g026450, Bo5g025190, Bo6g074860, Bo5g148650, Bo2g120800, Bo3g076310, Bo9g171850, Bo9g154110, Bo7g065560, Bo9g181230, Bo2g092350, Bo3g045780, Bo7g048340, Bo8g058940, Bo5g123480, Bo8g095740, Bo6g055890, Bo4g094170, Bo6g084830, Bo4g094410, Bo2g130280, Bo01180s020, Bo1g040060, Bo9g169240, Bo2g085120, Bo5g037370, Bo3g173540, Bo6g092830, Bo7g099420, Bo6g064810, Bo1g101300, Bo8g069930, Bo2g007200, Bo6g074530, Bo6g099380, Bo5g027840, Bo2g024270, Bo5g027640, Bo9g035270, Bo3g043180, Bo4g039340, Bo8g097980, Bo4g103700, Bo7g049900, Bo9g024270, Bo6g005770, Bo9g117250, Bo1g017180, Bo5g019460, Bo4g142490, Bo1g008550, Bo8g004340, Bo9g164030, Bo4g033470, Bo25775s010, Bo6g094800, Bo5g017640, Bo00826s020, Bo3g101480, Bo4g154640, Bo6g018160, Bo3g017150, Bo3g145190, Bo3g068000, Bo3g022000, Bo3g164160, Bo4g013190, Bo5g010820, Bo4g151110, Bo5g027920, Bo8g045990, Bo6g066370, Bo2g147780, Bo9g166810, Bo9g018650, Bo7g030630, Bo4g136520, Bo3g173490, Bo9g034130, Bo6g116680, Bo5g133070, Bo2g042190, Bo7g106780, Bo3g096390, Bo4g056170, Bo1g030700, Bo9g091310, Bo7g084360, Bo9g084300, Bo1g051710, Bo2g076760, Bo2g066790, Bo7g059540, Bo9g026150, Bo01179s010, Bo01334s030, Bo8g019310, Bo7g057640, Bo4g034540, Bo1g049580, Bo9g017670, Bo9g059280, Bo5g004990, Bo6g103940, Bo7g111580, Bo3g175770, Bo2g108750, Bo1g005340, Bo9g169280, Bo9g166310, Bo1g110070, Bo4g142660, Bo2g136980, Bo2g057600, Bo9g174600, Bo3g153560, Bo4g045560, Bo4g047340, Bo2g041400, Bo1g003700, Bo5g013570, Bo1g080170, Bo1g046600, Bo1g014410, Bo3g048360, Bo18550s010, Bo2g027090, Bo2g027040, Bo8g050540, Bo5g052050, Bo3g054900, Bo7g081620, Bo3g155670, Bo1g118980, Bo7g048360, Bo7g064950, Bo00285s500, Bo3g007380, Bo3g017070, Bo4g133460, Bo4g006910, Bo1g020280, Bo8g028610, Bo3g065980, Bo7g065430, Bo5g054630, Bo6g030640, Bo3g003570, Bo01233s020, Bo4g098300, Bo2g110740, Bo3g064040, Bo3g091650, Bo2g146270, Bo4g165370, Bo4g098670, Bo3g046960, Bo9g023840, Bo4g130750, Bo5g062850, Bo7g048460, Bo4g130730, Bo6g047870, Bo01633s020, Bo04902s010, Bo8g009590, Bo6g080690, Bo4g139710, Bo2g086480, Bo6g098810, Bo6g106770, Bo2g080460, Bo7g048200, Bo5g030360, Bo5g138030, Bo9g130850, Bo01173s010, Bo1g117470, Bo7g064810, Bo7g100530, Bo8g100710, Bo2g138530, Bo6g094270, Bo8g045900, Bo2g158930, Bo10376s010, Bo4g195540, Bo6g074550, Bo3g034910, Bo9g009150, Bo3g038860, Bo6g067900, Bo3g035010, Bo27637s010, Bo8g094350, Bo4g118540, Bo7g079910, Bo2g131420, Bo3g143290, Bo9g058620, Bo6g118400, Bo6g016960, Bo1g070620, Bo01073s030, Bo1g054840, Bo3g141370, Bo7g021590, Bo9g135140, Bo9g135750, Bo1g055480, Bo1g116220, Bo6g098850, Bo7g080750, Bo9g109850, Bo5g025080, Bo2g134330, Bo6g074450, Bo8g087000, Bo4g052470, Bo5g113650, Bo9g058850, Bo4g043880, Bo1g103530, Bo4g086890, Bo6g031390, Bo8g092660, Bo2g040100, Bo8g067900, Bo9g076280
OG0000001	Bra020274	Bo3g017640
OG0000001	Bra001113	Bo1g152000, Bo1g151990, Bo5g148060, Bo5g148070
OG0000001	Bra028463	Bo6g094700
OG0000001	Bra036712	Bo9g027820
OG0000001	Bra017007	Bo4g190070, Bo4g190080
OG0000001	Bra024127	Bo7g114000
OG0000001	Bra011134	Bo1g015000, Bo01092s020, Bo01092s010, Bo1g015020
OG0000001	Bra033522	Bo1g055250
