"chrom","chromStart","chromEnd","TranscriptID","GeneID","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","MatureLength","Type","BioType","ConfidenceLevel","ConservationType"
"Chr1",10590655,10590900,"AT1G06307.1","AT1G06307",0,"-",10590900,10590900,0,1,"245,","0,",245,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",10775822,10776027,"AT1G06327.1","AT1G06327",0,"+",10776027,10776027,0,1,"205,","0,",205,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",10775859,10776319,"AT1G06333.1","AT1G06333",0,"-",10776319,10776319,0,1,"460,","0,",460,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",10803627,10803853,"AT1G06343.1","AT1G06343",0,"-",10803853,10803853,0,1,"226,","0,",226,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",10921834,10922072,"AT1G06353.1","AT1G06353",0,"-",10922072,10922072,0,1,"238,","0,",238,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",10954287,10954711,"AT1G06373.1","AT1G06373",0,"+",10954711,10954711,0,1,"424,","0,",424,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",11016491,11016886,"AT1G06387.1","AT1G06387",0,"+",11016886,11016886,0,1,"395,","0,",395,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",11061424,11061700,"AT1G06403.1","AT1G06403",0,"-",11061700,11061700,0,1,"276,","0,",276,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",11300617,11300966,"AT1G06443.1","AT1G06443",0,"-",11300966,11300966,0,1,"349,","0,",349,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",11300692,11301038,"AT1G06447.1","AT1G06447",0,"+",11301038,11301038,0,1,"346,","0,",346,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",11598338,11598718,"AT1G06527.1","AT1G06527",0,"+",11598718,11598718,0,1,"380,","0,",380,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",11686327,11686618,"AT1G06557.1","AT1G06557",0,"+",11686618,11686618,0,1,"291,","0,",291,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",11813291,11813591,"AT1G06603.1","AT1G06603",0,"-",11813591,11813591,0,1,"300,","0,",300,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",11927721,11928216,"AT1G06627.1","AT1G06627",0,"-",11928216,11928216,0,1,"495,","0,",495,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",11927898,11928260,"AT1G06633.1","AT1G06633",0,"+",11928260,11928260,0,1,"362,","0,",362,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",12233005,12233266,"AT1G06707.1","AT1G06707",0,"+",12233266,12233266,0,1,"261,","0,",261,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12643647,12643882,"AT1G06777.1","AT1G06777",0,"-",12643882,12643882,0,1,"235,","0,",235,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12643680,12643997,"AT1G06783.1","AT1G06783",0,"+",12643997,12643997,0,1,"317,","0,",317,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12766262,12766651,"AT1G34792.1","AT1G34792",0,"-",12766651,12766651,0,1,"389,","0,",389,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12769643,12770131,"AT1G34795.1","AT1G34795",0,"-",12770131,12770131,0,1,"488,","0,",488,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12773163,12773442,"AT1G34800.1","AT1G34800",0,"-",12773442,12773442,0,1,"279,","0,",279,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12776577,12776856,"AT1G34805.1","AT1G34805",0,"-",12776856,12776856,0,1,"279,","0,",279,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12779991,12780270,"AT1G34810.1","AT1G34810",0,"-",12780270,12780270,0,1,"279,","0,",279,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12783405,12783684,"AT1G34815.1","AT1G34815",0,"-",12783684,12783684,0,1,"279,","0,",279,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12786816,12787095,"AT1G34820.1","AT1G34820",0,"-",12787095,12787095,0,1,"279,","0,",279,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12790121,12790605,"AT1G34825.1","AT1G34825",0,"-",12790605,12790605,0,1,"484,","0,",484,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",12793535,12794023,"AT1G34830.1","AT1G34830",0,"-",12794023,12794023,0,1,"488,","0,",488,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",1299552,1299796,"AT1G04283.1","AT1G04283",0,"+",1299796,1299796,0,1,"244,","0,",244,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",13042972,13043377,"AT1G06897.1","AT1G06897",0,"-",13043377,13043377,0,1,"405,","0,",405,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",13107633,13108236,"AT1G06907.1","AT1G06907",0,"-",13108236,13108236,0,2,"179,294,","0,309,",473,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",13635672,13636083,"AT1G06967.1","AT1G06967",0,"+",13636083,13636083,0,1,"411,","0,",411,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",13657061,13657390,"AT1G06973.1","AT1G06973",0,"-",13657390,13657390,0,1,"329,","0,",329,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",13974516,13975976,"AT1G36910.1","AT1G36910",0,"-",13975976,13975976,0,1,"1460,","0,",1460,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",13987860,13988496,"AT1G06997.1","AT1G06997",0,"-",13988496,13988496,0,1,"636,","0,",636,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",14607832,14608653,"AT1G39350.1","AT1G39350",0,"-",14608653,14608653,0,4,"65,69,88,18,","0,473,624,803,",240,"multiexonic","lincRNA","LC","Species-specific"
"Chr1",1461933,1462157,"AT1G04327.1","AT1G04327",0,"+",1462157,1462157,0,1,"224,","0,",224,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",1462042,1462340,"AT1G04333.1","AT1G04333",0,"-",1462340,1462340,0,1,"298,","0,",298,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",14656852,14657326,"AT1G39430.1","AT1G39430",0,"-",14657326,14657326,0,3,"95,77,92,","0,215,382,",264,"multiexonic","lincRNA","LC","Species-specific"
"Chr1",14701717,14703805,"AT1G39060.1","AT1G39060",0,"+",14703805,14703805,0,6,"4,20,20,19,134,37,","0,621,780,939,1256,2051,",234,"multiexonic","lincRNA","HC","Species-specific"
"Chr1",14918652,14919588,"AT1G40081.1","AT1G40081",0,"+",14919588,14919588,0,1,"936,","0,",936,"monoexonic","lincRNA","LC","Species-specific"
"Chr1",14930277,14932360,"AT1G40086.1","AT1G40086",0,"+",14932360,14932360,0,7,"10,74,95,44,20,20,37,","0,91,461,1012,1094,1729,2046,",300,"multiexonic","lincRNA","HC","Species-specific"
"Chr1",1496734,1497102,"AT1G04337.1","AT1G04337",0,"+",1497102,1497102,0,1,"368,","0,",368,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",15013791,15014764,"AT1G40090.1","AT1G40090",0,"+",15014764,15014764,0,3,"4,20,195,","0,142,778,",219,"multiexonic","lincRNA","HC","Species-specific"
"Chr1",15057068,15058112,"AT1G40099.1","AT1G40099",0,"+",15058112,15058112,0,1,"1044,","0,",1044,"monoexonic","lincRNA","LC","Species-specific"
"Chr1",1538272,1538484,"AT1G04373.1","AT1G04373",0,"-",1538484,1538484,0,1,"212,","0,",212,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",15422186,15422672,"AT1G40076.1","AT1G40076",0,"+",15422672,15422672,0,1,"486,","0,",486,"monoexonic","lincRNA","LC","Species-specific"
"Chr1",1542968,1543287,"AT1G04377.1","AT1G04377",0,"-",1543287,1543287,0,1,"319,","0,",319,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",1543156,1543394,"AT1G04383.1","AT1G04383",0,"+",1543394,1543394,0,1,"238,","0,",238,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",15855844,15856162,"AT1G42385.1","AT1G42385",0,"-",15856162,15856162,0,1,"318,","0,",318,"monoexonic","lincRNA","LC","Species-specific"
"Chr1",16011819,16012506,"AT1G42602.1","AT1G42602",0,"+",16012506,16012506,0,1,"687,","0,",687,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
