Orthogroup	Arabidopsis_thaliana	Brassica_rapa
OG0000000	AT2G13770	Bra010778, Bra024668
OG0000000	AT5G35490	Bra010157
OG0000001	AT4G01350, AT5G59920	Bra020274
OG0000001	AT5G59940	Bra001113
OG0000001	AT3G45840	Bra028463
OG0000001	AT2G19650	Bra017007
OG0000001	AT4G13992	Bra033522
OG0000001	AT1G35610, AT3G13760	Bra034707, Bra022059
OG0000001	AT1G50190	Bra040666
OG0000001	AT2G23100, AT5G42280, AT1G55380, AT1G55420, AT1G55430, AT1G55390, AT1G55440	Bra030863, Bra030864
OG0000001	AT5G03355	Bra012410
OG0000001	AT5G01480	Bra004233
OG0000001	AT1G34480	Bra004142
OG0000001	AT3G21210	Bra031262
OG0000001	AT5G40320	Bra025591
OG0000001	AT2G43220	Bra040143
OG0000001	AT5G44770, AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020, AT2G04500, AT4G14980, AT3G25850	Bra040595
OG0000001	AT4G11550, AT4G11390, AT4G11540, AT4G01910, AT4G01920, AT4G01930, AT4G01925, AT4G02180, AT4G01740, AT4G02190, AT4G01760	Bra036235, Bra036288
OG0000003	AT3G17570	Bra001667, Bra021255
OG0000003	AT3G24580, AT3G22770, AT3G19470, AT3G20400, AT3G23420	Bra040098
OG0000003	AT3G20700, AT3G20690, AT3G20710	Bra022455, Bra035754
OG0000003	AT1G59680	Bra018376
OG0000003	AT3G13680	Bra017242, Bra017228, Bra041044, Bra041045, Bra017247
OG0000003	AT1G25141, AT3G25460	Bra013220
OG0000003	AT5G47300	Bra034129
OG0000003	AT3G22700, AT3G22710, AT3G22720, AT3G22350	Bra001883
OG0000003	AT2G04920	Bra028319
OG0000005	ATMG00810	Bra017773
OG0000006	AT4G29090, ATMG01250	Bra033926
OG0000007	AT5G28780	Bra023216, Bra008093
OG0000009	AT3G27590	Bra003264
OG0000011	AT3G04210	Bra010590, Bra010588, Bra010663, Bra010589, Bra010496, Bra017807
OG0000011	AT5G11250	Bra027510, Bra006095, Bra006556, Bra006094, Bra006146, Bra006093
OG0000011	AT3G25510, AT3G44670, AT3G44480, AT3G44630, AT3G44400	Bra036413, Bra036417, Bra038872
OG0000011	AT2G14080	Bra036799
OG0000013	AT3G57580, AT3G56890	Bra007406
OG0000013	AT1G47300	Bra014047
OG0000013	AT1G47340, AT1G47350	Bra014211, Bra014075
OG0000013	AT1G30925	Bra034647
OG0000014	AT3G58270	Bra003329, Bra003328
OG0000014	AT2G05420, AT2G05400, AT2G05410	Bra014088
OG0000014	AT3G58380	Bra007387, Bra007389, Bra007388, Bra007386
OG0000014	AT3G58410	Bra014572
OG0000014	AT3G58340	Bra007390
OG0000014	AT3G58360	Bra014575, Bra014574
OG0000014	AT3G58350, AT3G58400	Bra003330
OG0000015	AT4G09490	Bra023133, Bra005292, Bra038808, Bra004304
OG0000015	AT3G26855	Bra032513, Bra016418
OG0000015	AT1G10000	Bra036505, Bra040556, Bra028797, Bra030904, Bra032440, Bra020642, Bra015270, Bra038141
OG0000016	AT4G13790	Bra032736
OG0000016	AT4G38850	Bra033580
OG0000016	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010	Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656
OG0000017	AT1G46984	Bra033908, Bra033850, Bra000514
OG0000017	AT3G49450	Bra017982, Bra017983
OG0000017	AT2G31470	Bra009129, Bra009128, Bra021730
OG0000017	AT3G10990, AT3G23960	Bra021767, Bra021785, Bra021783, Bra021782, Bra021784, Bra021781, Bra021788, Bra021768, Bra023809, Bra027364, Bra021780, Bra021786, Bra021789, Bra021769, Bra021772, Bra037636, Bra039989
OG0000018	AT5G41540	Bra028499
OG0000018	AT5G35510	Bra025494
OG0000018	AT5G40910	Bra036019
OG0000018	AT5G38850	Bra032045
OG0000018	AT1G63740, AT1G63730	Bra027660, Bra027791, Bra027790
OG0000018	AT1G63870	Bra027778
OG0000018	AT1G63860	Bra027779
OG0000019	AT2G28990	Bra035657
OG0000019	AT3G21340	Bra001827
OG0000019	AT2G04300	Bra031276
OG0000019	AT1G51805	Bra030414, Bra018933
OG0000019	AT5G59670, AT5G59660	Bra006700
OG0000019	AT3G46340	Bra019608, Bra018213
OG0000019	AT3G46330	Bra033825
OG0000019	AT4G20450	Bra020918
OG0000019	AT2G14440, AT2G14510	Bra015587
OG0000019	AT1G07560	Bra031584
OG0000023	AT5G10340	Bra024648, Bra024647
OG0000023	AT1G11270	Bra031743, Bra026587, Bra013543, Bra020901
OG0000023	AT1G09650, AT1G12490, AT5G16285	Bra009957, Bra009956
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410	Bra027866
OG0000024	AT1G59620	Bra027834, Bra036206, Bra035424
OG0000024	AT1G10920, AT1G53350	Bra018448
OG0000029	AT5G03100	Bra003852
OG0000029	AT3G28410, AT5G02700	Bra005753
OG0000029	AT5G02930, AT5G02920	Bra027905, Bra027903, Bra027901
OG0000029	AT5G02910	Bra009558
OG0000031	AT2G26860	Bra032036, Bra032049
OG0000031	AT5G38570, AT5G38565, AT5G38580, AT5G38590	Bra030421, Bra028194
OG0000031	AT3G54910	Bra002819, Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112
OG0000032	AT5G38260	Bra025543
OG0000032	AT1G36005, AT1G66920	Bra034039, Bra004199
OG0000032	AT1G66910	Bra034042, Bra004198, Bra038467
OG0000033	AT1G62630, AT1G63360, AT1G63350	Bra031482
OG0000033	AT1G12280	Bra015597
OG0000033	AT1G12210	Bra019755, Bra026682, Bra026978, Bra026924, Bra026923, Bra026977
OG0000033	AT1G12220	Bra016785
OG0000033	AT1G12290	Bra026979
OG0000037	AT3G53750, AT2G37620	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010
OG0000037	AT3G18780, AT1G49240	Bra037560
OG0000037	AT3G12110	Bra034778
OG0000037	AT3G46520, AT5G59370	Bra006719, Bra018210, Bra002571, Bra019486
OG0000037	AT5G09810	Bra009081, Bra006033, Bra028615
OG0000038	AT3G26920, AT3G26930	Bra025236
OG0000038	AT1G55030	Bra034248
OG0000038	AT3G51530	Bra023272
OG0000038	AT3G52680, AT4G00160	Bra006939
OG0000038	AT3G49020, AT3G49040, AT2G04230, AT3G49030	Bra040480
OG0000039	AT4G23210	Bra012706
OG0000039	AT4G23190	Bra027990, Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657
OG0000039	AT4G23220	Bra013199
OG0000039	AT4G11530	Bra035217
OG0000039	AT4G11460	Bra019319, Bra013679
OG0000040	AT3G12230, AT3G12240	Bra023128
OG0000040	AT2G22980	Bra025601, Bra032189
OG0000040	AT2G23000	Bra012153
OG0000040	AT3G10450	Bra029842, Bra025640
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	Bra016001
OG0000043	AT3G47110	Bra018164
OG0000043	AT5G20480	Bra002305, Bra006560
OG0000043	AT3G47570	Bra015204, Bra027938
OG0000044	AT3G46950	Bra018182
OG0000044	AT1G61990	Bra028374
OG0000044	AT1G62150, AT1G62010, AT1G62120	Bra036658, Bra027069, Bra028375
OG0000044	AT1G56380	Bra034464
OG0000045	AT4G23270, AT4G23280, AT4G23310, AT3G45860	Bra013596, Bra013683
OG0000045	AT4G23130	Bra020821
OG0000045	AT4G23180	Bra019322, Bra013678, Bra023844, Bra038935
OG0000045	AT4G23230	Bra019323, Bra012544, Bra019320, Bra019325, Bra041081
OG0000046	AT4G36150	Bra010552, Bra011666
OG0000046	AT3G51570	Bra036790
OG0000046	AT5G45060, AT5G45250	Bra027599
OG0000048	AT4G00155	Bra038150
OG0000050	AT5G10980	Bra003745
OG0000050	AT4G40040	Bra003745
OG0000050	AT4G40030	Bra011813
OG0000051	AT5G08391	Bra005989, Bra028659
OG0000051	AT5G14110	Bra008777
OG0000051	AT3G27030	Bra025246, Bra032977, Bra028480, Bra025532
OG0000051	AT3G27027, AT5G40980, AT3G01940	Bra040553
OG0000051	AT5G50660, AT5G50560	Bra014066
OG0000051	AT3G48660	Bra019556, Bra029911
OG0000051	AT5G63500	Bra038639
OG0000052	AT1G52950	Bra014726, Bra031447, Bra008247, Bra035315
OG0000053	AT5G21274	Bra012037, Bra019453
OG0000053	AT5G37780	Bra025438
OG0000053	AT2G41090, AT1G66410	Bra004166
OG0000053	AT4G14640	Bra039723
OG0000053	AT3G22930	Bra023786, Bra033898
OG0000053	AT3G56800	Bra000214
OG0000053	AT3G56800	Bra003251
OG0000053	AT3G56800	Bra014671
OG0000053	AT2G41110, AT2G27030	Bra007269
OG0000054	AT1G12090	Bra019742, Bra016791
OG0000054	AT1G62510	Bra034519, Bra027039
OG0000054	AT4G12520, AT4G12510	Bra000777, Bra000778
OG0000054	AT2G45180	Bra000377
OG0000054	AT4G12550, AT4G12545	Bra039079, Bra039078
OG0000054	AT4G22460	Bra013619
OG0000057	AT5G57350	Bra020447, Bra002733
OG0000057	AT1G17260	Bra016610
OG0000057	AT3G60330	Bra007524, Bra014496
OG0000057	AT5G62670	Bra029249
OG0000057	AT2G24520	Bra007845
OG0000057	AT1G80660	Bra003576, Bra035163
OG0000057	AT3G42640	Bra008288
OG0000057	AT2G07560	Bra013168
OG0000057	AT4G30190	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101
OG0000057	AT2G18960	Bra038835, Bra024452
OG0000060	AT5G22880	Bra006685, Bra006639, Bra002436
OG0000060	AT5G02570, AT3G09480, AT3G53650	Bra003150
OG0000060	AT2G37470	Bra039810, Bra007018
OG0000060	AT5G59910, AT3G45980, AT3G46030	Bra020275, Bra002520
OG0000061	AT5G36910, AT1G72260	Bra000815
OG0000062	AT3G20140	Bra035813
OG0000062	AT4G15380, AT3G20080	Bra025472, Bra001775
OG0000062	AT2G27010, AT2G27000	Bra027515, Bra030126
OG0000062	AT5G47990, AT3G20950, AT3G20935, AT3G20940, AT4G15350	Bra001329
OG0000062	AT2G14100, AT3G32047	Bra035814
OG0000062	AT3G20130	Bra035812
OG0000062	AT2G05180	Bra038254
OG0000062	AT3G20100	Bra035818
OG0000064	AT2G20290	Bra036460, Bra036688
OG0000064	AT4G28710	Bra011053
OG0000064	AT5G43900	Bra033704
OG0000064	AT1G04160	Bra032526
OG0000064	AT2G31900	Bra022871
OG0000064	AT1G17580	Bra030993
OG0000064	AT5G20490	Bra006561, Bra020105
OG0000064	AT3G58160	Bra014582, Bra003324
OG0000064	AT1G54560	Bra027968
OG0000064	AT1G08730	Bra030739, Bra018605
OG0000065	AT1G75780	Bra015815
