Orthogroup	Capsella_rubella	Tarenaya_hassleriana
OG0000001	Carub.0002s1199.1.p, Carub.0002s1198.1.p, Carub.0008s2051.1.p, Carub.0006s2010.1.p, Carub.0005s1456.1.p, Carub.0006s2790.1.p, Carub.0008s0478.1.p, Carub.0003s3395.1.p, Carub.0003s1965.1.p, Carub.0007s3277.1.p, Carub.0007s3278.1.p, Carub.0005s0273.1.p, Carub.0007s2565.1.p, Carub.0007s2842.1.p	Th2v11594, Th2v11570, Th2v11595, Th2v05875, Th2v20978, Th2v00366, Th2v17499
OG0000001	Carub.0003s1069.1.p	Th2v18543
OG0000001	Carub.0001s3932.1.p, Carub.0008s0167.1.p, Carub.0001s4422.1.p, Carub.0007s2885.1.p	Th2v03607
OG0000001	Carub.0005s0161.1.p, Carub.0005s0160.1.p, Carub.0002s0321.1.p, Carub.0002s0320.1.p, Carub.0001s3557.1.p, Carub.0004s2223.1.p, Carub.0005s1168.1.p, Carub.0008s1615.1.p, Carub.0005s0454.1.p, Carub.0001s3077.1.p, Carub.0002s0299.1.p, Carub.0001s3307.1.p, Carub.0003s2866.1.p, Carub.0008s0788.1.p, Carub.0008s0264.1.p, Carub.0006s0218.1.p, Carub.0007s2957.1.p, Carub.0007s2956.1.p, Carub.0006s2934.1.p, Carub.0006s2933.1.p, Carub.0005s0561.1.p, Carub.0006s0035.1.p, Carub.0003s2117.1.p	Th2v10283, Th2v10284
OG0000003	Carub.0003s1727.1.p, Carub.0002s0273.1.p, Carub.0002s0645.1.p, Carub.0006s2303.1.p, Carub.0003s1760.1.p, Carub.0003s1761.1.p, Carub.0003s1703.1.p, Carub.0003s2043.1.p, Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p, Carub.0001s3457.1.p, Carub.0002s0781.1.p, Carub.0003s2631.1.p, Carub.0003s2632.1.p, Carub.0003s2633.1.p, Carub.0003s2067.1.p, Carub.0002s0302.1.p, Carub.0002s1378.1.p, Carub.0003s1362.1.p, Carub.0001s1047.1.p, Carub.0003s1334.1.p, Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p, Carub.0006s3223.1.p, Carub.0006s3222.1.p, Carub.0005s1634.1.p, Carub.0004s0845.1.p, Carub.0004s0842.1.p, Carub.0004s0838.1.p, Carub.0004s0843.1.p, Carub.0002s0522.1.p, Carub.0003s1813.1.p, Carub.0003s1811.1.p, Carub.0003s1874.1.p, Carub.0003s2707.1.p, Carub.0003s2110.1.p, Carub.0003s1721.1.p, Carub.0003s2286.1.p, Carub.0002s0776.1.p, Carub.0003s2657.1.p, Carub.0003s2655.1.p, Carub.0003s2666.1.p, Carub.0003s2730.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0006s2841.1.p	Th2v26263
OG0000005	Carub.0006s2630.1.p	Th2v29892
OG0000007	Carub.0013s0009.1.p	Th2v25597
OG0000007	Carub.0004s0617.1.p	Th2v07794, Th2v29692
OG0000009	Carub.0007s1219.1.p	Th2v30266
OG0000009	Carub.0005s2988.1.p, Carub.0006s0619.1.p	Th2v27495
OG0000009	Carub.0002s0853.1.p, Carub.0003s2835.1.p, Carub.0002s1832.1.p	Th2v28697, Th2v09745, Th2v21857, Th2v12584, Th2v26423, Th2v23827, Th2v27336, Th2v30311, Th2v24639, Th2v01203, Th2v11223, Th2v28165, Th2v29986, Th2v27753, Th2v07397, Th2v13153, Th2v23506, Th2v22617
OG0000009	Carub.0005s2375.1.p	Th2v29750, Th2v30777, Th2v31043, Th2v29039, Th2v29664, Th2v10432, Th2v27894, Th2v29309, Th2v29025
OG0000014	Carub.0005s2508.1.p, Carub.0005s2517.1.p, Carub.0005s2516.1.p, Carub.0005s2506.1.p, Carub.0005s1051.1.p, Carub.0005s1052.1.p, Carub.0002s0729.1.p, Carub.0005s2513.1.p, Carub.0005s2515.1.p, Carub.0001s2982.1.p, Carub.0005s0528.1.p, Carub.0005s0527.1.p	Th2v03495
OG0000016	Carub.0007s2867.1.p	Th2v02301, Th2v12576
OG0000016	Carub.0007s0068.1.p, Carub.0006s1634.1.p, Carub.0003s0300.1.p, Carub.0003s0304.1.p, Carub.0003s0303.1.p, Carub.0006s1637.1.p, Carub.0006s1628.1.p, Carub.0006s1623.1.p, Carub.0006s1622.1.p, Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p	Th2v19148, Th2v19151, Th2v28793
OG0000017	Carub.0001s3590.1.p, Carub.0001s3582.1.p, Carub.0001s2013.1.p, Carub.0005s1563.1.p, Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p, Carub.0004s1336.1.p, Carub.0001s0357.1.p, Carub.0003s2424.1.p, Carub.0004s1365.1.p, Carub.0002s0292.1.p, Carub.0006s2775.1.p, Carub.0006s2776.1.p, Carub.0002s0293.1.p, Carub.0004s1364.1.p	Th2v01232
OG0000018	Carub.0007s3392.1.p, Carub.0007s3369.1.p, Carub.0007s3397.1.p, Carub.0007s3458.1.p, Carub.0007s3393.1.p, Carub.0007s3372.1.p, Carub.0002s0767.1.p, Carub.0002s0747.1.p, Carub.0002s0748.1.p, Carub.0002s0749.1.p, Carub.0002s0098.1.p, Carub.0007s2787.1.p, Carub.0002s0109.1.p, Carub.0003s3049.1.p, Carub.0002s0143.1.p, Carub.0002s0093.1.p, Carub.0002s0097.1.p, Carub.0002s0108.1.p, Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p, Carub.0002s0072.1.p, Carub.0002s0812.1.p	Th2v00785, Th2v23478
OG0000019	Carub.0004s0998.1.p, Carub.0004s0996.1.p	Th2v07540
OG0000019	Carub.0001s3825.1.p, Carub.0002s1143.1.p, Carub.0003s2137.1.p, Carub.0001s4075.1.p, Carub.0001s4074.1.p	Th2v21173, Th2v23895, Th2v27433, Th2v21892, Th2v23892, Th2v23894, Th2v21895
OG0000019	Carub.0001s0687.1.p, Carub.0001s0688.1.p	Th2v15742, Th2v07538, Th2v07539
OG0000019	Carub.0001s0689.1.p	Th2v01098
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p, Carub.0008s0923.1.p, Carub.0001s1342.1.p, Carub.0345s0001.1.p, Carub.0001s1404.1.p, Carub.0006s1692.1.p, Carub.0001s2401.1.p, Carub.0001s2993.1.p	Th2v00745
OG0000024	Carub.0006s2051.1.p, Carub.0002s0611.1.p, Carub.0002s0613.1.p, Carub.0002s0598.1.p, Carub.0002s0610.1.p, Carub.0002s1052.1.p, Carub.0002s1045.1.p, Carub.0002s1050.1.p, Carub.0002s1047.1.p, Carub.0002s1055.1.p, Carub.0002s0583.1.p, Carub.0002s0575.1.p, Carub.0002s0573.1.p, Carub.0002s0574.1.p, Carub.0002s0616.1.p, Carub.0002s0614.1.p, Carub.0002s0582.1.p, Carub.0002s0550.1.p, Carub.0002s0811.1.p, Carub.0001s1050.1.p, Carub.0001s4253.1.p, Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p, Carub.0008s0827.1.p, Carub.0002s0736.1.p, Carub.0007s2552.1.p	Th2v12915, Th2v22610, Th2v12940, Th2v22637, Th2v12916, Th2v22611, Th2v23248, Th2v22826, Th2v12914, Th2v22609
OG0000025	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p, Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p	Th2v06587, Th2v15286, Th2v06585, Th2v15284, Th2v06586, Th2v15285, Th2v07577, Th2v15711, Th2v05214, Th2v05190, Th2v05184, Th2v05185, Th2v05186, Th2v05174, Th2v05215, Th2v05217, Th2v05216, Th2v05213, Th2v05175, Th2v05189, Th2v10795, Th2v05176, Th2v05188, Th2v19139, Th2v24293
OG0000029	Carub.0006s0158.1.p, Carub.0002s0692.1.p, Carub.0001s3548.1.p, Carub.0001s3546.1.p, Carub.0001s3549.1.p, Carub.0001s3547.1.p, Carub.0004s0321.1.p, Carub.0002s0507.1.p, Carub.0002s0506.1.p, Carub.0006s0172.1.p, Carub.0006s0173.1.p, Carub.0006s0171.1.p, Carub.0006s0055.1.p	Th2v20665
OG0000030	Carub.0002s0150.1.p, Carub.0002s0110.1.p, Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p, Carub.0002s0148.1.p, Carub.0002s0787.1.p	Th2v17285, Th2v20358, Th2v20357, Th2v17290, Th2v17287, Th2v17243, Th2v17245, Th2v01243, Th2v17307, Th2v01666, Th2v30470, Th2v30468, Th2v01665, Th2v30471, Th2v01795, Th2v16920, Th2v17271, Th2v29086
OG0000032	Carub.0005s1268.1.p, Carub.0005s1269.1.p, Carub.0005s1261.1.p, Carub.0005s1263.1.p, Carub.0002s1321.1.p, Carub.0120s0001.1.p, Carub.0002s1326.1.p, Carub.0002s1328.1.p, Carub.0002s1316.1.p, Carub.0002s1315.1.p, Carub.0002s1319.1.p, Carub.0002s1320.1.p, Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p, Carub.0007s2307.1.p	Th2v06297, Th2v05322
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	Th2v03678, Th2v16949
OG0000037	Carub.0003s1860.1.p, Carub.0001s3843.1.p	Th2v31526
OG0000037	Carub.0004s2443.1.p, Carub.0004s2444.1.p	Th2v06838, Th2v15536
OG0000037	Carub.0008s2004.1.p, Carub.0005s1279.1.p	Th2v21285
OG0000037	Carub.0006s0823.1.p	Th2v24213, Th2v13675
OG0000039	Carub.0007s1798.1.p, Carub.0007s1797.1.p, Carub.0007s1808.1.p, Carub.0007s1795.1.p, Carub.0007s1800.1.p	Th2v04532, Th2v16789, Th2v16796, Th2v16782, Th2v16787, Th2v16794
OG0000039	Carub.0007s1794.1.p, Carub.0007s1807.1.p, Carub.0006s3054.1.p, Carub.0006s3049.1.p	Th2v16783, Th2v16784, Th2v16785, Th2v16793
OG0000039	Carub.0006s3047.1.p, Carub.0006s3044.1.p, Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p	Th2v04533, Th2v16790, Th2v16791
OG0000040	Carub.0003s1159.1.p, Carub.0003s1717.1.p, Carub.0004s0220.1.p, Carub.0004s0216.1.p, Carub.0004s0219.1.p, Carub.0004s0218.1.p, Carub.0004s0215.1.p, Carub.0004s0217.1.p, Carub.0004s0222.1.p, Carub.0004s0221.1.p, Carub.0003s0966.1.p, Carub.0003s2578.1.p, Carub.0002s2006.1.p	Th2v28851, Th2v28853, Th2v28647
OG0000043	Carub.0008s1038.1.p, Carub.0219s0002.1.p, Carub.0006s1881.1.p, Carub.0004s1293.1.p, Carub.0004s1294.1.p, Carub.0005s1367.1.p, Carub.0005s1366.1.p, Carub.0005s1333.1.p, Carub.0005s1371.1.p, Carub.0005s1372.1.p	Th2v18720, Th2v06689, Th2v31259, Th2v29328, Th2v20344, Th2v20345, Th2v20347, Th2v20348
OG0000045	Carub.0007s1788.1.p, Carub.0007s1786.1.p, Carub.0007s1787.1.p, Carub.0005s1171.1.p, Carub.0007s1813.1.p, Carub.0007s1812.1.p, Carub.0007s1804.1.p	Th2v04530, Th2v16767, Th2v16779
OG0000045	Carub.0007s1806.1.p, Carub.0007s1803.1.p, Carub.0007s2975.1.p, Carub.0002s0140.1.p, Carub.0007s1810.1.p, Carub.0007s1811.1.p, Carub.0007s1796.1.p, Carub.0007s1809.1.p, Carub.0007s1793.1.p	Th2v04531
OG0000046	Carub.0007s0407.1.p	Th2v04252
OG0000046	Carub.0008s0297.1.p, Carub.0004s0374.1.p, Carub.0004s0373.1.p, Carub.0008s0292.1.p, Carub.0007s2929.1.p, Carub.0006s2909.1.p	Th2v04273
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	Th2v02356, Th2v02588, Th2v04070, Th2v04071, Th2v05831, Th2v20926, Th2v28063
OG0000050	Carub.0005s0567.1.p, Carub.0001s0853.1.p, Carub.0002s0124.1.p, Carub.0006s0887.1.p, Carub.0006s0886.1.p	Th2v11775
OG0000051	Carub.0006s0729.1.p	Th2v29800, Th2v30556
OG0000051	Carub.0005s0524.1.p	Th2v00272, Th2v28485
OG0000051	Carub.0006s1231.1.p	Th2v24733
OG0000051	Carub.0005s0523.1.p, Carub.0007s3452.1.p, Carub.0003s0015.1.p	Th2v28486
OG0000051	Carub.0008s1065.1.p	Th2v29741
OG0000051	Carub.0008s2420.1.p	Th2v14074
