"chrom","chromStart","chromEnd","TranscriptID","GeneID","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","MatureLength","Type","BioType","ConservationType"
"C1",26977750,26977967,"ENSRNA049450024-T1","ENSRNA049450024",0,"+",26977967,26977967,0,1,"217,","0,",217,"monoexonic","lincRNA","Species-specific"
"C1",27254102,27254318,"ENSRNA049450036-T1","ENSRNA049450036",0,"-",27254318,27254318,0,1,"216,","0,",216,"monoexonic","lincRNA","Species-specific"
"C1",27605830,27606047,"ENSRNA049450027-T1","ENSRNA049450027",0,"+",27606047,27606047,0,1,"217,","0,",217,"monoexonic","lincRNA","Species-specific"
"C1",27614202,27614418,"ENSRNA049450030-T1","ENSRNA049450030",0,"+",27614418,27614418,0,1,"216,","0,",216,"monoexonic","lincRNA","Species-specific"
"C1",36646670,36646966,"ENSRNA049450732-T1","ENSRNA049450732",0,"-",36646966,36646966,0,1,"296,","0,",296,"monoexonic","lincRNA","Species-specific"
"C1",10201854,10202423,"BoRegRNA_1173.1","BoRegRNA_1173",0,"-",10202423,10202423,0,1,"569,","0,",569,"monoexonic","sense_exonic_lncRNA","NA"
"C1",10260688,10261554,"BoRegRNA_1178.1","BoRegRNA_1178",0,"-",10261554,10261554,0,2,"396,261,","0,605,",657,"multiexonic","sense_exonic_lncRNA","NA"
"C1",10405046,10406771,"BoRegRNA_1188.1","BoRegRNA_1188",0,"+",10406771,10406771,0,4,"878,33,115,388,","0,972,1076,1337,",1414,"multiexonic","sense_exonic_lncRNA","NA"
"C1",10405086,10406840,"BoRegRNA_1188.3","BoRegRNA_1188",0,"+",10406840,10406840,0,4,"617,92,219,457,","0,746,932,1297,",1385,"multiexonic","sense_exonic_lncRNA","NA"
"C1",10466478,10467063,"BoRegRNA_1193.1","BoRegRNA_1193",0,"+",10467063,10467063,0,1,"585,","0,",585,"monoexonic","sense_exonic_lncRNA","NA"
"C1",10678564,10678858,"BoRegRNA_1209.1","BoRegRNA_1209",0,"+",10678858,10678858,0,1,"294,","0,",294,"monoexonic","sense_exonic_lncRNA","NA"
"C1",10885809,10887726,"BoRegRNA_1217.1","BoRegRNA_1217",0,"-",10887726,10887726,0,1,"1917,","0,",1917,"monoexonic","sense_exonic_lncRNA","NA"
"C1",11210313,11211542,"BoRegRNA_1242.1","BoRegRNA_1242",0,"+",11211542,11211542,0,3,"147,140,320,","0,612,909,",607,"multiexonic","sense_exonic_lncRNA","NA"
"C1",11217484,11219784,"Bo1g037310.1","Bo1g037310",0,"+",11219784,11219784,0,10,"70,68,90,149,37,128,113,58,46,165,","0,161,311,500,732,1155,1373,1569,1697,2135,",924,"multiexonic","sense_exonic_lncRNA","NA"
"C1",1127353,1130401,"Bo1g005030.1","Bo1g005030",0,"-",1130401,1130401,0,13,"158,153,87,137,102,189,48,110,292,76,182,39,197,","0,237,635,801,1011,1338,1626,1754,1945,2321,2475,2736,2851,",1770,"multiexonic","sense_exonic_lncRNA","NA"
"C1",11290302,11290986,"BoRegRNA_1251.1","BoRegRNA_1251",0,"-",11290986,11290986,0,1,"684,","0,",684,"monoexonic","NAT_lncRNA/sense_exonic_lncRNA","NA"
"C1",11348049,11348289,"Bo1g037450.1","Bo1g037450",0,"-",11348289,11348289,0,1,"240,","0,",240,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"C1",11411567,11412311,"Bo1g037540.1","Bo1g037540",0,"-",11412311,11412311,0,1,"744,","0,",744,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"C1",11514179,11515720,"Bo1g037660.1","Bo1g037660",0,"+",11515720,11515720,0,6,"365,49,52,173,114,177,","0,434,564,697,1145,1364,",930,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"C1",11651809,11652325,"Bo1g038930.1","Bo1g038930",0,"-",11652325,11652325,0,1,"516,","0,",516,"monoexonic","lincRNA","ConservedBySyntenyandSequence"
"C1",11982858,11983118,"BoRegRNA_1333.1","BoRegRNA_1333",0,"-",11983118,11983118,0,1,"260,","0,",260,"monoexonic","sense_exonic_lncRNA","NA"
"C1",11984773,11986495,"Bo1g039410.1","Bo1g039410",0,"+",11986495,11986495,0,5,"287,127,250,470,24,","0,459,659,1017,1698,",1158,"multiexonic","sense_exonic_lncRNA","NA"
"C1",1204856,1205521,"BoRegRNA_161.1","BoRegRNA_161",0,"+",1205521,1205521,0,1,"665,","0,",665,"monoexonic","sense_exonic_lncRNA","NA"
"C1",12113922,12117606,"Bo1g039650.1","Bo1g039650",0,"+",12117606,12117606,0,16,"959,79,42,63,50,28,75,111,61,114,119,70,42,41,127,122,","0,1053,1211,1348,1505,1638,1791,1973,2174,2472,2650,2888,3034,3241,3351,3562,",2103,"multiexonic","lincRNA","ConservedBySyntenyandSequence"
"C1",12247047,12247538,"BoRegRNA_1364.1","BoRegRNA_1364",0,"+",12247538,12247538,0,1,"491,","0,",491,"monoexonic","sense_exonic_lncRNA","NA"
"C1",12339444,12339764,"BoRegRNA_1377.1","BoRegRNA_1377",0,"+",12339764,12339764,0,1,"320,","0,",320,"monoexonic","sense_exonic_lncRNA","NA"
"C1",12854240,12854491,"BoRegRNA_1421.1","BoRegRNA_1421",0,"+",12854491,12854491,0,1,"251,","0,",251,"monoexonic","sense_exonic_lncRNA","NA"
"C1",13129918,13130222,"BoRegRNA_1438.1","BoRegRNA_1438",0,"-",13130222,13130222,0,1,"304,","0,",304,"monoexonic","sense_exonic_lncRNA","NA"
"C1",13423488,13423741,"BoRegRNA_1467.1","BoRegRNA_1467",0,"+",13423741,13423741,0,1,"253,","0,",253,"monoexonic","sense_exonic_lncRNA","NA"
"C1",13437721,13438378,"BoRegRNA_1473.1","BoRegRNA_1473",0,"-",13438378,13438378,0,1,"657,","0,",657,"monoexonic","sense_exonic_lncRNA","NA"
"C1",13443226,13443504,"BoRegRNA_1476.1","BoRegRNA_1476",0,"-",13443504,13443504,0,1,"278,","0,",278,"monoexonic","sense_exonic_lncRNA","NA"
