Orthogroup	Capsella_rubella	Camelina_sativa
OG0000001	Carub.0008s2051.1.p	Csa11g093830, Csa08g047230, Csa02g065750, Csa11g093790
OG0000001	Carub.0006s2010.1.p	Csa20g035980, Csa20g035970, Csa13g025820, Csa08g015540
OG0000001	Carub.0005s1456.1.p	Csa09g050430, Csa04g033510, Csa06g022170
OG0000001	Carub.0006s2790.1.p, Carub.0008s0478.1.p	Csa12195s010
OG0000001	Carub.0003s3395.1.p	Csa11g055400, Csa00777s010, Csa12g082060, Csa19g049200, Csa01g044820
OG0000001	Carub.0003s1965.1.p	Csa15g027780, Csa19g027460
OG0000001	Carub.0005s0273.1.p	Csa04g009170, Csa06g004510
OG0000001	Carub.0007s2842.1.p	Csa12g060100, Csa10g032720
OG0000001	Carub.0003s3169.1.p	Csa15g075900, Csa15g075890, Csa01533s010, Csa01g032120
OG0000001	Carub.0003s3168.1.p, Carub.0003s3160.1.p	Csa19g054380, Csa01g032210, Csa01g032240, Csa15g075780
OG0000001	Carub.0003s1069.1.p	Csa20g074650, Csa15g015110
OG0000001	Carub.0006s1615.1.p	Csa20g026210, Csa11g015210, Csa08g010290
OG0000001	Carub.0001s3932.1.p	Csa03g056180
OG0000001	Carub.0008s0167.1.p	Csa17g071390, Csa14g049790
OG0000001	Carub.0001s4422.1.p	Csa17g095600, Csa03g062330, Csa14g067580
OG0000001	Carub.0007s2885.1.p	Csa12g062840, Csa11g041350
OG0000001	Carub.0005s0161.1.p	Csa09g005130, Csa04g008150, Csa09g004940, Csa06g002710, Csa04g008180
OG0000001	Carub.0005s0160.1.p	Csa04g008140
OG0000001	Carub.0002s0320.1.p	Csa07g063140, Csa07g063130, Csa09g096390, Csa16g053610, Csa07g063160, Csa18g020910, Csa16g053620
OG0000001	Carub.0001s3557.1.p	Csa05g012820, Csa06g044330, Csa05g012890, Csa04g054240, Csa06g044270, Csa01g033320, Csa05g012870, Csa04g054250
OG0000001	Carub.0004s2223.1.p	Csa20g032920, Csa08g014690
OG0000001	Carub.0008s1615.1.p	Csa02g058470, Csa11g089070, Csa11g082700, Csa18g028350, Csa11g089060, Csa02g058450
OG0000001	Carub.0005s0454.1.p	Csa06g006240, Csa09g010070, Csa04g012100
OG0000001	Carub.0001s3077.1.p	Csa17g051770, Csa14g042350, Csa13g033630, Csa20g003410, Csa13g003310, Csa13g033650, Csa08g061210, Csa13g003300, Csa08g061230, Csa20g003400
OG0000001	Carub.0002s0299.1.p	Csa16g053810, Csa16g053790, Csa09g096620, Csa07g063350
OG0000001	Carub.0001s3307.1.p	Csa20g032520, Csa08g014380, Csa13g023480
OG0000001	Carub.0003s2866.1.p	Csa02g006040
OG0000001	Carub.0008s0264.1.p	Csa18g005840, Csa20g077230, Csa11g066850
OG0000001	Carub.0006s0218.1.p	Csa20g003420
OG0000001	Carub.0006s2934.1.p	Csa08g040560, Csa13g047710, Csa02g026060
OG0000001	Carub.0006s2933.1.p	Csa08g040550, Csa02g026090
OG0000001	Carub.0006s0035.1.p	Csa20g001620, Csa13g001400, Csa08g063150, Csa20g001630, Csa08g063140
OG0000001	Carub.0003s2117.1.p	Csa15g031520, Csa01g024250, Csa19g029160, Csa01g024230
OG0000001	Carub.0007s3532.1.p	Csa10g047330, Csa11g057460, Csa12g079770
OG0000001	Carub.0001s0262.1.p	Csa03g004600, Csa14g004550
OG0000001	Carub.0007s2711.1.p	Csa11g036870, Csa00506s160
OG0000001	Carub.0008s0226.1.p	Csa15g071100, Csa19g046220
OG0000001	Carub.0005s0589.1.p, Carub.0005s0590.1.p, Carub.0005s0591.1.p	Csa13g054220, Csa09g014610
OG0000001	Carub.0005s0592.1.p	Csa04g015510, Csa09g014600, Csa04g015500, Csa09g014590
OG0000001	Carub.0008s0058.1.p, Carub.0002s1575.1.p	Csa09g018570, Csa07g003110, Csa16g003610, Csa05g093630, Csa07g003150, Csa16g003600
OG0000001	Carub.0006s3059.1.p	Csa08g043750, Csa02g020200, Csa13g048550
OG0000001	Carub.0006s3031.1.p, Carub.0006s3032.1.p, Carub.0006s3030.1.p	Csa02g020030
OG0000001	Carub.0006s2817.1.p	Csa08g037520, Csa08g037510, Csa02g028300, Csa13g043650
OG0000001	Carub.0007s2741.1.p	Csa12g056940
OG0000001	Carub.0006s3498.1.p	Csa08g052300, Csa02g005370, Csa13g055040, Csa08g052280
OG0000001	Carub.0006s3499.1.p	Csa13g055060
OG0000001	Carub.0006s3544.1.p	Csa08g052290
OG0000002	Carub.0004s1930.1.p	Csa06g013110
OG0000002	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p	Csa12g008550, Csa20g016560, Csa08g028250, Csa19g016660, Csa12g025400, Csa18g030150, Csa20g044860, Csa05g086350, Csa09g087820
OG0000002	Carub.0005s0926.1.p, Carub.0005s0911.1.p, Carub.0001s3357.1.p, Carub.0001s4114.1.p, Carub.0008s0718.1.p, Carub.0004s0664.1.p, Carub.0007s3064.1.p, Carub.0007s3066.1.p	Csa13g055950
OG0000002	Carub.0003s1041.1.p, Carub.0008s0770.1.p, Carub.0001s3179.1.p, Carub.0007s3111.1.p, Carub.0007s3077.1.p, Carub.0001s3377.1.p, Carub.0002s0950.1.p	Csa00899s010, Csa15g044320
OG0000003	Carub.0003s1727.1.p	Csa15g023770, Csa01g020240, Csa19g024700, Csa19g024690
OG0000003	Carub.0002s0273.1.p	Csa09g096880, Csa16g054990
OG0000003	Carub.0006s2303.1.p	Csa20g028990, Csa13g022270
OG0000003	Carub.0003s1760.1.p, Carub.0003s1761.1.p	Csa19g025080, Csa15g024190, Csa19g025100, Csa19g025090, Csa15g024210, Csa01g020640, Csa01g020620
OG0000003	Carub.0003s1703.1.p	Csa01g019960, Csa17g069410, Csa15g023460
OG0000003	Carub.0003s2043.1.p	Csa15g023560, Csa15g023570, Csa15g023580, Csa01g020100, Csa01g020110
OG0000003	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p	Csa15g050310
OG0000003	Carub.0001s3457.1.p, Carub.0002s0781.1.p, Carub.0003s2631.1.p, Carub.0003s2632.1.p, Carub.0003s2633.1.p	Csa15g050300
OG0000003	Carub.0003s2067.1.p	Csa15g031060
OG0000003	Carub.0002s0302.1.p	Csa07g063330
OG0000003	Carub.0002s1378.1.p	Csa05g081440, Csa05g081430, Csa07g032850
OG0000003	Carub.0003s1362.1.p	Csa01g016520, Csa19g020630
OG0000003	Carub.0001s1047.1.p	Csa17g014790, Csa14g013610
OG0000003	Carub.0003s1334.1.p	Csa01g016180, Csa15g018010, Csa19g019300
OG0000003	Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p	Csa19g019000, Csa15g017760, Csa01g015970
