Orthogroup	Brassica_oleracea	Eutrema_salsugineum
OG0000000	Bo4g191170, Bo2g094580	EUTSA_v10029366mg, EUTSA_v10029355mg
OG0000001	Bo6g094700	EUTSA_v10002432mg
OG0000001	Bo4g190070, Bo4g190080	EUTSA_v10001923mg, EUTSA_v10002199mg
OG0000001	Bo1g017820	EUTSA_v10024646mg
OG0000001	Bo1g055250	EUTSA_v10027008mg, EUTSA_v10012175mg
OG0000001	Bo4g043420	EUTSA_v10016311mg
OG0000001	Bo3g062530	EUTSA_v10022238mg
OG0000001	Bo3g065720	EUTSA_v10000829mg
OG0000001	Bo6g024760, Bo5g076350	EUTSA_v10012244mg, EUTSA_v10011360mg, EUTSA_v10012084mg
OG0000001	Bo04419s010	EUTSA_v10019835mg
OG0000001	Bo3g028410	EUTSA_v10007250mg
OG0000001	Bo4g038580, Bo4g183280	EUTSA_v10023926mg, EUTSA_v10024120mg, EUTSA_v10023993mg
OG0000001	Bo6g094160	EUTSA_v10017611mg, EUTSA_v10023939mg, EUTSA_v10000668mg, EUTSA_v10000441mg
OG0000001	Bo7g005620	EUTSA_v10012961mg, EUTSA_v10012914mg
OG0000001	Bo6g103930	EUTSA_v10000445mg
OG0000001	Bo5g103520	EUTSA_v10020368mg
OG0000001	Bo4g139980, Bo7g091020	EUTSA_v10027103mg
OG0000001	Bo1g152130, Bo1g152140, Bo1g152150	EUTSA_v10012196mg, EUTSA_v10009889mg, EUTSA_v10009528mg, EUTSA_v10012915mg, EUTSA_v10007210mg
OG0000001	Bo7g085670	EUTSA_v10003760mg, EUTSA_v10003761mg, EUTSA_v10003754mg, EUTSA_v10003743mg
OG0000001	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	EUTSA_v10023179mg, EUTSA_v10028254mg, EUTSA_v10028534mg
OG0000002	Bo8g030850	EUTSA_v10026974mg
OG0000002	Bo4g145200, Bo5g043250, Bo1g086140, Bo3g113790, Bo3g113700	EUTSA_v10009540mg
OG0000002	Bo5g118700, Bo9g024330, Bo21002s010, Bo1g078500, Bo5g001310, Bo16096s010, Bo3g120860, Bo2g096190, Bo9g171370, Bo3g061250, Bo9g122280, Bo8g065950, Bo2g026700, Bo2g161660, Bo9g163500, Bo1g120450, Bo7g011360, Bo8g093120, Bo8g050380, Bo7g093220, Bo1g048040, Bo1g092950, Bo2g156040, Bo6g028070	EUTSA_v10010044mg, EUTSA_v10010769mg, EUTSA_v10016115mg
OG0000002	Bo8g117620, Bo1g053550, Bo9g014820, Bo6g077200, Bo2g085110, Bo26668s010, Bo01001s040, Bo4g154600, Bo4g112910, Bo4g098620, Bo1g116340, Bo8g050690, Bo3g091380, Bo5g134650, Bo3g036970, Bo3g141750, Bo3g078620, Bo3g157220, Bo00951s020, Bo4g101340, Bo5g132710, Bo1g014460, Bo3g168820, Bo3g001610, Bo9g029550, Bo03702s010, Bo3g030260, Bo4g117120, Bo4g178110, Bo7g045260, Bo4g154770, Bo4g168040, Bo3g155400, Bo6g081160, Bo1g140950, Bo2g134730, Bo9g009870, Bo8g043360, Bo4g013220, Bo2g120910, Bo3g024760, Bo5g030980, Bo1g035800, Bo2g041950, Bo8g024450, Bo12918s010, Bo8g066500, Bo6g008210, Bo2g133670, Bo9g030860, Bo1g105290, Bo01093s010, Bo3g137250, Bo01167s020, Bo08089s010, Bo6g094820, Bo9g176250, Bo6g094830, Bo7g060050, Bo3g147540, Bo04126s010, Bo4g173170, Bo5g062560, Bo7g043390	EUTSA_v10000723mg, EUTSA_v10028995mg, EUTSA_v10019661mg
OG0000003	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480	EUTSA_v10002957mg
OG0000003	Bo6g039530, Bo9g150280, Bo3g157320	EUTSA_v10022377mg
OG0000003	Bo5g126690, Bo5g126710	EUTSA_v10027355mg
OG0000003	Bo5g126740	EUTSA_v10020932mg
OG0000003	Bo02074s010, Bo00848s040	EUTSA_v10017529mg
OG0000003	Bo3g068740, Bo3g068790	EUTSA_v10022067mg, EUTSA_v10001171mg
OG0000003	Bo1g053200, Bo9g164350, Bo1g053180	EUTSA_v10015430mg, EUTSA_v10001129mg
OG0000003	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380	EUTSA_v10022075mg, EUTSA_v10022091mg
OG0000003	Bo9g040720	EUTSA_v10023820mg
OG0000003	Bo2g092410	EUTSA_v10003097mg, EUTSA_v10002786mg, EUTSA_v10023095mg
OG0000003	Bo4g186150, Bo4g186130, Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	EUTSA_v10000447mg, EUTSA_v10024142mg
OG0000003	Bo6g114390, Bo5g115470	EUTSA_v10028127mg
OG0000003	Bo3g084010	EUTSA_v10002795mg, EUTSA_v10002868mg, EUTSA_v10002977mg, EUTSA_v10003090mg
OG0000003	Bo3g027920	EUTSA_v10005679mg, EUTSA_v10027376mg, EUTSA_v10027516mg, EUTSA_v10027471mg
OG0000003	Bo5g055810	EUTSA_v10023157mg, EUTSA_v10002915mg, EUTSA_v10003102mg, EUTSA_v10001844mg, EUTSA_v10022364mg, EUTSA_v10021950mg, EUTSA_v10022250mg, EUTSA_v10002939mg, EUTSA_v10000604mg, EUTSA_v10022145mg
OG0000003	Bo3g081360, Bo7g014090, Bo8g082450	EUTSA_v10003050mg, EUTSA_v10015770mg, EUTSA_v10015418mg, EUTSA_v10002911mg, EUTSA_v10003000mg, EUTSA_v10002981mg, EUTSA_v10002867mg, EUTSA_v10027013mg, EUTSA_v10017637mg
OG0000003	Bo3g028700, Bo3g029810	EUTSA_v10015889mg, EUTSA_v10015377mg
OG0000003	Bo1g101700	EUTSA_v10021918mg, EUTSA_v10022006mg
OG0000003	Bo5g122980, Bo5g123020, Bo5g122990, Bo6g112890, Bo4g108630	EUTSA_v10022401mg, EUTSA_v10003040mg, EUTSA_v10002999mg, EUTSA_v10002817mg
OG0000007	Bo20270s010, Bo2g061300, Bo1g051760, Bo01959s010, Bo5g141410, Bo1g084750, Bo4g119700, Bo5g082520, Bo3g089860	EUTSA_v10023785mg
OG0000007	Bo8g050820, Bo2g131840, Bo01403s020, Bo4g013450, Bo8g050810, Bo4g161290, Bo4g186650, Bo1g078960, Bo04562s010, Bo5g021000, Bo2g095400, Bo11682s010, Bo2g062470, Bo4g078420, Bo3g091890, Bo1g025870, Bo5g122800, Bo6g030820, Bo6g077780, Bo5g132200, Bo1g019080, Bo5g070740, Bo1g060440, Bo3g053180, Bo00826s040, Bo00826s050, Bo3g053190, Bo6g027530, Bo8g016400	EUTSA_v10002920mg
OG0000009	Bo4g130670, Bo3g157030, Bo12283s010	EUTSA_v10017934mg
OG0000009	Bo9g045300	EUTSA_v10017884mg
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200	EUTSA_v10024234mg, EUTSA_v10024295mg, EUTSA_v10024211mg
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	EUTSA_v100028560mg, EUTSA_v10027056mg, EUTSA_v10019540mg, EUTSA_v10019468mg
