Orthogroup	Brassica_rapa	Thellungiella_parvula
OG0000000	Bra010157	Sp5g15125.1, Sp5g15613.1
OG0000001	Bra028463	Sp5g15690.1
OG0000001	Bra038551	Sp4g05840.1, SpUn0059_0030.1, Sp3g32270.1
OG0000001	Bra031262	Sp3g19190.1
OG0000002	Bra019403, Bra031928, Bra034933, Bra023996, Bra037668, Bra029538, Bra010158	Sp5g15617.1
OG0000003	Bra001667, Bra021255	Sp3g22340.1
OG0000003	Bra027213	Sp3g14050.1
OG0000003	Bra022455, Bra035754	Sp3g18730.1
OG0000003	Bra028319	Sp3g21250.1
OG0000003	Bra022218, Bra016145, Bra014584	Sp3g15660.1
OG0000005	Bra017773	Sp5g15895.1, Sp7g08835.1
OG0000005	Bra012998	Sp2g09187.1
OG0000005	Bra008452	Sp4g09613.1
OG0000005	Bra002340	Sp6g06905.1
OG0000006	Bra033926	Sp5g16870.1, Sp7g07780.1
OG0000006	Bra033839, Bra008978	Sp6g08085.1
OG0000007	Bra026661	SpUn0003_0370.1
OG0000007	Bra037026	SpUn1097_0010.1
OG0000009	Bra032789, Bra003264, Bra029468	Sp4g10390.1
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861	Sp7g20140.1
OG0000011	Bra036799	Sp3g23450.1, Sp3g29100.1
OG0000012	Bra035329	Sp3g26410.1, Sp1g30760.1, SpUn0001_0510.1, Sp4g07060.1, Sp6g10920.1, Sp7g10290.1, SpUn0001_0740.1, Sp3g26710.1
OG0000014	Bra014088	Sp1g34680.1
OG0000014	Bra012666, Bra008697	Sp6g09200.1
OG0000014	Bra007390	Sp5g04453.1
OG0000014	Bra003331	Sp5g04457.1
OG0000014	Bra003330	Sp5g04460.1
OG0000015	Bra023133, Bra005292, Bra038808, Bra004304	SpUn0004_0050.1
OG0000015	Bra032513, Bra016418	SpUn0002_0230.1
OG0000015	Bra028797, Bra030904	Sp4g05790.1
OG0000015	Bra015270, Bra038141	Sp3g26350.1
OG0000016	Bra032736	Sp7g11580.1
OG0000016	Bra033580	Sp7g36980.1
OG0000016	Bra002122	Sp6g26270.1
OG0000016	Bra006433	Sp6g26280.1
OG0000016	Bra006432, Bra023656	Sp6g26260.1
OG0000017	Bra033908	Sp1g33140.1, Sp1g34250.1
OG0000017	Bra033850, Bra000514	Sp1g27840.1
OG0000017	Bra017982, Bra017983	Sp5g12630.1
