Orthogroup	Brassica_oleracea	Arabis_alpina
OG0000000	Bo3g083920, Bo5g132490, Bo8g007320, Bo5g063140, Bo9g030730, Bo3g067980, Bo8g080230, Bo7g044940, Bo1g123290, Bo1g103840, Bo1g110110, Bo1g117730, Bo7g088590, Bo3g017060, Bo8g070490, Bo7g080280, Bo9g146870, Bo4g013100, Bo5g123410, Bo4g030640, Bo2g100490, Bo7g099310, Bo4g013120, Bo9g075710, Bo2g086380	AALP_AA6G024400
OG0000000	Bo2g155130, Bo4g050930, Bo5g041290, Bo2g134140, Bo4g080010, Bo2g050440, Bo2g133840, Bo6g055870, Bo3g107300, Bo5g123730, Bo3g003540, Bo2g136800, Bo1g047980, Bo3g170900, Bo9g117520, Bo5g075220, Bo9g024470, Bo8g067190, Bo7g096510, Bo7g093300, Bo4g050990, Bo1g134340, Bo7g102580, Bo4g027150, Bo17148s010, Bo3g102950, Bo4g026450, Bo5g025190, Bo6g074860, Bo5g148650, Bo2g120800, Bo3g076310, Bo9g171850, Bo9g154110	AALP_AAs67696U000900
OG0000000	Bo2g085120, Bo5g037370, Bo3g173540, Bo6g092830, Bo7g099420, Bo6g064810, Bo1g101300, Bo8g069930, Bo2g007200, Bo6g074530, Bo6g099380, Bo5g027840, Bo2g024270, Bo5g027640, Bo9g035270, Bo3g043180, Bo4g039340, Bo8g097980, Bo4g103700, Bo7g049900, Bo9g024270, Bo6g005770, Bo9g117250, Bo1g017180, Bo5g019460, Bo4g142490, Bo1g008550, Bo8g004340, Bo9g164030, Bo4g033470, Bo25775s010, Bo6g094800, Bo5g017640, Bo00826s020, Bo3g101480, Bo4g154640, Bo6g018160, Bo3g017150, Bo3g145190, Bo3g068000, Bo3g022000, Bo3g164160, Bo4g013190, Bo5g010820, Bo4g151110, Bo5g027920, Bo8g045990, Bo6g066370, Bo2g147780, Bo9g166810, Bo9g018650, Bo7g030630, Bo4g136520, Bo3g173490, Bo9g034130, Bo6g116680, Bo5g133070, Bo2g042190, Bo7g106780, Bo3g096390, Bo4g056170, Bo1g030700, Bo9g091310, Bo7g084360, Bo9g084300, Bo1g051710, Bo2g076760, Bo2g066790, Bo7g059540, Bo9g026150, Bo01179s010, Bo01334s030, Bo8g019310, Bo7g057640, Bo4g034540, Bo1g049580, Bo9g017670, Bo9g059280, Bo5g004990, Bo6g103940, Bo7g111580, Bo3g175770, Bo2g108750, Bo1g005340, Bo9g169280, Bo9g166310, Bo1g110070, Bo4g142660, Bo2g136980, Bo2g057600, Bo9g174600, Bo3g153560, Bo4g045560, Bo4g047340, Bo2g041400, Bo1g003700, Bo5g013570, Bo1g080170, Bo1g046600, Bo1g014410, Bo3g048360, Bo18550s010, Bo2g027090, Bo2g027040, Bo8g050540, Bo5g052050, Bo3g054900, Bo7g081620, Bo3g155670, Bo1g118980, Bo7g048360, Bo7g064950, Bo00285s500, Bo3g007380, Bo3g017070, Bo4g133460, Bo4g006910, Bo1g020280, Bo8g028610, Bo3g065980, Bo7g065430, Bo5g054630, Bo6g030640	AALP_AAs63530U000100
OG0000000	Bo01233s020	AALP_AA1G270500, AALP_AA8G282400
OG0000001	Bo3g017640, Bo1g152000, Bo1g151990, Bo5g148060, Bo5g148070	AALP_AA7G198300
OG0000001	Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010	AALP_AA3G359700
OG0000001	Bo4g043420	AALP_AA3G335100
OG0000001	Bo3g062530	AALP_AA3G146500
OG0000001	Bo3g065720	AALP_AA3G148500
OG0000001	Bo3g028410	AALP_AA2G022900
OG0000001	Bo6g094160	AALP_AA6G338200
OG0000001	Bo4g139980, Bo7g091020, Bo1g152130, Bo1g152140, Bo1g152150, Bo5g151530	AALP_AA3G073700
OG0000001	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	AALP_AA6G033700, AALP_AAs63807U000300, AALP_AA6G018200, AALP_AA6G018400, AALP_AA6G032400, AALP_AA6G026900, AALP_AA6G035300, AALP_AA6G032300
OG0000002	Bo9g148600, Bo9g053370, Bo8g104200, Bo3g074890, Bo9g040860, Bo3g090210, Bo8g054510, Bo1g039830, Bo6g099470, Bo9g019170, Bo7g088960, Bo2g054010, Bo5g101180	AALP_AAs57751U000100
