"chrom","chromStart","chromEnd","TranscriptID","GeneID","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","MatureLength","CPATscore","Type","BioType","ConfidenceLevel"
"Chr1",10590655,10590900,"AT1G06307.1","AT1G06307",0,"-",10590900,10590900,0,1,"245,","0,",245,0,"monoexonic","lincRNA","HC"
"Chr1",10775822,10776027,"AT1G06327.1","AT1G06327",0,"+",10776027,10776027,0,1,"205,","0,",205,0,"monoexonic","lincRNA","HC"
"Chr1",10775859,10776319,"AT1G06333.1","AT1G06333",0,"-",10776319,10776319,0,1,"460,","0,",460,0.0962366543469902,"monoexonic","lincRNA","HC"
"Chr1",10803627,10803853,"AT1G06343.1","AT1G06343",0,"-",10803853,10803853,0,1,"226,","0,",226,0.207456786930925,"monoexonic","lincRNA","HC"
"Chr1",10921834,10922072,"AT1G06353.1","AT1G06353",0,"-",10922072,10922072,0,1,"238,","0,",238,0,"monoexonic","lincRNA","HC"
"Chr1",10954287,10954711,"AT1G06373.1","AT1G06373",0,"+",10954711,10954711,0,1,"424,","0,",424,0.412322499377828,"monoexonic","lincRNA","HC"
"Chr1",11016491,11016886,"AT1G06387.1","AT1G06387",0,"+",11016886,11016886,0,1,"395,","0,",395,0.48966223335619,"monoexonic","lincRNA","HC"
"Chr1",11061424,11061700,"AT1G06403.1","AT1G06403",0,"-",11061700,11061700,0,1,"276,","0,",276,0.488403520911325,"monoexonic","lincRNA","HC"
"Chr1",11300617,11300966,"AT1G06443.1","AT1G06443",0,"-",11300966,11300966,0,1,"349,","0,",349,0.513980960612638,"monoexonic","lincRNA","HC"
"Chr1",11300692,11301038,"AT1G06447.1","AT1G06447",0,"+",11301038,11301038,0,1,"346,","0,",346,0,"monoexonic","lincRNA","HC"
"Chr1",11598338,11598718,"AT1G06527.1","AT1G06527",0,"+",11598718,11598718,0,1,"380,","0,",380,0,"monoexonic","lincRNA","HC"
"Chr1",11686327,11686618,"AT1G06557.1","AT1G06557",0,"+",11686618,11686618,0,1,"291,","0,",291,0,"monoexonic","lincRNA","HC"
"Chr1",11813291,11813591,"AT1G06603.1","AT1G06603",0,"-",11813591,11813591,0,1,"300,","0,",300,0.270736124372912,"monoexonic","lincRNA","HC"
"Chr1",11927721,11928216,"AT1G06627.1","AT1G06627",0,"-",11928216,11928216,0,1,"495,","0,",495,0.397034285979304,"monoexonic","lincRNA","HC"
"Chr1",11927898,11928260,"AT1G06633.1","AT1G06633",0,"+",11928260,11928260,0,1,"362,","0,",362,0,"monoexonic","lincRNA","HC"
"Chr1",12233005,12233266,"AT1G06707.1","AT1G06707",0,"+",12233266,12233266,0,1,"261,","0,",261,0.438532082091887,"monoexonic","lincRNA","HC"
