Orthogroup	Brassica_rapa	Arabidopsis_lyrata
OG0000000	Bra010778, Bra024668	Al_scaffold_0009_6
OG0000000	Bra010157	fgenesh2_kg.7__3600__AT2G06550.1, fgenesh2_kg.1__2289__AT2G06550.1, fgenesh2_kg.1__4417__AT2G06550.1, fgenesh2_kg.4__835__AT2G06550.1, fgenesh2_kg.5__1255__AT2G06550.1, fgenesh2_kg.7__2996__AT2G06550.1
OG0000001	Bra036712, Bra017007	scaffold_703641.1
OG0000001	Bra040666	scaffold_104740.1
OG0000001	Bra012410	fgenesh1_pg.C_scaffold_5000982
OG0000001	Bra004233	scaffold_600060.1
OG0000001	Bra040595	fgenesh2_kg.5__341__AT3G25850.1
OG0000001	Bra036235, Bra036288	scaffold_703054.1
OG0000003	Bra001667, Bra021255	fgenesh2_kg.3__1934__AT3G17570.1
OG0000003	Bra027212	fgenesh1_pg.C_scaffold_3001491
OG0000003	Bra001142	Al_scaffold_0004_1146
OG0000003	Bra040098	fgenesh1_pm.C_scaffold_1002986, scaffold_303016.1, fgenesh1_pg.C_scaffold_3002386, fgenesh1_pg.C_scaffold_3002461, fgenesh2_kg.3__1959__AT3G19470.1, fgenesh1_pg.C_scaffold_3001945, fgenesh2_kg.3__2249__AT3G20400.1, scaffold_302828.1
OG0000003	Bra022455, Bra035754	fgenesh2_kg.3__2296__AT3G20700.1, scaffold_302475.1, Al_scaffold_0003_2216, Al_scaffold_0003_2218, fgenesh2_kg.3__2298__AT3G20710.1
OG0000003	Bra022464	scaffold_302310.1
OG0000003	Bra017242, Bra017228, Bra041044, Bra041045, Bra017247	scaffold_301577.1, scaffold_301579.1
OG0000003	Bra021512	scaffold_301600.1, scaffold_501511.1, scaffold_301489.1
OG0000003	Bra013220	scaffold_303138.1, scaffold_303136.1, fgenesh1_pg.C_scaffold_3002478, scaffold_303134.1
OG0000003	Bra034129	scaffold_302524.1, Al_scaffold_0003_2914, scaffold_301217.1, Al_scaffold_0008_64
OG0000003	Bra001883	fgenesh1_pg.C_scaffold_3002173, scaffold_302718.1, scaffold_302674.1, Al_scaffold_0003_3703
OG0000003	Bra028319	fgenesh2_kg.3__2827__AT2G04920.1, scaffold_303273.1, scaffold_303274.1, scaffold_303295.1, scaffold_303285.1, scaffold_303294.1
OG0000005	Bra024173, Bra008452	fgenesh2_kg.3__3023__AT2G04470.1
OG0000006	Bra033926	Al_scaffold_0001_3480
OG0000009	Bra032789	scaffold_800855.1
OG0000011	Bra010590, Bra010588, Bra010663, Bra010589, Bra010496, Bra017807	fgenesh2_kg.3__383__AT3G04210.1
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861	Al_scaffold_0007_1965
OG0000011	Bra027510, Bra006095, Bra006556, Bra006094, Bra006146, Bra006093	Al_scaffold_0006_1036
OG0000011	Bra036413, Bra036417, Bra038872	Al_scaffold_0007_3284, Al_scaffold_0005_1195, Al_scaffold_0005_1196, Al_scaffold_0001_5256, Al_scaffold_0001_5260, Al_scaffold_0003_2969
OG0000011	Bra036799	Al_scaffold_0001_3923, Al_scaffold_0003_3258
OG0000013	Bra007406	scaffold_502843.1
OG0000013	Bra014211, Bra014075	fgenesh2_kg.1__3838__AT1G47340.1, scaffold_104305.1
OG0000013	Bra034647	scaffold_103460.1
OG0000013	Bra013538	scaffold_103577.1
