Orthogroup	Capsella_rubella	Arabidopsis_lyrata
OG0000001	Carub.0003s3395.1.p, Carub.0003s1965.1.p, Carub.0007s3277.1.p, Carub.0007s3278.1.p	scaffold_703641.1
OG0000001	Carub.0001s3932.1.p	scaffold_104740.1
OG0000001	Carub.0004s2223.1.p	scaffold_402776.1
OG0000001	Carub.0005s0454.1.p	fgenesh1_pg.C_scaffold_5000407
OG0000001	Carub.0002s0299.1.p	fgenesh1_pg.C_scaffold_2000268
OG0000001	Carub.0001s3307.1.p	fgenesh1_pg.C_scaffold_5000982
OG0000001	Carub.0003s2866.1.p	Al_scaffold_0004_1122, scaffold_38300003.1
OG0000001	Carub.0006s0035.1.p	scaffold_600060.1
OG0000001	Carub.0008s0350.1.p, Carub.0007s2711.1.p	fgenesh2_kg.5__341__AT3G25850.1
OG0000001	Carub.0006s3059.1.p	scaffold_703054.1
OG0000002	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p	fgenesh2_kg.7__3601__AT2G06555.1, fgenesh2_kg.6__1793__AT2G06555.1, fgenesh2_kg.1__2290__AT2G06555.1, fgenesh2_kg.8__1707__AT2G06555.1, fgenesh2_kg.4__834__AT2G06555.1, Al_scaffold_0008_1110, fgenesh2_kg.8__2842__AT5G32620.1
OG0000003	Carub.0003s1727.1.p	fgenesh2_kg.3__1934__AT3G17570.1
OG0000003	Carub.0002s0645.1.p	scaffold_200760.1
OG0000003	Carub.0006s2303.1.p	Al_scaffold_0004_1146
OG0000003	Carub.0003s1703.1.p	Al_scaffold_0003_1822
OG0000003	Carub.0003s2043.1.p	fgenesh2_kg.3__1917__AT3G17400.1
OG0000003	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p	fgenesh1_pm.C_scaffold_1002986, scaffold_303016.1, fgenesh1_pg.C_scaffold_3002386, fgenesh1_pg.C_scaffold_3002461, fgenesh2_kg.3__1959__AT3G19470.1
OG0000003	Carub.0001s3457.1.p, Carub.0002s0781.1.p, Carub.0003s2631.1.p, Carub.0003s2632.1.p, Carub.0003s2633.1.p	fgenesh1_pm.C_scaffold_672000001, scaffold_303014.1
OG0000003	Carub.0003s2067.1.p	fgenesh2_kg.3__2298__AT3G20710.1
OG0000003	Carub.0002s0302.1.p	Al_scaffold_0002_315
OG0000003	Carub.0002s1378.1.p	scaffold_302353.1
OG0000003	Carub.0003s1362.1.p	scaffold_28600002.1, fgenesh2_kg.3__1514__AT3G14030.1
OG0000003	Carub.0001s1047.1.p	fgenesh1_pm.C_scaffold_1000915
OG0000003	Carub.0003s1334.1.p	scaffold_301600.1
OG0000003	Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p	scaffold_301489.1
OG0000003	Carub.0006s3223.1.p, Carub.0006s3222.1.p	Al_scaffold_0006_3511
OG0000003	Carub.0004s0845.1.p, Carub.0004s0842.1.p, Carub.0004s0838.1.p, Carub.0004s0843.1.p	scaffold_401266.1, fgenesh1_pm.C_scaffold_4000678, scaffold_401261.1
OG0000003	Carub.0002s0522.1.p	scaffold_302524.1, Al_scaffold_0003_2914, scaffold_301217.1, Al_scaffold_0008_64
OG0000003	Carub.0003s1813.1.p	scaffold_43900002.1
OG0000003	Carub.0003s1811.1.p	scaffold_302166.1
OG0000003	Carub.0003s1874.1.p	fgenesh1_pm.C_scaffold_3001612, fgenesh2_kg.3__2035__AT2G07130.1, scaffold_302289.1
OG0000003	Carub.0003s2707.1.p	scaffold_304077.1
OG0000003	Carub.0003s2110.1.p	scaffold_302523.1
OG0000003	Carub.0003s1721.1.p	scaffold_302060.1
OG0000003	Carub.0003s2286.1.p	fgenesh1_pg.C_scaffold_3002173, scaffold_302718.1, scaffold_302674.1
OG0000003	Carub.0002s0776.1.p	Al_scaffold_0003_3703
OG0000003	Carub.0003s2657.1.p	fgenesh2_kg.3__2827__AT2G04920.1, scaffold_303273.1
OG0000003	Carub.0003s2655.1.p, Carub.0003s2666.1.p, Carub.0003s2730.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p	scaffold_303274.1
OG0000009	Carub.0005s1087.1.p	scaffold_400377.1
OG0000009	Carub.0002s1832.1.p	Al_scaffold_0005_1407
OG0000011	Carub.0002s0705.1.p, Carub.0002s1622.1.p, Carub.0002s1621.1.p, Carub.0002s1620.1.p	Al_scaffold_0002_1616
OG0000011	Carub.0007s3771.1.p	fgenesh2_kg.686__1__AT5G38350.1, Al_scaffold_0007_3913, Al_scaffold_0007_3922, Al_scaffold_0007_3919, Al_scaffold_0007_3916
OG0000011	Carub.0005s0813.1.p	Al_scaffold_0005_881
OG0000011	Carub.0008s0597.1.p, Carub.0008s0599.1.p, Carub.0008s0598.1.p, Carub.0008s0589.1.p, Carub.0008s0591.1.p, Carub.0008s0593.1.p, Carub.0008s0595.1.p, Carub.0008s0596.1.p	Al_scaffold_0020_1, Al_scaffold_0020_2, Al_scaffold_0008_752, Al_scaffold_0020_3, Al_scaffold_0020_5
OG0000011	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p	Al_scaffold_0005_1195, Al_scaffold_0005_1196
OG0000011	Carub.0002s0700.1.p, Carub.0002s0699.1.p	Al_scaffold_0001_5256, Al_scaffold_0001_5260
OG0000011	Carub.0002s1260.1.p	Al_scaffold_0003_2969
OG0000011	Carub.0001s3553.1.p	Al_scaffold_0001_3923
OG0000013	Carub.0005s2443.1.p, Carub.0001s3326.1.p	scaffold_502843.1
OG0000013	Carub.0001s3612.1.p, Carub.0001s3614.1.p	scaffold_104305.1
OG0000013	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p	scaffold_103460.1
OG0000013	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p	scaffold_103464.1, fgenesh1_pg.C_scaffold_1002771, fgenesh1_pg.C_scaffold_1002774, scaffold_103462.1
OG0000013	Carub.0002s0685.1.p, Carub.0001s2947.1.p, Carub.0001s2948.1.p	scaffold_603350.1, fgenesh1_pg.C_scaffold_1002792
OG0000013	Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3224.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p	scaffold_400481.1
OG0000013	Carub.0001s3050.1.p	scaffold_103577.1
OG0000014	Carub.0005s2508.1.p	scaffold_503008.1, fgenesh2_kg.5__2272__AT3G58270.1
OG0000014	Carub.0005s2506.1.p	fgenesh2_kg.5__2264__AT3G58200.1
OG0000014	Carub.0005s1051.1.p	scaffold_303415.1, Al_scaffold_0005_1220
OG0000014	Carub.0005s1052.1.p	scaffold_501314.1, Al_scaffold_0005_1222
OG0000014	Carub.0002s0729.1.p	scaffold_105654.1, Al_scaffold_0001_5225
OG0000014	Carub.0005s2513.1.p	Al_scaffold_0005_2754
OG0000016	Carub.0007s2867.1.p	fgenesh2_kg.7__2968__AT4G13790.1
OG0000016	Carub.0007s0071.1.p	scaffold_700077.1
OG0000016	Carub.0007s0068.1.p	fgenesh2_kg.7__81__AT4G38820.1
OG0000016	Carub.0003s0304.1.p	fgenesh2_kg.3__338__AT3G03840.1
OG0000016	Carub.0006s1637.1.p	scaffold_601873.1
OG0000016	Carub.0006s1623.1.p, Carub.0006s1622.1.p	scaffold_601864.1
OG0000017	Carub.0001s3582.1.p	scaffold_104276.1
OG0000017	Carub.0001s2013.1.p	fgenesh1_pg.C_scaffold_1001878
OG0000017	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p	scaffold_501934.1, scaffold_501943.1
OG0000017	Carub.0004s1336.1.p	fgenesh1_pg.C_scaffold_4001307
OG0000017	Carub.0003s2424.1.p	scaffold_302964.1
OG0000017	Carub.0004s1365.1.p	fgenesh1_pg.C_scaffold_4001340
OG0000017	Carub.0002s0292.1.p, Carub.0006s2775.1.p, Carub.0006s2776.1.p, Carub.0002s0293.1.p	scaffold_200364.1, scaffold_200367.1
OG0000017	Carub.0004s1364.1.p	scaffold_800573.1, fgenesh2_kg.8__2636__AT5G65850.1
OG0000018	Carub.0007s3369.1.p	Al_scaffold_0004_1187, Al_scaffold_0007_3474
OG0000018	Carub.0007s3397.1.p	Al_scaffold_0007_3494
OG0000018	Carub.0007s3458.1.p	Al_scaffold_0007_3559
OG0000018	Carub.0002s0767.1.p	Al_scaffold_0001_5193
OG0000018	Carub.0002s0747.1.p	fgenesh2_kg.1__4766__AT1G56540.1
OG0000018	Carub.0002s0748.1.p	Al_scaffold_0001_5201
OG0000018	Carub.0002s0098.1.p	Al_scaffold_0002_556
OG0000018	Carub.0002s0109.1.p	Al_scaffold_0002_117
OG0000018	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p	Al_scaffold_0002_105
OG0000018	Carub.0002s0072.1.p	fgenesh2_kg.3__3266__AT2G16870.1, Al_scaffold_0002_356
OG0000018	Carub.0002s0812.1.p	Al_scaffold_0001_5137
OG0000019	Carub.0008s2031.1.p, Carub.0008s2032.1.p, Carub.0008s2030.1.p	Al_scaffold_0008_2459
OG0000019	Carub.0005s1221.1.p, Carub.0005s1220.1.p	Al_scaffold_0005_1420
OG0000019	Carub.0005s1218.1.p	Al_scaffold_0005_1418
OG0000019	Carub.0004s1000.1.p	Al_scaffold_0109_2
OG0000019	Carub.0004s0999.1.p	scaffold_401359.1
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p	fgenesh2_kg.6__997__AT5G10340.1
OG0000023	Carub.0001s1342.1.p	Al_scaffold_0001_1413
OG0000023	Carub.0345s0001.1.p	Al_scaffold_0001_1209
OG0000023	Carub.0001s1404.1.p	Al_scaffold_0005_1428, Al_scaffold_0001_4470, fgenesh2_kg.1__1019__AT1G09650.1, Al_scaffold_0001_1268
OG0000023	Carub.0006s1692.1.p	Al_scaffold_0006_1537
OG0000023	Carub.0001s2401.1.p	Al_scaffold_0001_3061
OG0000024	Carub.0006s2051.1.p	Al_scaffold_0006_2144
OG0000024	Carub.0002s0611.1.p	Al_scaffold_0002_658
OG0000024	Carub.0002s0598.1.p	Al_scaffold_0002_643
OG0000024	Carub.0002s0583.1.p	fgenesh2_kg.2__481__AT1G59620.1
OG0000024	Carub.0002s0616.1.p, Carub.0002s0614.1.p	Al_scaffold_0002_659
OG0000024	Carub.0002s0550.1.p	Al_scaffold_0002_577
OG0000024	Carub.0001s1050.1.p	Al_scaffold_0001_1095
OG0000024	Carub.0001s4253.1.p	scaffold_105165.1
OG0000024	Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p	Al_scaffold_0008_1120, fgenesh2_kg.8__740__AT5G43470.1, Al_scaffold_0293_1, Al_scaffold_0043_1, Al_scaffold_0625_3
OG0000024	Carub.0007s2552.1.p	Al_scaffold_0007_2640
OG0000025	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p	scaffold_800953.1, scaffold_800808.1, scaffold_800810.1, fgenesh2_kg.474__9__AT5G42955.1, fgenesh2_kg.474__14__AT5G42957.1, scaffold_800809.1, scaffold_58500002.1, fgenesh2_kg.585__1__AT5G42955.1, scaffold_47400001.1, fgenesh2_kg.8__538__AT5G42955.1, fgenesh1_pm.C_scaffold_1006000001, scaffold_800803.1, scaffold_800804.1, scaffold_800805.1, scaffold_800806.1, fgenesh2_kg.8__562__AT5G42955.1
OG0000025	Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p	scaffold_105715.1, Al_scaffold_0001_5285, fgenesh2_kg.1__4819__AT4G08025.1, fgenesh2_kg.2__596__AT4G08025.1, fgenesh2_kg.637__6__AT1G57775.1, scaffold_105713.1, scaffold_200844.1, scaffold_105717.1, scaffold_105716.1, scaffold_200845.1, fgenesh2_kg.637__2__AT4G08025.1, scaffold_200838.1, scaffold_200840.1, scaffold_105714.1, scaffold_105720.1, scaffold_200839.1, scaffold_200843.1, fgenesh2_kg.2__601__AT3G44117.1, fgenesh2_kg.2__594__AT1G57760.1, scaffold_200841.1, fgenesh2_kg.637__1__AT3G44115.1, fgenesh1_pm.C_scaffold_2000424
OG0000029	Carub.0006s0158.1.p	Al_scaffold_0006_180
OG0000029	Carub.0002s0692.1.p	fgenesh1_pg.C_scaffold_1004450
OG0000029	Carub.0001s3548.1.p, Carub.0001s3546.1.p, Carub.0001s3549.1.p, Carub.0001s3547.1.p	scaffold_104449.1
OG0000029	Carub.0006s0172.1.p	fgenesh1_pg.C_scaffold_6000171
