Orthogroup	Brassica_rapa	Arabis_alpina
OG0000000	Bra010157	AALP_AAs70484U000200, AALP_AAs67696U000900, AALP_AAs63530U000100, AALP_AA1G270500, AALP_AA8G282400, AALP_AA1G152400, AALP_AA4G150700
OG0000001	Bra020274, Bra001113	AALP_AA7G198300
OG0000001	Bra034707, Bra022059	AALP_AA3G148500
OG0000001	Bra031407, Bra023019	AALP_AA2G022900
OG0000001	Bra025591, Bra040143, Bra040595	AALP_AA3G073700
OG0000001	Bra036235, Bra036288	AALP_AA6G033700, AALP_AAs63807U000300, AALP_AA6G018200, AALP_AA6G018400, AALP_AA6G032400, AALP_AA6G026900, AALP_AA6G035300, AALP_AA6G032300
OG0000002	Bra034933, Bra023996, Bra037668, Bra029538	AALP_AAs66013U000100
OG0000002	Bra010158	AALP_AAs59294U000100
OG0000003	Bra027212	AALP_AA3G178100, AALP_AA3G175800
OG0000003	Bra001142	AALP_AA3G048600
OG0000003	Bra022130, Bra022455, Bra035754, Bra022464, Bra020991, Bra018376, Bra017242, Bra017228, Bra041044, Bra041045, Bra017247, Bra021512	AALP_AA8G091400
OG0000005	Bra023225	AALP_AA2G040400
OG0000005	Bra015746	AALP_AA5G063400, AALP_AAs62447U000100
OG0000005	Bra036804	AALP_AAs43348U000100, AALP_AAs51996U000100
OG0000005	Bra017773	AALP_AA8G388700
OG0000005	Bra008641, Bra012998	AALP_AA7G145400
OG0000005	Bra002340	AALP_AA8G323700
OG0000006	Bra033926, Bra033839, Bra008978	AALP_AA8G430800
OG0000011	Bra039560	AALP_AA3G074000
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861	AALP_AA7G046500, AALP_AAs73230U000200
OG0000011	Bra027510, Bra006095, Bra006556, Bra006094, Bra006146, Bra006093	AALP_AAs63547U000100, AALP_AAs63547U000200
OG0000011	Bra036413, Bra036417, Bra038872	AALP_AA5G017300, AALP_AAs58361U000100, AALP_AAs73230U000300, AALP_AA3G033600, AALP_AA8G314200, AALP_AA3G032500, AALP_AA2G135300, AALP_AA5G017400, AALP_AA3G032600, AALP_AA3G032400, AALP_AA3G032700
OG0000013	Bra007406	AALP_AA5G165700, AALP_AA5G184800, AALP_AA5G216100
OG0000013	Bra014047, Bra014211, Bra014075	AALP_AA5G098000
OG0000013	Bra034647	AALP_AA3G360300
OG0000014	Bra007387, Bra007389, Bra007388, Bra007386	AALP_AA5G232300
OG0000014	Bra012666, Bra008697	AALP_AA5G227700, AALP_AA5G228000
OG0000014	Bra007390	AALP_AA6G178800
OG0000014	Bra014575, Bra014574	AALP_AA5G229300
OG0000014	Bra003330	AALP_AA5G228800
OG0000015	Bra032513, Bra016418	AALP_AA8G005400, AALP_AA8G254400
OG0000016	Bra032736	AALP_AA4G100300
OG0000016	Bra033580	AALP_AA7G266100
OG0000016	Bra002122	AALP_AA8G194900
OG0000016	Bra006431, Bra006434, Bra002123, Bra023658, Bra023655, Bra026597, Bra023660	AALP_AA8G196000
OG0000016	Bra006432, Bra023656	AALP_AA8G195200, AALP_AA8G195500, AALP_AA8G193900
OG0000017	Bra034015, Bra034016, Bra022876	AALP_AA3G191600, AALP_AA6G076700
OG0000017	Bra021702	AALP_AA6G082400
OG0000017	Bra009129, Bra009128, Bra021730	AALP_AA1G335500
OG0000018	Bra025494	AALP_AA8G239800
OG0000018	Bra036019	AALP_AA6G323400, AALP_AA6G323600
OG0000018	Bra025467	AALP_AA6G316100
OG0000018	Bra027772	AALP_AA2G001700, AALP_AA2G002100, AALP_AA2G001800
OG0000018	Bra027660, Bra027791, Bra027790	AALP_AA3G061300, AALP_AA3G061400, AALP_AA3G060200, AALP_AA3G061500
OG0000019	Bra030414, Bra018933	AALP_AA8G474600
OG0000019	Bra020298, Bra006700, Bra020300, Bra020303, Bra020299	AALP_AA8G391800, AALP_AA8G391600, AALP_AA8G392000
OG0000019	Bra002545, Bra002543	AALP_AA8G390100
OG0000019	Bra031584	AALP_AA1G076100
OG0000023	Bra031756, Bra031728, Bra031755, Bra031729, Bra031743, Bra026587, Bra013543, Bra020901, Bra037593, Bra002310	AALP_AA6G080600
OG0000029	Bra003852	AALP_AA8G021700
OG0000029	Bra032780, Bra011980, Bra005753, Bra006011	AALP_AAs42163U000200
OG0000030	Bra027658	AALP_AA2G029900
OG0000031	Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	AALP_AA5G194400
OG0000032	Bra025543, Bra028402	AALP_AA6G351400
OG0000032	Bra019074, Bra024056	AALP_AA2G085000, AALP_AA8G115600
OG0000032	Bra034038	AALP_AA2G085100
OG0000033	Bra031482	AALP_AA2G014400, AALP_AA3G336200, AALP_AAs55447U000100, AALP_AA2G014600, AALP_AA2G015600
OG0000033	Bra036054, Bra036053, Bra036046, Bra036045	AALP_AA5G123500, AALP_AA5G123600
OG0000033	Bra019755	AALP_AA8G086900, AALP_AA1G131900
OG0000033	Bra016785	AALP_AA2G014300
OG0000033	Bra016782, Bra016781, Bra026985	AALP_AA1G131300
OG0000037	Bra037560	AALP_AAs41934U000200
OG0000037	Bra022356	AALP_AAs39419U000100
OG0000038	Bra025236	AALP_AA6G354700
OG0000038	Bra015355	AALP_AA5G040100, AALP_AA5G036900, AALP_AA5G036800
OG0000038	Bra023272	AALP_AA8G448900, AALP_AA3G045900, AALP_AA1G046900, AALP_AA5G156600
OG0000038	Bra040480	AALP_AA8G168300
OG0000039	Bra027990, Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657	AALP_AA7G059500
OG0000039	Bra013199	AALP_AA7G060200
OG0000039	Bra000746	AALP_AA6G175100, AALP_AAs50850U000500
OG0000039	Bra000745	AALP_AAs50850U000200
OG0000040	Bra006362	AALP_AA8G176200, AALP_AA8G174700
OG0000040	Bra001440	AALP_AA3G132700
OG0000040	Bra025601, Bra032189, Bra012153	AALP_AA2G118800
OG0000040	Bra029842, Bra025640	AALP_AA3G112600, AALP_AA3G112800, AALP_AA3G112700
OG0000040	Bra016001	AALP_AA3G248300
OG0000041	Bra033927	AALP_AA5G041400
OG0000042	Bra024503	AALP_AA3G317500
OG0000043	Bra022422, Bra014313	AALP_AA5G097000, AALP_AA5G092500
OG0000043	Bra015204, Bra027938	AALP_AA5G105200
OG0000044	Bra039426	AALP_AA3G052900
OG0000044	Bra028374	AALP_AAs50016U000200
OG0000044	Bra036658	AALP_AA2G021700, AALP_AA3G075200
OG0000044	Bra027069, Bra028375	AALP_AA2G020700, AALP_AA2G016400, AALP_AA2G016300, AALP_AA2G021800, AALP_AAs60874U000100
OG0000045	Bra019329, Bra020821	AALP_AA6G028000
OG0000045	Bra019322, Bra013678, Bra023844, Bra038935	AALP_AAs48628U000100, AALP_AAs43447U000100
OG0000045	Bra019323, Bra012544, Bra019320, Bra019325	AALP_AA7G174300, AALP_AA6G028200
OG0000045	Bra041081	AALP_AA6G028400
OG0000046	Bra010552, Bra011666	AALP_AAs64007U000100, AALP_AAs64007U000500, AALP_AA7G236900
OG0000046	Bra036790	AALP_AA5G140300
OG0000046	Bra021956	AALP_AAs46094U000400
OG0000048	Bra038150	AALP_AA5G271800, AALP_AAs73464U000100
OG0000048	Bra040797	AALP_AAs49867U000100
OG0000050	Bra003745	AALP_AA2G198300
OG0000050	Bra003745	AALP_AA6G242400
OG0000051	Bra005989, Bra028659	AALP_AA8G080900
OG0000051	Bra032978, Bra025247	AALP_AA5G038000
OG0000051	Bra008777	AALP_AA8G141200
OG0000051	Bra040553	AALP_AA3G010600
OG0000051	Bra019556, Bra029911	AALP_AA5G109200
OG0000051	Bra038639	AALP_AA8G466600
OG0000053	Bra002368	AALP_AA5G069900
OG0000053	Bra020155	AALP_AA5G069900
OG0000053	Bra006595	AALP_AA5G069900
OG0000053	Bra039723	AALP_AAs70636U001500
OG0000053	Bra023786, Bra033898, Bra001892	AALP_AA3G262000
OG0000053	Bra000214	AALP_AA4G194800
OG0000053	Bra003251	AALP_AA4G194800
OG0000053	Bra014671	AALP_AA4G194800
OG0000053	Bra000214	AALP_AA5G210400
OG0000053	Bra003251	AALP_AA5G210400
OG0000053	Bra014671	AALP_AA5G210400
OG0000053	Bra007269	AALP_AA6G241500
OG0000054	Bra019742, Bra016791	AALP_AA1G129700
OG0000054	Bra034519, Bra027039	AALP_AA8G178400
OG0000054	Bra000777, Bra000778	AALP_AA6G185200
OG0000054	Bra000377	AALP_AA4G240600
OG0000054	Bra013619	AALP_AA7G051200
OG0000057	Bra020447, Bra002733	AALP_AA8G362400
OG0000057	Bra007845	AALP_AA6G270500
OG0000057	Bra003576, Bra035163	AALP_AA2G258100
OG0000057	Bra008288	AALP_AA5G067500
OG0000057	Bra013168	AALP_AA3G306500
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	AALP_AA7G152400
OG0000057	Bra038835, Bra024452	AALP_AA3G353600
OG0000060	Bra000483, Bra035677, Bra011930	AALP_AA6G220100
OG0000060	Bra006685, Bra006639, Bra002436	AALP_AA8G405800
OG0000060	Bra003150	AALP_AA8G015300, AALP_AA3G100500
OG0000060	Bra039810, Bra007018	AALP_AA5G168600
OG0000060	Bra020275	AALP_AA8G395500
OG0000060	Bra038267	AALP_AA5G084100, AALP_AA5G084300
OG0000061	Bra000815	AALP_AAs68437U000100, AALP_AA3G121400, AALP_AA3G076300, AALP_AA3G076400, AALP_AA3G068700, AALP_AA3G108600, AALP_AA8G310400, AALP_AA1G219300
OG0000061	Bra033985	AALP_AA1G023900
OG0000062	Bra027515, Bra030126	AALP_AA7G164900
OG0000062	Bra035814	AALP_AA3G231600, AALP_AA8G485600
OG0000062	Bra014143, Bra039930	AALP_AA3G231200, AALP_AA5G078700, AALP_AA5G035800
OG0000062	Bra035818	AALP_AA7G094400
OG0000064	Bra036460, Bra036688	AALP_AA3G369800, AALP_AA3G256100
OG0000064	Bra032526	AALP_AA1G035800
OG0000064	Bra030993	AALP_AA1G194000
OG0000064	Bra006561, Bra020105	AALP_AA8G226900
OG0000064	Bra030739, Bra018605	AALP_AA1G091000
OG0000065	Bra015815	AALP_AA2G200900
OG0000065	Bra033737, Bra039506, Bra027544	AALP_AA6G140100
OG0000065	Bra020912, Bra013481, Bra038795	AALP_AA7G033000
OG0000065	Bra009710	AALP_AA8G414100
OG0000065	Bra018379, Bra039987	AALP_AA1G232100
OG0000065	Bra010114, Bra019493	AALP_AA5G090900, AALP_AA8G459200
OG0000066	Bra012766	AALP_AA1G008400, AALP_AA1G005600
OG0000066	Bra009339	AALP_AA8G037600
OG0000068	Bra025795	AALP_AA1G220400, AALP_AA5G237300
OG0000068	Bra015801, Bra008231, Bra003735	AALP_AA2G203200
