Orthogroup	Capsella_rubella	Boechera_stricta
OG0000001	Carub.0002s1199.1.p, Carub.0002s1198.1.p	Bostr.26570s0001.1.p, Bostr.10064s0003.1.p, Bostr.7365s0075.1.p
OG0000001	Carub.0008s2051.1.p	Bostr.26833s0241.1.p
OG0000001	Carub.0006s2010.1.p	Bostr.26527s0042.1.p
OG0000001	Carub.0006s2790.1.p, Carub.0008s0478.1.p	Bostr.17584s0025.1.p, Bostr.11774s0001.1.p
OG0000001	Carub.0003s3395.1.p	Bostr.25849s0004.1.p
OG0000001	Carub.0007s3277.1.p, Carub.0007s3278.1.p	Bostr.14547s0001.1.p, Bostr.15654s0034.1.p, Bostr.15654s0033.1.p
OG0000001	Carub.0007s2565.1.p	Bostr.30275s0034.1.p
OG0000001	Carub.0007s2842.1.p	Bostr.9017s0004.1.p, Bostr.10040s0009.1.p, Bostr.2021s0062.1.p, Bostr.10064s0015.1.p, Bostr.20055s0060.1.p, Bostr.2902s0370.1.p
OG0000001	Carub.0003s3169.1.p	Bostr.18351s0221.1.p
OG0000001	Carub.0005s0161.1.p	Bostr.0556s0214.1.p, Bostr.0556s0256.1.p, Bostr.29223s0165.1.p, Bostr.0556s0084.1.p, Bostr.0556s0103.1.p, Bostr.0556s0108.1.p, Bostr.0556s0061.1.p, Bostr.0556s0110.1.p, Bostr.0556s0081.1.p
OG0000001	Carub.0002s0321.1.p, Carub.0002s0320.1.p	Bostr.30057s0014.1.p
OG0000001	Carub.0001s3557.1.p, Carub.0004s2223.1.p	Bostr.23794s0056.1.p, Bostr.23794s0114.1.p, Bostr.23794s0128.1.p
OG0000001	Carub.0005s1168.1.p	Bostr.14881s0006.1.p
OG0000001	Carub.0008s1615.1.p, Carub.0005s0454.1.p	Bostr.14547s0002.1.p
OG0000001	Carub.0002s0299.1.p	Bostr.11366s0001.1.p
OG0000001	Carub.0001s3307.1.p	Bostr.28243s0051.1.p
OG0000001	Carub.0008s0264.1.p	Bostr.8819s0066.1.p
OG0000001	Carub.0005s0561.1.p	Bostr.0597s0117.1.p, Bostr.0597s0144.1.p, Bostr.0597s0106.1.p, Bostr.0597s0104.1.p
OG0000001	Carub.0003s2117.1.p	Bostr.22252s0380.1.p, Bostr.2983s0057.1.p
OG0000001	Carub.0008s0350.1.p, Carub.0007s2711.1.p	Bostr.19424s0253.1.p
OG0000001	Carub.0002s1575.1.p	Bostr.6569s0001.1.p
OG0000001	Carub.0006s3058.1.p, Carub.0006s3056.1.p, Carub.0006s3059.1.p	Bostr.25463s0173.1.p, Bostr.25463s0254.1.p
OG0000001	Carub.0006s3031.1.p, Carub.0006s3032.1.p, Carub.0006s3030.1.p	Bostr.25463s0256.1.p, Bostr.25463s0097.1.p, Bostr.3288s0132.1.p, Bostr.25463s0044.1.p, Bostr.25463s0208.1.p, Bostr.25463s0152.1.p, Bostr.25463s0205.1.p, Bostr.25463s0311.1.p, Bostr.2983s0204.1.p
OG0000001	Carub.0006s2817.1.p	Bostr.25463s0348.1.p
OG0000001	Carub.0007s2741.1.p	Bostr.7200s0093.1.p, Bostr.13158s0007.1.p
OG0000001	Carub.0006s3498.1.p, Carub.0006s3499.1.p, Carub.0006s3544.1.p	Bostr.10058s0049.1.p
OG0000002	Carub.0005s0847.1.p	Bostr.19424s0975.1.p, Bostr.29863s0004.1.p, Bostr.5763s0077.1.p, Bostr.28625s0263.1.p
