Orthogroup	Arabidopsis_thaliana	Brassica_oleracea
OG0000000	AT2G13770	Bo4g191170, Bo2g094580
OG0000000	AT5G35490	Bo3g003570
OG0000001	AT4G01350, AT5G59920	Bo3g017640
OG0000001	AT5G59940	Bo1g152000, Bo1g151990, Bo5g148060, Bo5g148070
OG0000001	AT3G45840	Bo6g094700
OG0000001	AT2G04680, AT5G37620	Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010
OG0000001	AT2G19650	Bo4g190070, Bo4g190080
OG0000001	AT4G13992	Bo1g017820, Bo1g055250
OG0000001	AT5G16430	Bo4g043420
OG0000001	AT3G11402, AT3G11390, AT3G11385, AT3G11370	Bo3g062530
OG0000001	AT1G35610, AT3G13760	Bo3g065720
OG0000001	AT1G50190	Bo6g024760, Bo5g076350
OG0000001	AT2G23100, AT5G42280, AT1G55380, AT1G55420, AT1G55430, AT1G55390, AT1G55440	Bo3g185160
OG0000001	AT1G61710	Bo4g038580, Bo4g183280
OG0000001	AT2G13950, AT5G02340, AT2G13900, AT5G02350, AT5G02330, AT5G02360, AT1G53340, AT2G13895	Bo6g094160
OG0000001	AT5G55770, AT1G44050, AT5G55780, AT5G46670, AT5G46660, AT5G55800, AT4G10370, AT3G26550	Bo7g005620
OG0000001	AT4G02540	Bo4g096760
OG0000001	AT5G01480	Bo6g103930
OG0000001	AT1G34480	Bo6g099660
OG0000001	AT3G21210	Bo5g103520
OG0000001	AT5G40320	Bo4g139980
OG0000001	AT2G43220	Bo1g152130, Bo1g152140, Bo1g152150
OG0000001	AT5G44770, AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020, AT2G04500, AT4G14980, AT3G25850	Bo5g151530
OG0000001	AT4G11550, AT4G11390, AT4G11540, AT4G01910, AT4G01920, AT4G01930, AT4G01925, AT4G02180, AT4G01740, AT4G02190, AT4G01760	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560
OG0000002	AT3G47680	Bo8g030850
OG0000002	AT5G52547	Bo4g183300, Bo4g191270, Bo9g076550, Bo9g046450, Bo3g091560, Bo8g058930, Bo1g011470, Bo00576s150, Bo6g048080, Bo01294s010, Bo1g050950, Bo5g140150, Bo3g087120, Bo4g176010, Bo5g123720, Bo9g024480, Bo1g028470, Bo5g041280, Bo9g117510, Bo24326s010, Bo9g181220, Bo7g065570, Bo22585s010, Bo8g082010, Bo3g076300, Bo2g092340, Bo7g096500, Bo3g003550, Bo6g017000, Bo3g179480, Bo8g067180, Bo2g136810, Bo1g047990, Bo5g025180, Bo4g026440, Bo9g070090, Bo2g053990, Bo6g055880, Bo3g107290, Bo9g010840, Bo1g101740, Bo5g075210, Bo9g151680, Bo5g111170, Bo9g154100, Bo9g171840, Bo4g080020, Bo4g081190, Bo6g084820, Bo4g187950, Bo7g084350, Bo6g042360, Bo2g155120, Bo4g050940, Bo4g134670, Bo7g048350, Bo2g134150, Bo15445s010, Bo7g093290, Bo7g102570, Bo7g101500, Bo1g134350, Bo7g067460, Bo3g045760, Bo4g050980, Bo4g094160, Bo1g053380, Bo1g122760, Bo4g059570, Bo2g050430, Bo2g012480, Bo6g039830, Bo8g016820
OG0000002	AT4G08270	Bo9g040960, Bo9g095450
OG0000003	AT3G17570	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480
OG0000003	AT3G17270	Bo9g150290
OG0000003	AT2G18780	Bo02074s010, Bo00848s040
OG0000003	AT3G17620	Bo3g068740, Bo3g068790, Bo01050s030
OG0000003	AT3G24580, AT3G22770, AT3G19470, AT3G20400, AT3G23420	Bo1g053200, Bo9g164350, Bo1g053180
OG0000003	AT3G20700, AT3G20690, AT3G20710	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380
OG0000003	AT1G59680	Bo2g092410
OG0000003	AT3G13680	Bo4g186150, Bo4g186130
OG0000003	AT1G25141, AT3G25460	Bo3g084010
OG0000003	AT4G09870	Bo3g027920
OG0000003	AT3G17490	Bo3g071300
OG0000003	AT3G22700, AT3G22710, AT3G22720, AT3G22350	Bo3g081360
OG0000003	AT2G04920	Bo3g028700, Bo3g029810, Bo1g101700
OG0000005	ATMG00810	Bo9g093770
OG0000006	AT4G29090	Bo3g031360, Bo4g092660
OG0000006	ATMG01250	Bo4g078650
OG0000007	AT3G51700, AT3G51690	Bo8g081380
OG0000007	AT5G28780	Bo02131s010, Bo6g019840, Bo8g016420, Bo6g098680, Bo4g046060, Bo3g109470, Bo8g050820, Bo2g131840, Bo01403s020, Bo4g013450, Bo8g050810, Bo4g161290, Bo4g186650, Bo1g078960, Bo04562s010, Bo5g021000, Bo2g095400, Bo11682s010, Bo2g062470, Bo4g078420, Bo3g091890, Bo1g025870, Bo5g122800, Bo6g030820, Bo6g077780, Bo5g132200, Bo1g019080, Bo5g070740, Bo1g060440, Bo3g053180, Bo00826s040, Bo00826s050, Bo3g053190, Bo6g027530, Bo8g016400, Bo8g016410, Bo8g058680, Bo3g066410, Bo4g034940, Bo2g120610, Bo3g107080, Bo7g088550, Bo07912s010, Bo4g181940, Bo08439s010, Bo4g045590, Bo9g159900, Bo2g133960, Bo7g005410, Bo7g014550, Bo2g037550, Bo6g064580, Bo2g037560, Bo4g137380, Bo00986s020, Bo3g109480, Bo5g020110, Bo4g137390, Bo06790s010, Bo03281s010, Bo9g058990, Bo3g089870, Bo4g087030, Bo5g118730, Bo4g034930, Bo9g064120, Bo9g018370, Bo01172s020, Bo2g066820, Bo4g119680, Bo05454s010, Bo8g050200, Bo9g111350, Bo3g143870, Bo3g089890, Bo6g039570, Bo6g098650, Bo4g075600, Bo9g078500, Bo1g013230, Bo2g082240, Bo1g005120, Bo1g013220, Bo6g072570, Bo4g096950, Bo6g072560, Bo00870s010, Bo06956s010, Bo6g026250, Bo9g150360, Bo6g098670, Bo00986s030, Bo01092s030
OG0000009	AT1G44941	Bo9g045300
OG0000009	AT4G05095, AT1G34440, AT5G28615, AT4G04650, AT1G43730, AT5G16486, AT3G25727, AT2G02520	Bo9g058260
OG0000009	AT2G11035	Bo3g107920, Bo7g059380, Bo9g117660
OG0000011	AT3G04210	Bo3g153710, Bo1g103860, Bo8g050160, Bo3g151470, Bo3g153650, Bo3g153660, Bo8g050130, Bo8g050170
OG0000011	AT5G11250	Bo9g171440, Bo3g007580, Bo9g059350, Bo3g006960, Bo3g006980, Bo3g006990
OG0000011	AT3G25510, AT3G44670, AT3G44480, AT3G44630, AT3G44400	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360
OG0000013	AT3G57580, AT3G56890	Bo8g092760
OG0000013	AT1G47340, AT1G47350	Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090
OG0000013	AT1G30925	Bo3g168640
OG0000013	AT1G31163, AT1G30930, AT1G67130, AT1G30920, AT5G42430, AT1G33020, AT1G33010	Bo5g088270
OG0000014	AT3G58270	Bo6g074640
OG0000014	AT3G58380	Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600
OG0000014	AT3G58200, AT3G44800, AT3G44805, AT3G44790	Bo4g108440
OG0000014	AT3G58410	Bo4g108480
OG0000014	AT3G58340	Bo8g092630
OG0000014	AT3G58420	Bo6g074780
OG0000014	AT3G58360	Bo4g108500, Bo6g074730
