Orthogroup	Arabidopsis_thaliana	Camelina_sativa
OG0000001	AT5G59930	Csa11g093800
OG0000001	AT4G01350, AT5G59920	Csa11g093830, Csa08g047230, Csa02g065750, Csa11g093790
OG0000001	AT5G59940	Csa11g093810
OG0000001	AT5G22355	Csa20g035980, Csa20g035970, Csa13g025820, Csa08g015540
OG0000001	AT3G48400	Csa09g050430, Csa04g033510, Csa06g022170
OG0000001	AT3G46810	Csa06g020600, Csa09g044080, Csa06g020590, Csa04g029690, Csa09g044070
OG0000001	AT3G46800	Csa06g020580, Csa04g029680, Csa09g044060, Csa04g029670, Csa09g044050
OG0000001	AT2G19660	Csa11g055400, Csa00777s010, Csa12g082060, Csa19g049200, Csa01g044820
OG0000001	AT2G19650	Csa19g049210, Csa00441s210
OG0000001	AT4G16015	Csa04g009170, Csa06g004510
OG0000001	AT4G13992	Csa12g060100, Csa10g032720
OG0000001	AT5G16430	Csa00441s220
OG0000001	AT2G17600	Csa15g075900, Csa15g075890, Csa01533s010, Csa01g032120
OG0000001	AT2G17590	Csa19g054380, Csa01g032210, Csa01g032240, Csa15g075780
OG0000001	AT3G11390	Csa05g024140, Csa19g015470
OG0000001	AT3G11385	Csa20g074650, Csa15g015110
OG0000001	AT3G11370	Csa19g015450
OG0000001	AT1G35610	Csa15g017930
OG0000001	AT5G17960	Csa20g026210, Csa11g015210, Csa08g010290
OG0000001	AT1G50190	Csa03g056180
OG0000001	AT1G55700	Csa17g095600, Csa03g062330, Csa14g067580
OG0000001	AT2G23100	Csa16g044820
OG0000001	AT5G42280, AT1G55380, AT1G55420, AT1G55430	Csa17g095200
OG0000001	AT1G55390	Csa14g067300, Csa17g095270
OG0000001	AT2G02680	Csa09g005130, Csa04g008150, Csa09g004940, Csa06g002710, Csa04g008180
OG0000001	AT2G02620, AT2G02690, AT2G02700	Csa09g005110, Csa06g002880
OG0000001	AT2G02630, AT2G02610, AT2G02640	Csa04g008140
OG0000001	AT2G40050	Csa05g012820, Csa06g044330, Csa05g012890, Csa04g054240, Csa06g044270, Csa01g033320, Csa05g012870, Csa04g054250
