Orthogroup	Brassica_rapa	Capsella_rubella
OG0000001	Bra020274	Carub.0002s1199.1.p, Carub.0002s1198.1.p, Carub.0008s2051.1.p
OG0000001	Bra033522	Carub.0007s2842.1.p
OG0000001	Bra040666	Carub.0001s3932.1.p
OG0000001	Bra012410	Carub.0001s3307.1.p
OG0000001	Bra038551	Carub.0005s0561.1.p
OG0000001	Bra004233	Carub.0006s0035.1.p
OG0000001	Bra031262	Carub.0003s2117.1.p
OG0000001	Bra025591	Carub.0007s3532.1.p
OG0000001	Bra040143	Carub.0001s0262.1.p
OG0000001	Bra040595	Carub.0008s0350.1.p, Carub.0007s2711.1.p
OG0000001	Bra036235, Bra036288	Carub.0006s3058.1.p, Carub.0006s3056.1.p, Carub.0006s3059.1.p, Carub.0006s3031.1.p, Carub.0006s3032.1.p, Carub.0006s3030.1.p, Carub.0006s2817.1.p, Carub.0007s2741.1.p, Carub.0006s3498.1.p, Carub.0006s3499.1.p, Carub.0006s3544.1.p
OG0000003	Bra001667, Bra021255	Carub.0003s1727.1.p
OG0000003	Bra001142	Carub.0006s2303.1.p
OG0000003	Bra040098	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p
OG0000003	Bra022455, Bra035754	Carub.0003s2067.1.p
OG0000003	Bra021512	Carub.0003s1334.1.p, Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p
OG0000003	Bra034129	Carub.0002s0522.1.p
OG0000003	Bra001883	Carub.0003s2286.1.p, Carub.0002s0776.1.p
OG0000003	Bra028319	Carub.0003s2657.1.p, Carub.0003s2655.1.p, Carub.0003s2666.1.p, Carub.0003s2730.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p
OG0000003	Bra022218, Bra016145, Bra014584	Carub.0006s2841.1.p
OG0000007	Bra033888, Bra033371, Bra021314	Carub.0013s0009.1.p
OG0000007	Bra026883	Carub.0013s0008.1.p
OG0000007	Bra026661	Carub.0004s0617.1.p
OG0000009	Bra003264	Carub.0005s2375.1.p
OG0000011	Bra003997	Carub.0004s0828.1.p
OG0000011	Bra036413, Bra036417, Bra038872	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p, Carub.0002s0700.1.p, Carub.0002s0699.1.p, Carub.0002s1260.1.p
OG0000011	Bra036799	Carub.0001s3553.1.p
OG0000013	Bra007406	Carub.0005s2443.1.p, Carub.0001s3326.1.p
OG0000013	Bra014211, Bra014075	Carub.0001s3612.1.p, Carub.0001s3614.1.p
OG0000013	Bra034647	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p
OG0000013	Bra013538	Carub.0001s3050.1.p
OG0000014	Bra003329, Bra003328	Carub.0005s2508.1.p
OG0000014	Bra007387, Bra007389, Bra007388, Bra007386	Carub.0005s2517.1.p
OG0000014	Bra007390	Carub.0005s2513.1.p
OG0000014	Bra014575, Bra014574	Carub.0005s2515.1.p
OG0000016	Bra032736	Carub.0007s2867.1.p
OG0000016	Bra033580	Carub.0007s0071.1.p
OG0000016	Bra002122	Carub.0006s1634.1.p
OG0000016	Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656	Carub.0006s1637.1.p, Carub.0006s1628.1.p, Carub.0006s1623.1.p, Carub.0006s1622.1.p, Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p
OG0000017	Bra033850, Bra000514	Carub.0001s3582.1.p
OG0000017	Bra017982, Bra017983	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p
OG0000017	Bra021702, Bra009129, Bra009128, Bra021730	Carub.0001s0357.1.p
OG0000017	Bra021767, Bra021785, Bra021783, Bra021782, Bra021784, Bra021781, Bra021788, Bra021768, Bra023809, Bra027364, Bra021780, Bra021786, Bra021789, Bra021769, Bra021772, Bra037636, Bra039989	Carub.0003s2424.1.p
OG0000017	Bra002055, Bra036902, Bra036901	Carub.0004s1365.1.p
OG0000017	Bra035057	Carub.0002s0292.1.p, Carub.0006s2775.1.p, Carub.0006s2776.1.p, Carub.0002s0293.1.p
OG0000018	Bra028500	Carub.0007s3392.1.p
OG0000018	Bra036019	Carub.0007s3458.1.p
OG0000018	Bra025467	Carub.0007s3372.1.p
OG0000018	Bra027660, Bra027791, Bra027790	Carub.0002s0109.1.p
OG0000018	Bra027778	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p
OG0000019	Bra001827	Carub.0002s1143.1.p, Carub.0003s2137.1.p
OG0000019	Bra020300, Bra020303	Carub.0008s2031.1.p
OG0000019	Bra033825	Carub.0005s1218.1.p
OG0000019	Bra028386	Carub.0004s1000.1.p
OG0000019	Bra015587	Carub.0001s0687.1.p
OG0000019	Bra031584	Carub.0001s0689.1.p
OG0000023	Bra024648, Bra024647	Carub.0006s0880.1.p, Carub.0003s2506.1.p
OG0000023	Bra009957, Bra009956	Carub.0001s1404.1.p, Carub.0006s1692.1.p, Carub.0001s2401.1.p
OG0000023	Bra017173, Bra017172	Carub.0001s2993.1.p
OG0000024	Bra027866	Carub.0002s0611.1.p, Carub.0002s0613.1.p, Carub.0002s0598.1.p, Carub.0002s0610.1.p, Carub.0002s1052.1.p, Carub.0002s1045.1.p, Carub.0002s1050.1.p, Carub.0002s1047.1.p, Carub.0002s1055.1.p
OG0000024	Bra027834, Bra036206, Bra035424	Carub.0002s0583.1.p
OG0000024	Bra027843	Carub.0002s0575.1.p, Carub.0002s0573.1.p, Carub.0002s0574.1.p
OG0000024	Bra013134	Carub.0002s0616.1.p, Carub.0002s0614.1.p, Carub.0002s0582.1.p, Carub.0002s0550.1.p
OG0000024	Bra005277, Bra040841, Bra040891, Bra037448	Carub.0002s0811.1.p
OG0000024	Bra018448	Carub.0001s1050.1.p, Carub.0001s4253.1.p
OG0000029	Bra005753	Carub.0006s0158.1.p
OG0000029	Bra027905, Bra027903, Bra027901	Carub.0006s0172.1.p
OG0000029	Bra009558	Carub.0006s0171.1.p
OG0000030	Bra027658	Carub.0002s0150.1.p
OG0000031	Bra032036, Bra032049	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p
OG0000031	Bra030421, Bra028194	Carub.0007s3593.1.p, Carub.0007s3733.1.p, Carub.0007s3726.1.p
OG0000031	Bra002819, Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	Carub.0005s2152.1.p
OG0000032	Bra025543	Carub.0005s1268.1.p
OG0000032	Bra028402	Carub.0005s1261.1.p
OG0000032	Bra019074	Carub.0120s0001.1.p, Carub.0002s1326.1.p, Carub.0002s1328.1.p
OG0000032	Bra034038	Carub.0002s1316.1.p
OG0000032	Bra034039, Bra004199	Carub.0002s1315.1.p, Carub.0002s1319.1.p, Carub.0002s1320.1.p
OG0000032	Bra034042, Bra004198, Bra038467	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p
OG0000033	Bra031482	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p
OG0000033	Bra015597	Carub.0001s1196.1.p
OG0000033	Bra026979	Carub.0001s1197.1.p
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	Carub.0005s2033.1.p, Carub.0004s1955.1.p
OG0000037	Bra037560	Carub.0003s1860.1.p, Carub.0001s3843.1.p
OG0000037	Bra034778	Carub.0003s1145.1.p
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	Carub.0008s2004.1.p, Carub.0005s1279.1.p
OG0000037	Bra006033	Carub.0006s0823.1.p
OG0000038	Bra025236	Carub.0005s0501.1.p
