Orthogroup	Capsella_rubella	Arabis_alpina
OG0000001	Carub.0002s1199.1.p, Carub.0002s1198.1.p, Carub.0008s2051.1.p	AALP_AA7G198300
OG0000001	Carub.0006s2010.1.p	AALP_AAs64104U000300
OG0000001	Carub.0007s3277.1.p, Carub.0007s3278.1.p	AALP_AA3G359700
OG0000001	Carub.0003s1069.1.p	AALP_AA3G146500
OG0000001	Carub.0005s0161.1.p, Carub.0005s0160.1.p	AALP_AA5G015600
OG0000001	Carub.0007s3532.1.p, Carub.0001s0262.1.p, Carub.0008s0350.1.p, Carub.0007s2711.1.p, Carub.0008s0226.1.p	AALP_AA3G073700
OG0000001	Carub.0008s0058.1.p, Carub.0002s1575.1.p	AALP_AA7G035800
OG0000001	Carub.0006s3058.1.p, Carub.0006s3056.1.p, Carub.0006s3059.1.p, Carub.0006s3031.1.p, Carub.0006s3032.1.p, Carub.0006s3030.1.p, Carub.0006s2817.1.p, Carub.0007s2741.1.p, Carub.0006s3498.1.p, Carub.0006s3499.1.p, Carub.0006s3544.1.p	AALP_AA6G033700, AALP_AAs63807U000300, AALP_AA6G018200, AALP_AA6G018400, AALP_AA6G032400, AALP_AA6G026900, AALP_AA6G035300, AALP_AA6G032300
OG0000002	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p	AALP_AAs55784U000100, AALP_AA5G187200, AALP_AA6G166300
OG0000003	Carub.0006s2303.1.p	AALP_AA3G048600
OG0000003	Carub.0003s2067.1.p, Carub.0002s0302.1.p, Carub.0002s1378.1.p, Carub.0003s1362.1.p, Carub.0001s1047.1.p, Carub.0003s1334.1.p, Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p	AALP_AA8G091400
OG0000003	Carub.0003s1813.1.p, Carub.0003s1811.1.p	AALP_AA3G178600
OG0000005	Carub.0006s2630.1.p	AALP_AA2G139400, AALP_AA8G213400, AALP_AAs44667U000300
OG0000007	Carub.0005s1781.1.p	AALP_AA5G199200
OG0000011	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p	AALP_AA5G017300
OG0000011	Carub.0002s0700.1.p, Carub.0002s0699.1.p	AALP_AA2G135300, AALP_AA5G017400
OG0000011	Carub.0002s1260.1.p	AALP_AA3G032600, AALP_AA3G032400, AALP_AA3G032700
OG0000013	Carub.0005s2442.1.p, Carub.0005s2443.1.p, Carub.0001s3326.1.p	AALP_AA5G165700, AALP_AA5G184800, AALP_AA5G216100
OG0000013	Carub.0001s3612.1.p, Carub.0001s3614.1.p	AALP_AA5G098000
OG0000013	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p	AALP_AA3G360300
OG0000013	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p	AALP_AA1G315800, AALP_AA1G315900
OG0000014	Carub.0005s2517.1.p	AALP_AA5G232300
OG0000014	Carub.0005s2516.1.p	AALP_AA2G066700
OG0000014	Carub.0005s2506.1.p	AALP_AA5G226800
OG0000014	Carub.0005s1051.1.p, Carub.0005s1052.1.p	AALP_AA5G206400, AALP_AA5G206600, AALP_AA3G352100, AALP_AA5G227800, AALP_AA5G227100, AALP_AA5G227000
OG0000014	Carub.0005s2513.1.p	AALP_AA6G178800
OG0000014	Carub.0005s2515.1.p	AALP_AA5G229300
OG0000016	Carub.0007s2867.1.p	AALP_AA4G100300
OG0000016	Carub.0007s0071.1.p	AALP_AA7G266100
OG0000016	Carub.0006s1634.1.p	AALP_AA8G194900
OG0000016	Carub.0003s0300.1.p	AALP_AA3G031500, AALP_AAs63894U000200
OG0000016	Carub.0003s0304.1.p	AALP_AA3G033100
OG0000016	Carub.0003s0303.1.p	AALP_AA3G033200
OG0000016	Carub.0006s1637.1.p, Carub.0006s1628.1.p, Carub.0006s1623.1.p, Carub.0006s1622.1.p, Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p	AALP_AA8G195400, AALP_AA8G195900, AALP_AA8G195200, AALP_AA8G195500, AALP_AA8G193900
OG0000017	Carub.0004s1336.1.p	AALP_AA3G191600, AALP_AA6G076700
OG0000017	Carub.0001s0357.1.p	AALP_AA6G082400, AALP_AA1G335500
OG0000018	Carub.0007s3392.1.p	AALP_AA6G318300
OG0000018	Carub.0007s3369.1.p, Carub.0007s3397.1.p	AALP_AA7G219900
OG0000018	Carub.0007s3458.1.p	AALP_AA6G323400, AALP_AA6G323600
OG0000018	Carub.0007s3372.1.p	AALP_AA6G316100
