Orthogroup	Brassica_oleracea	Tarenaya_hassleriana
OG0000001	Bo3g017640, Bo1g152000, Bo1g151990, Bo5g148060, Bo5g148070, Bo6g094700, Bo9g027820, Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010, Bo4g190070, Bo4g190080, Bo7g114000, Bo1g015000, Bo01092s020, Bo01092s010, Bo1g015020, Bo3g027900, Bo1g017820, Bo1g055250	Th2v11594, Th2v11570, Th2v11595, Th2v05875, Th2v20978, Th2v00366, Th2v17499
OG0000001	Bo3g062530	Th2v18543
OG0000001	Bo6g024760, Bo5g076350, Bo8g035560, Bo3g185160	Th2v03607
OG0000001	Bo04419s010, Bo3g017660, Bo3g028410, Bo4g038580, Bo4g183280, Bo6g094160, Bo7g005620, Bo4g096760, Bo9g027360, Bo2g166330, Bo6g103930, Bo5g137930, Bo6g099660, Bo5g103520	Th2v10283, Th2v10284
OG0000001	Bo7g091020	Th2v06370, Th2v15070
OG0000003	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480, Bo9g150290, Bo6g039530, Bo9g150280, Bo3g157320, Bo1g121550, Bo1g121590, Bo7g074120, Bo8g037970, Bo5g126690, Bo5g126710, Bo5g126740, Bo3g058860, Bo02074s010, Bo00848s040, Bo1g122930, Bo1g124800, Bo3g068740, Bo3g068790, Bo01050s030, Bo1g053200, Bo9g164350, Bo1g053180, Bo3g085640, Bo3g085630, Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380, Bo9g040720, Bo2g092410, Bo4g186150, Bo4g186130, Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850, Bo8g082630, Bo6g114390, Bo5g115470, Bo3g084010, Bo1g099970, Bo00890s010, Bo02791s010, Bo1g012110, Bo01308s030, Bo06333s010, Bo3g027920, Bo1g114670, Bo3g071300, Bo5g055810, Bo3g081360, Bo7g014090, Bo8g082450, Bo3g028700, Bo3g029810, Bo1g101700, Bo5g122980, Bo5g123020, Bo5g122990, Bo6g112890, Bo4g108630	Th2v26263
OG0000005	Bo3g084400, Bo6g007070	Th2v30964, Th2v29596
OG0000005	Bo5g132790, Bo06303s010, Bo7g046870	Th2v13056, Th2v28600, Th2v31041, Th2v31287, Th2v31232, Th2v30855, Th2v31533, Th2v31403, Th2v31019, Th2v30879, Th2v31506, Th2v31194
OG0000005	Bo8g037990, Bo17587s010	Th2v09257
OG0000005	Bo6g056250, Bo6g001040, Bo8g089880, Bo9g132970	Th2v29892
OG0000005	Bo01912s010	Th2v31534
OG0000007	Bo4g085040	Th2v25597
OG0000007	Bo9g037170	Th2v07794, Th2v29692
OG0000007	Bo8g030380, Bo8g030390, Bo00706s070, Bo5g080150, Bo3g069020, Bo5g027570, Bo1g087820, Bo2g165570, Bo8g033880, Bo5g118930, Bo5g118940, Bo9g078160, Bo7g113950, Bo6g018730, Bo9g066970, Bo00576s050, Bo00766s030, Bo5g110040, Bo29619s010, Bo05564s010, Bo09951s010, Bo19714s010, Bo2g134200, Bo00766s020, Bo00950s020, Bo7g007280, Bo4g050730, Bo1g101400, Bo10576s010, Bo01181s040, Bo01181s030	Th2v05750, Th2v09316
OG0000009	Bo9g058260	Th2v12470, Th2v27495
OG0000009	Bo3g107920, Bo7g059380, Bo9g117660	Th2v28697, Th2v09745, Th2v21857, Th2v12584, Th2v26423, Th2v23827, Th2v27336, Th2v30311, Th2v24639, Th2v01203, Th2v11223, Th2v28165, Th2v29986, Th2v27753, Th2v07397, Th2v13153, Th2v23506, Th2v22617
