Orthogroup	Thellungiella_parvula	Arabidopsis_lyrata
OG0000000	Sp5g15125.1, Sp5g15613.1	fgenesh2_kg.7__3600__AT2G06550.1, fgenesh2_kg.1__2289__AT2G06550.1, fgenesh2_kg.1__4417__AT2G06550.1, fgenesh2_kg.4__835__AT2G06550.1, fgenesh2_kg.5__1255__AT2G06550.1, fgenesh2_kg.7__2996__AT2G06550.1
OG0000001	Sp2g04140.1	scaffold_402776.1
OG0000002	Sp5g15617.1	fgenesh2_kg.7__3601__AT2G06555.1, fgenesh2_kg.6__1793__AT2G06555.1, fgenesh2_kg.1__2290__AT2G06555.1, fgenesh2_kg.8__1707__AT2G06555.1, fgenesh2_kg.4__834__AT2G06555.1, Al_scaffold_0008_1110, fgenesh2_kg.8__2842__AT5G32620.1
OG0000003	Sp3g22340.1	fgenesh2_kg.3__1934__AT3G17570.1
OG0000003	Sp3g18730.1	fgenesh2_kg.3__2296__AT3G20700.1, scaffold_302475.1, Al_scaffold_0003_2216, Al_scaffold_0003_2218, fgenesh2_kg.3__2298__AT3G20710.1
OG0000003	Sp3g17310.1	fgenesh1_pm.C_scaffold_3001612, fgenesh2_kg.3__2035__AT2G07130.1, scaffold_302289.1, scaffold_304077.1
OG0000003	Sp4g16570.1	scaffold_302523.1
OG0000003	Sp3g21250.1	fgenesh2_kg.3__2827__AT2G04920.1, scaffold_303273.1, scaffold_303274.1, scaffold_303295.1, scaffold_303285.1, scaffold_303294.1
OG0000005	Sp4g09613.1, Sp5g19015.1	fgenesh2_kg.3__3023__AT2G04470.1
OG0000006	Sp5g16870.1, Sp7g07780.1	Al_scaffold_0001_3480
OG0000007	Sp1g36550.1, Sp7g01850.1, Sp3g27520.1, Sp6g09750.1, Sp3g28000.1, Sp2g06330.1, Sp7g02850.1, Sp1g34290.1, SpUn0013_0030.1, SpUn0007_0130.1, SpUn0005_0180.1, SpUn0005_0190.1, SpUn0002_0670.1, Sp5g20470.1, Sp2g06140.1, Sp1g31200.1, Sp3g26530.1, Sp1g31210.1, Sp7g06300.1, Sp7g06320.1, Sp7g08350.1, Sp4g02360.1, Sp5g17740.1, Sp5g19660.1, Sp7g08990.1, Sp4g07030.1, Sp4g08150.1, Sp5g19650.1, Sp4g06480.1, Sp5g17390.1, SpUn0166_0010.1, Sp5g17400.1	Al_scaffold_0004_728
OG0000009	Sp7g19460.1, Sp6g08880.1	scaffold_400377.1
OG0000009	Sp4g10390.1	scaffold_800855.1, Al_scaffold_0005_1407, scaffold_18800001.1
OG0000011	Sp2g09300.1	scaffold_800550.1
OG0000011	Sp7g20140.1	Al_scaffold_0007_1965
OG0000011	Sp3g23450.1	Al_scaffold_0001_3923
OG0000011	Sp3g29100.1	Al_scaffold_0003_3258
OG0000014	Sp1g34680.1	fgenesh2_kg.3__2847__AT2G05420.1, Al_scaffold_0003_2996, Al_scaffold_0003_2994, fgenesh1_pm.C_scaffold_3002327
OG0000014	Sp5g04453.1	Al_scaffold_0005_2754
OG0000014	Sp5g04480.1	Al_scaffold_0005_2742, scaffold_503002.1
