Orthogroup	Brassica_rapa	Tarenaya_hassleriana
OG0000001	Bra020274, Bra001113, Bra028463, Bra036712, Bra017007, Bra024127, Bra011134, Bra033522	Th2v11594, Th2v11570, Th2v11595, Th2v05875, Th2v20978, Th2v00366, Th2v17499
OG0000001	Bra040666, Bra030863, Bra030864	Th2v03607
OG0000001	Bra027419, Bra031407, Bra023019, Bra012410, Bra038551, Bra031910, Bra004233, Bra029800, Bra004142, Bra031262	Th2v10283, Th2v10284
OG0000003	Bra001667, Bra021255, Bra038120, Bra041001, Bra027212, Bra027213, Bra001142, Bra021212, Bra021154, Bra026369, Bra040098, Bra022130, Bra022455, Bra035754, Bra022464, Bra020991, Bra018376, Bra017242, Bra017228, Bra041044, Bra041045, Bra017247, Bra021512, Bra013220, Bra034129, Bra015026, Bra011342, Bra023823, Bra040006, Bra001883, Bra006968, Bra028319, Bra022218, Bra016145, Bra014584	Th2v26263
OG0000005	Bra008641	Th2v14699
OG0000007	Bra033888, Bra033371, Bra021314	Th2v25597
OG0000007	Bra026661	Th2v07794, Th2v29692
OG0000007	Bra037026	Th2v05750, Th2v09316
OG0000009	Bra003264	Th2v02557, Th2v29597, Th2v29924, Th2v29832, Th2v31343, Th2v30267, Th2v31528, Th2v23485, Th2v07484, Th2v15788, Th2v30327, Th2v07802, Th2v27834, Th2v19102, Th2v30357, Th2v28566, Th2v28833, Th2v31060, Th2v23909, Th2v30607, Th2v19360, Th2v30866, Th2v29872, Th2v30171, Th2v10615, Th2v29064, Th2v21373, Th2v30810, Th2v30888, Th2v30317, Th2v07502, Th2v10993, Th2v17451, Th2v03585, Th2v23222, Th2v25091, Th2v17435, Th2v19669, Th2v17957, Th2v30942, Th2v22057, Th2v24266, Th2v28880, Th2v30991, Th2v13143, Th2v08131, Th2v27228, Th2v30493, Th2v29750, Th2v30777, Th2v31043, Th2v29039, Th2v29664, Th2v10432, Th2v27894, Th2v29309, Th2v29025, Th2v02789, Th2v23229, Th2v23231, Th2v27711, Th2v29773, Th2v20604, Th2v24330, Th2v30678, Th2v29637, Th2v26635, Th2v14246, Th2v19838, Th2v22066, Th2v26909, Th2v29015, Th2v29477, Th2v09454, Th2v28392, Th2v15712, Th2v30387, Th2v30809, Th2v25144, Th2v17348, Th2v25431, Th2v21315, Th2v30682, Th2v17327, Th2v14345, Th2v22169, Th2v31044, Th2v24482, Th2v05323, Th2v24256, Th2v30597, Th2v28868, Th2v21468, Th2v13142, Th2v09311, Th2v31362, Th2v29598, Th2v03368, Th2v05206, Th2v21357, Th2v11588, Th2v05368, Th2v03125, Th2v11101, Th2v28975, Th2v30344, Th2v12476, Th2v30416, Th2v11086, Th2v30051, Th2v30497, Th2v21610, Th2v26854, Th2v25754, Th2v30209
OG0000014	Bra003329, Bra003328, Bra014088, Bra007387, Bra007389, Bra007388, Bra007386, Bra012666, Bra008697, Bra014572, Bra007392, Bra007390, Bra003331, Bra014575, Bra014574, Bra003330	Th2v03495
