Orthogroup	Capsella_rubella	Arabidopsis_thaliana
OG0000001	Carub.0008s2051.1.p	AT4G01350, AT5G59920
OG0000001	Carub.0006s2010.1.p	AT5G22355
OG0000001	Carub.0005s1456.1.p	AT3G48400
OG0000001	Carub.0003s3395.1.p	AT2G19660
OG0000001	Carub.0007s3277.1.p, Carub.0007s3278.1.p	AT2G04680, AT5G37620
OG0000001	Carub.0005s0273.1.p	AT4G16015
OG0000001	Carub.0007s2842.1.p	AT4G13992
OG0000001	Carub.0003s3169.1.p	AT2G17600
OG0000001	Carub.0003s3168.1.p, Carub.0003s3160.1.p	AT2G17590
OG0000001	Carub.0003s1069.1.p	AT3G11385
OG0000001	Carub.0006s1615.1.p	AT5G17960
OG0000001	Carub.0001s3932.1.p	AT1G50190
OG0000001	Carub.0001s4422.1.p	AT1G55700
OG0000001	Carub.0005s0161.1.p	AT2G02680
OG0000001	Carub.0005s0160.1.p	AT2G02630, AT2G02610, AT2G02640
OG0000001	Carub.0002s0321.1.p	AT1G61840
OG0000001	Carub.0001s3557.1.p	AT2G40050
OG0000001	Carub.0005s1168.1.p	AT1G61710
OG0000001	Carub.0008s1615.1.p	AT5G55770, AT1G44050, AT5G55780, AT5G46670, AT5G46660, AT5G55800
OG0000001	Carub.0005s0454.1.p	AT3G26550
OG0000001	Carub.0001s3077.1.p	AT4G02540
OG0000001	Carub.0002s0299.1.p	AT1G62030
OG0000001	Carub.0001s3307.1.p	AT5G03355
OG0000001	Carub.0003s2866.1.p	AT2G28460, AT3G26250, AT3G26240
OG0000001	Carub.0008s0788.1.p	AT5G48320, AT4G15070
OG0000001	Carub.0008s0264.1.p	AT3G50010
OG0000001	Carub.0006s0218.1.p	AT1G44020, AT1G29180
OG0000001	Carub.0007s2957.1.p, Carub.0007s2956.1.p	AT4G13130
OG0000001	Carub.0006s2934.1.p, Carub.0006s2933.1.p	AT4G10560
OG0000001	Carub.0006s0035.1.p	AT5G01480
OG0000001	Carub.0003s2117.1.p	AT3G21210
OG0000001	Carub.0007s3532.1.p	AT5G40320
OG0000001	Carub.0001s0262.1.p	AT2G43220
OG0000001	Carub.0008s0350.1.p	AT5G44770
OG0000001	Carub.0007s2711.1.p	AT2G04500, AT4G14980
OG0000001	Carub.0008s0226.1.p	AT1G58037, AT5G45730
