Orthogroup	Arabidopsis_thaliana	Boechera_stricta
OG0000001	AT4G01350, AT5G59920	Bostr.26833s0241.1.p
OG0000001	AT5G59940	Bostr.22157s0115.1.p, Bostr.22157s0143.1.p, Bostr.22157s0119.1.p, Bostr.22157s0122.1.p, Bostr.22157s0151.1.p, Bostr.22157s0180.1.p
OG0000001	AT5G22355	Bostr.26527s0042.1.p
OG0000001	AT3G46810	Bostr.18473s0278.1.p
OG0000001	AT2G19660	Bostr.25849s0004.1.p
OG0000001	AT2G04680, AT5G37620	Bostr.14547s0001.1.p, Bostr.15654s0034.1.p, Bostr.15654s0033.1.p
OG0000001	AT4G13992	Bostr.9017s0004.1.p, Bostr.10040s0009.1.p, Bostr.2021s0062.1.p, Bostr.10064s0015.1.p, Bostr.20055s0060.1.p, Bostr.2902s0370.1.p
OG0000001	AT5G26190	Bostr.29827s0197.1.p
OG0000001	AT2G17600	Bostr.18351s0221.1.p
OG0000001	AT1G35610, AT3G13760	Bostr.3640s0172.1.p
OG0000001	AT2G02680, AT2G02620, AT2G02690, AT2G02700	Bostr.0556s0214.1.p, Bostr.0556s0256.1.p, Bostr.29223s0165.1.p, Bostr.0556s0084.1.p, Bostr.0556s0103.1.p, Bostr.0556s0108.1.p, Bostr.0556s0061.1.p, Bostr.0556s0110.1.p, Bostr.0556s0081.1.p
OG0000001	AT1G61840	Bostr.30057s0014.1.p
OG0000001	AT2G40050	Bostr.23794s0056.1.p, Bostr.23794s0114.1.p, Bostr.23794s0128.1.p
OG0000001	AT1G61710	Bostr.14881s0006.1.p
OG0000001	AT2G13950, AT5G02340, AT2G13900, AT5G02350, AT5G02330, AT5G02360, AT1G53340, AT2G13895	Bostr.22157s0109.1.p
OG0000001	AT5G55770, AT1G44050, AT5G55780, AT5G46670, AT5G46660, AT5G55800, AT4G10370, AT3G26550	Bostr.14547s0002.1.p
OG0000001	AT1G62030	Bostr.11366s0001.1.p
OG0000001	AT5G03355	Bostr.28243s0051.1.p
OG0000001	AT5G03360, AT4G26380	Bostr.27895s0099.1.p, Bostr.27895s0101.1.p, Bostr.27895s0102.1.p, Bostr.29044s0103.1.p, Bostr.27895s0136.1.p, Bostr.27895s0098.1.p
OG0000001	AT3G50010	Bostr.8819s0066.1.p
OG0000001	AT1G34480	Bostr.29827s0116.1.p, Bostr.1040s0025.1.p
OG0000001	AT3G21210	Bostr.22252s0380.1.p, Bostr.2983s0057.1.p
OG0000001	AT5G44770, AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020, AT2G04500, AT4G14980, AT3G25850	Bostr.19424s0253.1.p
OG0000001	AT3G07000	Bostr.22252s0338.1.p, Bostr.22252s0337.1.p, Bostr.22252s0339.1.p
OG0000001	AT3G06990	Bostr.15774s0247.1.p
OG0000001	AT1G69150, AT3G43890	Bostr.6569s0001.1.p
OG0000001	AT4G11550, AT4G11390, AT4G11540	Bostr.25463s0173.1.p, Bostr.25463s0254.1.p
OG0000001	AT4G01910, AT4G01920, AT4G01930, AT4G01925, AT4G02180, AT4G01740, AT4G02190, AT4G01760	Bostr.10058s0049.1.p
OG0000002	AT2G06555	Bostr.20625s0001.1.p, Bostr.0556s0046.1.p, Bostr.20055s0103.1.p
OG0000002	AT4G08270	Bostr.7128s0693.1.p, Bostr.19424s0811.1.p, Bostr.13671s0382.1.p, Bostr.27991s0059.1.p, Bostr.23794s0120.1.p, Bostr.6864s0104.1.p, Bostr.0697s0013.1.p, Bostr.30275s0103.1.p, Bostr.0124s0046.1.p, Bostr.26675s0348.1.p, Bostr.25219s0363.1.p, Bostr.22252s0054.1.p, Bostr.13129s0082.1.p
OG0000003	AT3G17480, AT1G62270	Bostr.3640s0104.1.p
OG0000003	AT2G17830, AT5G42460	Bostr.18351s0251.1.p
OG0000003	AT3G16740	Bostr.28625s0018.1.p
OG0000003	AT3G17620	Bostr.19424s0924.1.p
OG0000003	AT3G14030, AT3G13680	Bostr.12659s0296.1.p
OG0000003	AT3G49980	Bostr.6864s0242.1.p
OG0000003	AT5G47300	Bostr.19424s0979.1.p
OG0000003	AT3G18980	Bostr.5022s0073.1.p, Bostr.27991s0015.1.p
OG0000003	AT3G18320, AT2G07140, AT3G44120, AT3G18330, AT3G19410, AT3G18910, AT3G18905	Bostr.19424s0515.1.p
OG0000003	AT2G04920	Bostr.19424s0010.1.p
OG0000006	AT4G29090	Bostr.19412s0001.1.p
