Orthogroup	Thellungiella_parvula	Boechera_stricta
OG0000001	Sp7g16340.1	Bostr.9017s0004.1.p, Bostr.10040s0009.1.p, Bostr.2021s0062.1.p, Bostr.10064s0015.1.p, Bostr.20055s0060.1.p, Bostr.2902s0370.1.p
OG0000001	Sp7g01410.1	Bostr.29827s0197.1.p
OG0000001	Sp2g04140.1	Bostr.23794s0056.1.p, Bostr.23794s0114.1.p, Bostr.23794s0128.1.p
OG0000001	Sp4g05840.1, SpUn0059_0030.1, Sp3g32270.1	Bostr.0597s0117.1.p, Bostr.0597s0144.1.p, Bostr.0597s0106.1.p, Bostr.0597s0104.1.p
OG0000001	Sp3g19190.1	Bostr.22252s0380.1.p, Bostr.2983s0057.1.p
OG0000002	Sp5g15617.1	Bostr.19424s0975.1.p, Bostr.29863s0004.1.p, Bostr.5763s0077.1.p, Bostr.28625s0263.1.p, Bostr.20889s0001.1.p, Bostr.6251s0087.1.p, Bostr.3288s0101.1.p, Bostr.28625s0129.1.p, Bostr.25463s0272.1.p, Bostr.7867s0743.1.p, Bostr.15654s0089.1.p, Bostr.20625s0001.1.p, Bostr.0556s0046.1.p, Bostr.20055s0103.1.p, Bostr.28625s0130.1.p, Bostr.7128s0693.1.p, Bostr.19424s0811.1.p, Bostr.13671s0382.1.p, Bostr.27991s0059.1.p, Bostr.23794s0120.1.p, Bostr.6864s0104.1.p, Bostr.0697s0013.1.p, Bostr.30275s0103.1.p, Bostr.0124s0046.1.p, Bostr.26675s0348.1.p, Bostr.25219s0363.1.p, Bostr.22252s0054.1.p, Bostr.13129s0082.1.p, Bostr.7867s0394.1.p, Bostr.12302s0059.1.p, Bostr.0597s0093.1.p, Bostr.13404s0068.1.p
OG0000003	Sp3g14050.1	Bostr.28625s0119.1.p
OG0000003	Sp3g17310.1	Bostr.19424s0515.1.p
OG0000003	Sp3g21250.1	Bostr.19424s0010.1.p
OG0000007	Sp1g31770.1	Bostr.11568s0036.1.p, Bostr.2199s0042.1.p, Bostr.3359s0073.1.p, Bostr.15774s0014.1.p, Bostr.18473s0020.1.p, Bostr.0597s0007.1.p, Bostr.0142s0001.1.p
OG0000007	SpUn0003_0370.1	Bostr.30057s0062.1.p, Bostr.10689s0085.1.p, Bostr.30275s0278.1.p
OG0000007	Sp1g36550.1, Sp7g01850.1, Sp3g27520.1, Sp6g09750.1, Sp3g28000.1, Sp2g06330.1, Sp7g02850.1, Sp1g34290.1, SpUn0013_0030.1, SpUn0007_0130.1, SpUn0005_0180.1, SpUn0005_0190.1, SpUn0002_0670.1, Sp5g20470.1, Sp2g06140.1, Sp1g31200.1, Sp3g26530.1, Sp1g31210.1, Sp7g06300.1, Sp7g06320.1, Sp7g08350.1, Sp4g02360.1, Sp5g17740.1, Sp5g19660.1, Sp7g08990.1, Sp4g07030.1, Sp4g08150.1, Sp5g19650.1, Sp4g06480.1, Sp5g17390.1, SpUn0166_0010.1, Sp5g17400.1	Bostr.21554s0011.1.p, Bostr.23794s0324.1.p, Bostr.9586s0001.1.p, Bostr.15697s0471.1.p
OG0000009	Sp4g10390.1	Bostr.12659s0253.1.p, Bostr.5022s0045.1.p
OG0000011	Sp7g20140.1	Bostr.25463s0391.1.p
OG0000011	Sp3g29100.1	Bostr.9686s0011.1.p
OG0000012	Sp3g26410.1, Sp1g30760.1, SpUn0001_0510.1, Sp4g07060.1, Sp6g10920.1, Sp7g10290.1, SpUn0001_0740.1, Sp3g26710.1	Bostr.6773s0009.1.p
OG0000014	Sp1g34680.1	Bostr.3053s0015.1.p
OG0000014	Sp5g04480.1	Bostr.20903s0072.1.p
OG0000014	Sp5g04460.1	Bostr.20903s0077.1.p
OG0000015	SpUn0004_0050.1	Bostr.13175s0074.1.p, Bostr.22157s0001.1.p, Bostr.30057s0022.1.p, Bostr.25494s0057.1.p, Bostr.25463s0280.1.p, Bostr.3148s0194.1.p, Bostr.13671s0245.1.p, Bostr.29246s0028.1.p, Bostr.7867s0391.1.p, Bostr.3148s0191.1.p, Bostr.17053s0001.1.p, Bostr.0556s0068.1.p, Bostr.7903s0152.1.p, Bostr.10273s0354.1.p, Bostr.5763s0029.1.p, Bostr.3053s0006.1.p, Bostr.26959s0380.1.p, Bostr.7305s0008.1.p
OG0000015	SpUn0002_0230.1	Bostr.1109s0001.1.p, Bostr.10040s0283.1.p
OG0000015	Sp3g26350.1	Bostr.0556s0102.1.p
OG0000016	Sp7g11580.1	Bostr.9017s0030.1.p
OG0000016	Sp7g36980.1	Bostr.25542s0065.1.p
OG0000016	Sp4g00370.1, Sp4g00380.1	Bostr.25542s0062.1.p
OG0000016	Sp6g26270.1	Bostr.26527s0407.1.p
OG0000016	Sp3g02800.1	Bostr.9574s0001.1.p
OG0000016	Sp6g26280.1, Sp6g26260.1	Bostr.26527s0403.1.p, Bostr.26527s0410.1.p, Bostr.26527s0406.1.p, Bostr.26527s0411.1.p, Bostr.26527s0405.1.p
OG0000017	Sp5g12630.1	Bostr.18473s0005.1.p
OG0000018	Sp7g00350.1	Bostr.25375s0037.1.p
OG0000018	Sp2g00780.1	Bostr.29223s0143.1.p
OG0000018	Sp2g00920.1	Bostr.2199s0024.1.p
OG0000018	Sp5g13400.1	Bostr.10040s0227.1.p
OG0000018	Sp2g00800.1	Bostr.10040s0141.1.p
OG0000019	Sp1g38480.1	Bostr.26675s0016.1.p, Bostr.26675s0017.1.p
OG0000019	Sp6g21340.1	Bostr.26833s0271.1.p
OG0000019	Sp6g21350.1	Bostr.26833s0270.1.p
OG0000019	Sp4g11820.1	Bostr.27991s0162.1.p
OG0000019	Sp4g11770.1	Bostr.27991s0024.1.p
OG0000019	Sp4g11810.1	Bostr.26833s0919.1.p
OG0000023	Sp1g27610.1	Bostr.15697s0468.1.p
OG0000024	Sp6g22630.1	Bostr.10199s0167.1.p
OG0000024	Sp2g05350.1	Bostr.10040s0323.1.p, Bostr.10040s0277.1.p, Bostr.10040s0332.1.p, Bostr.10040s0017.1.p, Bostr.10040s0312.1.p, Bostr.10040s0304.1.p, Bostr.10040s0300.1.p, Bostr.10040s0324.1.p, Bostr.7200s0195.1.p, Bostr.10040s0334.1.p, Bostr.25375s0006.1.p, Bostr.10040s0305.1.p, Bostr.10040s0313.1.p, Bostr.10040s0328.1.p, Bostr.10040s0322.1.p
OG0000024	Sp2g04940.1, Sp2g04960.1	Bostr.30057s0071.1.p
OG0000024	Sp3g23090.1	Bostr.13671s0460.1.p, Bostr.10040s0330.1.p
OG0000025	Sp4g07220.1	Bostr.3148s0185.1.p, Bostr.29998s0001.1.p, Bostr.3148s0186.1.p, Bostr.3148s0188.1.p, Bostr.3148s0187.1.p, Bostr.0556s0766.1.p, Bostr.0556s0767.1.p, Bostr.0556s0765.1.p, Bostr.13404s0014.1.p, Bostr.30057s0043.1.p, Bostr.13404s0013.1.p, Bostr.26675s0106.1.p, Bostr.3148s0189.1.p, Bostr.30057s0042.1.p, Bostr.30057s0037.1.p, Bostr.30057s0036.1.p, Bostr.30057s0035.1.p, Bostr.26833s0266.1.p
OG0000029	Sp6g39690.1	Bostr.2128s0174.1.p
OG0000030	Sp2g01710.1	Bostr.2199s0026.1.p, Bostr.29223s0189.1.p, Bostr.29223s0149.1.p, Bostr.29223s0163.1.p, Bostr.9600s0030.1.p
OG0000031	SpUn0035_0040.1, Sp1g38380.1, Sp7g03360.1, Sp7g03470.1	Bostr.17584s0015.1.p, Bostr.25219s0531.1.p, Bostr.17584s0014.1.p, Bostr.9638s0123.1.p
OG0000031	Sp6g18230.1, Sp5g07520.1	Bostr.0697s0107.1.p
OG0000032	Sp7g03860.1	Bostr.12645s0038.1.p
OG0000032	Sp5g21900.1	Bostr.26959s0229.1.p, Bostr.26959s0228.1.p
OG0000032	Sp5g21920.1	Bostr.16189s0001.1.p, Bostr.26959s0226.1.p
OG0000032	Sp7g15830.1	Bostr.2021s0086.1.p
OG0000032	Sp7g03770.1	Bostr.16958s0001.1.p
OG0000033	Sp2g03980.1	Bostr.29223s0212.1.p, Bostr.10040s0165.1.p, Bostr.29223s0213.1.p, Bostr.22157s0155.1.p, Bostr.9600s0006.1.p, Bostr.22157s0076.1.p, Bostr.22157s0029.1.p, Bostr.22157s0080.1.p, Bostr.22157s0070.1.p, Bostr.22157s0051.1.p, Bostr.22157s0073.1.p, Bostr.22157s0072.1.p, Bostr.22157s0081.1.p, Bostr.22157s0075.1.p
OG0000033	Sp1g10900.1	Bostr.13671s0230.1.p
OG0000037	Sp5g08630.1	Bostr.23794s0315.1.p
OG0000037	Sp5g08630.1	Bostr.11793s0017.1.p
OG0000037	Sp4g19980.1	Bostr.23794s0315.1.p
OG0000037	Sp4g19980.1	Bostr.11793s0017.1.p
OG0000037	Sp3g16870.1	Bostr.19424s0781.1.p, Bostr.26675s0249.1.p
OG0000037	Sp4g24310.1	Bostr.25463s0388.1.p, Bostr.25463s0389.1.p, Bostr.25993s0569.1.p, Bostr.25993s0568.1.p
OG0000037	Sp3g10340.1	Bostr.19424s1148.1.p
OG0000037	Sp6g21050.1	Bostr.26833s0307.1.p
OG0000037	Sp1g28660.1	Bostr.3359s0051.1.p
OG0000037	Sp6g33600.1	Bostr.13129s0011.1.p
OG0000038	Sp4g09920.1	Bostr.18473s0053.1.p, Bostr.0556s0520.1.p, Bostr.6864s0279.1.p, Bostr.13671s0128.1.p, Bostr.8819s0183.1.p
OG0000039	Sp7g21220.1	Bostr.7867s0120.1.p
OG0000039	Sp6g05970.1	Bostr.25463s0206.1.p, Bostr.25463s0175.1.p
OG0000040	Sp6g27520.1, Sp6g27530.1	Bostr.2618s0001.1.p
OG0000040	Sp1g26630.1	Bostr.19424s1118.1.p
OG0000040	Sp7g01830.1, Sp4g02040.1	Bostr.30275s0249.1.p
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	Bostr.21942s0009.1.p
OG0000040	Sp3g08720.1	Bostr.22252s0018.1.p
OG0000040	SpUn0245_0010.1	Bostr.10273s0027.1.p
OG0000041	Sp1g31240.1, Sp1g33340.1, Sp3g25050.1, Sp5g17980.1, Sp5g16800.1, Sp6g09290.1, Sp6g12650.1, Sp4g07700.1, Sp3g24690.1, Sp1g33610.1, Sp1g29320.1, Sp6g12660.1, Sp4g08700.1, SpUn0002_0030.1, Sp5g17520.1, SpUn0001_0560.1	Bostr.19424s0043.1.p
OG0000041	Sp1g31430.1, SpUn0002_0370.1, Sp4g06340.1, Sp7g07960.1, Sp5g20030.1, SpUn0001_1070.1, Sp3g26420.1, Sp1g34590.1, Sp5g20720.1, Sp6g11390.1, Sp6g04550.1, Sp2g07530.1, Sp6g09680.1, Sp6g04730.1, SpUn0257_0010.1, SpUn0025_0070.1, SpUn0606_0010.1, Sp1g33990.1, Sp5g17180.1, Sp7g10820.1, Sp5g18380.1, Sp6g10520.1, Sp4g07210.1, Sp3g26930.1, Sp7g07460.1, Sp6g07890.1, SpUn1776_0010.1, Sp1g32360.1, Sp3g23630.1, Sp6g11020.1, Sp4g04600.1, Sp6g10600.1, Sp7g03480.1, Sp7g08130.1, Sp5g21220.1, Sp6g10400.1, Sp4g05320.1, SpUn0001_0870.1, Sp6g09170.1, Sp6g11310.1	Bostr.3877s0041.1.p, Bostr.26326s0162.1.p
OG0000042	Sp5g03990.1	Bostr.15774s0042.1.p
OG0000042	Sp5g03860.1	Bostr.20903s0148.1.p
OG0000042	Sp3g28560.1, Sp3g28550.1, Sp3g28540.1	Bostr.26326s0020.1.p, Bostr.20332s0001.1.p, Bostr.20332s0002.1.p
OG0000043	Sp6g23980.1	Bostr.26527s0156.1.p
OG0000043	Sp1g34070.1	Bostr.18473s0210.1.p
OG0000044	Sp5g14790.1	Bostr.18473s0264.1.p
OG0000044	Sp2g02570.1	Bostr.22157s0137.1.p
OG0000044	Sp2g02100.1, Sp2g02560.1, Sp2g02600.1	Bostr.22157s0134.1.p
OG0000045	Sp7g21200.1	Bostr.7867s0109.1.p, Bostr.7867s0121.1.p
OG0000046	Sp2g10050.1	Bostr.8819s0012.1.p
OG0000046	Sp2g10150.1	Bostr.27895s0043.1.p
OG0000046	Sp2g10070.1	Bostr.8819s0019.1.p
OG0000048	Sp5g16670.1	Bostr.10199s0126.1.p
OG0000048	Sp7g08750.1, Sp4g06220.1	Bostr.7305s0077.1.p
OG0000049	Sp1g30605.1	Bostr.19424s0075.1.p, Bostr.19424s0484.1.p, Bostr.9586s0002.1.p
OG0000050	Sp7g35840.1	Bostr.13175s0006.1.p
OG0000050	Sp7g35840.1	Bostr.25542s0196.1.p
OG0000050	Sp7g35840.1	Bostr.25542s0197.1.p
OG0000050	Sp7g35840.1	Bostr.3288s0212.1.p
OG0000050	Sp7g35830.1	Bostr.13175s0006.1.p
OG0000050	Sp7g35830.1	Bostr.25542s0196.1.p
OG0000050	Sp7g35830.1	Bostr.25542s0197.1.p
OG0000050	Sp7g35830.1	Bostr.3288s0212.1.p
OG0000050	Sp6g31050.1	Bostr.2902s0027.1.p
OG0000050	Sp6g33050.1	Bostr.13175s0061.1.p
OG0000050	Sp6g33050.1	Bostr.13175s0060.1.p
OG0000050	Sp6g33050.1	Bostr.0556s0417.1.p
OG0000050	Sp6g33050.1	Bostr.0568s0252.1.p
OG0000050	Sp6g33050.1	Bostr.25219s0026.1.p
OG0000050	Sp6g33060.1	Bostr.13175s0061.1.p
OG0000050	Sp6g33060.1	Bostr.13175s0060.1.p
OG0000050	Sp6g33060.1	Bostr.0556s0417.1.p
OG0000050	Sp6g33060.1	Bostr.0568s0252.1.p
OG0000050	Sp6g33060.1	Bostr.25219s0026.1.p
OG0000050	Sp2g05210.1	Bostr.13175s0061.1.p
OG0000050	Sp2g05210.1	Bostr.13175s0060.1.p
OG0000050	Sp2g05210.1	Bostr.0556s0417.1.p
OG0000050	Sp2g05210.1	Bostr.0568s0252.1.p
OG0000050	Sp2g05210.1	Bostr.25219s0026.1.p
OG0000050	Sp2g06530.1	Bostr.13175s0061.1.p
OG0000050	Sp2g06530.1	Bostr.13175s0060.1.p
OG0000050	Sp2g06530.1	Bostr.0556s0417.1.p
OG0000050	Sp2g06530.1	Bostr.0568s0252.1.p
OG0000050	Sp2g06530.1	Bostr.25219s0026.1.p
OG0000050	Sp1g07810.1	Bostr.13175s0061.1.p
OG0000050	Sp1g07810.1	Bostr.13175s0060.1.p
OG0000050	Sp1g07810.1	Bostr.0556s0417.1.p
OG0000050	Sp1g07810.1	Bostr.0568s0252.1.p
OG0000050	Sp1g07810.1	Bostr.25219s0026.1.p
OG0000051	Sp6g34560.1	Bostr.13129s0120.1.p
OG0000051	Sp2g16170.1	Bostr.0556s0377.1.p
OG0000051	Sp7g00950.1	Bostr.7200s0107.1.p
OG0000051	Sp7g00940.1	Bostr.7200s0108.1.p
OG0000051	Sp3g00160.1	Bostr.1460s0019.1.p
OG0000051	Sp6g12730.1	Bostr.15774s0205.1.p
OG0000051	Sp5g13350.1	Bostr.18473s0087.1.p
OG0000051	Sp2g26580.1	Bostr.0568s0461.1.p
OG0000053	Sp7g04290.1, Sp5g21490.1	Bostr.26959s0277.1.p
OG0000053	Sp7g12750.1	Bostr.0597s0077.1.p
OG0000053	Sp3g20610.1	Bostr.19424s0367.1.p
OG0000053	Sp5g05790.1	Bostr.9345s0021.1.p
OG0000053	Sp5g05790.1	Bostr.20505s0073.1.p
OG0000053	Sp4g23420.1	Bostr.9345s0021.1.p
OG0000053	Sp4g23420.1	Bostr.20505s0073.1.p
OG0000054	Sp1g10770.1	Bostr.13671s0250.1.p
OG0000054	Sp2g02080.1	Bostr.22157s0089.1.p
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	Bostr.25463s0062.1.p
OG0000054	Sp4g27230.1, SpUn0031_0090.1	Bostr.25993s0256.1.p
OG0000054	Sp6g04960.1	Bostr.18060s0001.1.p
OG0000054	SpUn0055_0010.1, Sp6g04970.1	Bostr.25463s0053.1.p
OG0000054	Sp7g20540.1	Bostr.7867s0025.1.p
OG0000057	Sp6g19080.1	Bostr.26833s0521.1.p
OG0000057	Sp1g15390.1	Bostr.7128s0336.1.p
OG0000057	Sp5g02900.1	Bostr.13158s0024.1.p
OG0000057	Sp2g25850.1	Bostr.0568s0540.1.p
OG0000057	Sp4g03520.1	Bostr.27895s0035.1.p
OG0000057	Sp5g35100.1	Bostr.20129s0447.1.p
OG0000057	Sp5g18280.1	Bostr.0556s0646.1.p
OG0000057	Sp3g25350.1	Bostr.24399s0004.1.p
OG0000057	Sp7g28060.1	Bostr.7867s0870.1.p
OG0000057	Sp3g32410.1	Bostr.18351s0364.1.p
OG0000060	Sp4g11580.1	Bostr.27991s0044.1.p
OG0000060	Sp6g22520.1	Bostr.10199s0157.1.p
OG0000060	Sp3g07850.1	Bostr.6251s0013.1.p
OG0000060	Sp6g21620.1	Bostr.26833s0243.1.p
OG0000062	Sp7g14050.1	Bostr.19424s0655.1.p
OG0000062	Sp3g18105.1	Bostr.23794s0651.1.p
OG0000064	Sp3g33520.1	Bostr.7903s0140.1.p
OG0000064	Sp7g26710.1	Bostr.7867s0716.1.p
OG0000064	Sp1g02980.1	Bostr.26675s0339.1.p
OG0000064	Sp4g14250.1	Bostr.24513s0034.1.p
OG0000064	Sp1g15710.1	Bostr.7128s0368.1.p
OG0000064	Sp6g23970.1	Bostr.26527s0155.1.p
OG0000064	Sp5g04560.1	Bostr.20903s0067.1.p
OG0000064	SpUn0001_0160.1	Bostr.13404s0031.1.p
OG0000064	Sp1g07380.1	Bostr.25219s0072.1.p
OG0000065	Sp5g30900.1	Bostr.20129s0012.1.p
