Orthogroup	Arabidopsis_thaliana	Tarenaya_hassleriana
OG0000001	AT5G59930, AT4G01350, AT5G59920, AT5G59940, AT5G22355, AT3G45840, AT3G48400, AT3G46810, AT3G46800, AT2G19660, AT2G04680, AT5G37620, AT2G19650, AT4G16015, AT4G13992	Th2v11594, Th2v11570, Th2v11595, Th2v05875, Th2v20978, Th2v00366, Th2v17499
OG0000001	AT3G11402, AT3G11390, AT3G11385, AT3G11370	Th2v18543
OG0000001	AT3G59120, AT3G59130	Th2v07675, Th2v15618
OG0000001	AT1G50190, AT1G55700, AT2G23100, AT5G42280, AT1G55380, AT1G55420, AT1G55430, AT1G55390, AT1G55440	Th2v03607
OG0000001	AT2G02680, AT2G02620, AT2G02690, AT2G02700, AT2G02630, AT2G02610, AT2G02640, AT1G61840, AT2G40050, AT1G61710, AT2G13950, AT5G02340, AT2G13900, AT5G02350, AT5G02330, AT5G02360, AT1G53340, AT2G13895, AT5G55770, AT1G44050, AT5G55780, AT5G46670, AT5G46660, AT5G55800, AT4G10370, AT3G26550, AT4G02540, AT1G62030, AT5G03355, AT5G03360, AT4G26380, AT2G28460, AT3G26250, AT3G26240, AT5G48320, AT4G15070, AT3G50010, AT1G66440, AT1G66450, AT1G44020, AT1G29180, AT4G13130, AT1G45243, AT4G10560, AT5G37210, AT5G01480, AT1G34480, AT3G21210	Th2v10283, Th2v10284
OG0000003	AT3G17570, AT3G17270, AT3G17480, AT1G62270, AT2G17830, AT5G42460, AT3G16740, AT2G18780, AT3G17320, AT3G17620, AT3G24580, AT3G22770, AT3G19470, AT3G20400, AT3G23420, AT3G20700, AT3G20690, AT3G20710, AT1G67450, AT1G59680, AT3G14030, AT3G13680, AT3G49980, AT1G25141, AT3G25460, AT5G47300, AT4G09870, AT3G18980, AT3G18320, AT2G07140, AT3G44120, AT3G18330, AT3G19410, AT3G18910, AT3G18905, AT3G17490, AT3G17500, AT3G22730, AT3G22700, AT3G22710, AT3G22720, AT3G22350, AT2G04920	Th2v26263
OG0000005	AT4G20220	Th2v09257
OG0000009	AT5G18880	Th2v30266
OG0000009	AT4G05095, AT1G34440	Th2v27495
OG0000009	AT2G11035	Th2v28697, Th2v09745, Th2v21857, Th2v12584, Th2v26423, Th2v23827, Th2v27336, Th2v30311, Th2v24639, Th2v01203, Th2v11223, Th2v28165, Th2v29986, Th2v27753, Th2v07397, Th2v13153, Th2v23506, Th2v22617
