Orthogroup	Arabidopsis_thaliana	Eutrema_salsugineum
OG0000000	AT2G13770	EUTSA_v10029366mg, EUTSA_v10029355mg
OG0000001	AT3G45840	EUTSA_v10002432mg
OG0000001	AT2G19650	EUTSA_v10001923mg, EUTSA_v10002199mg, EUTSA_v10022573mg
OG0000001	AT4G13992	EUTSA_v10024646mg, EUTSA_v10027008mg, EUTSA_v10012175mg
OG0000001	AT5G16430	EUTSA_v10016311mg
OG0000001	AT5G26190	EUTSA_v10027671mg
OG0000001	AT2G17600	EUTSA_v10023009mg
OG0000001	AT2G17590	EUTSA_v10022693mg, EUTSA_v10022611mg
OG0000001	AT3G11402, AT3G11390, AT3G11385, AT3G11370	EUTSA_v10022238mg
OG0000001	AT1G35610, AT3G13760	EUTSA_v10000829mg
OG0000001	AT5G17960	EUTSA_v10015310mg
OG0000001	AT3G59120, AT3G59130	EUTSA_v10005834mg, EUTSA_v10002351mg
OG0000001	AT1G50190	EUTSA_v10012244mg, EUTSA_v10011360mg, EUTSA_v10012084mg
OG0000001	AT1G55700	EUTSA_v10000551mg, EUTSA_v10012036mg
OG0000001	AT2G02680, AT2G02620, AT2G02690, AT2G02700, AT2G02630, AT2G02610, AT2G02640	EUTSA_v100040441mg, EUTSA_v10005463mg, EUTSA_v100040440mg
OG0000001	AT2G40050	EUTSA_v10023835mg
OG0000001	AT1G61710	EUTSA_v10023926mg, EUTSA_v10024120mg, EUTSA_v10023993mg
OG0000001	AT2G13950, AT5G02340, AT2G13900, AT5G02350, AT5G02330, AT5G02360, AT1G53340, AT2G13895	EUTSA_v10017611mg, EUTSA_v10023939mg, EUTSA_v10000668mg, EUTSA_v10000441mg
OG0000001	AT3G26550	EUTSA_v10012914mg
OG0000001	AT1G44020, AT1G29180	EUTSA_v10003369mg, EUTSA_v10015515mg, EUTSA_v10028419mg
OG0000001	AT4G13130	EUTSA_v10012227mg
OG0000001	AT1G45243, AT4G10560, AT5G37210	EUTSA_v10022587mg, EUTSA_v10022543mg
OG0000001	AT5G01480	EUTSA_v10000445mg
OG0000001	AT3G21210	EUTSA_v10020368mg
OG0000001	AT5G40320	EUTSA_v10027103mg
OG0000001	AT2G43220	EUTSA_v10012196mg, EUTSA_v10009889mg, EUTSA_v10009528mg, EUTSA_v10012915mg, EUTSA_v10007210mg
OG0000001	AT1G58037, AT5G45730	EUTSA_v10029207mg
OG0000001	AT3G28650, AT5G42840, AT3G27510, AT3G27500, AT3G27480, AT3G27490, AT3G27473, AT3G45530	EUTSA_v10003740mg, EUTSA_v10005296mg, EUTSA_v10005293mg, EUTSA_v10005411mg
OG0000001	AT1G69150, AT3G43890	EUTSA_v10000809mg
OG0000001	AT4G11550, AT4G11390, AT4G11540, AT4G01910, AT4G01920, AT4G01930, AT4G01925, AT4G02180, AT4G01740, AT4G02190, AT4G01760	EUTSA_v10023179mg, EUTSA_v10028254mg, EUTSA_v10028534mg
OG0000003	AT3G17570	EUTSA_v10002957mg
OG0000003	AT3G17480, AT1G62270	EUTSA_v10003403mg
OG0000003	AT2G17830, AT5G42460	EUTSA_v10021978mg, EUTSA_v10007777mg
OG0000003	AT2G18780	EUTSA_v10017529mg
OG0000003	AT3G17620	EUTSA_v10022067mg, EUTSA_v10001171mg
OG0000003	AT3G24580, AT3G22770, AT3G19470, AT3G20400, AT3G23420	EUTSA_v10015430mg, EUTSA_v10001129mg
OG0000003	AT3G20700, AT3G20690, AT3G20710	EUTSA_v10022075mg, EUTSA_v10022091mg
OG0000003	AT1G59680	EUTSA_v10003097mg, EUTSA_v10002786mg, EUTSA_v10023095mg
OG0000003	AT3G14030, AT3G13680	EUTSA_v10000447mg, EUTSA_v10024142mg
OG0000003	AT1G25141, AT3G25460	EUTSA_v10002795mg, EUTSA_v10002868mg, EUTSA_v10002977mg, EUTSA_v10003090mg
OG0000003	AT4G09870	EUTSA_v10005679mg, EUTSA_v10027376mg, EUTSA_v10027516mg, EUTSA_v10027471mg
OG0000003	AT3G18320, AT2G07140, AT3G44120, AT3G18330, AT3G19410, AT3G18910, AT3G18905	EUTSA_v10002009mg, EUTSA_v10022266mg
OG0000003	AT3G22700, AT3G22710, AT3G22720, AT3G22350	EUTSA_v10003050mg, EUTSA_v10015770mg, EUTSA_v10015418mg, EUTSA_v10002911mg, EUTSA_v10003000mg, EUTSA_v10002981mg, EUTSA_v10002867mg, EUTSA_v10027013mg, EUTSA_v10017637mg
OG0000003	AT2G04920	EUTSA_v10015889mg, EUTSA_v10015377mg, EUTSA_v10021918mg, EUTSA_v10022006mg
OG0000007	AT5G28780	EUTSA_v10002920mg
OG0000009	AT1G44941	EUTSA_v10017884mg
OG0000011	AT5G44510	EUTSA_v10000759mg
OG0000011	AT1G69550	EUTSA_v10011939mg
OG0000011	AT2G14080	EUTSA_v100028561mg, EUTSA_v10022545mg
OG0000013	AT3G57590	EUTSA_v10019504mg
OG0000013	AT3G57580, AT3G56890	EUTSA_v10006464mg
OG0000013	AT1G47340, AT1G47350	EUTSA_v10012217mg, EUTSA_v10012070mg, EUTSA_v10012242mg
OG0000013	AT1G60370	EUTSA_v10009603mg, EUTSA_v10012264mg, EUTSA_v10012302mg
OG0000013	AT1G30925	EUTSA_v10009610mg
OG0000013	AT1G31163, AT1G30930, AT1G67130, AT1G30920, AT5G42430, AT1G33020, AT1G33010	EUTSA_v10007859mg, EUTSA_v10019467mg, EUTSA_v10009733mg, EUTSA_v10009883mg
OG0000014	AT3G58270	EUTSA_v10006412mg
OG0000014	AT2G05420, AT2G05400, AT2G05410	EUTSA_v10012015mg, EUTSA_v10012179mg, EUTSA_v10012071mg, EUTSA_v10012142mg, EUTSA_v10011981mg, EUTSA_v10011998mg, EUTSA_v10011795mg, EUTSA_v10012069mg
OG0000014	AT3G58380	EUTSA_v10028053mg
OG0000014	AT3G58370	EUTSA_v10028307mg
OG0000014	AT3G58200	EUTSA_v10006467mg
OG0000014	AT3G44800, AT3G44805, AT3G44790	EUTSA_v10016883mg
OG0000014	AT3G58410	EUTSA_v10006437mg
OG0000014	AT3G58360	EUTSA_v10010958mg
OG0000015	AT3G26855	EUTSA_v10003494mg, EUTSA_v10019636mg
OG0000015	AT1G10000	EUTSA_v10023927mg, EUTSA_v10019721mg
OG0000016	AT4G13790	EUTSA_v10027048mg
OG0000016	AT4G38850	EUTSA_v10027066mg
OG0000016	AT3G03820	EUTSA_v10021846mg, EUTSA_v10022124mg
OG0000016	AT3G03850, AT3G03830	EUTSA_v10022142mg
OG0000016	AT3G03847	EUTSA_v10022063mg
OG0000016	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010	EUTSA_v10015121mg, EUTSA_v10002886mg, EUTSA_v10015858mg, EUTSA_v10015119mg, EUTSA_v10015118mg, EUTSA_v10015117mg
OG0000017	AT1G46984	EUTSA_v10012370mg
OG0000017	AT3G49450	EUTSA_v10010942mg, EUTSA_v10010425mg, EUTSA_v10011009mg, EUTSA_v10011080mg, EUTSA_v10011044mg
OG0000018	AT5G41540	EUTSA_v10019682mg, EUTSA_v10028296mg
OG0000018	AT5G35510	EUTSA_v10027631mg, EUTSA_v10027763mg
OG0000018	AT5G40910	EUTSA_v10023155mg
OG0000018	AT1G56540	EUTSA_v10000023mg
OG0000018	AT1G56520	EUTSA_v10027634mg
OG0000018	AT5G38850	EUTSA_v10028059mg
OG0000018	AT1G63880	EUTSA_v10015487mg
OG0000018	AT1G63870	EUTSA_v10023230mg
OG0000018	AT1G63860	EUTSA_v10000509mg, EUTSA_v10000647mg, EUTSA_v10000695mg
OG0000018	AT2G16870, AT1G64070	EUTSA_v10018052mg
OG0000019	AT2G28990	EUTSA_v100177840mg, EUTSA_v10016342mg, EUTSA_v10016220mg
OG0000019	AT2G28970	EUTSA_v10016229mg
OG0000019	AT1G49100	EUTSA_v10011224mg
OG0000019	AT3G21340	EUTSA_v10020016mg
OG0000019	AT1G51805	EUTSA_v10011228mg, EUTSA_v10011227mg, EUTSA_v10011248mg, EUTSA_v10011230mg
OG0000019	AT5G59650	EUTSA_v10012805mg
OG0000019	AT3G46340	EUTSA_v10003111mg
OG0000019	AT3G46400, AT3G46370	EUTSA_v10002396mg, EUTSA_v10003004mg
OG0000019	AT3G46330	EUTSA_v10002794mg
OG0000019	AT4G20450	EUTSA_v10024362mg
OG0000019	AT2G28960	EUTSA_v10017541mg, EUTSA_v10016227mg
OG0000019	AT2G14440, AT2G14510	EUTSA_v10006769mg
OG0000019	AT1G07560	EUTSA_v10006786mg
OG0000023	AT5G10340	EUTSA_v10021998mg
OG0000023	AT4G01640, AT2G34280	EUTSA_v10003053mg, EUTSA_v10002950mg
OG0000023	AT1G11270	EUTSA_v10010027mg
OG0000023	AT5G16285	EUTSA_v10026946mg, EUTSA_v10007821mg, EUTSA_v10009873mg
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410	EUTSA_v10023235mg
OG0000024	AT1G59620	EUTSA_v10023237mg, EUTSA_v10023945mg
OG0000024	AT1G10920, AT1G53350	EUTSA_v10012230mg
OG0000025	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385, AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515	EUTSA_v10002255mg, EUTSA_v10002198mg, EUTSA_v10002239mg, EUTSA_v10002251mg, EUTSA_v10002278mg, EUTSA_v10002291mg, EUTSA_v10002277mg, EUTSA_v10002218mg, EUTSA_v10002314mg, EUTSA_v10002224mg, EUTSA_v10002265mg, EUTSA_v10002305mg, EUTSA_v10002250mg, EUTSA_v10002207mg, EUTSA_v10002243mg, EUTSA_v10002161mg, EUTSA_v10002202mg, EUTSA_v10002263mg, EUTSA_v10002325mg, EUTSA_v10002260mg, EUTSA_v10002163mg, EUTSA_v10002222mg, EUTSA_v10002170mg, EUTSA_v10002276mg, EUTSA_v10002294mg
OG0000029	AT3G28410, AT5G02700	EUTSA_v10013441mg
OG0000029	AT2G39415	EUTSA_v10025165mg
OG0000029	AT5G02910	EUTSA_v10014018mg
OG0000030	AT1G62670	EUTSA_v10015983mg
OG0000031	AT2G26860	EUTSA_v10000196mg
OG0000031	AT5G60610	EUTSA_v10015331mg
OG0000031	AT5G56410, AT5G62970, AT5G11370	EUTSA_v10013701mg
OG0000031	AT4G10400, AT4G09920, AT4G10410, AT4G10420	EUTSA_v10019567mg
OG0000031	AT5G38570, AT5G38565, AT5G38580, AT5G38590	EUTSA_v10028023mg, EUTSA_v10012401mg, EUTSA_v10027772mg, EUTSA_v10027812mg, EUTSA_v10027746mg, EUTSA_v10028103mg, EUTSA_v10019535mg, EUTSA_v10028269mg, EUTSA_v10009959mg, EUTSA_v10028237mg, EUTSA_v10028128mg, EUTSA_v10027767mg, EUTSA_v10009391mg
OG0000031	AT3G54910	EUTSA_v10018645mg, EUTSA_v10028666mg, EUTSA_v10019578mg, EUTSA_v10018628mg, EUTSA_v10015524mg, EUTSA_v10010416mg
OG0000032	AT5G38260	EUTSA_v10027672mg
OG0000033	AT1G62630, AT1G63360, AT1G63350	EUTSA_v10023255mg, EUTSA_v10000112mg, EUTSA_v10023246mg, EUTSA_v10023263mg
OG0000033	AT4G10780	EUTSA_v10002924mg
OG0000033	AT1G12290	EUTSA_v10006784mg
OG0000037	AT3G53750, AT2G37620	EUTSA_v10016809mg, EUTSA_v10010455mg
OG0000037	AT3G18780, AT1G49240	EUTSA_v10020906mg
OG0000037	AT3G12110	EUTSA_v10020950mg
OG0000037	AT5G59370	EUTSA_v10002572mg
