Orthogroup	Thellungiella_parvula	Arabidopsis_thaliana
OG0000000	Sp5g15125.1, Sp5g15613.1	AT5G35490
OG0000001	Sp5g15690.1	AT3G45840
OG0000001	Sp7g16340.1	AT4G13992
OG0000001	Sp7g01410.1	AT5G26190
OG0000001	Sp2g04140.1	AT2G40050
OG0000001	Sp3g19190.1	AT3G21210
OG0000002	Sp5g15617.1	AT3G47680, AT5G52547, AT2G06555, AT4G08270
OG0000003	Sp3g22340.1	AT3G17570
OG0000003	Sp3g18730.1	AT3G20700, AT3G20690, AT3G20710
OG0000003	Sp7g11920.1	AT4G09870
OG0000003	Sp3g17310.1	AT3G18320, AT2G07140, AT3G44120, AT3G18330, AT3G19410, AT3G18910, AT3G18905
OG0000003	Sp4g16570.1	AT3G17490
OG0000003	Sp3g21250.1	AT2G04920
OG0000005	Sp5g15895.1, Sp7g08835.1, Sp3g26670.1	ATMG00810
OG0000005	Sp4g08985.1, Sp4g05365.1	AT4G23160
OG0000005	Sp2g07455.1, Sp1g31095.1	AT4G20220
OG0000006	Sp5g16870.1, Sp7g07780.1	AT4G29090
OG0000007	Sp4g05160.1	AT3G51700, AT3G51690
OG0000007	Sp1g36550.1, Sp7g01850.1, Sp3g27520.1, Sp6g09750.1, Sp3g28000.1, Sp2g06330.1, Sp7g02850.1, Sp1g34290.1, SpUn0013_0030.1, SpUn0007_0130.1, SpUn0005_0180.1, SpUn0005_0190.1, SpUn0002_0670.1, Sp5g20470.1, Sp2g06140.1, Sp1g31200.1, Sp3g26530.1, Sp1g31210.1, Sp7g06300.1, Sp7g06320.1, Sp7g08350.1, Sp4g02360.1, Sp5g17740.1, Sp5g19660.1, Sp7g08990.1, Sp4g07030.1, Sp4g08150.1, Sp5g19650.1, Sp4g06480.1, Sp5g17390.1, SpUn0166_0010.1, Sp5g17400.1	AT5G28780
OG0000009	Sp7g19460.1, Sp6g08880.1	AT1G44941
OG0000009	Sp4g10390.1	AT4G05095, AT1G34440, AT5G28615, AT4G04650, AT1G43730, AT5G16486, AT3G25727, AT2G02520, AT2G11035, AT3G27590
OG0000011	Sp2g09300.1	AT5G44510
OG0000011	Sp3g23450.1, Sp3g29100.1	AT2G14080
