Orthogroup	Brassica_oleracea	Arabidopsis_thaliana
OG0000000	Bo4g191170, Bo2g094580	AT2G13770
OG0000000	Bo3g003570	AT5G35490
OG0000001	Bo3g017640	AT4G01350, AT5G59920
OG0000001	Bo1g152000, Bo1g151990, Bo5g148060, Bo5g148070	AT5G59940
OG0000001	Bo6g094700	AT3G45840
OG0000001	Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010	AT2G04680, AT5G37620
OG0000001	Bo4g190070, Bo4g190080	AT2G19650
OG0000001	Bo1g017820, Bo1g055250	AT4G13992
OG0000001	Bo4g043420	AT5G16430
OG0000001	Bo3g062530	AT3G11402, AT3G11390, AT3G11385, AT3G11370
OG0000001	Bo3g065720	AT1G35610, AT3G13760
OG0000001	Bo6g024760, Bo5g076350	AT1G50190
OG0000001	Bo3g185160	AT2G23100, AT5G42280, AT1G55380, AT1G55420, AT1G55430, AT1G55390, AT1G55440
OG0000001	Bo4g038580, Bo4g183280	AT1G61710
OG0000001	Bo6g094160	AT2G13950, AT5G02340, AT2G13900, AT5G02350, AT5G02330, AT5G02360, AT1G53340, AT2G13895
OG0000001	Bo7g005620	AT5G55770, AT1G44050, AT5G55780, AT5G46670, AT5G46660, AT5G55800, AT4G10370, AT3G26550
OG0000001	Bo4g096760	AT4G02540
OG0000001	Bo6g103930	AT5G01480
OG0000001	Bo6g099660	AT1G34480
OG0000001	Bo5g103520	AT3G21210
OG0000001	Bo4g139980	AT5G40320
OG0000001	Bo1g152130, Bo1g152140, Bo1g152150	AT2G43220
OG0000001	Bo5g151530	AT5G44770, AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020, AT2G04500, AT4G14980, AT3G25850
OG0000001	Bo9g006120, Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	AT4G11550, AT4G11390, AT4G11540, AT4G01910, AT4G01920, AT4G01930, AT4G01925, AT4G02180, AT4G01740, AT4G02190, AT4G01760
OG0000002	Bo8g030850	AT3G47680
OG0000002	Bo4g183300, Bo4g191270, Bo9g076550, Bo9g046450, Bo3g091560, Bo8g058930, Bo1g011470, Bo00576s150, Bo6g048080, Bo01294s010, Bo1g050950, Bo5g140150, Bo3g087120, Bo4g176010, Bo5g123720, Bo9g024480, Bo1g028470, Bo5g041280, Bo9g117510, Bo24326s010, Bo9g181220, Bo7g065570, Bo22585s010, Bo8g082010, Bo3g076300, Bo2g092340, Bo7g096500, Bo3g003550, Bo6g017000, Bo3g179480, Bo8g067180, Bo2g136810, Bo1g047990, Bo5g025180, Bo4g026440, Bo9g070090, Bo2g053990, Bo6g055880, Bo3g107290, Bo9g010840, Bo1g101740, Bo5g075210, Bo9g151680, Bo5g111170, Bo9g154100, Bo9g171840, Bo4g080020, Bo4g081190, Bo6g084820, Bo4g187950, Bo7g084350, Bo6g042360, Bo2g155120, Bo4g050940, Bo4g134670, Bo7g048350, Bo2g134150, Bo15445s010, Bo7g093290, Bo7g102570, Bo7g101500, Bo1g134350, Bo7g067460, Bo3g045760, Bo4g050980, Bo4g094160, Bo1g053380, Bo1g122760, Bo4g059570, Bo2g050430, Bo2g012480, Bo6g039830, Bo8g016820	AT5G52547
OG0000002	Bo9g040960, Bo9g095450	AT4G08270
OG0000003	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480	AT3G17570
OG0000003	Bo9g150290	AT3G17270
OG0000003	Bo02074s010, Bo00848s040	AT2G18780
OG0000003	Bo3g068740, Bo3g068790, Bo01050s030	AT3G17620
OG0000003	Bo1g053200, Bo9g164350, Bo1g053180	AT3G24580, AT3G22770, AT3G19470, AT3G20400, AT3G23420
OG0000003	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380	AT3G20700, AT3G20690, AT3G20710
OG0000003	Bo2g092410	AT1G59680
OG0000003	Bo4g186150, Bo4g186130	AT3G13680
OG0000003	Bo3g084010	AT1G25141, AT3G25460
OG0000003	Bo3g027920	AT4G09870
OG0000003	Bo3g071300	AT3G17490
OG0000003	Bo3g081360	AT3G22700, AT3G22710, AT3G22720, AT3G22350
OG0000003	Bo3g028700, Bo3g029810, Bo1g101700	AT2G04920
OG0000005	Bo9g093770	ATMG00810
OG0000006	Bo3g031360, Bo4g092660	AT4G29090
OG0000006	Bo4g078650	ATMG01250
OG0000007	Bo8g081380	AT3G51700, AT3G51690
OG0000007	Bo02131s010, Bo6g019840, Bo8g016420, Bo6g098680, Bo4g046060, Bo3g109470, Bo8g050820, Bo2g131840, Bo01403s020, Bo4g013450, Bo8g050810, Bo4g161290, Bo4g186650, Bo1g078960, Bo04562s010, Bo5g021000, Bo2g095400, Bo11682s010, Bo2g062470, Bo4g078420, Bo3g091890, Bo1g025870, Bo5g122800, Bo6g030820, Bo6g077780, Bo5g132200, Bo1g019080, Bo5g070740, Bo1g060440, Bo3g053180, Bo00826s040, Bo00826s050, Bo3g053190, Bo6g027530, Bo8g016400, Bo8g016410, Bo8g058680, Bo3g066410, Bo4g034940, Bo2g120610, Bo3g107080, Bo7g088550, Bo07912s010, Bo4g181940, Bo08439s010, Bo4g045590, Bo9g159900, Bo2g133960, Bo7g005410, Bo7g014550, Bo2g037550, Bo6g064580, Bo2g037560, Bo4g137380, Bo00986s020, Bo3g109480, Bo5g020110, Bo4g137390, Bo06790s010, Bo03281s010, Bo9g058990, Bo3g089870, Bo4g087030, Bo5g118730, Bo4g034930, Bo9g064120, Bo9g018370, Bo01172s020, Bo2g066820, Bo4g119680, Bo05454s010, Bo8g050200, Bo9g111350, Bo3g143870, Bo3g089890, Bo6g039570, Bo6g098650, Bo4g075600, Bo9g078500, Bo1g013230, Bo2g082240, Bo1g005120, Bo1g013220, Bo6g072570, Bo4g096950, Bo6g072560, Bo00870s010, Bo06956s010, Bo6g026250, Bo9g150360, Bo6g098670, Bo00986s030, Bo01092s030	AT5G28780
OG0000009	Bo9g045300	AT1G44941
OG0000009	Bo9g058260	AT4G05095, AT1G34440, AT5G28615, AT4G04650, AT1G43730, AT5G16486, AT3G25727, AT2G02520
OG0000009	Bo3g107920, Bo7g059380, Bo9g117660	AT2G11035
OG0000011	Bo3g153710, Bo1g103860, Bo8g050160, Bo3g151470, Bo3g153650, Bo3g153660, Bo8g050130, Bo8g050170	AT3G04210
OG0000011	Bo9g171440, Bo3g007580, Bo9g059350, Bo3g006960, Bo3g006980, Bo3g006990	AT5G11250
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	AT3G25510, AT3G44670, AT3G44480, AT3G44630, AT3G44400
OG0000013	Bo8g092760	AT3G57580, AT3G56890
OG0000013	Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090	AT1G47340, AT1G47350
OG0000013	Bo3g168640	AT1G30925
OG0000013	Bo5g088270	AT1G31163, AT1G30930, AT1G67130, AT1G30920, AT5G42430, AT1G33020, AT1G33010
OG0000014	Bo6g074640	AT3G58270
OG0000014	Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600	AT3G58380
OG0000014	Bo4g108440	AT3G58200, AT3G44800, AT3G44805, AT3G44790
OG0000014	Bo4g108480	AT3G58410
OG0000014	Bo8g092630	AT3G58340
OG0000014	Bo6g074780	AT3G58420
OG0000014	Bo4g108500, Bo6g074730	AT3G58360
OG0000014	Bo04151s010, Bo6g074680, Bo6g074650	AT3G58350, AT3G58400
OG0000014	Bo3g173530	AT1G31400, AT1G31390, AT1G31370, AT1G31380, AT3G27040, AT2G01790
OG0000015	Bo3g101130, Bo01401s010, Bo01374s030, Bo1g006200, Bo9g003880, Bo2g048020, Bo1g011240, Bo7g081940, Bo7g043670, Bo9g169070, Bo7g084160, Bo5g122960, Bo2g044710, Bo6g003320, Bo6g077530, Bo3g149540, Bo7g012760, Bo8g066400, Bo09761s010, Bo6g079980, Bo4g151120, Bo5g082620, Bo8g092440, Bo2g146200, Bo6g098820, Bo7g107020, Bo8g079590, Bo6g116240, Bo1g117530, Bo3g026390, Bo3g034990, Bo7g091410, Bo5g002940, Bo5g018120, Bo2g134280, Bo8g101790, Bo6g027930, Bo7g056040, Bo7g062130, Bo7g108970	AT4G09490
OG0000015	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320, Bo00790s050	AT3G26855
OG0000015	Bo6g124260, Bo2g140430, Bo3g107950, Bo8g059050, Bo8g017960, Bo9g058680, Bo1g141260, Bo9g148420, Bo3g018050, Bo5g145410, Bo3g062180, Bo8g095250, Bo4g136310, Bo8g102750, Bo1g103780, Bo9g028060, Bo1g003360, Bo3g078900, Bo6g003570, Bo5g009410, Bo3g154000, Bo7g063540, Bo9g093910, Bo7g002130, Bo6g065160, Bo6g039980, Bo6g066390, Bo6g034500, Bo7g110670, Bo1g004950, Bo9g141270, Bo8g117180, Bo3g002540, Bo4g179370, Bo1g013170, Bo8g019360, Bo6g092600, Bo7g041140	AT1G10000
OG0000016	Bo4g130720	AT4G13790
OG0000016	Bo7g119570	AT4G38850
OG0000016	Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010
OG0000017	Bo5g093440, Bo5g090520, Bo3g040540	AT1G46984
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	AT3G49450
OG0000017	Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330	AT2G31470
OG0000017	Bo4g177740, Bo4g177950, Bo4g188690, Bo4g177940, Bo4g178000, Bo4g177770, Bo1g104890, Bo5g131630, Bo4g177930, Bo4g177960, Bo4g178010, Bo4g177780, Bo4g179270, Bo4g177750, Bo4g177810, Bo5g003710, Bo4g195170, Bo4g169460, Bo4g178020	AT3G10990, AT3G23960
OG0000017	Bo00944s010	AT5G44345, AT5G65850
OG0000018	Bo6g065250	AT5G41540
OG0000018	Bo4g142160	AT5G35510
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	AT1G63740, AT1G63730
OG0000018	Bo9g034100	AT1G63870
OG0000018	Bo9g034110	AT1G63860
OG0000018	Bo4g096860	AT2G16870, AT1G64070
OG0000019	Bo4g066920	AT2G28990
OG0000019	Bo6g042340	AT1G49100
