Orthogroup	Thellungiella_parvula	Brassica_oleracea
OG0000000	Sp5g15125.1, Sp5g15613.1	Bo3g003570, Bo01233s020
OG0000001	Sp5g15690.1	Bo6g094700
OG0000001	Sp7g16340.1	Bo1g017820
OG0000001	Sp7g11380.1	Bo8g035560
OG0000001	Sp4g05840.1, SpUn0059_0030.1, Sp3g32270.1	Bo9g027360
OG0000001	Sp3g19190.1	Bo5g103520
OG0000002	Sp5g15617.1	Bo6g084960, Bo4g173490, Bo8g102470, Bo5g128890, Bo7g101230, Bo8g090930, Bo9g120250, Bo4g112940, Bo6g094490, Bo1g048270, Bo2g131750, Bo01596s030, Bo5g023640, Bo3g022090, Bo5g017920, Bo4g056280, Bo8g001140, Bo5g062500, Bo7g039120, Bo9g084430, Bo3g003580, Bo26202s010, Bo3g147680, Bo1g101570, Bo1g028530, Bo6g008140, Bo9g078440, Bo6g008150, Bo4g173520, Bo2g111780, Bo5g030780, Bo8g030850, Bo4g183300, Bo4g191270, Bo9g076550, Bo9g046450, Bo3g091560, Bo8g058930, Bo1g011470, Bo00576s150, Bo6g048080, Bo01294s010, Bo1g050950, Bo5g140150, Bo3g087120, Bo4g176010, Bo5g123720, Bo9g024480, Bo1g028470, Bo5g041280, Bo9g117510, Bo24326s010, Bo9g181220, Bo7g065570, Bo22585s010, Bo8g082010, Bo3g076300, Bo2g092340, Bo7g096500, Bo3g003550, Bo6g017000, Bo3g179480, Bo8g067180, Bo2g136810, Bo1g047990, Bo5g025180, Bo4g026440, Bo9g070090, Bo2g053990, Bo6g055880, Bo3g107290, Bo9g010840, Bo1g101740, Bo5g075210, Bo9g151680, Bo5g111170, Bo9g154100, Bo9g171840, Bo4g080020, Bo4g081190, Bo6g084820, Bo4g187950, Bo7g084350, Bo6g042360, Bo2g155120, Bo4g050940, Bo4g134670, Bo7g048350, Bo2g134150, Bo15445s010, Bo7g093290, Bo7g102570, Bo7g101500, Bo1g134350, Bo7g067460, Bo3g045760, Bo4g050980, Bo4g094160, Bo1g053380, Bo1g122760, Bo4g059570, Bo2g050430, Bo2g012480, Bo6g039830, Bo8g016820, Bo2g085100, Bo2g085290, Bo1g040050, Bo3g088440, Bo2g130270, Bo4g094400, Bo8g097540, Bo8g094740, Bo4g117010, Bo2g062820, Bo1g122770, Bo2g007310, Bo4g133450, Bo8g051570, Bo00285s480, Bo1g046590, Bo5g139980, Bo12205s010, Bo3g171040, Bo7g049910, Bo2g012710, Bo9g024280, Bo6g099360, Bo2g024370, Bo6g074520, Bo5g013610, Bo3g086940, Bo8g050550, Bo6g018150, Bo3g037470, Bo1g059330, Bo1g148930, Bo19462s010, Bo4g013180, Bo5g027830, Bo3g043190, Bo9g035260, Bo5g019470, Bo9g117240, Bo7g106770, Bo6g086400, Bo2g076780, Bo2g017620, Bo6g110990, Bo9g174590, Bo2g041390, Bo3g153570, Bo9g024540, Bo1g003690, Bo7g081610, Bo3g155680, Bo8g080700, Bo4g177990, Bo4g034560, Bo1g049560, Bo8g081120, Bo4g190150, Bo18421s010, Bo1g028460, Bo6g064800, Bo7g088720, Bo6g015760, Bo1g098700, Bo9g091290, Bo5g010840, Bo1g138410, Bo1g150450, Bo7g061950, Bo3g074480, Bo5g027910, Bo9g137260, Bo1g008540, Bo16268s010, Bo7g030620, Bo4g188330, Bo9g114030, Bo8g059250, Bo3g173500, Bo7g105480, Bo9g034140, Bo7g073950, Bo9g034150, Bo2g062550, Bo5g017630, Bo00826s010, Bo06402s010, Bo4g034520, Bo3g170910, Bo9g070040, Bo4g021160, Bo6g116290, Bo2g132460, Bo5g104690, Bo6g119320, Bo4g136850, Bo9g022560, Bo9g067060, Bo7g075430, Bo1g082410, Bo8g028600, Bo1g030690, Bo1g017190, Bo4g026560, Bo4g108160, Bo9g135330, Bo4g056190, Bo9g084320, Bo8g047230, Bo2g075660, Bo1g058830, Bo8g088460, Bo1g123060, Bo8g040590, Bo22078s010, Bo5g131920, Bo11601s010, Bo18126s010, Bo01132s020, Bo01160s030, Bo2g144990, Bo01153s030, Bo3g116260, Bo5g030220, Bo5g020630, Bo1g058840, Bo8g015190, Bo15908s010, Bo9g151710, Bo4g084980, Bo9g017660, Bo2g049360, Bo7g059630, Bo1g007290, Bo4g052310, Bo2g127590, Bo1g123300, Bo9g150180, Bo5g036340, Bo6g118880, Bo09855s010, Bo6g086640, Bo3g143190, Bo9g018630, Bo3g103510, Bo4g165380, Bo5g113660, Bo9g050990, Bo8g052690, Bo8g052700, Bo1g042980, Bo4g139720, Bo11396s010, Bo4g156030, Bo6g081930, Bo4g027210, Bo7g044970, Bo1g031920, Bo9g152350, Bo7g044960, Bo1g138470, Bo9g036950, Bo4g070520, Bo9g021960, Bo8g007300, Bo6g086280, Bo4g092500, Bo3g147700, Bo4g019810, Bo23299s010, Bo5g128770, Bo1g016690, Bo9g013990, Bo2g021980, Bo5g124950, Bo2g021970, Bo2g009780, Bo6g076830, Bo5g124940, Bo7g042360, Bo5g122550, Bo7g078270, Bo4g117060, Bo3g169370, Bo7g080270, Bo9g146880, Bo9g146890, Bo7g099300, Bo01041s040, Bo5g076330, Bo2g149690, Bo6g026290, Bo4g096780, Bo3g141380, Bo2g136700, Bo8g065890, Bo3g169160, Bo01826s010, Bo1g114890, Bo5g123420, Bo4g013090, Bo8g007060, Bo7g075510, Bo6g081940, Bo8g051190, Bo9g148600, Bo9g053370, Bo8g104200, Bo3g074890, Bo9g040860, Bo3g090210, Bo8g054510, Bo1g039830, Bo6g099470, Bo9g019170, Bo7g088960, Bo2g054010, Bo5g101180, Bo2g047940, Bo7g088580, Bo02734s010, Bo2g119430, Bo22302s010, Bo9g059080, Bo4g176300, Bo4g030050, Bo9g156160, Bo3g083940, Bo3g066180, Bo9g062670, Bo07182s010, Bo3g066170, Bo4g116990, Bo4g038780, Bo5g020310, Bo3g083930, Bo1g077090, Bo2g146250, Bo1g116210, Bo3g036980, Bo9g014990, Bo9g135630, Bo8g070630, Bo5g034420, Bo9g071680, Bo9g040960, Bo9g095450, Bo4g145200, Bo5g043250, Bo1g086140, Bo3g113790, Bo3g113700, Bo3g106880, Bo03564s010, Bo03650s010, Bo2g095010, Bo08896s010, Bo4g187030, Bo2g080820, Bo4g065910, Bo6g087770, Bo7g065750, Bo25539s010, Bo7g045540, Bo5g137160, Bo6g068160, Bo4g056350, Bo3g173690, Bo7g045650, Bo6g081680, Bo02203s010, Bo3g120580, Bo5g130230, Bo2g013250, Bo01198s020, Bo3g062390, Bo3g066110, Bo5g118900, Bo9g092490, Bo9g025900, Bo8g053020, Bo9g075790, Bo7g110180, Bo5g118700, Bo9g024330, Bo21002s010, Bo1g078500, Bo5g001310, Bo16096s010, Bo3g120860, Bo2g096190, Bo9g171370, Bo3g061250, Bo9g122280, Bo8g065950, Bo2g026700, Bo2g161660, Bo9g163500, Bo1g120450, Bo7g011360, Bo8g093120, Bo8g050380, Bo7g093220, Bo1g048040, Bo1g092950, Bo2g156040, Bo6g028070, Bo3g147710, Bo5g111200, Bo9g135120, Bo4g166560, Bo1g138460, Bo8g058100, Bo9g084390, Bo6g118410, Bo9g018820, Bo1g105280, Bo5g101100, Bo9g084380, Bo8g052870, Bo2g025440, Bo4g191450, Bo7g064420, Bo2g082610, Bo4g052050, Bo4g009340, Bo2g093110, Bo4g032340, Bo00703s050, Bo1g138670, Bo3g032880, Bo16042s010, Bo4g109810, Bo4g098310, Bo3g061460, Bo03173s010, Bo6g031380, Bo4g014650, Bo2g013580, Bo6g016970, Bo6g051140, Bo3g024560, Bo3g107130, Bo31864s010, Bo8g045890, Bo7g080740, Bo9g109860, Bo9g116170, Bo2g147920, Bo1g070630, Bo7g050460, Bo4g118550, Bo8g094340, Bo01073s040, Bo1g105050, Bo7g100520, Bo1g151930, Bo4g002300, Bo6g076960, Bo6g074440, Bo5g025090, Bo6g118420, Bo9g058610, Bo4g083440, Bo2g146140, Bo2g158950, Bo2g146600, Bo2g040110, Bo8g067890, Bo04405s010, Bo4g111020, Bo9g135150, Bo1g017840, Bo6g098860, Bo2g138540, Bo5g036360, Bo8g070270, Bo7g021580, Bo5g017620, Bo2g136320, Bo3g052710, Bo21484s010, Bo9g091260, Bo7g079900, Bo8g095450, Bo5g039780, Bo5g138020, Bo5g030370, Bo2g131410, Bo8g095460, Bo8g107410, Bo7g059480, Bo1g040190, Bo2g041500, Bo8g117620, Bo1g053550, Bo9g014820, Bo6g077200, Bo2g085110, Bo26668s010, Bo01001s040, Bo4g154600, Bo4g112910, Bo4g098620, Bo1g116340, Bo8g050690, Bo3g091380, Bo5g134650, Bo3g036970, Bo3g141750, Bo3g078620, Bo3g157220, Bo00951s020, Bo4g101340, Bo5g132710, Bo1g014460, Bo3g168820, Bo3g001610, Bo9g029550, Bo03702s010, Bo3g030260, Bo4g117120, Bo4g178110, Bo7g045260, Bo4g154770, Bo4g168040, Bo3g155400, Bo6g081160, Bo1g140950, Bo2g134730, Bo9g009870, Bo8g043360, Bo4g013220, Bo2g120910, Bo3g024760, Bo5g030980, Bo1g035800, Bo2g041950, Bo8g024450, Bo12918s010, Bo8g066500, Bo6g008210, Bo2g133670, Bo9g030860, Bo1g105290, Bo01093s010, Bo3g137250, Bo01167s020, Bo08089s010, Bo6g094820, Bo9g176250, Bo6g094830, Bo7g060050, Bo3g147540, Bo04126s010, Bo4g173170, Bo5g062560, Bo7g043390
OG0000003	Sp3g22340.1	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480
OG0000003	Sp3g14050.1	Bo5g126740
OG0000003	Sp3g18730.1	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380
