Orthogroup	Thellungiella_parvula	Brassica_rapa
OG0000000	Sp5g15125.1, Sp5g15613.1	Bra010157
OG0000001	Sp5g15690.1	Bra028463
OG0000001	Sp4g05840.1, SpUn0059_0030.1, Sp3g32270.1	Bra038551
OG0000001	Sp3g19190.1	Bra031262
OG0000002	Sp5g15617.1	Bra019403, Bra031928, Bra034933, Bra023996, Bra037668, Bra029538, Bra010158
OG0000003	Sp3g22340.1	Bra001667, Bra021255
OG0000003	Sp3g14050.1	Bra027213
OG0000003	Sp3g18730.1	Bra022455, Bra035754
OG0000003	Sp3g21250.1	Bra028319
OG0000003	Sp3g15660.1	Bra022218, Bra016145, Bra014584
OG0000005	Sp5g15895.1, Sp7g08835.1	Bra017773
OG0000005	Sp2g09187.1	Bra012998
OG0000005	Sp4g09613.1	Bra008452
OG0000005	Sp6g06905.1	Bra002340
OG0000006	Sp5g16870.1, Sp7g07780.1	Bra033926
OG0000006	Sp6g08085.1	Bra033839, Bra008978
OG0000007	SpUn0003_0370.1	Bra026661
OG0000007	SpUn1097_0010.1	Bra037026
OG0000009	Sp4g10390.1	Bra032789, Bra003264, Bra029468
OG0000011	Sp7g20140.1	Bra019409, Bra019410, Bra019413, Bra020861
OG0000011	Sp3g23450.1, Sp3g29100.1	Bra036799
OG0000012	Sp3g26410.1, Sp1g30760.1, SpUn0001_0510.1, Sp4g07060.1, Sp6g10920.1, Sp7g10290.1, SpUn0001_0740.1, Sp3g26710.1	Bra035329
OG0000014	Sp1g34680.1	Bra014088
OG0000014	Sp6g09200.1	Bra012666, Bra008697
OG0000014	Sp5g04453.1	Bra007390
OG0000014	Sp5g04457.1	Bra003331
OG0000014	Sp5g04460.1	Bra003330
OG0000015	SpUn0004_0050.1	Bra023133, Bra005292, Bra038808, Bra004304
OG0000015	SpUn0002_0230.1	Bra032513, Bra016418
OG0000015	Sp4g05790.1	Bra028797, Bra030904
OG0000015	Sp3g26350.1	Bra015270, Bra038141
OG0000016	Sp7g11580.1	Bra032736
OG0000016	Sp7g36980.1	Bra033580
OG0000016	Sp6g26270.1	Bra002122
OG0000016	Sp6g26280.1	Bra006433
OG0000016	Sp6g26260.1	Bra006432, Bra023656
OG0000017	Sp1g33140.1, Sp1g34250.1	Bra033908
OG0000017	Sp1g27840.1	Bra033850, Bra000514
OG0000017	Sp5g12630.1	Bra017982, Bra017983
OG0000017	Sp4g14420.1	Bra005628
OG0000017	SpUn0074_0030.1	Bra035057
OG0000018	Sp7g00500.1	Bra028499
OG0000018	Sp7g00490.1	Bra025494
OG0000018	Sp7g00350.1	Bra025467
OG0000018	Sp2g00780.1	Bra027772
OG0000018	Sp2g00920.1	Bra027660, Bra027791, Bra027790
OG0000018	Sp5g13400.1	Bra021754
OG0000018	Sp2g00800.1	Bra027778
OG0000018	Sp2g00810.1	Bra027779
OG0000019	Sp4g11780.1	Bra035657
OG0000019	Sp3g19400.1	Bra001827, Bra031276
OG0000019	Sp1g38470.1	Bra018933
OG0000019	Sp6g12470.1	Bra020298
OG0000019	Sp6g21340.1	Bra006700
OG0000019	Sp6g21350.1	Bra020299
OG0000019	Sp5g15300.1	Bra019608, Bra018213
OG0000019	Sp4g11820.1	Bra028386
OG0000019	Sp1g34570.1	Bra015587
OG0000024	Sp2g05350.1	Bra027866
OG0000024	Sp2g04940.1	Bra027834, Bra036206
OG0000024	Sp2g04960.1	Bra035424
OG0000024	Sp3g23090.1	Bra005277, Bra040841, Bra040891, Bra037448
OG0000026	Sp2g07580.1, Sp6g10040.1, Sp3g27990.1, Sp6g07480.1, Sp7g05250.1, Sp6g11510.1, Sp6g11540.1, Sp4g07040.1, SpUn0099_0030.1, SpUn0012_0150.1, Sp1g33550.1, Sp7g08360.1, Sp7g09000.1, Sp5g17720.1, Sp6g06910.1, Sp1g27740.1, Sp6g07470.1, Sp6g09430.1, Sp4g03810.1, SpUn1041_0010.1, Sp6g09180.1, Sp5g19640.1, Sp7g06310.1, Sp7g15680.1, Sp2g03930.1, Sp1g28040.1, Sp3g28330.1, Sp2g04150.1, Sp3g26560.1, Sp4g06760.1, Sp6g09530.1, Sp7g04650.1, SpUn1343_0010.1, Sp6g12850.1, Sp2g01940.1, SpUn0005_0320.1, SpUn0040_0030.1, SpUn0384_0010.1, Sp4g03200.1, Sp5g19860.1, Sp3g22100.1, Sp3g16820.1, Sp1g22890.1, Sp3g30250.1, Sp7g04440.1, SpUn0012_0110.1, Sp4g09730.1, SpUn0012_0100.1, Sp6g12950.1, Sp7g04770.1, Sp1g31220.1, Sp7g03240.1, Sp4g06510.1, Sp1g30010.1, Sp1g33200.1, Sp3g23530.1, Sp2g02140.1, Sp2g06390.1, SpUn0766_0010.1, Sp4g08570.1, Sp7g05060.1, Sp7g09870.1, Sp4g09830.1, Sp6g10070.1, Sp7g07910.1, Sp5g17500.1, SpUn0012_0070.1, Sp4g09760.1, SpUn0012_0080.1, Sp1g26850.1, Sp1g26860.1, Sp3g32060.1, Sp6g13690.1, Sp3g24900.1, SpUn1473_0010.1, Sp3g26100.1, SpUn0964_0010.1, SpUn0475_0010.1, SpUn0895_0010.1, Sp4g08290.1, Sp3g25020.1, Sp3g24960.1, Sp3g24980.1, Sp6g09520.1, Sp3g26070.1, Sp3g26520.1, Sp7g02020.1, Sp1g31950.1, Sp4g07990.1, Sp3g25310.1, Sp4g07790.1, Sp1g31580.1, Sp5g20480.1, Sp3g27550.1, SpUn0001_1030.1, Sp5g20210.1, SpUn0002_0660.1, Sp2g06130.1, SpUn0001_0270.1, Sp4g12960.1, Sp1g26170.1, Sp1g30450.1, Sp6g09190.1, Sp1g30190.1, Sp3g24810.1, Sp5g13270.1, Sp4g08540.1, Sp4g08530.1, Sp7g09320.1, Sp1g34280.1, Sp5g19670.1, Sp4g08090.1, Sp6g08050.1, SpUn0002_0240.1, SpUn0005_0200.1, Sp5g16110.1, Sp2g06660.1, Sp1g29710.1, Sp2g06320.1, SpUn0007_0220.1, SpUn0115_0010.1, Sp4g05400.1, Sp1g32220.1, Sp2g07180.1, Sp3g26990.1, Sp5g25660.1, Sp6g08950.1, Sp6g10780.1, SpUn1205_0010.1, Sp7g04600.1, Sp4g07350.1, SpUn1591_0010.1, Sp6g12230.1, Sp6g06180.1, SpUn0002_0330.1, Sp4g08340.1, SpUn0110_0030.1, Sp6g04590.1, SpUn0614_0010.1, Sp3g28940.1, Sp1g29160.1, Sp4g10560.1, Sp7g05320.1, Sp3g28320.1, Sp1g29170.1, Sp3g27590.1, Sp6g07770.1, Sp6g07780.1, SpUn1945_0010.1, Sp1g36360.1, SpUn0385_0010.1, Sp3g27610.1, Sp2g05070.1, Sp1g26390.1, SpUn0079_0010.1, Sp5g17940.1, Sp4g08690.1, SpUn1064_0010.1, SpUn0001_0100.1, Sp1g36950.1, Sp5g17780.1, Sp1g38460.1, Sp2g06500.1, Sp4g05650.1, Sp1g31780.1, Sp3g27530.1, Sp1g36560.1, Sp5g17960.1, SpUn0390_0010.1, Sp7g01860.1, Sp5g20530.1, Sp3g23670.1, Sp6g09760.1, Sp1g31760.1, Sp6g11380.1, Sp2g05050.1, Sp5g20110.1, Sp3g24890.1	Bra022043, Bra022042
OG0000029	Sp2g05870.1, SpUn0028_0070.1	Bra027905, Bra027903, Bra027901
OG0000029	Sp6g39690.1	Bra009558
OG0000031	Sp7g03370.1, Sp7g04110.1	Bra023058
OG0000031	Sp1g38380.1	Bra030421
OG0000031	Sp7g03360.1, Sp7g03470.1	Bra028194
OG0000031	Sp6g18230.1	Bra002819
OG0000031	Sp5g07520.1	Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112
OG0000032	Sp7g03870.1	Bra025543
OG0000032	Sp7g03860.1	Bra028402
OG0000032	Sp5g21950.1	Bra034036
