Orthogroup	Brassica_oleracea	Aethionema_arabicum
OG0000000	Bo4g191170, Bo2g094580	AA172G00003, AA110G00005, AA705G00001, AA64G00013, AA771G00002, AA50G00053
OG0000000	Bo3g066160, Bo9g173450, Bo8g081940, Bo9g016310, Bo5g063150, Bo1g039840	AA139G00011
OG0000000	Bo7g065560, Bo9g181230, Bo2g092350, Bo3g045780, Bo7g048340, Bo8g058940, Bo5g123480	AA1036G00002
OG0000000	Bo4g094410, Bo2g130280, Bo01180s020, Bo1g040060, Bo9g169240	AA238G00003, AA54G00005, AA34G00043
OG0000000	Bo2g085120, Bo5g037370, Bo3g173540, Bo6g092830, Bo7g099420, Bo6g064810, Bo1g101300, Bo8g069930, Bo2g007200, Bo6g074530, Bo6g099380, Bo5g027840, Bo2g024270, Bo5g027640, Bo9g035270, Bo3g043180, Bo4g039340, Bo8g097980, Bo4g103700, Bo7g049900, Bo9g024270, Bo6g005770, Bo9g117250, Bo1g017180, Bo5g019460, Bo4g142490, Bo1g008550, Bo8g004340, Bo9g164030, Bo4g033470, Bo25775s010, Bo6g094800, Bo5g017640, Bo00826s020, Bo3g101480, Bo4g154640, Bo6g018160, Bo3g017150, Bo3g145190, Bo3g068000, Bo3g022000, Bo3g164160, Bo4g013190, Bo5g010820, Bo4g151110, Bo5g027920, Bo8g045990, Bo6g066370, Bo2g147780, Bo9g166810, Bo9g018650, Bo7g030630, Bo4g136520, Bo3g173490, Bo9g034130, Bo6g116680, Bo5g133070, Bo2g042190, Bo7g106780, Bo3g096390, Bo4g056170, Bo1g030700, Bo9g091310, Bo7g084360, Bo9g084300, Bo1g051710, Bo2g076760, Bo2g066790, Bo7g059540, Bo9g026150, Bo01179s010, Bo01334s030, Bo8g019310, Bo7g057640, Bo4g034540, Bo1g049580, Bo9g017670, Bo9g059280, Bo5g004990, Bo6g103940, Bo7g111580, Bo3g175770, Bo2g108750, Bo1g005340, Bo9g169280, Bo9g166310, Bo1g110070, Bo4g142660, Bo2g136980, Bo2g057600, Bo9g174600, Bo3g153560, Bo4g045560, Bo4g047340, Bo2g041400, Bo1g003700, Bo5g013570, Bo1g080170, Bo1g046600, Bo1g014410, Bo3g048360, Bo18550s010, Bo2g027090, Bo2g027040, Bo8g050540, Bo5g052050, Bo3g054900, Bo7g081620, Bo3g155670, Bo1g118980, Bo7g048360, Bo7g064950, Bo00285s500, Bo3g007380, Bo3g017070, Bo4g133460, Bo4g006910, Bo1g020280, Bo8g028610, Bo3g065980, Bo7g065430, Bo5g054630, Bo6g030640	AA141G00002, AA85G00019
OG0000000	Bo3g003570, Bo01233s020	AA168G00040, AA98G00019
OG0000001	Bo9g027820, Bo7g005610, Bo00770s010, Bo10284s010, Bo7g005630, Bo03678s010, Bo4g190070, Bo4g190080	AA44G00395, AA28G00008
OG0000001	Bo7g114000, Bo1g015000, Bo01092s020, Bo01092s010, Bo1g015020	AA12G00204
OG0000001	Bo6g024760, Bo5g076350, Bo8g035560, Bo3g185160	AA76G00006, AA22G00021, AA54G00111, AA87G00273, AA54G00327, AA15G00172
OG0000001	Bo4g139980	AA87G00137
OG0000001	Bo7g091020	AA13G00147
OG0000002	Bo2g085100, Bo2g085290, Bo1g040050, Bo3g088440, Bo2g130270, Bo4g094400, Bo8g097540, Bo8g094740, Bo4g117010, Bo2g062820, Bo1g122770	AA34G00042, AA80G00008
