Orthogroup	Brassica_rapa	Aethionema_arabicum
OG0000000	Bra010778, Bra024668	AA172G00003, AA110G00005, AA705G00001, AA64G00013, AA771G00002, AA50G00053
OG0000000	Bra010157	AA45G00016, AA68G00046, AA78G00033, AA102G00166, AA1036G00002, AA238G00003, AA54G00005, AA34G00043, AA141G00002, AA85G00019, AA168G00040, AA98G00019
OG0000001	Bra036712, Bra017007	AA44G00395, AA28G00008
OG0000001	Bra024127, Bra011134	AA12G00204
OG0000001	Bra040666, Bra030863, Bra030864	AA76G00006, AA22G00021, AA54G00111, AA87G00273, AA54G00327, AA15G00172
OG0000001	Bra025591	AA87G00137
OG0000003	Bra027213	AA439G00005
OG0000003	Bra013220, Bra034129, Bra015026, Bra011342	AA1028G00001, AA240G00010, AA439G00004, AA718G00001, AA240G00008
OG0000005	Bra023225	AA54G00015, AA351G00003, AA115G00004, AA65G00074, AA134G00023, AA22G00099, AA168G00027, AA336G00008, AA71G00011
OG0000005	Bra017773	AA270G00001, AA214G00004, AA46G00203, AA235G00003, AA64G00025, AA244G00009, AA68G00032, AA109G00013, AA135G00001, AA135G00008, AA214G00005, AA324G00005, AA181G00006, AA34G00037, AA244G00011, AA114G00002, AA342G00001, AA221G00002, AA221G00003, AA66G00017, AA37G00004, AA122G00009, AA90G00031, AA54G00067, AA90G00027, AA150G00004, AA54G00066, AA109G00014, AA242G00003, AA820G00002, AA66G00021, AA84G00021, AA90G00032, AA190G00006, AA37G00003, AA42G00052, AA84G00020, AA82G00010, AA710G00001, AA65G00030, AA105G00011, AA68G00033, AA150G00003, AA571G00002, AA40G00209, AA39G00288, AA394G00003, AA40G00015, AA229G00003, AA46G00204, AA219G00010, AA73G00021, AA221G00007, AA571G00001, AA337G00004, AA649G00003, AA337G00003, AA90G00047, AA79G00027, AA142G00001, AA229G00004, AA122G00010, AA3G00052, AA131G00025, AA131G00024, AA19G00042, AA60G00269, AA61G00666
OG0000005	Bra008641	AA39G00726, AA52G00056, AA42G00046, AA23G00070, AA39G00727, AA170G00003, AA287G00003, AA23G00069, AA272G00001, AA42G00056, AA131G00030, AA237G00004, AA168G00044, AA138G00005, AA1685G00002
