Orthogroup	Brassica_rapa	Arabidopsis_halleri
OG0000001	Bra020274	g10960
OG0000001	Bra033522	g21370
OG0000001	Bra034707, Bra022059	g00918
OG0000001	Bra030863, Bra030864	g27953
OG0000001	Bra027419	g05645
OG0000001	Bra012410	g11880
OG0000001	Bra025591	g31054
OG0000001	Bra040143	g17984
OG0000001	Bra040595	g09450, g09448
OG0000001	Bra036235, Bra036288	g14294, g20676, g20694, g18548, g15878, g30505, g09174, g09192, g09133, g09132
OG0000003	Bra027212	g06619
OG0000003	Bra027213	g16666
OG0000003	Bra001142	g07120, g07119
OG0000003	Bra040098	g20071, g20070, g11099, g11113, g27159
OG0000003	Bra022455, Bra035754	g11155, g11156, g11158
OG0000003	Bra017242, Bra017228, Bra041044, Bra041045, Bra017247	g06905, g06903
OG0000003	Bra021512	g05678, g06883, g29066, g05713, g05714
OG0000003	Bra013220	g23367, g23366, g23372, g23365
OG0000003	Bra034129	g05979, g07821
OG0000003	Bra001883	g11358, g22751
OG0000003	Bra028319	g16400, g16388, g16387, g16394
OG0000004	Bra040911, Bra034467, Bra040353, Bra040616, Bra014624, Bra028070	g32520
OG0000005	Bra015746	g14638
OG0000005	Bra036804	g21150
OG0000005	Bra017773	g23272, g26329
OG0000005	Bra008641	g11760, g13152
OG0000005	Bra002340	g08377, g17966, g12578, g25003, g00229, g25475
OG0000006	Bra033926	g11840, g27499, g20980, g27789
OG0000006	Bra033839, Bra008978	g14218, g05262, g20668
OG0000007	Bra026883	g08623, g30062
OG0000008	Bra028060, Bra017367, Bra017885, Bra022082, Bra039770, Bra023253, Bra014168, Bra029916, Bra020477, Bra032739, Bra010335	g26596
OG0000009	Bra032789	g22421
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861	g21799
OG0000011	Bra036413, Bra036417, Bra038872	g26619, g31295, g26876, g26873, g29277, g27034, g26284, g26277, g26282, g16393
OG0000011	Bra036799	g17023, g21275
OG0000013	Bra007406	g16636, g21165, g16460
OG0000013	Bra014211, Bra014075	g18998, g18995
OG0000013	Bra034647	g18845
OG0000013	Bra013538	g16044
OG0000014	Bra003329, Bra003328	g16565
OG0000014	Bra007387, Bra007389, Bra007388, Bra007386	g16550
OG0000014	Bra007392	g32242
OG0000014	Bra007390	g16556
OG0000014	Bra003330	g16549
OG0000015	Bra023133, Bra005292, Bra038808, Bra004304	g29792, g03938, g16795
OG0000015	Bra032513, Bra016418	g05605, g08807, g10855, g07053, g18772, g13344, g07461, g00732, g27785, g07644, g14258, g21883, g26135, g14634, g23288, g28410, g20299, g31089, g17584, g18911
OG0000015	Bra036505, Bra040556	g08852, g20910, g14746, g13974, g08231, g04310, g25511, g16775, g11878
OG0000015	Bra032440, Bra020642	g30347, g24581
OG0000015	Bra015270, Bra038141	g29636, g24299
OG0000016	Bra006431, Bra006434, Bra002123, Bra023658, Bra023655, Bra026597, Bra023660	g13296
OG0000016	Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656	g13288, g13297, g13294, g13291, g13292, g13295
OG0000017	Bra033850, Bra000514	g18973
OG0000017	Bra017982, Bra017983	g22307, g22324, g22323
OG0000017	Bra034015, Bra034016, Bra022876	g07969
OG0000017	Bra009129, Bra009128, Bra021730	g07887
OG0000017	Bra035057	g17770
OG0000018	Bra028499	g27191
OG0000018	Bra036019	g22396
OG0000018	Bra027772	g22965
OG0000018	Bra027660, Bra027791, Bra027790	g22947
OG0000018	Bra027778	g22960
OG0000019	Bra001827	g11236
OG0000019	Bra006700	g10991, g10992
OG0000019	Bra020299	g10990
OG0000019	Bra019608, Bra018213	g12698
OG0000019	Bra033825	g12697
OG0000019	Bra020918	g05198
OG0000019	Bra028386	g07014
OG0000019	Bra015587	g19686, g19681
OG0000019	Bra031584	g02417
OG0000023	Bra024648, Bra024647	g10499, g10501
OG0000023	Bra031756, Bra031728, Bra031755, Bra031729	g27514
OG0000023	Bra031743, Bra026587, Bra013543, Bra020901	g20568, g04967, g04962
OG0000023	Bra037593, Bra002310	g29343
OG0000023	Bra009957, Bra009956	g15439, g28846, g04828, g21299, g00148, g32457
OG0000024	Bra027866	g27647, g25133, g28163, g28159
OG0000024	Bra027834, Bra036206, Bra035424	g25154
OG0000024	Bra027843	g25161, g25162
OG0000024	Bra013134	g25153
OG0000024	Bra018448	g15032
OG0000029	Bra005753	g19426
OG0000029	Bra000175	g27787
OG0000029	Bra027905, Bra027903, Bra027901	g19413, g19412
OG0000029	Bra009558	g19414
OG0000031	Bra032036, Bra032049	g31133
OG0000031	Bra030421, Bra028194	g25045, g25048, g25046, g25047, g32121
OG0000031	Bra002819, Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	g11514
OG0000032	Bra028402	g17895
OG0000032	Bra034038	g23304
