Orthogroup	Brassica_rapa	Arabidopsis_thaliana
OG0000000	Bra010778, Bra024668	AT2G13770
OG0000000	Bra010157	AT5G35490
OG0000001	Bra020274	AT4G01350, AT5G59920
OG0000001	Bra001113	AT5G59940
OG0000001	Bra028463	AT3G45840
OG0000001	Bra017007	AT2G19650
OG0000001	Bra033522	AT4G13992
OG0000001	Bra034707, Bra022059	AT1G35610, AT3G13760
OG0000001	Bra040666	AT1G50190
OG0000001	Bra030863, Bra030864	AT2G23100, AT5G42280, AT1G55380, AT1G55420, AT1G55430, AT1G55390, AT1G55440
OG0000001	Bra012410	AT5G03355
OG0000001	Bra004233	AT5G01480
OG0000001	Bra004142	AT1G34480
OG0000001	Bra031262	AT3G21210
OG0000001	Bra025591	AT5G40320
OG0000001	Bra040143	AT2G43220
OG0000001	Bra040595	AT5G44770, AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020, AT2G04500, AT4G14980, AT3G25850
OG0000001	Bra036235, Bra036288	AT4G11550, AT4G11390, AT4G11540, AT4G01910, AT4G01920, AT4G01930, AT4G01925, AT4G02180, AT4G01740, AT4G02190, AT4G01760
OG0000003	Bra001667, Bra021255	AT3G17570
OG0000003	Bra040098	AT3G24580, AT3G22770, AT3G19470, AT3G20400, AT3G23420
OG0000003	Bra022455, Bra035754	AT3G20700, AT3G20690, AT3G20710
OG0000003	Bra018376	AT1G59680
OG0000003	Bra017242, Bra017228, Bra041044, Bra041045, Bra017247	AT3G13680
OG0000003	Bra013220	AT1G25141, AT3G25460
OG0000003	Bra034129	AT5G47300
OG0000003	Bra001883	AT3G22700, AT3G22710, AT3G22720, AT3G22350
OG0000003	Bra028319	AT2G04920
OG0000005	Bra017773	ATMG00810
OG0000006	Bra033926	AT4G29090, ATMG01250
OG0000007	Bra023216, Bra008093	AT5G28780
OG0000009	Bra003264	AT3G27590
OG0000011	Bra010590, Bra010588, Bra010663, Bra010589, Bra010496, Bra017807	AT3G04210
OG0000011	Bra027510, Bra006095, Bra006556, Bra006094, Bra006146, Bra006093	AT5G11250
OG0000011	Bra036413, Bra036417, Bra038872	AT3G25510, AT3G44670, AT3G44480, AT3G44630, AT3G44400
OG0000011	Bra036799	AT2G14080
OG0000013	Bra007406	AT3G57580, AT3G56890
OG0000013	Bra014047	AT1G47300
OG0000013	Bra014211, Bra014075	AT1G47340, AT1G47350
OG0000013	Bra034647	AT1G30925
OG0000014	Bra003329, Bra003328	AT3G58270
OG0000014	Bra014088	AT2G05420, AT2G05400, AT2G05410
OG0000014	Bra007387, Bra007389, Bra007388, Bra007386	AT3G58380
OG0000014	Bra014572	AT3G58410
OG0000014	Bra007390	AT3G58340
OG0000014	Bra014575, Bra014574	AT3G58360
OG0000014	Bra003330	AT3G58350, AT3G58400
OG0000015	Bra023133, Bra005292, Bra038808, Bra004304	AT4G09490
OG0000015	Bra032513, Bra016418	AT3G26855
OG0000015	Bra036505, Bra040556, Bra028797, Bra030904, Bra032440, Bra020642, Bra015270, Bra038141	AT1G10000
OG0000016	Bra032736	AT4G13790
OG0000016	Bra033580	AT4G38850
OG0000016	Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010
OG0000017	Bra033908, Bra033850, Bra000514	AT1G46984
OG0000017	Bra017982, Bra017983	AT3G49450
OG0000017	Bra009129, Bra009128, Bra021730	AT2G31470
OG0000017	Bra021767, Bra021785, Bra021783, Bra021782, Bra021784, Bra021781, Bra021788, Bra021768, Bra023809, Bra027364, Bra021780, Bra021786, Bra021789, Bra021769, Bra021772, Bra037636, Bra039989	AT3G10990, AT3G23960
OG0000018	Bra028499	AT5G41540
OG0000018	Bra025494	AT5G35510
OG0000018	Bra036019	AT5G40910
OG0000018	Bra032045	AT5G38850
OG0000018	Bra027660, Bra027791, Bra027790	AT1G63740, AT1G63730
OG0000018	Bra027778	AT1G63870
OG0000018	Bra027779	AT1G63860
OG0000019	Bra035657	AT2G28990
OG0000019	Bra001827	AT3G21340
OG0000019	Bra031276	AT2G04300
OG0000019	Bra030414, Bra018933	AT1G51805
OG0000019	Bra006700	AT5G59670, AT5G59660
OG0000019	Bra019608, Bra018213	AT3G46340
OG0000019	Bra033825	AT3G46330
OG0000019	Bra020918	AT4G20450
OG0000019	Bra015587	AT2G14440, AT2G14510
OG0000019	Bra031584	AT1G07560
OG0000023	Bra024648, Bra024647	AT5G10340
OG0000023	Bra031743, Bra026587, Bra013543, Bra020901	AT1G11270
OG0000023	Bra009957, Bra009956	AT1G09650, AT1G12490, AT5G16285
OG0000024	Bra027866	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410
OG0000024	Bra027834, Bra036206, Bra035424	AT1G59620
OG0000024	Bra018448	AT1G10920, AT1G53350
OG0000029	Bra003852	AT5G03100
OG0000029	Bra005753	AT3G28410, AT5G02700
OG0000029	Bra027905, Bra027903, Bra027901	AT5G02930, AT5G02920
OG0000029	Bra009558	AT5G02910
OG0000031	Bra032036, Bra032049	AT2G26860
OG0000031	Bra030421, Bra028194	AT5G38570, AT5G38565, AT5G38580, AT5G38590
OG0000031	Bra002819, Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	AT3G54910
OG0000032	Bra025543	AT5G38260
OG0000032	Bra034039, Bra004199	AT1G36005, AT1G66920
OG0000032	Bra034042, Bra004198, Bra038467	AT1G66910
OG0000033	Bra031482	AT1G62630, AT1G63360, AT1G63350
OG0000033	Bra015597	AT1G12280
OG0000033	Bra019755, Bra026682, Bra026978, Bra026924, Bra026923, Bra026977	AT1G12210
OG0000033	Bra016785	AT1G12220
OG0000033	Bra026979	AT1G12290
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	AT3G53750, AT2G37620
OG0000037	Bra037560	AT3G18780, AT1G49240
OG0000037	Bra034778	AT3G12110
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	AT3G46520, AT5G59370
OG0000037	Bra009081, Bra006033, Bra028615	AT5G09810
OG0000038	Bra025236	AT3G26920, AT3G26930
OG0000038	Bra034248	AT1G55030
OG0000038	Bra023272	AT3G51530
OG0000038	Bra006939	AT3G52680, AT4G00160
OG0000038	Bra040480	AT3G49020, AT3G49040, AT2G04230, AT3G49030
OG0000039	Bra012706	AT4G23210
OG0000039	Bra027990, Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657	AT4G23190
OG0000039	Bra013199	AT4G23220
OG0000039	Bra035217	AT4G11530
OG0000039	Bra019319, Bra013679	AT4G11460
OG0000040	Bra023128	AT3G12230, AT3G12240
OG0000040	Bra025601, Bra032189	AT2G22980
OG0000040	Bra012153	AT2G23000
OG0000040	Bra029842, Bra025640	AT3G10450
OG0000040	Bra016001	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270
OG0000043	Bra018164	AT3G47110
OG0000043	Bra002305, Bra006560	AT5G20480
OG0000043	Bra015204, Bra027938	AT3G47570
OG0000044	Bra018182	AT3G46950
OG0000044	Bra028374	AT1G61990
OG0000044	Bra036658, Bra027069, Bra028375	AT1G62150, AT1G62010, AT1G62120
OG0000044	Bra034464	AT1G56380
OG0000045	Bra013596, Bra013683	AT4G23270, AT4G23280, AT4G23310, AT3G45860
OG0000045	Bra020821	AT4G23130
OG0000045	Bra019322, Bra013678, Bra023844, Bra038935	AT4G23180
OG0000045	Bra019323, Bra012544, Bra019320, Bra019325, Bra041081	AT4G23230
OG0000046	Bra010552, Bra011666	AT4G36150
OG0000046	Bra036790	AT3G51570
OG0000046	Bra027599	AT5G45060, AT5G45250
OG0000048	Bra038150	AT4G00155
OG0000050	Bra003745	AT5G10980
OG0000050	Bra003745	AT4G40040
OG0000050	Bra011813	AT4G40030
OG0000051	Bra005989, Bra028659	AT5G08391
OG0000051	Bra008777	AT5G14110
OG0000051	Bra025246, Bra032977, Bra028480, Bra025532	AT3G27030
